"Plot Title: Butschenberg"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177322, SEN S/N: 10177322)","Cum. Sum: Nierderschlag, mm (LGR S/N: 10177322)","Host Connected (LGR S/N: 10177322)","Coupler Detached (LGR S/N: 10177322)","Coupler Attached (LGR S/N: 10177322)","End Of File (LGR S/N: 10177322)"
1,03/13/15 12:10:00 PM,,0.0,,,,
2,03/13/15 12:12:03 PM,14.230,,,,,
3,03/13/15 12:12:38 PM,,,Logged,,,
4,03/13/15 12:12:55 PM,,,Logged,,,
5,03/13/15 12:13:03 PM,,,,Logged,,
6,03/13/15 12:15:00 PM,,0.0,,,,
7,03/13/15 12:20:00 PM,,0.0,,,,
8,03/13/15 12:25:00 PM,,0.0,,,,
9,03/13/15 12:30:00 PM,,0.0,,,,
10,03/13/15 12:35:00 PM,,0.0,,,,
11,03/13/15 12:40:00 PM,,0.0,,,,
12,03/13/15 12:42:03 PM,12.980,,,,,
13,03/13/15 12:45:00 PM,,0.0,,,,
14,03/13/15 12:50:00 PM,,0.0,,,,
15,03/13/15 12:55:00 PM,,0.0,,,,
16,03/13/15 01:00:00 PM,,0.0,,,,
17,03/13/15 01:05:00 PM,,0.0,,,,
18,03/13/15 01:10:00 PM,,0.0,,,,
19,03/13/15 01:12:03 PM,14.038,,,,,
20,03/13/15 01:15:00 PM,,0.0,,,,
21,03/13/15 01:20:00 PM,,0.0,,,,
22,03/13/15 01:25:00 PM,,0.0,,,,
23,03/13/15 01:30:00 PM,,0.0,,,,
24,03/13/15 01:35:00 PM,,0.0,,,,
25,03/13/15 01:40:00 PM,,0.0,,,,
26,03/13/15 01:42:03 PM,14.230,,,,,
27,03/13/15 01:45:00 PM,,0.0,,,,
28,03/13/15 01:50:00 PM,,0.0,,,,
29,03/13/15 01:55:00 PM,,0.0,,,,
30,03/13/15 02:00:00 PM,,0.0,,,,
31,03/13/15 02:05:00 PM,,0.0,,,,
32,03/13/15 02:10:00 PM,,0.0,,,,
33,03/13/15 02:12:03 PM,13.942,,,,,
34,03/13/15 02:15:00 PM,,0.0,,,,
35,03/13/15 02:20:00 PM,,0.0,,,,
36,03/13/15 02:25:00 PM,,0.0,,,,
37,03/13/15 02:30:00 PM,,0.0,,,,
38,03/13/15 02:35:00 PM,,0.0,,,,
39,03/13/15 02:40:00 PM,,0.0,,,,
40,03/13/15 02:42:03 PM,14.613,,,,,
41,03/13/15 02:45:00 PM,,0.0,,,,
42,03/13/15 02:50:00 PM,,0.0,,,,
43,03/13/15 02:55:00 PM,,0.0,,,,
44,03/13/15 03:00:00 PM,,0.0,,,,
45,03/13/15 03:05:00 PM,,0.0,,,,
46,03/13/15 03:10:00 PM,,0.0,,,,
47,03/13/15 03:12:03 PM,14.325,,,,,
48,03/13/15 03:15:00 PM,,0.0,,,,
49,03/13/15 03:20:00 PM,,0.0,,,,
50,03/13/15 03:25:00 PM,,0.0,,,,
51,03/13/15 03:30:00 PM,,0.0,,,,
52,03/13/15 03:35:00 PM,,0.0,,,,
53,03/13/15 03:40:00 PM,,0.0,,,,
54,03/13/15 03:42:03 PM,13.654,,,,,
55,03/13/15 03:45:00 PM,,0.0,,,,
56,03/13/15 03:50:00 PM,,0.0,,,,
57,03/13/15 03:55:00 PM,,0.0,,,,
58,03/13/15 04:00:00 PM,,0.0,,,,
59,03/13/15 04:05:00 PM,,0.0,,,,
60,03/13/15 04:10:00 PM,,0.0,,,,
61,03/13/15 04:12:03 PM,13.654,,,,,
62,03/13/15 04:15:00 PM,,0.0,,,,
63,03/13/15 04:20:00 PM,,0.0,,,,
64,03/13/15 04:25:00 PM,,0.0,,,,
65,03/13/15 04:30:00 PM,,0.0,,,,
66,03/13/15 04:35:00 PM,,0.0,,,,
67,03/13/15 04:40:00 PM,,0.0,,,,
68,03/13/15 04:42:03 PM,11.722,,,,,
69,03/13/15 04:45:00 PM,,0.0,,,,
70,03/13/15 04:50:00 PM,,0.0,,,,
71,03/13/15 04:55:00 PM,,0.0,,,,
72,03/13/15 05:00:00 PM,,0.0,,,,
73,03/13/15 05:05:00 PM,,0.0,,,,
74,03/13/15 05:10:00 PM,,0.0,,,,
75,03/13/15 05:12:03 PM,8.879,,,,,
76,03/13/15 05:15:00 PM,,0.0,,,,
77,03/13/15 05:20:00 PM,,0.0,,,,
78,03/13/15 05:25:00 PM,,0.0,,,,
79,03/13/15 05:30:00 PM,,0.0,,,,
80,03/13/15 05:35:00 PM,,0.0,,,,
81,03/13/15 05:40:00 PM,,0.0,,,,
82,03/13/15 05:42:03 PM,5.450,,,,,
83,03/13/15 05:45:00 PM,,0.0,,,,
84,03/13/15 05:50:00 PM,,0.0,,,,
85,03/13/15 05:55:00 PM,,0.0,,,,
86,03/13/15 06:00:00 PM,,0.0,,,,
87,03/13/15 06:05:00 PM,,0.0,,,,
88,03/13/15 06:10:00 PM,,0.0,,,,
89,03/13/15 06:12:03 PM,4.623,,,,,
90,03/13/15 06:15:00 PM,,0.0,,,,
91,03/13/15 06:20:00 PM,,0.0,,,,
92,03/13/15 06:25:00 PM,,0.0,,,,
93,03/13/15 06:30:00 PM,,0.0,,,,
94,03/13/15 06:35:00 PM,,0.0,,,,
95,03/13/15 06:40:00 PM,,0.0,,,,
96,03/13/15 06:42:03 PM,4.415,,,,,
97,03/13/15 06:45:00 PM,,0.0,,,,
98,03/13/15 06:50:00 PM,,0.0,,,,
99,03/13/15 06:55:00 PM,,0.0,,,,
100,03/13/15 07:00:00 PM,,0.0,,,,
101,03/13/15 07:05:00 PM,,0.0,,,,
102,03/13/15 07:10:00 PM,,0.0,,,,
103,03/13/15 07:12:03 PM,4.102,,,,,
104,03/13/15 07:15:00 PM,,0.0,,,,
105,03/13/15 07:20:00 PM,,0.0,,,,
106,03/13/15 07:25:00 PM,,0.0,,,,
107,03/13/15 07:30:00 PM,,0.0,,,,
108,03/13/15 07:35:00 PM,,0.0,,,,
109,03/13/15 07:40:00 PM,,0.0,,,,
110,03/13/15 07:42:03 PM,3.578,,,,,
111,03/13/15 07:45:00 PM,,0.0,,,,
112,03/13/15 07:50:00 PM,,0.0,,,,
113,03/13/15 07:55:00 PM,,0.0,,,,
114,03/13/15 08:00:00 PM,,0.0,,,,
115,03/13/15 08:05:00 PM,,0.0,,,,
116,03/13/15 08:10:00 PM,,0.0,,,,
117,03/13/15 08:12:03 PM,3.683,,,,,
118,03/13/15 08:15:00 PM,,0.0,,,,
119,03/13/15 08:20:00 PM,,0.0,,,,
120,03/13/15 08:25:00 PM,,0.0,,,,
121,03/13/15 08:30:00 PM,,0.0,,,,
122,03/13/15 08:35:00 PM,,0.0,,,,
123,03/13/15 08:40:00 PM,,0.0,,,,
124,03/13/15 08:42:03 PM,3.998,,,,,
125,03/13/15 08:45:00 PM,,0.0,,,,
126,03/13/15 08:50:00 PM,,0.0,,,,
127,03/13/15 08:55:00 PM,,0.0,,,,
128,03/13/15 09:00:00 PM,,0.0,,,,
129,03/13/15 09:05:00 PM,,0.0,,,,
130,03/13/15 09:10:00 PM,,0.0,,,,
131,03/13/15 09:12:03 PM,3.788,,,,,
132,03/13/15 09:15:00 PM,,0.0,,,,
133,03/13/15 09:20:00 PM,,0.0,,,,
134,03/13/15 09:25:00 PM,,0.0,,,,
