"Plot Title: Hundseck"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692703, SEN S/N: 10692703, LBL: Temperatur)","Niederschlag, units (LGR S/N: 10692703)","Host Connected (LGR S/N: 10692703)","Coupler Detached (LGR S/N: 10692703)","Coupler Attached (LGR S/N: 10692703)","End Of File (LGR S/N: 10692703)"
1,04/24/15 09:00:00 AM,,0.00,,,,
2,04/24/15 09:01:00 AM,27.468,,,,,
3,04/24/15 09:01:14 AM,,,Logged,,,
4,04/24/15 09:01:21 AM,,,,Logged,,
5,04/24/15 09:05:00 AM,,0.00,,,,
6,04/24/15 09:10:00 AM,,0.00,,,,
7,04/24/15 09:15:00 AM,,0.00,,,,
8,04/24/15 09:20:00 AM,,0.00,,,,
9,04/24/15 09:25:00 AM,,0.00,,,,
10,04/24/15 09:30:00 AM,,0.00,,,,
11,04/24/15 09:31:00 AM,20.901,,,,,
12,04/24/15 09:35:00 AM,,0.00,,,,
13,04/24/15 09:40:00 AM,,0.00,,,,
14,04/24/15 09:45:00 AM,,0.00,,,,
15,04/24/15 09:50:00 AM,,0.00,,,,
16,04/24/15 09:55:00 AM,,0.00,,,,
17,04/24/15 10:00:00 AM,,0.00,,,,
18,04/24/15 10:01:00 AM,21.569,,,,,
19,04/24/15 10:05:00 AM,,0.00,,,,
20,04/24/15 10:10:00 AM,,0.00,,,,
21,04/24/15 10:15:00 AM,,0.00,,,,
22,04/24/15 10:20:00 AM,,0.00,,,,
23,04/24/15 10:25:00 AM,,0.00,,,,
24,04/24/15 10:30:00 AM,,0.00,,,,
25,04/24/15 10:31:00 AM,22.333,,,,,
26,04/24/15 10:35:00 AM,,0.00,,,,
27,04/24/15 10:40:00 AM,,0.00,,,,
28,04/24/15 10:45:00 AM,,0.00,,,,
29,04/24/15 10:50:00 AM,,0.00,,,,
30,04/24/15 10:55:00 AM,,0.00,,,,
31,04/24/15 11:00:00 AM,,0.00,,,,
32,04/24/15 11:01:00 AM,21.855,,,,,
33,04/24/15 11:05:00 AM,,0.00,,,,
34,04/24/15 11:10:00 AM,,0.00,,,,
35,04/24/15 11:15:00 AM,,0.00,,,,
36,04/24/15 11:20:00 AM,,0.00,,,,
37,04/24/15 11:25:00 AM,,0.00,,,,
38,04/24/15 11:30:00 AM,,0.00,,,,
39,04/24/15 11:31:00 AM,22.717,,,,,
40,04/24/15 11:35:00 AM,,0.00,,,,
41,04/24/15 11:40:00 AM,,0.00,,,,
42,04/24/15 11:45:00 AM,,0.00,,,,
43,04/24/15 11:50:00 AM,,0.00,,,,
44,04/24/15 11:55:00 AM,,0.00,,,,
45,04/24/15 12:00:00 PM,,0.00,,,,
46,04/24/15 12:01:00 PM,23.100,,,,,
47,04/24/15 12:05:00 PM,,0.00,,,,
48,04/24/15 12:10:00 PM,,0.00,,,,
49,04/24/15 12:15:00 PM,,0.00,,,,
50,04/24/15 12:20:00 PM,,0.00,,,,
51,04/24/15 12:25:00 PM,,0.00,,,,
52,04/24/15 12:30:00 PM,,0.00,,,,
53,04/24/15 12:31:00 PM,22.142,,,,,
54,04/24/15 12:35:00 PM,,0.00,,,,
55,04/24/15 12:40:00 PM,,0.00,,,,
56,04/24/15 12:45:00 PM,,0.00,,,,
57,04/24/15 12:50:00 PM,,0.00,,,,
58,04/24/15 12:55:00 PM,,0.00,,,,
59,04/24/15 01:00:00 PM,,0.00,,,,
60,04/24/15 01:01:00 PM,22.046,,,,,
61,04/24/15 01:05:00 PM,,0.00,,,,
62,04/24/15 01:10:00 PM,,0.00,,,,
63,04/24/15 01:15:00 PM,,0.00,,,,
64,04/24/15 01:20:00 PM,,0.00,,,,
65,04/24/15 01:25:00 PM,,0.00,,,,
66,04/24/15 01:30:00 PM,,0.00,,,,
67,04/24/15 01:31:00 PM,22.046,,,,,
68,04/24/15 01:35:00 PM,,0.00,,,,
69,04/24/15 01:40:00 PM,,0.00,,,,
70,04/24/15 01:45:00 PM,,0.00,,,,
71,04/24/15 01:50:00 PM,,0.00,,,,
72,04/24/15 01:55:00 PM,,0.00,,,,
73,04/24/15 02:00:00 PM,,0.00,,,,
74,04/24/15 02:01:00 PM,20.901,,,,,
75,04/24/15 02:05:00 PM,,0.00,,,,
76,04/24/15 02:10:00 PM,,0.00,,,,
77,04/24/15 02:15:00 PM,,0.00,,,,
78,04/24/15 02:20:00 PM,,0.00,,,,
79,04/24/15 02:25:00 PM,,0.00,,,,
80,04/24/15 02:30:00 PM,,0.00,,,,
81,04/24/15 02:31:00 PM,17.094,,,,,
82,04/24/15 02:35:00 PM,,0.00,,,,
83,04/24/15 02:40:00 PM,,0.00,,,,
84,04/24/15 02:45:00 PM,,0.00,,,,
85,04/24/15 02:50:00 PM,,0.00,,,,
86,04/24/15 02:55:00 PM,,0.00,,,,
87,04/24/15 03:00:00 PM,,0.00,,,,
88,04/24/15 03:01:00 PM,15.187,,,,,
89,04/24/15 03:05:00 PM,,0.00,,,,
90,04/24/15 03:10:00 PM,,0.00,,,,
91,04/24/15 03:15:00 PM,,0.00,,,,
92,04/24/15 03:20:00 PM,,0.00,,,,
93,04/24/15 03:25:00 PM,,0.00,,,,
94,04/24/15 03:30:00 PM,,0.00,,,,
95,04/24/15 03:31:00 PM,12.787,,,,,
96,04/24/15 03:35:00 PM,,0.00,,,,
97,04/24/15 03:40:00 PM,,0.00,,,,
98,04/24/15 03:45:00 PM,,0.00,,,,
99,04/24/15 03:50:00 PM,,0.00,,,,
100,04/24/15 03:55:00 PM,,0.00,,,,
101,04/24/15 04:00:00 PM,,0.00,,,,
102,04/24/15 04:01:00 PM,11.819,,,,,
103,04/24/15 04:05:00 PM,,0.00,,,,
104,04/24/15 04:10:00 PM,,0.00,,,,
105,04/24/15 04:15:00 PM,,0.00,,,,
106,04/24/15 04:20:00 PM,,0.00,,,,
107,04/24/15 04:25:00 PM,,0.00,,,,
108,04/24/15 04:30:00 PM,,0.00,,,,
109,04/24/15 04:31:00 PM,11.722,,,,,
110,04/24/15 04:35:00 PM,,0.00,,,,
111,04/24/15 04:40:00 PM,,0.00,,,,
112,04/24/15 04:45:00 PM,,0.00,,,,
