"Plot Title: Hundseck"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692703, SEN S/N: 10692703, LBL: Temperatur)","Niederschlag, units (LGR S/N: 10692703)"
1,24/04/15 09:00:00,,0.00
2,24/04/15 09:01:00,27.468,
3,24/04/15 09:05:00,,0.00
4,24/04/15 09:10:00,,0.00
5,24/04/15 09:15:00,,0.00
6,24/04/15 09:20:00,,0.00
7,24/04/15 09:25:00,,0.00
8,24/04/15 09:30:00,,0.00
9,24/04/15 09:31:00,20.901,
10,24/04/15 09:35:00,,0.00
11,24/04/15 09:40:00,,0.00
12,24/04/15 09:45:00,,0.00
13,24/04/15 09:50:00,,0.00
14,24/04/15 09:55:00,,0.00
15,24/04/15 10:00:00,,0.00
16,24/04/15 10:01:00,21.569,
17,24/04/15 10:05:00,,0.00
18,24/04/15 10:10:00,,0.00
19,24/04/15 10:15:00,,0.00
20,24/04/15 10:20:00,,0.00
21,24/04/15 10:25:00,,0.00
22,24/04/15 10:30:00,,0.00
23,24/04/15 10:31:00,22.333,
24,24/04/15 10:35:00,,0.00
25,24/04/15 10:40:00,,0.00
26,24/04/15 10:45:00,,0.00
27,24/04/15 10:50:00,,0.00
28,24/04/15 10:55:00,,0.00
29,24/04/15 11:00:00,,0.00
30,24/04/15 11:01:00,21.855,
31,24/04/15 11:05:00,,0.00
32,24/04/15 11:10:00,,0.00
33,24/04/15 11:15:00,,0.00
34,24/04/15 11:20:00,,0.00
35,24/04/15 11:25:00,,0.00
36,24/04/15 11:30:00,,0.00
37,24/04/15 11:31:00,22.717,
38,24/04/15 11:35:00,,0.00
39,24/04/15 11:40:00,,0.00
40,24/04/15 11:45:00,,0.00
41,24/04/15 11:50:00,,0.00
42,24/04/15 11:55:00,,0.00
43,24/04/15 12:00:00,,0.00
44,24/04/15 12:01:00,23.100,
45,24/04/15 12:05:00,,0.00
46,24/04/15 12:10:00,,0.00
47,24/04/15 12:15:00,,0.00
48,24/04/15 12:20:00,,0.00
49,24/04/15 12:25:00,,0.00
50,24/04/15 12:30:00,,0.00
51,24/04/15 12:31:00,22.142,
52,24/04/15 12:35:00,,0.00
53,24/04/15 12:40:00,,0.00
54,24/04/15 12:45:00,,0.00
55,24/04/15 12:50:00,,0.00
56,24/04/15 12:55:00,,0.00
57,24/04/15 13:00:00,,0.00
58,24/04/15 13:01:00,22.046,
59,24/04/15 13:05:00,,0.00
60,24/04/15 13:10:00,,0.00
61,24/04/15 13:15:00,,0.00
62,24/04/15 13:20:00,,0.00
63,24/04/15 13:25:00,,0.00
64,24/04/15 13:30:00,,0.00
65,24/04/15 13:31:00,22.046,
66,24/04/15 13:35:00,,0.00
67,24/04/15 13:40:00,,0.00
68,24/04/15 13:45:00,,0.00
69,24/04/15 13:50:00,,0.00
70,24/04/15 13:55:00,,0.00
71,24/04/15 14:00:00,,0.00
72,24/04/15 14:01:00,20.901,
73,24/04/15 14:05:00,,0.00
74,24/04/15 14:10:00,,0.00
75,24/04/15 14:15:00,,0.00
76,24/04/15 14:20:00,,0.00
