sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
1,24/04/2015 05:52:41,9.2,11.5,-45
2,24/04/2015 05:57:41,9.8,11.2,-45
3,24/04/2015 06:02:41,9.2,10.8,-45
4,24/04/2015 06:07:41,8.9,10.5,-45
5,24/04/2015 06:12:41,8.5,10.2,-45
6,24/04/2015 06:17:41,8.2,10.2,-45
7,24/04/2015 06:22:41,8.2,9.8,-45
8,24/04/2015 06:27:41,7.9,9.8,-45
9,24/04/2015 06:32:41,7.9,9.5,-45
10,24/04/2015 06:37:41,7.9,9.5,-45
11,24/04/2015 06:42:41,7.9,9.5,-45
12,24/04/2015 06:47:41,7.9,9.5,-45
13,24/04/2015 06:52:41,7.5,9.5,-45
14,24/04/2015 06:57:41,7.5,9.5,-45
15,24/04/2015 07:02:41,7.5,9.5,-45
16,24/04/2015 07:07:41,7.5,9.5,-45
17,24/04/2015 07:12:41,7.5,9.5,-45
18,24/04/2015 07:17:41,7.5,9.5,-45
19,24/04/2015 07:22:41,7.5,9.5,-45
20,24/04/2015 07:27:41,7.5,9.5,-45
21,24/04/2015 07:32:41,7.5,9.5,-45
22,24/04/2015 07:37:41,7.5,9.5,-45
23,24/04/2015 07:42:41,7.5,9.5,-45
24,24/04/2015 07:47:41,7.5,9.5,-45
25,24/04/2015 07:52:41,7.5,9.5,-45
26,24/04/2015 07:57:41,7.5,9.5,-45
27,24/04/2015 08:02:41,7.5,9.5,-45
28,24/04/2015 08:07:41,7.5,9.5,-45
29,24/04/2015 08:12:41,7.5,9.5,-45
30,24/04/2015 08:17:41,7.5,9.5,-45
31,24/04/2015 08:22:41,7.5,9.5,-45
32,24/04/2015 08:27:41,7.5,9.5,-45
33,24/04/2015 08:32:41,7.5,9.5,-45
34,24/04/2015 08:37:41,7.5,9.5,-45
35,24/04/2015 08:42:41,7.5,9.2,-45
36,24/04/2015 08:47:41,7.5,9.2,-45
37,24/04/2015 08:52:41,7.5,9.2,-45
38,24/04/2015 08:57:41,7.5,9.2,-45
39,24/04/2015 09:02:41,7.5,9.2,-45
40,24/04/2015 09:07:41,7.5,9.2,-45
41,24/04/2015 09:12:41,7.5,9.2,-45
42,24/04/2015 09:17:41,7.5,9.2,-45
43,24/04/2015 09:22:41,7.5,9.2,-45
44,24/04/2015 09:27:41,7.5,9.2,-45
45,24/04/2015 09:32:41,7.5,9.2,-45
46,24/04/2015 09:37:41,7.5,9.2,-45
47,24/04/2015 09:42:41,7.5,9.2,-45
