"Plot Title: Grundigklinik"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177320, SEN S/N: 10177320, LBL: T)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177320)","Host Connected (LGR S/N: 10177320)","Coupler Detached (LGR S/N: 10177320)","Coupler Attached (LGR S/N: 10177320)","End Of File (LGR S/N: 10177320)"
1,26/05/15 15:05:00,14.900,0.0,,,,
2,26/05/15 15:10:00,13.269,0.0,,,,
3,26/05/15 15:15:00,12.497,0.0,,,,
4,26/05/15 15:19:37,,,Logged,,,
5,26/05/15 15:20:00,11.916,1.4,,,,
6,26/05/15 15:21:22,,,,Logged,,
7,26/05/15 15:25:00,12.883,0.2,,,,
8,26/05/15 15:30:00,13.365,0.0,,,,
9,26/05/15 15:35:00,12.013,0.0,,,,
10,26/05/15 15:40:00,11.139,0.0,,,,
11,26/05/15 15:45:00,10.846,0.0,,,,
12,26/05/15 15:50:00,10.553,0.0,,,,
13,26/05/15 15:55:00,10.455,0.0,,,,
14,26/05/15 16:00:00,9.965,0.0,,,,
15,26/05/15 16:05:00,9.768,0.0,,,,
16,26/05/15 16:10:00,9.571,0.0,,,,
17,26/05/15 16:15:00,9.472,0.0,,,,
18,26/05/15 16:20:00,9.275,0.0,,,,
19,26/05/15 16:25:00,9.275,0.0,,,,
20,26/05/15 16:30:00,9.176,0.0,,,,
21,26/05/15 16:35:00,9.077,0.0,,,,
22,26/05/15 16:40:00,8.978,0.0,,,,
23,26/05/15 16:45:00,8.978,0.0,,,,
24,26/05/15 16:50:00,8.879,0.0,,,,
25,26/05/15 16:55:00,8.879,0.0,,,,
26,26/05/15 17:00:00,8.680,0.0,,,,
27,26/05/15 17:05:00,8.581,0.0,,,,
28,26/05/15 17:10:00,8.581,0.0,,,,
29,26/05/15 17:15:00,8.581,0.0,,,,
30,26/05/15 17:20:00,8.481,0.0,,,,
31,26/05/15 17:25:00,8.481,0.0,,,,
32,26/05/15 17:30:00,8.382,0.0,,,,
33,26/05/15 17:35:00,8.382,0.0,,,,
34,26/05/15 17:40:00,8.481,0.0,,,,
35,26/05/15 17:45:00,8.382,0.0,,,,
36,26/05/15 17:50:00,8.382,0.0,,,,
37,26/05/15 17:55:00,8.382,0.0,,,,
38,26/05/15 18:00:00,8.282,0.0,,,,
39,26/05/15 18:05:00,8.182,0.0,,,,
40,26/05/15 18:10:00,8.182,0.0,,,,
41,26/05/15 18:15:00,8.182,0.0,,,,
42,26/05/15 18:20:00,8.182,0.0,,,,
43,26/05/15 18:25:00,8.082,0.0,,,,
44,26/05/15 18:30:00,8.082,0.0,,,,
45,26/05/15 18:35:00,8.082,0.0,,,,
46,26/05/15 18:40:00,8.082,0.0,,,,
47,26/05/15 18:45:00,7.983,0.0,,,,
48,26/05/15 18:50:00,7.882,0.0,,,,
49,26/05/15 18:55:00,7.882,0.0,,,,
50,26/05/15 19:00:00,7.882,0.0,,,,
51,26/05/15 19:05:00,7.782,0.0,,,,
52,26/05/15 19:10:00,7.682,0.0,,,,
53,26/05/15 19:15:00,7.682,0.0,,,,
54,26/05/15 19:20:00,7.582,0.0,,,,
55,26/05/15 19:25:00,7.582,0.0,,,,
56,26/05/15 19:30:00,7.582,0.0,,,,
57,26/05/15 19:35:00,7.481,0.0,,,,
58,26/05/15 19:40:00,7.381,0.0,,,,
59,26/05/15 19:45:00,7.280,0.0,,,,
60,26/05/15 19:50:00,7.179,0.0,,,,
61,26/05/15 19:55:00,7.079,0.0,,,,
62,26/05/15 20:00:00,6.978,0.0,,,,
63,26/05/15 20:05:00,6.978,0.0,,,,
64,26/05/15 20:10:00,6.877,0.0,,,,
65,26/05/15 20:15:00,6.775,0.0,,,,
66,26/05/15 20:20:00,6.775,0.0,,,,
67,26/05/15 20:25:00,6.775,0.0,,,,
68,26/05/15 20:30:00,6.775,0.0,,,,
69,26/05/15 20:35:00,6.775,0.0,,,,
70,26/05/15 20:40:00,6.674,0.0,,,,
71,26/05/15 20:45:00,6.573,0.0,,,,
72,26/05/15 20:50:00,6.573,0.0,,,,
73,26/05/15 20:55:00,6.674,0.0,,,,
74,26/05/15 21:00:00,6.573,0.0,,,,
75,26/05/15 21:05:00,6.370,0.0,,,,
76,26/05/15 21:10:00,6.268,0.0,,,,
77,26/05/15 21:15:00,6.166,0.0,,,,
78,26/05/15 21:20:00,6.064,0.0,,,,
79,26/05/15 21:25:00,6.064,0.0,,,,
80,26/05/15 21:30:00,5.962,0.0,,,,
81,26/05/15 21:35:00,5.860,0.0,,,,
82,26/05/15 21:40:00,5.860,0.0,,,,
83,26/05/15 21:45:00,5.860,0.0,,,,
84,26/05/15 21:50:00,5.860,0.0,,,,
85,26/05/15 21:55:00,5.757,0.0,,,,
86,26/05/15 22:00:00,5.757,0.0,,,,
87,26/05/15 22:05:00,5.757,0.0,,,,
88,26/05/15 22:10:00,5.757,0.0,,,,
89,26/05/15 22:15:00,5.757,0.0,,,,
90,26/05/15 22:20:00,5.860,0.0,,,,
91,26/05/15 22:25:00,5.860,0.0,,,,
92,26/05/15 22:30:00,5.860,0.0,,,,
93,26/05/15 22:35:00,5.962,0.0,,,,
94,26/05/15 22:40:00,5.962,0.0,,,,
95,26/05/15 22:45:00,6.166,0.0,,,,
96,26/05/15 22:50:00,6.166,0.0,,,,
97,26/05/15 22:55:00,6.166,0.0,,,,
98,26/05/15 23:00:00,6.064,0.0,,,,
99,26/05/15 23:05:00,6.166,0.0,,,,
100,26/05/15 23:10:00,6.268,0.0,,,,
101,26/05/15 23:15:00,6.268,0.0,,,,
102,26/05/15 23:20:00,6.268,0.0,,,,
103,26/05/15 23:25:00,6.370,0.0,,,,
104,26/05/15 23:30:00,6.268,0.0,,,,
105,26/05/15 23:35:00,6.166,0.0,,,,
106,26/05/15 23:40:00,5.962,0.0,,,,
107,26/05/15 23:45:00,5.860,0.0,,,,
108,26/05/15 23:50:00,5.757,0.0,,,,
109,26/05/15 23:55:00,5.757,0.0,,,,
110,27/05/15 00:00:00,5.860,0.0,,,,
111,27/05/15 00:05:00,6.064,0.0,,,,
112,27/05/15 00:10:00,6.064,0.0,,,,
113,27/05/15 00:15:00,6.268,0.0,,,,
114,27/05/15 00:20:00,6.370,0.0,,,,
115,27/05/15 00:25:00,6.471,0.0,,,,
116,27/05/15 00:30:00,6.471,0.0,,,,
117,27/05/15 00:35:00,6.471,0.0,,,,
118,27/05/15 00:40:00,6.471,0.0,,,,
119,27/05/15 00:45:00,6.471,0.0,,,,
120,27/05/15 00:50:00,6.471,0.0,,,,
