"Plot Title: Hundseck"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692703, SEN S/N: 10692703, LBL: Temperatur)","Niederschlag, units (LGR S/N: 10692703)","Coupler Detached (LGR S/N: 10692703)","Coupler Attached (LGR S/N: 10692703)","Host Connected (LGR S/N: 10692703)","End Of File (LGR S/N: 10692703)"
1,19/05/15 10:00:00,,0.00,,,,
2,19/05/15 10:00:41,7.782,,,,,
3,19/05/15 10:02:39,,,Logged,,,
4,19/05/15 10:05:00,,0.00,,,,
5,19/05/15 10:10:00,,0.00,,,,
6,19/05/15 10:15:00,,0.00,,,,
7,19/05/15 10:20:00,,0.00,,,,
8,19/05/15 10:25:00,,0.00,,,,
9,19/05/15 10:30:00,,0.00,,,,
10,19/05/15 10:30:41,6.978,,,,,
11,19/05/15 10:35:00,,0.00,,,,
12,19/05/15 10:40:00,,0.00,,,,
13,19/05/15 10:45:00,,0.00,,,,
14,19/05/15 10:50:00,,0.00,,,,
15,19/05/15 10:55:00,,0.00,,,,
16,19/05/15 11:00:00,,0.00,,,,
17,19/05/15 11:00:41,9.176,,,,,
18,19/05/15 11:05:00,,0.00,,,,
19,19/05/15 11:10:00,,0.00,,,,
20,19/05/15 11:15:00,,0.00,,,,
21,19/05/15 11:20:00,,0.00,,,,
22,19/05/15 11:25:00,,0.00,,,,
23,19/05/15 11:30:00,,0.00,,,,
24,19/05/15 11:30:41,10.259,,,,,
25,19/05/15 11:35:00,,0.00,,,,
26,19/05/15 11:40:00,,0.00,,,,
27,19/05/15 11:45:00,,0.00,,,,
28,19/05/15 11:50:00,,0.00,,,,
29,19/05/15 11:55:00,,0.00,,,,
30,19/05/15 12:00:00,,0.00,,,,
31,19/05/15 12:00:41,9.275,,,,,
32,19/05/15 12:05:00,,0.00,,,,
33,19/05/15 12:10:00,,0.00,,,,
34,19/05/15 12:15:00,,0.00,,,,
35,19/05/15 12:20:00,,0.00,,,,
36,19/05/15 12:25:00,,0.00,,,,
37,19/05/15 12:30:00,,0.00,,,,
38,19/05/15 12:30:41,14.804,,,,,
39,19/05/15 12:35:00,,0.00,,,,
40,19/05/15 12:40:00,,0.00,,,,
41,19/05/15 12:45:00,,0.00,,,,
42,19/05/15 12:50:00,,0.00,,,,
43,19/05/15 12:55:00,,0.00,,,,
44,19/05/15 13:00:00,,0.00,,,,
45,19/05/15 13:00:41,14.996,,,,,
46,19/05/15 13:05:00,,0.00,,,,
47,19/05/15 13:10:00,,0.00,,,,
48,19/05/15 13:15:00,,0.00,,,,
49,19/05/15 13:20:00,,0.00,,,,
