"Plot Title: Sportplatz"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177317, SEN S/N: 10177317)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177317)","Coupler Detached (LGR S/N: 10177317)","Coupler Attached (LGR S/N: 10177317)","Host Connected (LGR S/N: 10177317)","End Of File (LGR S/N: 10177317)"
1,19/05/15 08:35:00,,0.0,,,,
2,19/05/15 08:35:25,12.594,,,,,
3,19/05/15 08:35:53,,,Logged,,,
4,19/05/15 08:40:00,,0.0,,,,
5,19/05/15 08:45:00,,0.0,,,,
6,19/05/15 08:50:00,,0.0,,,,
7,19/05/15 08:55:00,,0.0,,,,
8,19/05/15 09:00:00,,0.0,,,,
9,19/05/15 09:05:00,,0.0,,,,
10,19/05/15 09:05:25,10.651,,,,,
11,19/05/15 09:10:00,,0.0,,,,
12,19/05/15 09:15:00,,0.0,,,,
13,19/05/15 09:20:00,,0.0,,,,
14,19/05/15 09:25:00,,0.0,,,,
15,19/05/15 09:30:00,,0.0,,,,
16,19/05/15 09:35:00,,0.0,,,,
17,19/05/15 09:35:25,10.748,,,,,
18,19/05/15 09:40:00,,0.0,,,,
19,19/05/15 09:45:00,,0.0,,,,
20,19/05/15 09:50:00,,0.0,,,,
21,19/05/15 09:55:00,,0.0,,,,
22,19/05/15 10:00:00,,0.0,,,,
23,19/05/15 10:05:00,,0.0,,,,
24,19/05/15 10:05:25,11.041,,,,,
25,19/05/15 10:10:00,,0.0,,,,
26,19/05/15 10:15:00,,0.0,,,,
27,19/05/15 10:20:00,,0.0,,,,
28,19/05/15 10:25:00,,0.0,,,,
29,19/05/15 10:30:00,,0.0,,,,
30,19/05/15 10:35:00,,0.0,,,,
31,19/05/15 10:35:25,12.980,,,,,
32,19/05/15 10:40:00,,0.0,,,,
33,19/05/15 10:45:00,,0.0,,,,
34,19/05/15 10:50:00,,0.0,,,,
35,19/05/15 10:55:00,,0.0,,,,
36,19/05/15 11:00:00,,0.0,,,,
37,19/05/15 11:05:00,,0.0,,,,
38,19/05/15 11:05:25,11.916,,,,,
39,19/05/15 11:10:00,,0.0,,,,
40,19/05/15 11:15:00,,0.0,,,,
41,19/05/15 11:20:00,,0.0,,,,
42,19/05/15 11:25:00,,0.0,,,,
43,19/05/15 11:30:00,,0.0,,,,
44,19/05/15 11:35:00,,0.0,,,,
45,19/05/15 11:35:25,11.819,,,,,
46,19/05/15 11:40:00,,0.0,,,,
47,19/05/15 11:45:00,,0.0,,,,
48,19/05/15 11:50:00,,0.0,,,,
49,19/05/15 11:55:00,,0.0,,,,
50,19/05/15 12:00:00,,0.0,,,,
51,19/05/15 12:05:00,,0.0,,,,
52,19/05/15 12:05:25,16.523,,,,,
53,19/05/15 12:10:00,,0.0,,,,
54,19/05/15 12:15:00,,0.0,,,,
55,19/05/15 12:20:00,,0.0,,,,
56,19/05/15 12:25:00,,0.0,,,,
