sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
1,19/05/2015 11:51:02,7.2,9.2,-51
2,19/05/2015 11:56:02,7.5,9.8,-39
3,19/05/2015 12:01:02,7.2,9.5,-39
4,19/05/2015 12:06:02,7.2,9.5,-39
5,19/05/2015 12:11:02,7.2,9.2,-39
6,19/05/2015 12:16:02,7.2,9.2,-39
7,19/05/2015 12:21:02,7.2,9.2,-39
8,19/05/2015 12:26:02,7.2,9.2,-39
9,19/05/2015 12:31:02,7.2,9.2,-39
10,19/05/2015 12:36:02,7.2,8.9,-39
11,19/05/2015 12:41:02,7.2,8.9,-39
12,19/05/2015 12:46:02,7.2,8.9,-39
13,19/05/2015 12:51:02,7.2,8.9,-39
14,19/05/2015 12:56:02,7.2,8.9,-39
15,19/05/2015 13:01:02,7.2,8.9,-39
16,19/05/2015 13:06:02,7.2,8.9,-39
17,19/05/2015 13:11:02,7.2,8.9,-39
18,19/05/2015 13:16:02,7.2,8.9,-39
19,19/05/2015 13:21:02,7.2,8.9,-39
20,19/05/2015 13:26:02,7.2,8.9,-39
21,19/05/2015 13:31:02,7.2,8.9,-39
22,19/05/2015 13:36:02,7.2,8.9,-39
23,19/05/2015 13:41:02,7.2,8.9,-39
24,19/05/2015 13:46:02,7.2,8.9,-39
25,19/05/2015 13:51:02,7.2,8.9,-39
26,19/05/2015 13:56:02,7.2,8.9,-39
27,19/05/2015 14:01:02,7.2,8.9,-39
28,19/05/2015 14:06:02,7.2,8.9,-39
29,19/05/2015 14:11:02,7.2,8.9,-39
30,19/05/2015 14:16:02,7.2,8.9,-39
31,19/05/2015 14:21:02,7.2,8.9,-39
32,19/05/2015 14:26:02,7.2,8.9,-39
33,19/05/2015 14:31:02,7.2,8.9,-39
34,19/05/2015 14:36:02,7.2,8.9,-39
35,19/05/2015 14:41:02,7.2,8.9,-39
36,19/05/2015 14:46:02,7.2,8.9,-39
37,19/05/2015 14:51:02,7.2,8.9,-39
38,19/05/2015 14:56:02,7.2,8.9,-39
39,19/05/2015 15:01:02,7.2,8.9,-39
40,19/05/2015 15:06:02,7.2,8.9,-39
41,19/05/2015 15:11:02,7.2,8.9,-39
42,19/05/2015 15:16:02,7.2,8.9,-39
43,19/05/2015 15:21:02,7.2,8.9,-39
44,19/05/2015 15:26:02,7.2,8.9,-39
45,19/05/2015 15:31:02,7.2,8.9,-39
46,19/05/2015 15:36:02,7.2,8.9,-39
47,19/05/2015 15:41:02,7.2,8.9,-39
48,19/05/2015 15:46:02,7.2,8.9,-39
49,19/05/2015 15:51:02,7.2,8.9,-39
50,19/05/2015 15:56:02,7.2,8.9,-39
51,19/05/2015 16:01:02,7.2,8.9,-39
52,19/05/2015 16:06:02,7.2,8.9,-39
53,19/05/2015 16:11:02,7.2,8.9,-39
54,19/05/2015 16:16:02,7.2,8.9,-39
55,19/05/2015 16:21:02,7.2,8.9,-39
56,19/05/2015 16:26:02,7.2,8.9,-39
57,19/05/2015 16:31:02,7.2,8.9,-39
58,19/05/2015 16:36:02,7.2,8.9,-39
59,19/05/2015 16:41:02,7.2,8.9,-39
60,19/05/2015 16:46:02,7.2,8.9,-39
61,19/05/2015 16:51:02,7.2,8.9,-39
62,19/05/2015 16:56:02,7.2,8.9,-39
63,19/05/2015 17:01:02,7.2,8.9,-39
64,19/05/2015 17:06:02,7.2,8.9,-39
65,19/05/2015 17:11:02,7.2,8.9,-39
66,19/05/2015 17:16:02,7.2,8.9,-39
67,19/05/2015 17:21:02,7.2,8.9,-39
68,19/05/2015 17:26:02,7.2,8.9,-39
69,19/05/2015 17:31:02,7.2,8.9,-39
70,19/05/2015 17:36:02,7.2,8.9,-39
71,19/05/2015 17:41:02,7.2,8.9,-39
72,19/05/2015 17:46:02,7.2,8.9,-39
