sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
1,19/05/2015 11:46:05,7.2,10.8,-39
2,19/05/2015 11:51:05,7.2,11.5,182
3,19/05/2015 11:56:05,7.2,10.5,182
4,19/05/2015 12:01:05,7.2,10.2,182
5,19/05/2015 12:06:05,7.2,9.8,182
6,19/05/2015 12:11:05,7.2,9.8,182
7,19/05/2015 12:16:05,7.2,9.5,182
8,19/05/2015 12:21:05,7.2,9.5,182
9,19/05/2015 12:26:05,7.2,9.5,182
10,19/05/2015 12:31:05,7.2,9.5,182
11,19/05/2015 12:36:05,7.2,9.5,182
12,19/05/2015 12:41:05,7.2,9.5,182
13,19/05/2015 12:46:05,7.2,9.5,182
14,19/05/2015 12:51:05,7.2,9.5,182
15,19/05/2015 12:56:05,7.2,9.5,182
16,19/05/2015 13:01:05,7.2,9.2,182
17,19/05/2015 13:06:05,7.2,9.2,182
18,19/05/2015 13:11:05,7.2,9.2,182
19,19/05/2015 13:16:05,7.2,9.2,182
20,19/05/2015 13:21:05,7.2,9.2,182
21,19/05/2015 13:26:05,7.2,9.2,182
22,19/05/2015 13:31:05,7.2,9.2,182
23,19/05/2015 13:36:05,7.2,9.2,182
24,19/05/2015 13:41:05,7.2,9.2,182
25,19/05/2015 13:46:05,7.2,9.2,182
26,19/05/2015 13:51:05,7.2,9.2,182
27,19/05/2015 13:56:05,7.2,9.2,182
28,19/05/2015 14:01:05,7.2,9.2,182
29,19/05/2015 14:06:05,7.2,9.2,182
30,19/05/2015 14:11:05,7.2,9.2,182
31,19/05/2015 14:16:05,7.2,9.2,182
32,19/05/2015 14:21:05,7.2,9.2,182
33,19/05/2015 14:26:05,7.2,9.2,182
34,19/05/2015 14:31:05,7.2,9.2,182
35,19/05/2015 14:36:05,7.2,9.2,182
36,19/05/2015 14:41:05,7.2,9.2,182
37,19/05/2015 14:46:05,7.2,9.2,182
38,19/05/2015 14:51:05,7.2,9.2,182
39,19/05/2015 14:56:05,7.2,9.2,182
40,19/05/2015 15:01:05,7.2,9.2,182
41,19/05/2015 15:06:05,7.2,9.2,182
42,19/05/2015 15:11:05,7.2,9.2,182
43,19/05/2015 15:16:05,7.2,9.2,182
44,19/05/2015 15:21:05,7.2,9.2,182
45,19/05/2015 15:26:05,7.2,9.2,182
46,19/05/2015 15:31:05,7.2,9.2,182
47,19/05/2015 15:36:05,7.2,9.2,182
48,19/05/2015 15:41:05,7.2,9.2,182
49,19/05/2015 15:46:05,7.2,9.2,182
50,19/05/2015 15:51:05,7.2,9.2,182
51,19/05/2015 15:56:05,7.2,9.2,182
52,19/05/2015 16:01:05,7.2,9.2,182
53,19/05/2015 16:06:05,7.2,9.2,182
54,19/05/2015 16:11:05,7.2,9.2,182
55,19/05/2015 16:16:05,7.2,9.2,182
56,19/05/2015 16:21:05,7.2,9.2,182
57,19/05/2015 16:26:05,7.2,9.2,182
58,19/05/2015 16:31:05,7.2,9.2,182
59,19/05/2015 16:36:05,7.2,9.2,182
60,19/05/2015 16:41:05,7.2,9.2,182
61,19/05/2015 16:46:05,7.2,9.2,182
62,19/05/2015 16:51:05,7.2,9.2,182
63,19/05/2015 16:56:05,7.2,9.2,182
64,19/05/2015 17:01:05,7.2,9.2,182
65,19/05/2015 17:06:05,7.2,9.2,182
66,19/05/2015 17:11:05,7.2,9.2,182
67,19/05/2015 17:16:05,7.2,9.2,182
68,19/05/2015 17:21:05,7.2,9.2,182
69,19/05/2015 17:26:05,7.2,9.2,182
70,19/05/2015 17:31:05,7.2,9.2,182
71,19/05/2015 17:36:05,7.2,9.2,182
72,19/05/2015 17:41:05,7.2,9.2,182
73,19/05/2015 17:46:05,7.2,9.2,182
74,19/05/2015 17:51:05,7.2,9.2,182
75,19/05/2015 17:56:05,7.2,9.2,182
76,19/05/2015 18:01:05,7.2,9.2,182
77,19/05/2015 18:06:05,7.2,9.2,182
78,19/05/2015 18:11:05,7.2,9.2,182
79,19/05/2015 18:16:05,7.2,9.2,182
80,19/05/2015 18:21:05,7.2,9.2,182
81,19/05/2015 18:26:05,7.2,9.2,182
82,19/05/2015 18:31:05,7.2,9.2,182
83,19/05/2015 18:36:05,7.2,9.2,182
84,19/05/2015 18:41:05,7.2,9.2,182
85,19/05/2015 18:46:05,7.2,9.2,182
86,19/05/2015 18:51:05,7.2,9.2,182
87,19/05/2015 18:56:05,7.2,9.2,182
88,19/05/2015 19:01:05,7.2,9.2,171
89,19/05/2015 19:06:05,7.2,9.2,182
90,19/05/2015 19:11:05,7.2,9.2,171
91,19/05/2015 19:16:05,7.2,9.2,171
92,19/05/2015 19:21:05,7.2,9.2,171
93,19/05/2015 19:26:05,7.2,9.2,171
94,19/05/2015 19:31:05,7.2,9.2,171
95,19/05/2015 19:36:05,7.2,9.2,171
96,19/05/2015 19:41:05,7.2,9.2,171
97,19/05/2015 19:46:05,7.2,9.2,171
98,19/05/2015 19:51:05,7.2,9.2,171
99,19/05/2015 19:56:05,7.2,9.2,171
100,19/05/2015 20:01:05,7.2,9.2,171
101,19/05/2015 20:06:05,7.2,9.2,171
102,19/05/2015 20:11:05,7.2,9.2,171
103,19/05/2015 20:16:05,7.2,9.2,171
104,19/05/2015 20:21:05,7.2,9.2,171
105,19/05/2015 20:26:05,7.2,9.2,171
106,19/05/2015 20:31:05,7.2,9.2,171
107,19/05/2015 20:36:05,7.2,9.2,171
108,19/05/2015 20:41:05,7.2,9.2,171
109,19/05/2015 20:46:05,7.2,9.2,171
110,19/05/2015 20:51:05,7.2,9.2,171
111,19/05/2015 20:56:05,7.2,9.2,171
112,19/05/2015 21:01:05,7.2,9.2,171
113,19/05/2015 21:06:05,7.2,9.2,171
114,19/05/2015 21:11:05,7.2,9.2,171
115,19/05/2015 21:16:05,7.2,9.2,171
116,19/05/2015 21:21:05,7.2,9.2,171
117,19/05/2015 21:26:05,7.2,9.2,171
118,19/05/2015 21:31:05,7.2,9.2,171
119,19/05/2015 21:36:05,7.2,9.2,171
120,19/05/2015 21:41:05,7.2,9.2,171
121,19/05/2015 21:46:05,7.2,9.2,171
122,19/05/2015 21:51:05,7.2,9.2,171
123,19/05/2015 21:56:05,7.2,9.2,171
124,19/05/2015 22:01:05,7.2,9.2,171
125,19/05/2015 22:06:05,7.2,9.2,171
126,19/05/2015 22:11:05,7.2,9.2,171
127,19/05/2015 22:16:05,7.2,9.2,171
128,19/05/2015 22:21:05,7.2,9.2,171
129,19/05/2015 22:26:05,7.2,9.2,171
130,19/05/2015 22:31:05,7.2,9.2,171
131,19/05/2015 22:36:05,7.2,9.2,171
132,19/05/2015 22:41:05,7.2,9.2,171
133,19/05/2015 22:46:05,7.2,9.2,171
134,19/05/2015 22:51:05,7.2,9.2,171
135,19/05/2015 22:56:05,7.2,9.2,171
136,19/05/2015 23:01:05,7.2,9.2,171
137,19/05/2015 23:06:05,7.2,9.2,171
138,19/05/2015 23:11:05,7.2,9.2,171
139,19/05/2015 23:16:05,7.2,9.2,171
140,19/05/2015 23:21:05,7.2,9.2,171
141,19/05/2015 23:26:05,7.2,9.2,171
142,19/05/2015 23:31:05,7.2,9.2,171
143,19/05/2015 23:36:05,7.2,9.2,171
