sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
1,19/05/2015 11:59:03,7.5,10.5,1
2,19/05/2015 12:04:03,7.5,10.5,58
3,19/05/2015 12:09:03,7.5,10.5,58
4,19/05/2015 12:14:03,7.5,10.2,58
5,19/05/2015 12:19:03,7.5,10.2,58
6,19/05/2015 12:24:03,7.5,10.2,58
7,19/05/2015 12:29:03,7.5,10.2,58
8,19/05/2015 12:34:03,7.5,10.2,58
9,19/05/2015 12:39:03,7.5,10.2,58
10,19/05/2015 12:44:03,7.5,10.2,58
11,19/05/2015 12:49:03,7.5,10.2,58
12,19/05/2015 12:54:03,7.5,10.2,58
13,19/05/2015 12:59:03,7.5,10.2,58
14,19/05/2015 13:04:03,7.5,10.2,58
15,19/05/2015 13:09:03,7.5,10.2,58
16,19/05/2015 13:14:03,7.5,10.2,58
17,19/05/2015 13:19:03,7.5,10.2,58
18,19/05/2015 13:24:03,7.5,10.2,58
19,19/05/2015 13:29:03,7.5,10.2,58
20,19/05/2015 13:34:03,7.5,10.2,58
21,19/05/2015 13:39:03,7.5,10.2,58
22,19/05/2015 13:44:03,7.5,10.2,58
23,19/05/2015 13:49:03,7.5,10.2,58
24,19/05/2015 13:54:03,7.5,10.2,58
25,19/05/2015 13:59:03,7.5,10.2,58
26,19/05/2015 14:04:03,7.5,10.2,58
27,19/05/2015 14:09:03,7.5,9.8,58
28,19/05/2015 14:14:03,7.5,9.8,58
29,19/05/2015 14:19:03,7.5,9.8,58
30,19/05/2015 14:24:03,7.5,9.8,58
31,19/05/2015 14:29:03,7.5,9.8,58
32,19/05/2015 14:34:03,7.5,9.8,58
33,19/05/2015 14:39:03,7.5,9.8,58
34,19/05/2015 14:44:03,7.5,9.8,58
35,19/05/2015 14:49:03,7.5,9.8,58
36,19/05/2015 14:54:03,7.5,9.8,58
37,19/05/2015 14:59:03,7.5,9.8,58
38,19/05/2015 15:04:03,7.5,9.8,58
39,19/05/2015 15:09:03,7.5,9.8,58
40,19/05/2015 15:14:03,7.5,9.8,58
41,19/05/2015 15:19:03,7.5,9.8,58
42,19/05/2015 15:24:03,7.5,9.8,58
43,19/05/2015 15:29:03,7.5,9.8,58
44,19/05/2015 15:34:03,7.5,9.8,58
45,19/05/2015 15:39:03,7.5,9.8,58
46,19/05/2015 15:44:03,7.5,9.8,58
47,19/05/2015 15:49:03,7.5,9.8,58
48,19/05/2015 15:54:03,7.5,9.8,58
49,19/05/2015 15:59:03,7.5,9.8,58
50,19/05/2015 16:04:03,7.5,9.8,58
51,19/05/2015 16:09:03,7.5,9.8,58
52,19/05/2015 16:14:03,7.5,9.8,58
53,19/05/2015 16:19:03,7.5,9.8,58
54,19/05/2015 16:24:03,7.5,9.8,58
55,19/05/2015 16:29:03,7.5,9.8,58
56,19/05/2015 16:34:03,7.5,9.8,58
57,19/05/2015 16:39:03,7.5,9.8,58
58,19/05/2015 16:44:03,7.5,9.8,58
59,19/05/2015 16:49:03,7.5,9.8,58
60,19/05/2015 16:54:03,7.5,9.8,58
61,19/05/2015 16:59:03,7.5,9.8,58
62,19/05/2015 17:04:03,7.5,9.8,58
63,19/05/2015 17:09:03,7.5,9.8,58
64,19/05/2015 17:14:03,7.5,9.8,58
65,19/05/2015 17:19:03,7.5,9.8,58
66,19/05/2015 17:24:03,7.5,9.8,58
67,19/05/2015 17:29:03,7.5,9.8,58
68,19/05/2015 17:34:03,7.5,9.8,58
69,19/05/2015 17:39:03,7.5,9.8,58
70,19/05/2015 17:44:03,7.5,9.8,58
71,19/05/2015 17:49:03,7.5,9.8,58
72,19/05/2015 17:54:03,7.5,9.8,58
73,19/05/2015 17:59:03,7.5,9.8,58
74,19/05/2015 18:04:03,7.5,9.8,58
75,19/05/2015 18:09:03,7.5,9.8,58
76,19/05/2015 18:14:03,7.5,9.8,58
77,19/05/2015 18:19:03,7.5,9.8,58
78,19/05/2015 18:24:03,7.5,9.8,58
79,19/05/2015 18:29:03,7.5,9.8,58
80,19/05/2015 18:34:03,7.5,9.8,58
81,19/05/2015 18:39:03,7.5,9.8,58
82,19/05/2015 18:44:03,7.5,9.8,58
83,19/05/2015 18:49:03,7.5,9.8,47
84,19/05/2015 18:54:03,7.5,9.8,58
85,19/05/2015 18:59:03,7.5,9.8,47
86,19/05/2015 19:04:03,7.5,9.8,47
87,19/05/2015 19:09:03,7.5,9.8,47
88,19/05/2015 19:14:03,7.5,9.8,47
89,19/05/2015 19:19:03,7.5,9.8,47
90,19/05/2015 19:24:03,7.5,9.8,47
91,19/05/2015 19:29:03,7.5,9.8,47
92,19/05/2015 19:34:03,7.5,9.8,47
93,19/05/2015 19:39:03,7.5,9.8,47
94,19/05/2015 19:44:03,7.5,9.8,47
95,19/05/2015 19:49:03,7.5,9.8,47
96,19/05/2015 19:54:03,7.5,9.8,47
97,19/05/2015 19:59:03,7.5,9.8,47
98,19/05/2015 20:04:03,7.5,9.8,47
99,19/05/2015 20:09:03,7.5,9.8,47
100,19/05/2015 20:14:03,7.5,9.8,47
101,19/05/2015 20:19:03,7.5,9.8,47
102,19/05/2015 20:24:03,7.5,9.8,47
103,19/05/2015 20:29:03,7.5,9.8,47
104,19/05/2015 20:34:03,7.5,9.8,47
