sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
1,23/07/2015 11:02:26,11.2,19.5,-11
2,23/07/2015 11:07:26,11.8,19.9,58
3,23/07/2015 11:12:26,11.2,18.5,58
4,23/07/2015 11:17:26,10.8,17.8,58
5,23/07/2015 11:22:26,10.8,17.1,58
6,23/07/2015 11:27:26,10.8,16.8,58
7,23/07/2015 11:32:26,10.8,16.8,58
8,23/07/2015 11:37:26,10.5,16.5,58
9,23/07/2015 11:42:26,10.5,16.5,58
10,23/07/2015 11:47:26,10.5,16.5,58
11,23/07/2015 11:52:26,10.5,16.1,58
12,23/07/2015 11:57:26,10.5,16.1,58
13,23/07/2015 12:02:26,10.5,16.1,58
14,23/07/2015 12:07:26,10.5,16.1,58
15,23/07/2015 12:12:26,10.5,16.1,58
16,23/07/2015 12:17:26,10.5,16.1,47
17,23/07/2015 12:22:26,10.5,16.1,47
18,23/07/2015 12:27:26,10.5,16.1,47
19,23/07/2015 12:32:26,10.5,16.1,47
20,23/07/2015 12:37:26,10.5,16.1,47
21,23/07/2015 12:42:26,10.5,16.1,47
22,23/07/2015 12:47:26,10.5,16.1,47
23,23/07/2015 12:52:26,10.5,16.1,47
24,23/07/2015 12:57:26,10.5,16.1,47
25,23/07/2015 13:02:26,10.5,16.1,47
26,23/07/2015 13:07:26,10.5,16.1,47
27,23/07/2015 13:12:26,10.5,16.1,47
28,23/07/2015 13:17:26,10.5,16.1,47
29,23/07/2015 13:22:26,10.5,16.1,47
30,23/07/2015 13:27:26,10.5,16.1,47
31,23/07/2015 13:32:26,10.5,16.1,47
32,23/07/2015 13:37:26,10.5,16.1,47
33,23/07/2015 13:42:26,10.5,16.1,47
34,23/07/2015 13:47:26,10.5,16.1,47
35,23/07/2015 13:52:26,10.5,16.1,47
36,23/07/2015 13:57:26,10.5,16.1,47
37,23/07/2015 14:02:26,10.5,16.1,47
38,23/07/2015 14:07:26,10.5,15.8,47
39,23/07/2015 14:12:26,10.5,15.8,47
40,23/07/2015 14:17:26,10.5,15.8,47
41,23/07/2015 14:22:26,10.5,15.8,47
42,23/07/2015 14:27:26,10.5,15.8,47
43,23/07/2015 14:32:26,10.5,15.8,47
44,23/07/2015 14:37:26,10.5,15.8,47
45,23/07/2015 14:42:26,10.5,15.8,35
46,23/07/2015 14:47:26,10.5,15.8,35
47,23/07/2015 14:52:26,10.5,15.8,35
48,23/07/2015 14:57:26,10.5,15.8,35
49,23/07/2015 15:02:26,10.5,15.8,35
50,23/07/2015 15:07:26,10.5,15.8,35
51,23/07/2015 15:12:26,10.5,15.8,35
52,23/07/2015 15:17:26,10.5,15.8,35
53,23/07/2015 15:22:26,10.5,15.8,35
54,23/07/2015 15:27:26,10.5,15.8,35
55,23/07/2015 15:32:26,10.5,15.8,35
56,23/07/2015 15:37:26,10.5,15.8,35
57,23/07/2015 15:42:26,10.5,15.8,35
58,23/07/2015 15:47:26,10.5,15.8,35
59,23/07/2015 15:52:26,10.5,15.8,35
60,23/07/2015 15:57:26,10.5,15.8,35
61,23/07/2015 16:02:26,10.5,15.8,35
62,23/07/2015 16:07:26,10.5,15.8,35
63,23/07/2015 16:12:26,10.5,15.8,35
64,23/07/2015 16:17:26,10.5,15.8,35
65,23/07/2015 16:22:26,10.5,15.8,35
66,23/07/2015 16:27:26,10.5,15.8,35
67,23/07/2015 16:32:26,10.5,15.8,35
68,23/07/2015 16:37:26,10.5,15.8,35
69,23/07/2015 16:42:26,10.5,15.8,35
70,23/07/2015 16:47:26,10.5,15.8,35
71,23/07/2015 16:52:26,10.5,15.8,35
72,23/07/2015 16:57:26,10.5,15.8,35
73,23/07/2015 17:02:26,10.5,15.8,35
74,23/07/2015 17:07:26,10.5,15.8,24
75,23/07/2015 17:12:26,10.5,15.8,24
76,23/07/2015 17:17:26,10.5,15.8,24
77,23/07/2015 17:22:26,10.5,15.8,24
78,23/07/2015 17:27:26,10.5,15.8,24
79,23/07/2015 17:32:26,10.5,15.8,24
80,23/07/2015 17:37:26,10.5,15.8,24
81,23/07/2015 17:42:26,10.5,15.8,24
82,23/07/2015 17:47:26,10.5,15.8,24
83,23/07/2015 17:52:26,10.5,15.8,24
84,23/07/2015 17:57:26,10.5,15.8,24
85,23/07/2015 18:02:26,10.5,15.8,24
86,23/07/2015 18:07:26,10.5,15.8,24
87,23/07/2015 18:12:26,10.5,15.8,24
88,23/07/2015 18:17:26,10.5,15.8,24
89,23/07/2015 18:22:26,10.5,15.8,24
90,23/07/2015 18:27:26,10.5,15.8,24
91,23/07/2015 18:32:26,10.5,15.8,24
92,23/07/2015 18:37:26,10.5,15.8,24
93,23/07/2015 18:42:26,10.5,15.8,24
94,23/07/2015 18:47:26,10.5,15.8,24
95,23/07/2015 18:52:26,10.5,15.8,24
96,23/07/2015 18:57:26,10.5,15.8,24
97,23/07/2015 19:02:26,10.5,15.8,24
98,23/07/2015 19:07:26,10.5,15.8,24
99,23/07/2015 19:12:26,10.5,15.8,24
100,23/07/2015 19:17:26,10.5,15.8,24
101,23/07/2015 19:22:26,10.5,15.8,24
102,23/07/2015 19:27:26,10.5,15.8,24
103,23/07/2015 19:32:26,10.5,15.8,24
104,23/07/2015 19:37:26,10.5,15.8,24
105,23/07/2015 19:42:26,10.5,15.8,24
106,23/07/2015 19:47:26,10.5,15.8,24
107,23/07/2015 19:52:26,10.5,15.8,24
108,23/07/2015 19:57:26,10.5,15.8,24
109,23/07/2015 20:02:26,10.5,15.8,24
110,23/07/2015 20:07:26,10.5,15.8,24
111,23/07/2015 20:12:26,10.5,15.8,24
112,23/07/2015 20:17:26,10.5,15.8,24
113,23/07/2015 20:22:26,10.5,15.8,24
