"Plot Title: Grundigklinik"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177320, SEN S/N: 10177320, LBL: T)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177320)"
1,20/10/15 10:20:00,8.182,0.0
2,20/10/15 10:25:00,,0.0
3,20/10/15 10:30:00,,0.0
4,20/10/15 10:35:00,,0.0
5,20/10/15 10:40:00,,0.0
6,20/10/15 10:45:00,,0.0
7,20/10/15 10:50:00,7.582,0.0
8,20/10/15 10:55:00,,0.0
9,20/10/15 11:00:00,,0.0
10,20/10/15 11:05:00,,0.0
11,20/10/15 11:10:00,,0.0
12,20/10/15 11:15:00,,0.0
13,20/10/15 11:20:00,7.682,0.0
14,20/10/15 11:25:00,,0.0
15,20/10/15 11:30:00,,0.0
16,20/10/15 11:35:00,,0.0
17,20/10/15 11:40:00,,0.0
18,20/10/15 11:45:00,,0.0
19,20/10/15 11:50:00,8.282,0.0
20,20/10/15 11:55:00,,0.0
21,20/10/15 12:00:00,,0.0
22,20/10/15 12:05:00,,0.0
23,20/10/15 12:10:00,,0.0
24,20/10/15 12:15:00,,0.0
25,20/10/15 12:20:00,7.481,0.0
26,20/10/15 12:25:00,,0.0
27,20/10/15 12:30:00,,0.0
28,20/10/15 12:35:00,,0.0
29,20/10/15 12:40:00,,0.0
30,20/10/15 12:45:00,,0.0
31,20/10/15 12:50:00,7.079,0.0
32,20/10/15 12:55:00,,0.0
33,20/10/15 13:00:00,,0.0
34,20/10/15 13:05:00,,0.0
35,20/10/15 13:10:00,,0.0
36,20/10/15 13:15:00,,0.0
37,20/10/15 13:20:00,7.782,0.0
38,20/10/15 13:25:00,,0.0
39,20/10/15 13:30:00,,0.0
40,20/10/15 13:35:00,,0.0
41,20/10/15 13:40:00,,0.0
42,20/10/15 13:45:00,,0.0
43,20/10/15 13:50:00,7.983,0.0
44,20/10/15 13:55:00,,0.0
45,20/10/15 14:00:00,,0.0
46,20/10/15 14:05:00,,0.0
47,20/10/15 14:10:00,,0.0
48,20/10/15 14:15:00,,0.0
49,20/10/15 14:20:00,7.582,0.0
50,20/10/15 14:25:00,,0.0
