"Plot Title: Schönbrunn"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177316, SEN S/N: 10177316)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177316)"
1,09/11/15 10:05:00,,0.0
2,09/11/15 10:06:05,15.569,
3,09/11/15 10:10:00,,0.0
4,09/11/15 10:15:00,,0.0
5,09/11/15 10:20:00,,0.0
6,09/11/15 10:25:00,,0.0
7,09/11/15 10:30:00,,0.0
8,09/11/15 10:35:00,,0.0
9,09/11/15 10:36:05,13.365,
10,09/11/15 10:40:00,,0.0
11,09/11/15 10:45:00,,0.0
12,09/11/15 10:50:00,,0.0
13,09/11/15 10:55:00,,0.0
14,09/11/15 11:00:00,,0.0
15,09/11/15 11:05:00,,0.0
16,09/11/15 11:06:05,13.365,
17,09/11/15 11:10:00,,0.0
18,09/11/15 11:15:00,,0.0
19,09/11/15 11:20:00,,0.0
20,09/11/15 11:25:00,,0.0
21,09/11/15 11:30:00,,0.0
22,09/11/15 11:35:00,,0.0
23,09/11/15 11:36:05,14.134,
24,09/11/15 11:40:00,,0.0
25,09/11/15 11:45:00,,0.0
26,09/11/15 11:50:00,,0.0
27,09/11/15 11:55:00,,0.0
28,09/11/15 12:00:00,,0.0
29,09/11/15 12:05:00,,0.0
30,09/11/15 12:06:05,14.325,
31,09/11/15 12:10:00,,0.0
32,09/11/15 12:15:00,,0.0
33,09/11/15 12:20:00,,0.0
34,09/11/15 12:25:00,,0.0
35,09/11/15 12:30:00,,0.0
36,09/11/15 12:35:00,,0.0
37,09/11/15 12:36:05,14.613,
38,09/11/15 12:40:00,,0.0
39,09/11/15 12:45:00,,0.0
40,09/11/15 12:50:00,,0.0
41,09/11/15 12:55:00,,0.0
42,09/11/15 13:00:00,,0.0
43,09/11/15 13:05:00,,0.0
44,09/11/15 13:06:05,14.421,
45,09/11/15 13:10:00,,0.0
46,09/11/15 13:15:00,,0.0
47,09/11/15 13:20:00,,0.0
48,09/11/15 13:25:00,,0.0
49,09/11/15 13:30:00,,0.0
50,09/11/15 13:35:00,,0.0
51,09/11/15 13:36:05,14.038,
52,09/11/15 13:40:00,,0.0
53,09/11/15 13:45:00,,0.0
54,09/11/15 13:50:00,,0.0
55,09/11/15 13:55:00,,0.0
56,09/11/15 14:00:00,,0.0
57,09/11/15 14:05:00,,0.0
58,09/11/15 14:06:05,14.038,
59,09/11/15 14:10:00,,0.0
60,09/11/15 14:15:00,,0.0
61,09/11/15 14:20:00,,0.0
62,09/11/15 14:25:00,,0.0
63,09/11/15 14:30:00,,0.0
64,09/11/15 14:35:00,,0.0
65,09/11/15 14:36:05,13.942,
66,09/11/15 14:40:00,,0.0
67,09/11/15 14:45:00,,0.0
68,09/11/15 14:50:00,,0.0
69,09/11/15 14:55:00,,0.0
70,09/11/15 15:00:00,,0.0
71,09/11/15 15:05:00,,0.0
72,09/11/15 15:06:05,13.846,
73,09/11/15 15:10:00,,0.0
74,09/11/15 15:15:00,,0.0
75,09/11/15 15:20:00,,0.0
76,09/11/15 15:25:00,,0.0
77,09/11/15 15:30:00,,0.0
78,09/11/15 15:35:00,,0.0
79,09/11/15 15:36:05,13.558,
80,09/11/15 15:40:00,,0.0
81,09/11/15 15:45:00,,0.0
82,09/11/15 15:50:00,,0.0
83,09/11/15 15:55:00,,0.0
84,09/11/15 16:00:00,,0.0
85,09/11/15 16:05:00,,0.0
86,09/11/15 16:06:05,13.173,
87,09/11/15 16:10:00,,0.0
88,09/11/15 16:15:00,,0.0
89,09/11/15 16:20:00,,0.0
90,09/11/15 16:25:00,,0.0
91,09/11/15 16:30:00,,0.0
92,09/11/15 16:35:00,,0.0
93,09/11/15 16:36:05,12.980,
94,09/11/15 16:40:00,,0.0
95,09/11/15 16:45:00,,0.0
96,09/11/15 16:50:00,,0.0
97,09/11/15 16:55:00,,0.0
98,09/11/15 17:00:00,,0.0
99,09/11/15 17:05:00,,0.0
100,09/11/15 17:06:05,12.690,
101,09/11/15 17:10:00,,0.0
102,09/11/15 17:15:00,,0.0
103,09/11/15 17:20:00,,0.0
104,09/11/15 17:25:00,,0.0
105,09/11/15 17:30:00,,0.0
106,09/11/15 17:35:00,,0.0
107,09/11/15 17:36:05,12.497,
108,09/11/15 17:40:00,,0.0
109,09/11/15 17:45:00,,0.0
110,09/11/15 17:50:00,,0.0
111,09/11/15 17:55:00,,0.0
112,09/11/15 18:00:00,,0.0
113,09/11/15 18:05:00,,0.0
114,09/11/15 18:06:05,12.401,
115,09/11/15 18:10:00,,0.0
116,09/11/15 18:15:00,,0.0
117,09/11/15 18:20:00,,0.0
118,09/11/15 18:25:00,,0.0
119,09/11/15 18:30:00,,0.0
120,09/11/15 18:35:00,,0.0
121,09/11/15 18:36:05,12.207,
122,09/11/15 18:40:00,,0.0
123,09/11/15 18:45:00,,0.0
124,09/11/15 18:50:00,,0.0
125,09/11/15 18:55:00,,0.0
126,09/11/15 19:00:00,,0.0
127,09/11/15 19:05:00,,0.0
128,09/11/15 19:06:05,11.916,
129,09/11/15 19:10:00,,0.0
130,09/11/15 19:15:00,,0.0
131,09/11/15 19:20:00,,0.0
132,09/11/15 19:25:00,,0.0
133,09/11/15 19:30:00,,0.0
134,09/11/15 19:35:00,,0.0
135,09/11/15 19:36:05,11.819,
136,09/11/15 19:40:00,,0.0
137,09/11/15 19:45:00,,0.0
138,09/11/15 19:50:00,,0.0
139,09/11/15 19:55:00,,0.0
140,09/11/15 20:00:00,,0.0
141,09/11/15 20:05:00,,0.0
142,09/11/15 20:06:05,11.916,
143,09/11/15 20:10:00,,0.0
144,09/11/15 20:15:00,,0.0
145,09/11/15 20:20:00,,0.0
146,09/11/15 20:25:00,,0.0
147,09/11/15 20:30:00,,0.0
148,09/11/15 20:35:00,,0.0
149,09/11/15 20:36:05,11.819,
150,09/11/15 20:40:00,,0.0
151,09/11/15 20:45:00,,0.0
152,09/11/15 20:50:00,,0.0
153,09/11/15 20:55:00,,0.0
154,09/11/15 21:00:00,,0.0
155,09/11/15 21:05:00,,0.0
156,09/11/15 21:06:05,11.722,
157,09/11/15 21:10:00,,0.0
158,09/11/15 21:15:00,,0.0
159,09/11/15 21:20:00,,0.0
160,09/11/15 21:25:00,,0.0
161,09/11/15 21:30:00,,0.0
162,09/11/15 21:35:00,,0.0
163,09/11/15 21:36:05,11.528,
164,09/11/15 21:40:00,,0.0
165,09/11/15 21:45:00,,0.0
166,09/11/15 21:50:00,,0.0
167,09/11/15 21:55:00,,0.0
168,09/11/15 22:00:00,,0.0
169,09/11/15 22:05:00,,0.0
170,09/11/15 22:06:05,11.236,
171,09/11/15 22:10:00,,0.0
172,09/11/15 22:15:00,,0.0
173,09/11/15 22:20:00,,0.0
174,09/11/15 22:25:00,,0.0
175,09/11/15 22:30:00,,0.0
176,09/11/15 22:35:00,,0.0
177,09/11/15 22:36:05,11.236,
178,09/11/15 22:40:00,,0.0
179,09/11/15 22:45:00,,0.0
180,09/11/15 22:50:00,,0.0
181,09/11/15 22:55:00,,0.0
182,09/11/15 23:00:00,,0.0
183,09/11/15 23:05:00,,0.0
184,09/11/15 23:06:05,11.334,
185,09/11/15 23:10:00,,0.0
186,09/11/15 23:15:00,,0.0
187,09/11/15 23:20:00,,0.0
188,09/11/15 23:25:00,,0.0
189,09/11/15 23:30:00,,0.0
190,09/11/15 23:35:00,,0.0
191,09/11/15 23:36:05,11.139,
192,09/11/15 23:40:00,,0.0
193,09/11/15 23:45:00,,0.0
194,09/11/15 23:50:00,,0.0
195,09/11/15 23:55:00,,0.0
196,10/11/15 00:00:00,,0.0
197,10/11/15 00:05:00,,0.0
198,10/11/15 00:06:05,10.944,
199,10/11/15 00:10:00,,0.0
200,10/11/15 00:15:00,,0.0
201,10/11/15 00:20:00,,0.0
202,10/11/15 00:25:00,,0.0
203,10/11/15 00:30:00,,0.0
204,10/11/15 00:35:00,,0.0
205,10/11/15 00:36:05,10.846,
206,10/11/15 00:40:00,,0.0
207,10/11/15 00:45:00,,0.0
208,10/11/15 00:50:00,,0.0
209,10/11/15 00:55:00,,0.0
210,10/11/15 01:00:00,,0.0
211,10/11/15 01:05:00,,0.0
212,10/11/15 01:06:05,10.651,
213,10/11/15 01:10:00,,0.0
214,10/11/15 01:15:00,,0.0
215,10/11/15 01:20:00,,0.0
216,10/11/15 01:25:00,,0.0
217,10/11/15 01:30:00,,0.0
218,10/11/15 01:35:00,,0.0
219,10/11/15 01:36:05,10.553,
220,10/11/15 01:40:00,,0.0
221,10/11/15 01:45:00,,0.0
222,10/11/15 01:50:00,,0.0
223,10/11/15 01:55:00,,0.0
224,10/11/15 02:00:00,,0.0
225,10/11/15 02:05:00,,0.0
226,10/11/15 02:06:05,10.455,
227,10/11/15 02:10:00,,0.0
228,10/11/15 02:15:00,,0.0
229,10/11/15 02:20:00,,0.0
230,10/11/15 02:25:00,,0.0
231,10/11/15 02:30:00,,0.0
232,10/11/15 02:35:00,,0.0
233,10/11/15 02:36:05,10.161,
234,10/11/15 02:40:00,,0.0
235,10/11/15 02:45:00,,0.0
236,10/11/15 02:50:00,,0.0
237,10/11/15 02:55:00,,0.0
238,10/11/15 03:00:00,,0.0
239,10/11/15 03:05:00,,0.0
240,10/11/15 03:06:05,10.063,
241,10/11/15 03:10:00,,0.0
242,10/11/15 03:15:00,,0.0
243,10/11/15 03:20:00,,0.0
244,10/11/15 03:25:00,,0.0
245,10/11/15 03:30:00,,0.0
246,10/11/15 03:35:00,,0.0
247,10/11/15 03:36:05,9.965,
248,10/11/15 03:40:00,,0.0
249,10/11/15 03:45:00,,0.0
250,10/11/15 03:50:00,,0.0
251,10/11/15 03:55:00,,0.0
252,10/11/15 04:00:00,,0.0
253,10/11/15 04:05:00,,0.0
254,10/11/15 04:06:05,9.965,
255,10/11/15 04:10:00,,0.0
256,10/11/15 04:15:00,,0.0
257,10/11/15 04:20:00,,0.0
258,10/11/15 04:25:00,,0.0
259,10/11/15 04:30:00,,0.0
260,10/11/15 04:35:00,,0.0
261,10/11/15 04:36:05,10.161,
262,10/11/15 04:40:00,,0.0
263,10/11/15 04:45:00,,0.0
264,10/11/15 04:50:00,,0.0
265,10/11/15 04:55:00,,0.0
266,10/11/15 05:00:00,,0.0
267,10/11/15 05:05:00,,0.0
268,10/11/15 05:06:05,9.768,
269,10/11/15 05:10:00,,0.0
270,10/11/15 05:15:00,,0.0
271,10/11/15 05:20:00,,0.0
272,10/11/15 05:25:00,,0.0
273,10/11/15 05:30:00,,0.0
274,10/11/15 05:35:00,,0.0
275,10/11/15 05:36:05,9.965,
276,10/11/15 05:40:00,,0.0
277,10/11/15 05:45:00,,0.0
278,10/11/15 05:50:00,,0.0
279,10/11/15 05:55:00,,0.0
280,10/11/15 06:00:00,,0.0
281,10/11/15 06:05:00,,0.0
282,10/11/15 06:06:05,10.063,
283,10/11/15 06:10:00,,0.0
284,10/11/15 06:15:00,,0.0
285,10/11/15 06:20:00,,0.0
286,10/11/15 06:25:00,,0.0
287,10/11/15 06:30:00,,0.0
288,10/11/15 06:35:00,,0.0
289,10/11/15 06:36:05,9.866,
290,10/11/15 06:40:00,,0.0
291,10/11/15 06:45:00,,0.0
292,10/11/15 06:50:00,,0.0
293,10/11/15 06:55:00,,0.0
294,10/11/15 07:00:00,,0.0
295,10/11/15 07:05:00,,0.0
296,10/11/15 07:06:05,9.965,
297,10/11/15 07:10:00,,0.0
298,10/11/15 07:15:00,,0.0
299,10/11/15 07:20:00,,0.0
300,10/11/15 07:25:00,,0.0
301,10/11/15 07:30:00,,0.0
302,10/11/15 07:35:00,,0.0
303,10/11/15 07:36:05,10.063,
304,10/11/15 07:40:00,,0.0
305,10/11/15 07:45:00,,0.0
306,10/11/15 07:50:00,,0.0
307,10/11/15 07:55:00,,0.0
308,10/11/15 08:00:00,,0.0
309,10/11/15 08:05:00,,0.0
310,10/11/15 08:06:05,10.063,
311,10/11/15 08:10:00,,0.0
312,10/11/15 08:15:00,,0.0
313,10/11/15 08:20:00,,0.0
314,10/11/15 08:25:00,,0.0
315,10/11/15 08:30:00,,0.0
316,10/11/15 08:35:00,,0.0
317,10/11/15 08:36:05,10.651,
318,10/11/15 08:40:00,,0.0
319,10/11/15 08:45:00,,0.0
320,10/11/15 08:50:00,,0.0
321,10/11/15 08:55:00,,0.0
322,10/11/15 09:00:00,,0.0
323,10/11/15 09:05:00,,0.0
324,10/11/15 09:06:05,10.944,
325,10/11/15 09:10:00,,0.0
326,10/11/15 09:15:00,,0.0
327,10/11/15 09:20:00,,0.0
328,10/11/15 09:25:00,,0.0
329,10/11/15 09:30:00,,0.0
330,10/11/15 09:35:00,,0.0
331,10/11/15 09:36:05,14.613,
332,10/11/15 09:40:00,,0.0
333,10/11/15 09:45:00,,0.0
334,10/11/15 09:50:00,,0.0
335,10/11/15 09:55:00,,0.0
336,10/11/15 10:00:00,,0.0
337,10/11/15 10:05:00,,0.0
338,10/11/15 10:06:05,16.332,
339,10/11/15 10:10:00,,0.0
340,10/11/15 10:15:00,,0.0
341,10/11/15 10:20:00,,0.0
342,10/11/15 10:25:00,,0.0
343,10/11/15 10:30:00,,0.0
344,10/11/15 10:35:00,,0.0
345,10/11/15 10:36:05,16.903,
346,10/11/15 10:40:00,,0.0
347,10/11/15 10:45:00,,0.0
348,10/11/15 10:50:00,,0.0
349,10/11/15 10:55:00,,0.0
350,10/11/15 11:00:00,,0.0
351,10/11/15 11:05:00,,0.0
352,10/11/15 11:06:05,15.473,
353,10/11/15 11:10:00,,0.0
354,10/11/15 11:15:00,,0.0
355,10/11/15 11:20:00,,0.0
356,10/11/15 11:25:00,,0.0
357,10/11/15 11:30:00,,0.0
358,10/11/15 11:35:00,,0.0
359,10/11/15 11:36:05,14.421,
360,10/11/15 11:40:00,,0.0
361,10/11/15 11:45:00,,0.0
362,10/11/15 11:50:00,,0.0
363,10/11/15 11:55:00,,0.0
364,10/11/15 12:00:00,,0.0
365,10/11/15 12:05:00,,0.0
366,10/11/15 12:06:05,14.421,
367,10/11/15 12:10:00,,0.0
368,10/11/15 12:15:00,,0.0
369,10/11/15 12:20:00,,0.0
370,10/11/15 12:25:00,,0.0
371,10/11/15 12:30:00,,0.0
372,10/11/15 12:35:00,,0.0
