"Plot Title: Hundseck"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692703, SEN S/N: 10692703, LBL: Temperatur)","Niederschlag, units (LGR S/N: 10692703)"
1,29/02/16 11:50:00,1.980,0.00
2,29/02/16 11:55:00,,0.00
3,29/02/16 12:00:00,,0.00
4,29/02/16 12:05:00,,0.00
5,29/02/16 12:10:00,,0.00
6,29/02/16 12:15:00,,0.00
7,29/02/16 12:20:00,-1.914,0.00
8,29/02/16 12:25:00,,0.00
9,29/02/16 12:30:00,,0.00
10,29/02/16 12:35:00,,0.00
11,29/02/16 12:40:00,,0.00
12,29/02/16 12:45:00,,0.00
13,29/02/16 12:50:00,-2.145,0.00
14,29/02/16 12:55:00,,0.00
15,29/02/16 13:00:00,,0.00
16,29/02/16 13:05:00,,0.00
17,29/02/16 13:10:00,,0.00
18,29/02/16 13:15:00,,0.00
19,29/02/16 13:20:00,-2.145,0.00
20,29/02/16 13:25:00,,0.00
21,29/02/16 13:30:00,,0.00
22,29/02/16 13:35:00,,0.00
23,29/02/16 13:40:00,,0.00
24,29/02/16 13:45:00,,0.00
25,29/02/16 13:50:00,-1.914,0.00
26,29/02/16 13:55:00,,0.00
27,29/02/16 14:00:00,,0.00
28,29/02/16 14:05:00,,0.00
29,29/02/16 14:10:00,,0.00
30,29/02/16 14:15:00,,0.00
31,29/02/16 14:20:00,-1.914,0.00
32,29/02/16 14:25:00,,0.00
33,29/02/16 14:30:00,,0.00
34,29/02/16 14:35:00,,0.00
35,29/02/16 14:40:00,,0.00
36,29/02/16 14:45:00,,0.00
37,29/02/16 14:50:00,-1.799,0.00
38,29/02/16 14:55:00,,0.00
39,29/02/16 15:00:00,,0.00
40,29/02/16 15:05:00,,0.00
41,29/02/16 15:10:00,,0.00
42,29/02/16 15:15:00,,0.00
43,29/02/16 15:20:00,-1.799,0.00
44,29/02/16 15:25:00,,0.00
45,29/02/16 15:30:00,,0.00
46,29/02/16 15:35:00,,0.00
47,29/02/16 15:40:00,,0.00
48,29/02/16 15:45:00,,0.00
49,29/02/16 15:50:00,-2.030,0.00
50,29/02/16 15:55:00,,0.00
51,29/02/16 16:00:00,,0.00
52,29/02/16 16:05:00,,0.00
53,29/02/16 16:10:00,,0.00
54,29/02/16 16:15:00,,0.00
55,29/02/16 16:20:00,-2.377,0.00
56,29/02/16 16:25:00,,0.00
57,29/02/16 16:30:00,,0.00
58,29/02/16 16:35:00,,0.00
59,29/02/16 16:40:00,,0.00
60,29/02/16 16:45:00,,0.00
61,29/02/16 16:50:00,-2.610,0.00
62,29/02/16 16:55:00,,0.00
63,29/02/16 17:00:00,,0.00
64,29/02/16 17:05:00,,0.00
65,29/02/16 17:10:00,,0.00
66,29/02/16 17:15:00,,0.00
67,29/02/16 17:20:00,-2.727,0.00
68,29/02/16 17:25:00,,0.00
69,29/02/16 17:30:00,,0.00
70,29/02/16 17:35:00,,0.00
71,29/02/16 17:40:00,,0.00
72,29/02/16 17:45:00,,0.00
73,29/02/16 17:50:00,-2.844,0.00
74,29/02/16 17:55:00,,0.00
75,29/02/16 18:00:00,,0.00
76,29/02/16 18:05:00,,0.00
77,29/02/16 18:10:00,,0.00
78,29/02/16 18:15:00,,0.00
79,29/02/16 18:20:00,-2.844,0.00
80,29/02/16 18:25:00,,0.00
81,29/02/16 18:30:00,,0.00
82,29/02/16 18:35:00,,0.00
83,29/02/16 18:40:00,,0.00
84,29/02/16 18:45:00,,0.00
85,29/02/16 18:50:00,-2.844,0.00
86,29/02/16 18:55:00,,0.00
87,29/02/16 19:00:00,,0.00
88,29/02/16 19:05:00,,0.00
89,29/02/16 19:10:00,,0.00
90,29/02/16 19:15:00,,0.00
91,29/02/16 19:20:00,-2.962,0.00
92,29/02/16 19:25:00,,0.00
93,29/02/16 19:30:00,,0.00
94,29/02/16 19:35:00,,0.00
95,29/02/16 19:40:00,,0.00
96,29/02/16 19:45:00,,0.00
97,29/02/16 19:50:00,-3.316,0.00
98,29/02/16 19:55:00,,0.00
99,29/02/16 20:00:00,,0.00
100,29/02/16 20:05:00,,0.00
101,29/02/16 20:10:00,,0.00
102,29/02/16 20:15:00,,0.00
103,29/02/16 20:20:00,-3.434,0.00
104,29/02/16 20:25:00,,0.00
105,29/02/16 20:30:00,,0.00
106,29/02/16 20:35:00,,0.00
107,29/02/16 20:40:00,,0.00
108,29/02/16 20:45:00,,0.00
109,29/02/16 20:50:00,-3.792,0.00
110,29/02/16 20:55:00,,0.00
111,29/02/16 21:00:00,,0.00
112,29/02/16 21:05:00,,0.00
113,29/02/16 21:10:00,,0.00
114,29/02/16 21:15:00,,0.00
115,29/02/16 21:20:00,-4.031,0.00
116,29/02/16 21:25:00,,0.00
117,29/02/16 21:30:00,,0.00
118,29/02/16 21:35:00,,0.00
119,29/02/16 21:40:00,,0.00
120,29/02/16 21:45:00,,0.00
121,29/02/16 21:50:00,-4.031,0.00
122,29/02/16 21:55:00,,0.00
