"TOA5","Schafhof1","CR200X","No_SN","CR200X.Std.01","Messung.CR2","20312","Table2"
"TIMESTAMP","RECORD","BattV_Min","VWC_2_Avg","EC_2_Avg","T_2_Avg"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C"
"","","Min","Avg","Avg","Avg"
"2016-05-08 03:40:00",363351,12.92736,0.1939,0.0026,10.3382
"2016-05-08 03:45:00",363352,12.92484,0.1939,0.0025,10.3211
"2016-05-08 03:50:00",363353,12.92904,0.194,0.0024,10.3183
"2016-05-08 03:55:00",363354,12.92064,0.1939,0.0025,10.3325
"2016-05-08 04:00:00",363355,12.924,0.1939,0.0025,10.324
"2016-05-08 04:05:00",363356,12.92148,0.1939,0.0026,10.3382
"2016-05-08 04:10:00",363357,12.92568,0.1939,0.0027,10.3581
"2016-05-08 04:15:00",363358,12.91225,0.1942,0.0026,10.3154
"2016-05-08 04:20:00",363359,12.9282,0.1942,0.0025,10.3382
"2016-05-08 04:25:00",363360,12.91309,0.1942,0.0026,10.341
"2016-05-08 04:30:00",363361,12.92148,0.1942,0.0025,10.3353
"2016-05-08 04:35:00",363362,12.91645,0.1942,0.0026,10.3638
"2016-05-08 04:40:00",363363,12.92736,0.1942,0.0025,10.3268
"2016-05-08 04:45:00",363364,12.92232,0.1939,0.0027,10.3382
"2016-05-08 04:50:00",363365,12.9282,0.1939,0.0025,10.3524
"2016-05-08 04:55:00",363366,12.91812,0.1939,0.0027,10.3638
"2016-05-08 05:00:00",363367,12.924,0.1939,0.0025,10.3496
"2016-05-08 05:05:00",363368,12.92232,0.1939,0.0026,10.3581
"2016-05-08 05:10:00",363369,12.92652,0.194,0.0024,10.361
"2016-05-08 05:15:00",363370,12.92148,0.1939,0.0025,10.3781
"2016-05-08 05:20:00",363371,12.92736,0.1939,0.0025,10.3496
"2016-05-08 05:25:00",363372,12.91477,0.1939,0.0026,10.3496
"2016-05-08 05:30:00",363373,12.92484,0.1939,0.0025,10.3553
"2016-05-08 05:35:00",363374,12.92652,0.1939,0.0026,10.3524
"2016-05-08 05:40:00",363375,12.924,0.1939,0.0026,10.3581
"2016-05-08 05:45:00",363376,12.9198,0.1939,0.0025,10.3952
"2016-05-08 05:50:00",363377,12.9282,0.1939,0.0026,10.3752
"2016-05-08 05:55:00",363378,12.91896,0.1939,0.0025,10.3581
"2016-05-08 06:00:00",363379,12.92652,0.1939,0.0027,10.3809
"2016-05-08 06:05:00",363380,12.92568,0.1939,0.0027,10.3667
"2016-05-08 06:10:00",363381,12.93156,0.1937,0.0025,10.3952
"2016-05-08 06:15:00",363382,12.93072,0.1936,0.0026,10.3638
"2016-05-08 06:20:00",363383,12.92652,0.1936,0.0026,10.3667
"2016-05-08 06:25:00",363384,12.9282,0.1937,0.0025,10.3553
"2016-05-08 06:30:00",363385,12.93239,0.1936,0.0027,10.3667
"2016-05-08 06:35:00",363386,12.92316,0.1937,0.0026,10.3838
"2016-05-08 06:40:00",363387,12.93491,0.1937,0.0026,10.3695
"2016-05-08 06:45:00",363388,12.92484,0.1936,0.0027,10.3781
