"Plot Title: Sportplatz"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177317, SEN S/N: 10177317)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177317)"
1,22/06/16 09:25:00,29.352,0.0
2,22/06/16 09:30:00,,0.0
3,22/06/16 09:35:00,,0.0
4,22/06/16 09:40:00,,0.0
5,22/06/16 09:45:00,,0.0
6,22/06/16 09:50:00,,0.0
7,22/06/16 09:55:00,27.665,0.0
8,22/06/16 10:00:00,,0.0
9,22/06/16 10:05:00,,0.0
10,22/06/16 10:10:00,,0.0
11,22/06/16 10:15:00,,0.0
12,22/06/16 10:20:00,,0.0
13,22/06/16 10:25:00,28.258,0.0
14,22/06/16 10:30:00,,0.0
15,22/06/16 10:35:00,,0.0
16,22/06/16 10:40:00,,0.0
17,22/06/16 10:45:00,,0.0
18,22/06/16 10:50:00,,0.0
19,22/06/16 10:55:00,28.060,0.0
20,22/06/16 11:00:00,,0.0
21,22/06/16 11:05:00,,0.0
22,22/06/16 11:10:00,,0.0
23,22/06/16 11:15:00,,0.0
24,22/06/16 11:20:00,,0.0
25,22/06/16 11:25:00,30.054,0.0
26,22/06/16 11:30:00,,0.0
27,22/06/16 11:35:00,,0.0
28,22/06/16 11:40:00,,0.0
29,22/06/16 11:45:00,,0.0
30,22/06/16 11:50:00,,0.0
31,22/06/16 11:55:00,30.054,0.0
32,22/06/16 12:00:00,,0.0
33,22/06/16 12:05:00,,0.0
34,22/06/16 12:10:00,,0.0
35,22/06/16 12:15:00,,0.0
36,22/06/16 12:20:00,,0.0
37,22/06/16 12:25:00,29.652,0.0
38,22/06/16 12:30:00,,0.0
39,22/06/16 12:35:00,,0.0
40,22/06/16 12:40:00,,0.0
41,22/06/16 12:45:00,,0.0
42,22/06/16 12:50:00,,0.0
43,22/06/16 12:55:00,29.853,0.0
44,22/06/16 13:00:00,,0.0
45,22/06/16 13:05:00,,0.0
46,22/06/16 13:10:00,,0.0
47,22/06/16 13:15:00,,0.0
48,22/06/16 13:20:00,,0.0
49,22/06/16 13:25:00,30.963,0.0
50,22/06/16 13:30:00,,0.0
51,22/06/16 13:35:00,,0.0
52,22/06/16 13:40:00,,0.0
53,22/06/16 13:45:00,,0.0
54,22/06/16 13:50:00,,0.0
55,22/06/16 13:55:00,30.659,0.0
56,22/06/16 14:00:00,,0.0
57,22/06/16 14:05:00,,0.0
58,22/06/16 14:10:00,,0.0
59,22/06/16 14:15:00,,0.0
60,22/06/16 14:20:00,,0.0
61,22/06/16 14:25:00,31.880,0.0
62,22/06/16 14:30:00,,0.0
63,22/06/16 14:35:00,,0.0
64,22/06/16 14:40:00,,0.0
65,22/06/16 14:45:00,,0.0
66,22/06/16 14:50:00,,0.0
67,22/06/16 14:55:00,31.574,0.0
68,22/06/16 15:00:00,,0.0
69,22/06/16 15:05:00,,0.0
70,22/06/16 15:10:00,,0.0
71,22/06/16 15:15:00,,0.0
72,22/06/16 15:20:00,,0.0
73,22/06/16 15:25:00,30.862,0.0
74,22/06/16 15:30:00,,0.0
75,22/06/16 15:35:00,,0.0
76,22/06/16 15:40:00,,0.0
77,22/06/16 15:45:00,,0.0
78,22/06/16 15:50:00,,0.0
79,22/06/16 15:55:00,31.166,0.0
80,22/06/16 16:00:00,,0.0
81,22/06/16 16:05:00,,0.0
82,22/06/16 16:10:00,,0.0
83,22/06/16 16:15:00,,0.0
84,22/06/16 16:20:00,,0.0
85,22/06/16 16:25:00,30.154,0.0
86,22/06/16 16:30:00,,0.0
87,22/06/16 16:35:00,,0.0
88,22/06/16 16:40:00,,0.0
89,22/06/16 16:45:00,,0.0
90,22/06/16 16:50:00,,0.0
91,22/06/16 16:55:00,27.961,0.0
92,22/06/16 17:00:00,,0.0
93,22/06/16 17:05:00,,0.0
94,22/06/16 17:10:00,,0.0
95,22/06/16 17:15:00,,0.0
96,22/06/16 17:20:00,,0.0
97,22/06/16 17:25:00,28.159,0.0
98,22/06/16 17:30:00,,0.0
99,22/06/16 17:35:00,,0.0
100,22/06/16 17:40:00,,0.0
101,22/06/16 17:45:00,,0.0
102,22/06/16 17:50:00,,0.0
103,22/06/16 17:55:00,26.292,0.0
104,22/06/16 18:00:00,,0.0
105,22/06/16 18:05:00,,0.0
106,22/06/16 18:10:00,,0.0
107,22/06/16 18:15:00,,0.0
108,22/06/16 18:20:00,,0.0
109,22/06/16 18:25:00,25.125,0.0
110,22/06/16 18:30:00,,0.0
111,22/06/16 18:35:00,,0.0
112,22/06/16 18:40:00,,0.0
113,22/06/16 18:45:00,,0.0
114,22/06/16 18:50:00,,0.0
115,22/06/16 18:55:00,23.773,0.0
116,22/06/16 19:00:00,,0.0
117,22/06/16 19:05:00,,0.0
118,22/06/16 19:10:00,,0.0
119,22/06/16 19:15:00,,0.0
120,22/06/16 19:20:00,,0.0
121,22/06/16 19:25:00,22.812,0.0
122,22/06/16 19:30:00,,0.0
123,22/06/16 19:35:00,,0.0
124,22/06/16 19:40:00,,0.0
125,22/06/16 19:45:00,,0.0
126,22/06/16 19:50:00,,0.0
127,22/06/16 19:55:00,22.238,0.0
128,22/06/16 20:00:00,,0.0
129,22/06/16 20:05:00,,0.0
130,22/06/16 20:10:00,,0.0
131,22/06/16 20:15:00,,0.0
132,22/06/16 20:20:00,,0.0
133,22/06/16 20:25:00,21.855,0.0
134,22/06/16 20:30:00,,0.0
135,22/06/16 20:35:00,,0.0
136,22/06/16 20:40:00,,0.0
137,22/06/16 20:45:00,,0.0
138,22/06/16 20:50:00,,0.0
139,22/06/16 20:55:00,21.664,0.0
140,22/06/16 21:00:00,,0.0
141,22/06/16 21:05:00,,0.0
142,22/06/16 21:10:00,,0.0
143,22/06/16 21:15:00,,0.0
144,22/06/16 21:20:00,,0.0
145,22/06/16 21:25:00,21.569,0.0
146,22/06/16 21:30:00,,0.0
147,22/06/16 21:35:00,,0.0
148,22/06/16 21:40:00,,0.0
149,22/06/16 21:45:00,,0.0
150,22/06/16 21:50:00,,0.0
151,22/06/16 21:55:00,21.378,0.0
152,22/06/16 22:00:00,,0.0
153,22/06/16 22:05:00,,0.0
154,22/06/16 22:10:00,,0.0
155,22/06/16 22:15:00,,0.0
156,22/06/16 22:20:00,,0.0
157,22/06/16 22:25:00,20.805,0.0
158,22/06/16 22:30:00,,0.0
159,22/06/16 22:35:00,,0.0
160,22/06/16 22:40:00,,0.0
161,22/06/16 22:45:00,,0.0
162,22/06/16 22:50:00,,0.0
163,22/06/16 22:55:00,20.805,0.0
164,22/06/16 23:00:00,,0.0
165,22/06/16 23:05:00,,0.0
166,22/06/16 23:10:00,,0.0
167,22/06/16 23:15:00,,0.0
168,22/06/16 23:20:00,,0.0
169,22/06/16 23:25:00,20.615,0.0
170,22/06/16 23:30:00,,0.0
171,22/06/16 23:35:00,,0.0
172,22/06/16 23:40:00,,0.0
173,22/06/16 23:45:00,,0.0
174,22/06/16 23:50:00,,0.0
175,22/06/16 23:55:00,20.805,0.0
176,23/06/16 00:00:00,,0.0
177,23/06/16 00:05:00,,0.0
178,23/06/16 00:10:00,,0.0
179,23/06/16 00:15:00,,0.0
180,23/06/16 00:20:00,,0.0
181,23/06/16 00:25:00,20.996,0.0
182,23/06/16 00:30:00,,0.0
183,23/06/16 00:35:00,,0.0
184,23/06/16 00:40:00,,0.0
185,23/06/16 00:45:00,,0.0
186,23/06/16 00:50:00,,0.0
187,23/06/16 00:55:00,20.710,0.0
188,23/06/16 01:00:00,,0.0
189,23/06/16 01:05:00,,0.0
190,23/06/16 01:10:00,,0.0
191,23/06/16 01:15:00,,0.0
192,23/06/16 01:20:00,,0.0
193,23/06/16 01:25:00,20.519,0.0
194,23/06/16 01:30:00,,0.0
195,23/06/16 01:35:00,,0.0
196,23/06/16 01:40:00,,0.0
197,23/06/16 01:45:00,,0.0
198,23/06/16 01:50:00,,0.0
199,23/06/16 01:55:00,20.615,0.0
200,23/06/16 02:00:00,,0.0
201,23/06/16 02:05:00,,0.0
202,23/06/16 02:10:00,,0.0
203,23/06/16 02:15:00,,0.0
204,23/06/16 02:20:00,,0.0
205,23/06/16 02:25:00,20.424,0.0
206,23/06/16 02:30:00,,0.0
207,23/06/16 02:35:00,,0.0
208,23/06/16 02:40:00,,0.0
209,23/06/16 02:45:00,,0.0
210,23/06/16 02:50:00,,0.0
211,23/06/16 02:55:00,20.234,0.0
212,23/06/16 03:00:00,,0.0
213,23/06/16 03:05:00,,0.0
214,23/06/16 03:10:00,,0.0
215,23/06/16 03:15:00,,0.0
216,23/06/16 03:20:00,,0.0
217,23/06/16 03:25:00,20.043,0.0
218,23/06/16 03:30:00,,0.0
219,23/06/16 03:35:00,,0.0
220,23/06/16 03:40:00,,0.0
221,23/06/16 03:45:00,,0.0
222,23/06/16 03:50:00,,0.0
223,23/06/16 03:55:00,20.043,0.0
224,23/06/16 04:00:00,,0.0
225,23/06/16 04:05:00,,0.0
226,23/06/16 04:10:00,,0.0
227,23/06/16 04:15:00,,0.0
228,23/06/16 04:20:00,,0.0
229,23/06/16 04:25:00,19.758,0.0
230,23/06/16 04:30:00,,0.0
231,23/06/16 04:35:00,,0.0
232,23/06/16 04:40:00,,0.0
233,23/06/16 04:45:00,,0.0
234,23/06/16 04:50:00,,0.0
235,23/06/16 04:55:00,19.472,0.0
236,23/06/16 05:00:00,,0.0
237,23/06/16 05:05:00,,0.0
238,23/06/16 05:10:00,,0.0
239,23/06/16 05:15:00,,0.0
240,23/06/16 05:20:00,,0.0
241,23/06/16 05:25:00,19.472,0.0
242,23/06/16 05:30:00,,0.0
243,23/06/16 05:35:00,,0.0
244,23/06/16 05:40:00,,0.0
245,23/06/16 05:45:00,,0.0
246,23/06/16 05:50:00,,0.0
247,23/06/16 05:55:00,19.853,0.0
248,23/06/16 06:00:00,,0.0
249,23/06/16 06:05:00,,0.0
250,23/06/16 06:10:00,,0.0
251,23/06/16 06:15:00,,0.0
252,23/06/16 06:20:00,,0.0
253,23/06/16 06:25:00,21.187,0.0
254,23/06/16 06:30:00,,0.0
255,23/06/16 06:35:00,,0.0
256,23/06/16 06:40:00,,0.0
257,23/06/16 06:45:00,,0.0
258,23/06/16 06:50:00,,0.0
259,23/06/16 06:55:00,22.238,0.0
260,23/06/16 07:00:00,,0.0
261,23/06/16 07:05:00,,0.0
262,23/06/16 07:10:00,,0.0
263,23/06/16 07:15:00,,0.0
264,23/06/16 07:20:00,,0.0
265,23/06/16 07:25:00,24.641,0.0
266,23/06/16 07:30:00,,0.0
267,23/06/16 07:35:00,,0.0
268,23/06/16 07:40:00,,0.0
269,23/06/16 07:45:00,,0.0
270,23/06/16 07:50:00,,0.0
271,23/06/16 07:55:00,27.468,0.0
272,23/06/16 08:00:00,,0.0
273,23/06/16 08:05:00,,0.0
274,23/06/16 08:10:00,,0.0
