"Plot Title: Sternenberg-Schlammfang"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692704, SEN S/N: 10692704, LBL: Temperatur)","Niederschlag, units (LGR S/N: 10692704)"
1,16/12/16 09:40:00,,0.00
2,16/12/16 09:40:14,6.166,
3,16/12/16 09:45:00,,0.00
4,16/12/16 09:50:00,,0.00
5,16/12/16 09:55:00,,0.00
6,16/12/16 10:00:00,,0.00
7,16/12/16 10:05:00,,0.00
8,16/12/16 10:10:00,,0.00
9,16/12/16 10:10:14,0.121,
10,16/12/16 10:15:00,,0.00
11,16/12/16 10:20:00,,0.00
12,16/12/16 10:25:00,,0.00
13,16/12/16 10:30:00,,0.00
14,16/12/16 10:35:00,,0.00
15,16/12/16 10:40:00,,0.00
16,16/12/16 10:40:14,0.453,
17,16/12/16 10:45:00,,0.00
18,16/12/16 10:50:00,,0.00
19,16/12/16 10:55:00,,0.00
20,16/12/16 11:00:00,,0.00
21,16/12/16 11:05:00,,0.00
22,16/12/16 11:10:00,,0.00
23,16/12/16 11:10:14,0.784,
24,16/12/16 11:15:00,,0.00
25,16/12/16 11:20:00,,0.00
26,16/12/16 11:25:00,,0.00
27,16/12/16 11:30:00,,0.00
28,16/12/16 11:35:00,,0.00
29,16/12/16 11:40:00,,0.00
30,16/12/16 11:40:14,0.674,
31,16/12/16 11:45:00,,0.00
32,16/12/16 11:50:00,,0.00
33,16/12/16 11:55:00,,0.00
34,16/12/16 12:00:00,,0.00
35,16/12/16 12:05:00,,0.00
36,16/12/16 12:10:00,,0.00
37,16/12/16 12:10:14,1.439,
38,16/12/16 12:15:00,,0.00
39,16/12/16 12:20:00,,0.00
40,16/12/16 12:25:00,,0.00
41,16/12/16 12:30:00,,0.00
42,16/12/16 12:35:00,,0.00
43,16/12/16 12:40:00,,0.00
44,16/12/16 12:40:14,1.439,
45,16/12/16 12:45:00,,0.00
46,16/12/16 12:50:00,,0.00
47,16/12/16 12:55:00,,0.00
48,16/12/16 13:00:00,,0.00
