"Plot Title: Experiment"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10806052, SEN S/N: 10806052)","Cum. Sum: Event, units (LGR S/N: 10806052)"
1,21/05/17 00:00:00,,0.00
2,22/05/17 10:00:00,16.427,
3,22/05/17 10:30:00,18.901,
4,22/05/17 11:00:00,19.377,
5,22/05/17 11:30:00,19.948,
6,22/05/17 12:00:00,24.062,
7,22/05/17 12:30:00,27.272,
8,22/05/17 13:00:00,18.426,
9,22/05/17 13:30:00,16.046,
10,22/05/17 14:00:00,24.641,
11,22/05/17 14:30:00,20.329,
12,22/05/17 15:00:00,28.754,
13,22/05/17 15:30:00,31.880,
14,22/05/17 16:00:00,27.961,
15,22/05/17 16:30:00,19.853,
16,22/05/17 17:00:00,16.999,
17,22/05/17 17:30:00,15.951,
18,22/05/17 18:00:00,14.804,
19,22/05/17 18:30:00,13.269,
20,22/05/17 19:00:00,10.944,
21,22/05/17 19:30:00,9.472,
22,22/05/17 20:00:00,8.680,
23,22/05/17 20:30:00,8.082,
24,22/05/17 21:00:00,8.581,
25,22/05/17 21:30:00,9.965,
26,22/05/17 22:00:00,9.669,
27,22/05/17 22:30:00,10.063,
28,22/05/17 23:00:00,9.768,
29,22/05/17 23:30:00,9.571,
30,23/05/17 00:00:00,9.669,
31,23/05/17 00:30:00,9.669,
32,23/05/17 01:00:00,9.866,
33,23/05/17 01:30:00,10.553,
34,23/05/17 02:00:00,10.651,
35,23/05/17 02:30:00,11.041,
36,23/05/17 03:00:00,11.236,
37,23/05/17 03:30:00,11.528,
38,23/05/17 04:00:00,12.304,
39,23/05/17 04:30:00,12.883,
40,23/05/17 05:00:00,12.980,
41,23/05/17 05:30:00,13.269,
42,23/05/17 06:00:00,13.942,
43,23/05/17 06:30:00,14.325,
44,23/05/17 07:00:00,15.282,
45,23/05/17 07:30:00,14.517,
46,23/05/17 08:00:00,15.187,
47,23/05/17 08:30:00,16.237,
48,23/05/17 09:00:00,19.377,
49,23/05/17 09:30:00,21.378,
50,23/05/17 10:00:00,20.519,
51,23/05/17 10:30:00,21.091,
52,23/05/17 11:00:00,22.429,
53,23/05/17 11:30:00,24.738,
54,23/05/17 12:00:00,24.062,
55,23/05/17 12:30:00,25.319,
56,23/05/17 13:00:00,27.468,
57,23/05/17 13:30:00,25.805,
58,23/05/17 14:00:00,24.641,
59,23/05/17 14:30:00,26.390,
60,23/05/17 15:00:00,26.097,
61,23/05/17 15:30:00,24.835,
62,23/05/17 16:00:00,18.806,
63,23/05/17 16:30:00,20.519,
64,23/05/17 17:00:00,18.140,
65,23/05/17 17:30:00,18.045,
66,23/05/17 18:00:00,17.284,
67,23/05/17 18:30:00,16.713,
68,23/05/17 19:00:00,14.230,
69,23/05/17 19:30:00,12.787,
70,23/05/17 20:00:00,12.207,
71,23/05/17 20:30:00,12.110,
72,23/05/17 21:00:00,12.207,
73,23/05/17 21:30:00,12.980,
74,23/05/17 22:00:00,12.207,
75,23/05/17 22:30:00,11.334,
76,23/05/17 23:00:00,11.236,
77,23/05/17 23:30:00,10.161,
78,24/05/17 00:00:00,10.553,
79,24/05/17 00:30:00,10.748,
80,24/05/17 01:00:00,9.176,
81,24/05/17 01:30:00,9.077,
82,24/05/17 02:00:00,9.077,
83,24/05/17 02:30:00,8.581,
84,24/05/17 03:00:00,6.775,
85,24/05/17 03:30:00,6.166,
86,24/05/17 04:00:00,6.370,
87,24/05/17 04:30:00,7.280,
88,24/05/17 05:00:00,7.280,
89,24/05/17 05:30:00,7.782,
90,24/05/17 06:00:00,9.077,
91,24/05/17 06:30:00,10.063,
92,24/05/17 07:00:00,10.553,
93,24/05/17 07:30:00,11.041,
94,24/05/17 08:00:00,11.625,
95,24/05/17 08:30:00,13.173,
96,24/05/17 09:00:00,17.760,
97,24/05/17 09:30:00,19.948,
98,24/05/17 10:00:00,19.187,
99,24/05/17 10:30:00,17.855,
100,24/05/17 11:00:00,19.282,
101,24/05/17 11:30:00,23.100,
102,24/05/17 12:00:00,24.545,
103,24/05/17 12:30:00,28.060,
104,24/05/17 13:00:00,26.097,
105,24/05/17 13:30:00,24.738,
106,24/05/17 14:00:00,23.869,
107,24/05/17 14:30:00,21.664,
108,24/05/17 15:00:00,25.513,
109,24/05/17 15:30:00,20.234,
110,24/05/17 16:00:00,20.234,
111,24/05/17 16:30:00,17.570,
112,24/05/17 17:00:00,16.903,
113,24/05/17 17:30:00,15.187,
114,24/05/17 18:00:00,13.942,
115,24/05/17 18:30:00,13.365,
116,24/05/17 19:00:00,12.207,
117,24/05/17 19:30:00,11.722,
118,24/05/17 20:00:00,11.819,
119,24/05/17 20:30:00,11.528,
120,24/05/17 21:00:00,11.139,
121,24/05/17 21:30:00,10.846,
122,24/05/17 22:00:00,10.553,
123,24/05/17 22:30:00,11.041,
124,24/05/17 23:00:00,11.431,
125,24/05/17 23:30:00,11.334,
126,25/05/17 00:00:00,10.455,
127,25/05/17 00:30:00,10.748,
128,25/05/17 01:00:00,10.944,
129,25/05/17 01:30:00,11.041,
130,25/05/17 02:00:00,11.041,
131,25/05/17 02:30:00,10.748,
132,25/05/17 03:00:00,9.866,
133,25/05/17 03:30:00,8.481,
134,25/05/17 04:00:00,8.382,
135,25/05/17 04:30:00,8.879,
136,25/05/17 05:00:00,9.373,
137,25/05/17 05:30:00,10.161,
138,25/05/17 06:00:00,10.651,
139,25/05/17 06:30:00,11.041,
140,25/05/17 07:00:00,13.365,
141,25/05/17 07:30:00,14.996,
142,25/05/17 08:00:00,14.709,
143,25/05/17 08:30:00,15.569,
144,25/05/17 09:00:00,15.664,
145,25/05/17 09:30:00,20.043,
146,25/05/17 10:00:00,22.238,
147,25/05/17 10:30:00,19.948,
148,25/05/17 11:00:00,21.473,
149,25/05/17 11:30:00,21.664,
150,25/05/17 12:00:00,26.097,
151,25/05/17 12:30:00,28.159,
152,25/05/17 13:00:00,28.357,
153,25/05/17 13:30:00,25.416,
154,25/05/17 14:00:00,25.708,
155,25/05/17 14:30:00,29.652,
156,25/05/17 15:00:00,32.600,
157,25/05/17 15:30:00,31.880,
158,25/05/17 16:00:00,26.000,
159,25/05/17 16:30:00,18.901,
160,25/05/17 17:00:00,16.523,
161,25/05/17 17:30:00,15.569,
162,25/05/17 18:00:00,14.996,
163,25/05/17 18:30:00,13.846,
164,25/05/17 19:00:00,12.304,
165,25/05/17 19:30:00,10.748,
166,25/05/17 20:00:00,9.768,
167,25/05/17 20:30:00,9.571,
168,25/05/17 21:00:00,9.373,
169,25/05/17 21:30:00,9.275,
170,25/05/17 22:00:00,8.879,
171,25/05/17 22:30:00,8.879,
172,25/05/17 23:00:00,8.779,
173,25/05/17 23:30:00,8.879,
174,26/05/17 00:00:00,8.879,73.00
175,26/05/17 00:30:00,7.280,
176,26/05/17 01:00:00,6.268,
177,26/05/17 01:30:00,5.552,
178,26/05/17 02:00:00,5.962,
179,26/05/17 02:30:00,5.757,
180,26/05/17 03:00:00,5.347,
181,26/05/17 03:30:00,5.757,
182,26/05/17 04:00:00,5.552,
183,26/05/17 04:30:00,7.481,
184,26/05/17 05:00:00,8.680,
185,26/05/17 05:30:00,9.373,
186,26/05/17 06:00:00,10.748,
187,26/05/17 06:30:00,11.722,
188,26/05/17 07:00:00,12.594,
189,26/05/17 07:30:00,13.269,
190,26/05/17 08:00:00,14.230,
191,26/05/17 08:30:00,15.378,
192,26/05/17 09:00:00,19.853,
193,26/05/17 09:30:00,24.255,
194,26/05/17 10:00:00,22.333,
195,26/05/17 10:30:00,21.664,
196,26/05/17 11:00:00,24.835,
197,26/05/17 11:30:00,28.456,
198,26/05/17 12:00:00,29.152,
199,26/05/17 12:30:00,33.014,
200,26/05/17 13:00:00,31.983,
201,26/05/17 13:30:00,29.053,
202,26/05/17 14:00:00,29.752,
203,26/05/17 14:30:00,33.222,
204,26/05/17 15:00:00,35.971,
205,26/05/17 15:30:00,35.756,
206,26/05/17 16:00:00,29.853,
207,26/05/17 16:30:00,21.664,
208,26/05/17 17:00:00,19.948,
209,26/05/17 17:30:00,18.996,
210,26/05/17 18:00:00,17.950,
211,26/05/17 18:30:00,16.903,
212,26/05/17 19:00:00,15.569,
213,26/05/17 19:30:00,13.461,
214,26/05/17 20:00:00,10.944,
215,26/05/17 20:30:00,11.916,
216,26/05/17 21:00:00,10.748,
217,26/05/17 21:30:00,10.357,
218,26/05/17 22:00:00,9.768,
219,26/05/17 22:30:00,10.259,
220,26/05/17 23:00:00,10.259,
221,26/05/17 23:30:00,9.965,
222,27/05/17 00:00:00,9.373,
223,27/05/17 00:30:00,9.472,
224,27/05/17 01:00:00,9.373,
225,27/05/17 01:30:00,8.581,
226,27/05/17 02:00:00,8.879,
227,27/05/17 02:30:00,8.481,
