"Plot Title: Butschenberg"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10234807, SEN S/N: 10234807)","Cum. Sum: Niederschlag, units (LGR S/N: 10234807)"
1,18/05/18 11:20:00,29.452,0.00
2,18/05/18 11:25:00,,0.00
3,18/05/18 11:30:00,,0.00
4,18/05/18 11:35:00,,0.00
5,18/05/18 11:40:00,,0.00
6,18/05/18 11:45:00,,0.00
7,18/05/18 11:50:00,19.853,0.00
8,18/05/18 11:55:00,,0.00
9,18/05/18 12:00:00,,0.00
10,18/05/18 12:05:00,,0.00
11,18/05/18 12:10:00,,0.00
12,18/05/18 12:15:00,,0.00
13,18/05/18 12:20:00,20.615,0.00
14,18/05/18 12:25:00,,0.00
15,18/05/18 12:30:00,,0.00
16,18/05/18 12:35:00,,0.00
17,18/05/18 12:40:00,,0.00
18,18/05/18 12:45:00,,0.00
19,18/05/18 12:50:00,20.996,0.00
20,18/05/18 12:55:00,,0.00
21,18/05/18 13:00:00,,0.00
22,18/05/18 13:05:00,,0.00
23,18/05/18 13:10:00,,0.00
24,18/05/18 13:15:00,,0.00
25,18/05/18 13:20:00,20.996,0.00
26,18/05/18 13:25:00,,0.00
27,18/05/18 13:30:00,,0.00
28,18/05/18 13:35:00,,0.00
29,18/05/18 13:40:00,,0.00
30,18/05/18 13:45:00,,0.00
31,18/05/18 13:50:00,22.046,0.00
32,18/05/18 13:55:00,,0.00
33,18/05/18 14:00:00,,0.00
34,18/05/18 14:05:00,,0.00
35,18/05/18 14:10:00,,0.00
36,18/05/18 14:15:00,,0.00
37,18/05/18 14:20:00,21.855,0.00
38,18/05/18 14:25:00,,0.00
39,18/05/18 14:30:00,,0.00
40,18/05/18 14:35:00,,0.00
41,18/05/18 14:40:00,,0.00
42,18/05/18 14:45:00,,0.00
43,18/05/18 14:50:00,21.855,0.00
44,18/05/18 14:55:00,,0.00
45,18/05/18 15:00:00,,0.00
46,18/05/18 15:05:00,,0.00
47,18/05/18 15:10:00,,0.00
48,18/05/18 15:15:00,,0.00
49,18/05/18 15:20:00,21.951,0.00
50,18/05/18 15:25:00,,0.00
51,18/05/18 15:30:00,,0.00
52,18/05/18 15:35:00,,0.00
53,18/05/18 15:40:00,,0.00
54,18/05/18 15:45:00,,0.00
55,18/05/18 15:50:00,21.664,0.00
56,18/05/18 15:55:00,,0.00
57,18/05/18 16:00:00,,0.00
58,18/05/18 16:05:00,,0.00
59,18/05/18 16:10:00,,0.00
60,18/05/18 16:15:00,,0.00
61,18/05/18 16:20:00,22.142,0.00
62,18/05/18 16:25:00,,0.00
63,18/05/18 16:30:00,,0.00
64,18/05/18 16:35:00,,0.00
65,18/05/18 16:40:00,,0.00
66,18/05/18 16:45:00,,0.00
67,18/05/18 16:50:00,20.996,0.00
68,18/05/18 16:55:00,,0.00
69,18/05/18 17:00:00,,0.00
70,18/05/18 17:05:00,,0.00
71,18/05/18 17:10:00,,0.00
72,18/05/18 17:15:00,,0.00
73,18/05/18 17:20:00,19.377,0.00
74,18/05/18 17:25:00,,0.00
75,18/05/18 17:30:00,,0.00
76,18/05/18 17:35:00,,0.00
77,18/05/18 17:40:00,,0.00
78,18/05/18 17:45:00,,0.00
79,18/05/18 17:50:00,18.045,0.00
80,18/05/18 17:55:00,,0.00
81,18/05/18 18:00:00,,0.00
82,18/05/18 18:05:00,,0.00
83,18/05/18 18:10:00,,0.00
84,18/05/18 18:15:00,,0.00
85,18/05/18 18:20:00,17.665,0.00
86,18/05/18 18:25:00,,0.00
87,18/05/18 18:30:00,,0.00
88,18/05/18 18:35:00,,0.00
89,18/05/18 18:40:00,,0.00
90,18/05/18 18:45:00,,0.00
91,18/05/18 18:50:00,15.091,0.00
92,18/05/18 18:55:00,,0.00
93,18/05/18 19:00:00,,0.00
94,18/05/18 19:05:00,,0.00
95,18/05/18 19:10:00,,0.00
96,18/05/18 19:15:00,,0.00
97,18/05/18 19:20:00,13.076,0.00
98,18/05/18 19:25:00,,0.00
99,18/05/18 19:30:00,,0.00
100,18/05/18 19:35:00,,0.00
101,18/05/18 19:40:00,,0.00
102,18/05/18 19:45:00,,0.00
103,18/05/18 19:50:00,11.625,0.00
104,18/05/18 19:55:00,,0.00
105,18/05/18 20:00:00,,0.00
106,18/05/18 20:05:00,,0.00
107,18/05/18 20:10:00,,0.00
108,18/05/18 20:15:00,,0.00
109,18/05/18 20:20:00,10.748,0.00
110,18/05/18 20:25:00,,0.00
111,18/05/18 20:30:00,,0.00
112,18/05/18 20:35:00,,0.00
113,18/05/18 20:40:00,,0.00
114,18/05/18 20:45:00,,0.00
115,18/05/18 20:50:00,10.259,0.00
116,18/05/18 20:55:00,,0.00
117,18/05/18 21:00:00,,0.00
118,18/05/18 21:05:00,,0.00
119,18/05/18 21:10:00,,0.00
120,18/05/18 21:15:00,,0.00
121,18/05/18 21:20:00,10.259,0.00
122,18/05/18 21:25:00,,0.00
123,18/05/18 21:30:00,,0.00
124,18/05/18 21:35:00,,0.00
125,18/05/18 21:40:00,,0.00
126,18/05/18 21:45:00,,0.00
127,18/05/18 21:50:00,11.528,0.00
128,18/05/18 21:55:00,,0.00
129,18/05/18 22:00:00,,0.00
130,18/05/18 22:05:00,,0.00
131,18/05/18 22:10:00,,0.00
132,18/05/18 22:15:00,,0.00
133,18/05/18 22:20:00,10.846,0.00
134,18/05/18 22:25:00,,0.00
135,18/05/18 22:30:00,,0.00
136,18/05/18 22:35:00,,0.00
137,18/05/18 22:40:00,,0.00
138,18/05/18 22:45:00,,0.00
139,18/05/18 22:50:00,10.259,0.00
140,18/05/18 22:55:00,,0.00
141,18/05/18 23:00:00,,0.00
142,18/05/18 23:05:00,,0.00
143,18/05/18 23:10:00,,0.00
144,18/05/18 23:15:00,,0.00
145,18/05/18 23:20:00,10.161,0.00
146,18/05/18 23:25:00,,0.00
147,18/05/18 23:30:00,,0.00
148,18/05/18 23:35:00,,0.00
149,18/05/18 23:40:00,,0.00
150,18/05/18 23:45:00,,0.00
151,18/05/18 23:50:00,10.161,0.00
152,18/05/18 23:55:00,,0.00
153,19/05/18 00:00:00,,0.00
154,19/05/18 00:05:00,,0.00
155,19/05/18 00:10:00,,0.00
156,19/05/18 00:15:00,,0.00
157,19/05/18 00:20:00,9.866,0.00
158,19/05/18 00:25:00,,0.00
159,19/05/18 00:30:00,,0.00
160,19/05/18 00:35:00,,0.00
161,19/05/18 00:40:00,,0.00
162,19/05/18 00:45:00,,0.00
163,19/05/18 00:50:00,9.866,0.00
164,19/05/18 00:55:00,,0.00
165,19/05/18 01:00:00,,0.00
166,19/05/18 01:05:00,,0.00
167,19/05/18 01:10:00,,0.00
168,19/05/18 01:15:00,,0.00
169,19/05/18 01:20:00,10.259,0.00
170,19/05/18 01:25:00,,0.00
171,19/05/18 01:30:00,,0.00
172,19/05/18 01:35:00,,0.00
173,19/05/18 01:40:00,,0.00
174,19/05/18 01:45:00,,0.00
175,19/05/18 01:50:00,10.553,0.00
176,19/05/18 01:55:00,,0.00
177,19/05/18 02:00:00,,0.00
178,19/05/18 02:05:00,,0.00
179,19/05/18 02:10:00,,0.00
180,19/05/18 02:15:00,,0.00
181,19/05/18 02:20:00,10.259,0.00
182,19/05/18 02:25:00,,0.00
183,19/05/18 02:30:00,,0.00
184,19/05/18 02:35:00,,0.00
185,19/05/18 02:40:00,,0.00
186,19/05/18 02:45:00,,0.00
187,19/05/18 02:50:00,9.965,0.00
