"TOA5","Schafhof5","CR200X","No_SN","CR200X.Std.01","Messung.CR2","20312","Table2"
"TIMESTAMP","RECORD","BattV_Min","VWC_2_Avg","EC_2_Avg","T_2_Avg"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C"
"","","Min","Avg","Avg","Avg"
"2018-06-12 02:45:00",571609,12.83922,0.3175,0.0018,16.8575
"2018-06-12 02:50:00",571610,12.84677,0.3175,0.0019,16.8575
"2018-06-12 02:55:00",571611,12.83922,0.3175,0.0019,16.8713
"2018-06-12 03:00:00",571612,12.84174,0.3175,0.0017,16.8575
"2018-06-12 03:05:00",571613,12.84006,0.3172,0.0018,16.8521
"2018-06-12 03:10:00",571614,12.84761,0.3172,0.0018,16.8685
"2018-06-12 03:15:00",571615,12.84006,0.3172,0.0019,16.8329
"2018-06-12 03:20:00",571616,12.84761,0.3172,0.0018,16.8548
"2018-06-12 03:25:00",571617,12.84258,0.3172,0.0019,16.8713
"2018-06-12 03:30:00",571618,12.8409,0.3169,0.0019,16.8548
"2018-06-12 03:35:00",571619,12.8367,0.3169,0.0019,16.8795
"2018-06-12 03:40:00",571620,12.8409,0.317,0.0018,16.8658
"2018-06-12 03:45:00",571621,12.84006,0.317,0.0018,16.8658
"2018-06-12 03:50:00",571622,12.84677,0.3167,0.0019,16.8493
"2018-06-12 03:55:00",571623,12.84677,0.3167,0.0019,16.8466
"2018-06-12 04:00:00",571624,12.84761,0.3167,0.0017,16.8713
"2018-06-12 04:05:00",571625,12.84006,0.3167,0.0019,16.8603
"2018-06-12 04:10:00",571626,12.84677,0.3167,0.0019,16.8493
"2018-06-12 04:15:00",571627,12.84509,0.3167,0.0019,16.8685
"2018-06-12 04:20:00",571628,12.84341,0.3164,0.0018,16.8795
"2018-06-12 04:25:00",571629,12.84174,0.3164,0.0019,16.8932
"2018-06-12 04:30:00",571630,12.84425,0.3164,0.002,16.8713
"2018-06-12 04:35:00",571631,12.84006,0.3164,0.0018,16.8493
"2018-06-12 04:40:00",571632,12.84006,0.3164,0.0018,16.8685
"2018-06-12 04:45:00",571633,12.84677,0.3161,0.002,16.8603
"2018-06-12 04:50:00",571634,12.84258,0.3162,0.0018,16.8713
"2018-06-12 04:55:00",571635,12.84677,0.3162,0.0018,16.8438
"2018-06-12 05:00:00",571636,12.84845,0.3162,0.0018,16.863
"2018-06-12 05:05:00",571637,12.83838,0.3162,0.0019,16.8548
"2018-06-12 05:10:00",571638,12.84845,0.3159,0.0019,16.8658
"2018-06-12 05:15:00",571639,12.8409,0.3159,0.0019,16.8603
"2018-06-12 05:20:00",571640,12.84929,0.3159,0.0019,16.8493
"2018-06-12 05:25:00",571641,12.83838,0.3159,0.0019,16.8411
"2018-06-12 05:30:00",571642,12.84258,0.3159,0.0019,16.8438
"2018-06-12 05:35:00",571643,12.83922,0.3156,0.0019,16.8575
"2018-06-12 05:40:00",571644,12.83754,0.3156,0.0017,16.8384
"2018-06-12 05:45:00",571645,12.84509,0.3156,0.0019,16.8493
"2018-06-12 05:50:00",571646,12.84593,0.3156,0.0019,16.8411
