"Plot Title: Sternenberg"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692704, SEN S/N: 10692704, LBL: Temperatur)","Niederschlag, units (LGR S/N: 10692704)"
1,26/06/18 08:25:00,,0.00
2,26/06/18 08:28:28,26.585,
3,26/06/18 08:30:00,,0.00
4,26/06/18 08:35:00,,0.00
5,26/06/18 08:40:00,,0.00
6,26/06/18 08:45:00,,0.00
7,26/06/18 08:50:00,,0.00
8,26/06/18 08:55:00,,0.00
9,26/06/18 08:58:28,27.272,
10,26/06/18 09:00:00,,0.00
11,26/06/18 09:05:00,,0.00
12,26/06/18 09:10:00,,0.00
13,26/06/18 09:15:00,,0.00
14,26/06/18 09:20:00,,0.00
15,26/06/18 09:25:00,,0.00
16,26/06/18 09:28:28,29.953,
17,26/06/18 09:30:00,,0.00
18,26/06/18 09:35:00,,0.00
19,26/06/18 09:40:00,,0.00
20,26/06/18 09:45:00,,0.00
21,26/06/18 09:50:00,,0.00
22,26/06/18 09:55:00,,0.00
23,26/06/18 09:58:28,27.173,
24,26/06/18 10:00:00,,0.00
25,26/06/18 10:05:00,,0.00
26,26/06/18 10:10:00,,0.00
27,26/06/18 10:15:00,,0.00
28,26/06/18 10:20:00,,0.00
29,26/06/18 10:25:00,,0.00
30,26/06/18 10:28:28,25.805,
31,26/06/18 10:30:00,,0.00
32,26/06/18 10:35:00,,0.00
33,26/06/18 10:40:00,,0.00
34,26/06/18 10:45:00,,0.00
35,26/06/18 10:50:00,,0.00
36,26/06/18 10:55:00,,0.00
37,26/06/18 10:58:28,30.255,
38,26/06/18 11:00:00,,0.00
39,26/06/18 11:05:00,,0.00
40,26/06/18 11:10:00,,0.00
41,26/06/18 11:15:00,,0.00
42,26/06/18 11:20:00,,0.00
43,26/06/18 11:25:00,,0.00
44,26/06/18 11:28:28,27.272,
45,26/06/18 11:30:00,,0.00
46,26/06/18 11:35:00,,0.00
47,26/06/18 11:40:00,,0.00
48,26/06/18 11:45:00,,0.00
49,26/06/18 11:50:00,,0.00
50,26/06/18 11:55:00,,0.00
51,26/06/18 11:58:28,28.159,
52,26/06/18 12:00:00,,0.00
53,26/06/18 12:05:00,,0.00
54,26/06/18 12:10:00,,0.00
55,26/06/18 12:15:00,,0.00
56,26/06/18 12:20:00,,0.00
57,26/06/18 12:25:00,,0.00
58,26/06/18 12:28:28,29.352,
59,26/06/18 12:30:00,,0.00
60,26/06/18 12:35:00,,0.00
61,26/06/18 12:40:00,,0.00
62,26/06/18 12:45:00,,0.00
63,26/06/18 12:50:00,,0.00
64,26/06/18 12:55:00,,0.00
65,26/06/18 12:58:28,28.456,
66,26/06/18 13:00:00,,0.00
67,26/06/18 13:05:00,,0.00
68,26/06/18 13:10:00,,0.00
69,26/06/18 13:15:00,,0.00
70,26/06/18 13:20:00,,0.00
71,26/06/18 13:25:00,,0.00
72,26/06/18 13:28:28,31.064,
73,26/06/18 13:30:00,,0.00
74,26/06/18 13:35:00,,0.00
75,26/06/18 13:40:00,,0.00
76,26/06/18 13:45:00,,0.00
77,26/06/18 13:50:00,,0.00
78,26/06/18 13:55:00,,0.00
79,26/06/18 13:58:28,30.862,
80,26/06/18 14:00:00,,0.00
81,26/06/18 14:05:00,,0.00
82,26/06/18 14:10:00,,0.00
83,26/06/18 14:15:00,,0.00
84,26/06/18 14:20:00,,0.00
85,26/06/18 14:25:00,,0.00
86,26/06/18 14:28:28,30.862,
87,26/06/18 14:30:00,,0.00
88,26/06/18 14:35:00,,0.00
89,26/06/18 14:40:00,,0.00
90,26/06/18 14:45:00,,0.00
91,26/06/18 14:50:00,,0.00
