"Plot Title: Schwabenbrunnen"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10806052, SEN S/N: 10806052)","Cum. Sum: Niederschlag, units (LGR S/N: 10806052)"
1,27/07/18 09:30:00,,0.00
2,27/07/18 09:30:19,20.424,
3,27/07/18 09:35:00,,0.00
4,27/07/18 09:40:00,,0.00
5,27/07/18 09:45:00,,0.00
6,27/07/18 09:50:00,,0.00
7,27/07/18 09:55:00,,0.00
8,27/07/18 10:00:00,,0.00
9,27/07/18 10:00:19,21.855,
10,27/07/18 10:05:00,,0.00
11,27/07/18 10:10:00,,0.00
12,27/07/18 10:15:00,,0.00
13,27/07/18 10:20:00,,0.00
14,27/07/18 10:25:00,,0.00
15,27/07/18 10:30:00,,0.00
16,27/07/18 10:30:19,25.416,
17,27/07/18 10:35:00,,0.00
18,27/07/18 10:40:00,,0.00
19,27/07/18 10:45:00,,0.00
20,27/07/18 10:50:00,,0.00
21,27/07/18 10:55:00,,0.00
22,27/07/18 11:00:00,,0.00
23,27/07/18 11:00:19,26.195,
24,27/07/18 11:05:00,,0.00
25,27/07/18 11:10:00,,0.00
26,27/07/18 11:15:00,,0.00
27,27/07/18 11:20:00,,0.00
28,27/07/18 11:25:00,,0.00
29,27/07/18 11:30:00,,0.00
30,27/07/18 11:30:19,25.610,
31,27/07/18 11:35:00,,0.00
32,27/07/18 11:40:00,,0.00
33,27/07/18 11:45:00,,0.00
34,27/07/18 11:50:00,,0.00
35,27/07/18 11:55:00,,0.00
36,27/07/18 12:00:00,,0.00
37,27/07/18 12:00:19,29.152,
38,27/07/18 12:05:00,,0.00
39,27/07/18 12:10:00,,0.00
40,27/07/18 12:15:00,,0.00
41,27/07/18 12:20:00,,0.00
42,27/07/18 12:25:00,,0.00
43,27/07/18 12:30:00,,0.00
44,27/07/18 12:30:19,27.468,
45,27/07/18 12:35:00,,0.00
46,27/07/18 12:40:00,,0.00
47,27/07/18 12:45:00,,0.00
48,27/07/18 12:50:00,,0.00
49,27/07/18 12:55:00,,0.00
