"Plot Title: Hundseck"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692703, SEN S/N: 10692703)","Cum. Sum: Niederschlag, units (LGR S/N: 10692703)"
1,29/08/18 09:35:00,33.639,0.00
2,29/08/18 09:40:00,,0.00
3,29/08/18 09:45:00,,0.00
4,29/08/18 09:50:00,,0.00
5,29/08/18 09:55:00,,0.00
6,29/08/18 10:00:00,,0.00
7,29/08/18 10:05:00,26.879,0.00
8,29/08/18 10:10:00,,0.00
9,29/08/18 10:15:00,,0.00
10,29/08/18 10:20:00,,0.00
11,29/08/18 10:25:00,,0.00
12,29/08/18 10:30:00,,0.00
13,29/08/18 10:35:00,26.488,0.00
14,29/08/18 10:40:00,,0.00
15,29/08/18 10:45:00,,0.00
16,29/08/18 10:50:00,,0.00
17,29/08/18 10:55:00,,0.00
18,29/08/18 11:00:00,,0.00
19,29/08/18 11:05:00,23.966,0.00
20,29/08/18 11:10:00,,0.00
21,29/08/18 11:15:00,,0.00
22,29/08/18 11:20:00,,0.00
23,29/08/18 11:25:00,,0.00
24,29/08/18 11:30:00,,0.00
25,29/08/18 11:35:00,25.902,0.00
26,29/08/18 11:40:00,,0.00
27,29/08/18 11:45:00,,0.00
28,29/08/18 11:50:00,,0.00
29,29/08/18 11:55:00,,0.00
30,29/08/18 12:00:00,,0.00
31,29/08/18 12:05:00,25.125,0.00
32,29/08/18 12:10:00,,0.00
33,29/08/18 12:15:00,,0.00
34,29/08/18 12:20:00,,0.00
35,29/08/18 12:25:00,,0.00
36,29/08/18 12:30:00,,0.00
37,29/08/18 12:35:00,26.488,0.00
38,29/08/18 12:40:00,,0.00
39,29/08/18 12:45:00,,0.00
40,29/08/18 12:50:00,,0.00
41,29/08/18 12:55:00,,0.00
42,29/08/18 13:00:00,,0.00
43,29/08/18 13:05:00,25.222,0.00
44,29/08/18 13:10:00,,0.00
45,29/08/18 13:15:00,,0.00
46,29/08/18 13:20:00,,0.00
47,29/08/18 13:25:00,,0.00
48,29/08/18 13:30:00,,0.00
49,29/08/18 13:35:00,23.292,0.00
50,29/08/18 13:40:00,,0.00
51,29/08/18 13:45:00,,0.00
52,29/08/18 13:50:00,,0.00
53,29/08/18 13:55:00,,0.00
54,29/08/18 14:00:00,,0.00
55,29/08/18 14:05:00,22.142,0.00
56,29/08/18 14:10:00,,0.00
57,29/08/18 14:15:00,,0.00
58,29/08/18 14:20:00,,0.00
59,29/08/18 14:25:00,,0.00
60,29/08/18 14:30:00,,0.00
61,29/08/18 14:35:00,21.855,0.00
62,29/08/18 14:40:00,,0.00
63,29/08/18 14:45:00,,0.00
64,29/08/18 14:50:00,,0.00
65,29/08/18 14:55:00,,0.00
66,29/08/18 15:00:00,,0.00
67,29/08/18 15:05:00,20.234,0.00
68,29/08/18 15:10:00,,0.00
69,29/08/18 15:15:00,,0.00
70,29/08/18 15:20:00,,0.00
71,29/08/18 15:25:00,,0.00
72,29/08/18 15:30:00,,0.00
73,29/08/18 15:35:00,17.855,0.00
74,29/08/18 15:40:00,,0.00
75,29/08/18 15:45:00,,0.00
76,29/08/18 15:50:00,,0.00
77,29/08/18 15:55:00,,0.00
78,29/08/18 16:00:00,,0.00
79,29/08/18 16:05:00,18.996,0.00
80,29/08/18 16:10:00,,0.00
81,29/08/18 16:15:00,,0.00
82,29/08/18 16:20:00,,0.00
83,29/08/18 16:25:00,,0.00
84,29/08/18 16:30:00,,0.00
85,29/08/18 16:35:00,19.377,0.00
86,29/08/18 16:40:00,,0.00
87,29/08/18 16:45:00,,0.00
88,29/08/18 16:50:00,,0.00
89,29/08/18 16:55:00,,0.00
90,29/08/18 17:00:00,,0.00
91,29/08/18 17:05:00,19.092,0.00
92,29/08/18 17:10:00,,0.00
