"Plot Title: Winterberg"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177315, SEN S/N: 10177315)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177315)","Coupler Attached (LGR S/N: 10177315)","Host Connected (LGR S/N: 10177315)","End Of File (LGR S/N: 10177315)"
1,02/15/19 09:15:00 AM,6.978,0.0,,,
2,02/15/19 09:20:00 AM,5.757,0.0,,,
3,02/15/19 09:25:00 AM,5.347,0.0,,,
4,02/15/19 09:30:00 AM,5.347,0.0,,,
5,02/15/19 09:35:00 AM,6.166,0.0,,,
6,02/15/19 09:40:00 AM,6.573,0.0,,,
7,02/15/19 09:45:00 AM,7.079,0.0,,,
8,02/15/19 09:50:00 AM,7.381,0.0,,,
9,02/15/19 09:55:00 AM,6.877,0.0,,,
10,02/15/19 10:00:00 AM,6.775,0.0,,,
11,02/15/19 10:05:00 AM,6.775,0.0,,,
12,02/15/19 10:10:00 AM,7.079,0.0,,,
13,02/15/19 10:15:00 AM,7.381,0.0,,,
14,02/15/19 10:20:00 AM,7.381,0.0,,,
15,02/15/19 10:25:00 AM,7.682,0.0,,,
16,02/15/19 10:30:00 AM,8.082,0.0,,,
17,02/15/19 10:35:00 AM,8.481,0.0,,,
18,02/15/19 10:40:00 AM,8.581,0.0,,,
19,02/15/19 10:45:00 AM,8.779,0.0,,,
20,02/15/19 10:50:00 AM,8.879,0.0,,,
21,02/15/19 10:55:00 AM,9.373,0.0,,,
22,02/15/19 11:00:00 AM,10.063,0.0,,,
23,02/15/19 11:05:00 AM,10.553,0.0,,,
24,02/15/19 11:10:00 AM,11.041,0.0,,,
25,02/15/19 11:15:00 AM,11.334,0.0,,,
26,02/15/19 11:20:00 AM,11.139,0.0,,,
27,02/15/19 11:25:00 AM,11.041,0.0,,,
28,02/15/19 11:30:00 AM,11.041,0.0,,,
29,02/15/19 11:35:00 AM,11.139,0.0,,,
30,02/15/19 11:40:00 AM,11.139,0.0,,,
31,02/15/19 11:45:00 AM,11.236,0.0,,,
32,02/15/19 11:50:00 AM,11.236,0.0,,,
33,02/15/19 11:55:00 AM,11.236,0.0,,,
34,02/15/19 12:00:00 PM,11.334,0.0,,,
35,02/15/19 12:05:00 PM,11.528,0.0,,,
36,02/15/19 12:10:00 PM,11.528,0.0,,,
37,02/15/19 12:15:00 PM,11.722,0.0,,,
38,02/15/19 12:20:00 PM,11.722,0.0,,,
39,02/15/19 12:25:00 PM,11.722,0.0,,,
40,02/15/19 12:30:00 PM,11.819,0.0,,,
41,02/15/19 12:35:00 PM,12.013,0.0,,,
42,02/15/19 12:40:00 PM,12.110,0.0,,,
43,02/15/19 12:45:00 PM,12.013,0.0,,,
44,02/15/19 12:50:00 PM,12.207,0.0,,,
45,02/15/19 12:55:00 PM,12.304,0.0,,,
46,02/15/19 01:00:00 PM,12.497,0.0,,,
47,02/15/19 01:05:00 PM,12.497,0.0,,,
48,02/15/19 01:10:00 PM,12.497,0.0,,,
49,02/15/19 01:15:00 PM,12.594,0.0,,,
50,02/15/19 01:20:00 PM,12.690,0.0,,,
51,02/15/19 01:25:00 PM,12.980,0.0,,,
52,02/15/19 01:30:00 PM,13.173,0.0,,,
53,02/15/19 01:35:00 PM,13.365,0.0,,,
54,02/15/19 01:40:00 PM,13.461,0.0,,,
55,02/15/19 01:45:00 PM,13.654,0.0,,,
56,02/15/19 01:50:00 PM,14.134,0.0,,,
57,02/15/19 01:55:00 PM,14.517,0.0,,,
58,02/15/19 02:00:00 PM,14.517,0.0,,,
59,02/15/19 02:05:00 PM,14.996,0.0,,,
60,02/15/19 02:10:00 PM,15.378,0.0,,,
61,02/15/19 02:15:00 PM,15.378,0.0,,,
62,02/15/19 02:20:00 PM,15.664,0.0,,,
63,02/15/19 02:25:00 PM,15.951,0.0,,,
64,02/15/19 02:30:00 PM,16.237,0.0,,,
65,02/15/19 02:35:00 PM,16.427,0.0,,,
66,02/15/19 02:40:00 PM,16.618,0.0,,,
67,02/15/19 02:45:00 PM,17.284,0.0,,,
68,02/15/19 02:50:00 PM,17.760,0.0,,,
69,02/15/19 02:55:00 PM,18.140,0.0,,,
70,02/15/19 03:00:00 PM,17.855,0.0,,,
71,02/15/19 03:05:00 PM,16.618,0.0,,,
72,02/15/19 03:10:00 PM,15.760,0.0,,,
73,02/15/19 03:15:00 PM,14.996,0.0,,,
74,02/15/19 03:20:00 PM,14.613,0.0,,,
75,02/15/19 03:25:00 PM,14.038,0.0,,,
76,02/15/19 03:30:00 PM,13.076,0.0,,,
77,02/15/19 03:35:00 PM,12.594,0.0,,,
78,02/15/19 03:40:00 PM,12.013,0.0,,,
79,02/15/19 03:45:00 PM,11.431,0.0,,,
80,02/15/19 03:50:00 PM,11.041,0.0,,,
81,02/15/19 03:55:00 PM,10.651,0.0,,,
82,02/15/19 04:00:00 PM,10.259,0.0,,,
83,02/15/19 04:05:00 PM,9.965,0.0,,,
84,02/15/19 04:10:00 PM,9.571,0.0,,,
85,02/15/19 04:15:00 PM,9.275,0.0,,,
86,02/15/19 04:20:00 PM,8.978,0.0,,,
87,02/15/19 04:25:00 PM,8.779,0.0,,,
88,02/15/19 04:30:00 PM,8.581,0.0,,,
89,02/15/19 04:35:00 PM,8.382,0.0,,,
90,02/15/19 04:40:00 PM,8.082,0.0,,,
91,02/15/19 04:45:00 PM,7.882,0.0,,,
92,02/15/19 04:50:00 PM,7.682,0.0,,,
93,02/15/19 04:55:00 PM,7.682,0.0,,,
