"Plot Title: Hundseck"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692703, SEN S/N: 10692703)","Cum. Sum: Niederschlag, units (LGR S/N: 10692703)","Bad Battery (LGR S/N: 10692703)","End Of File (LGR S/N: 10692703)"
1,10/26/18 09:40:00 AM,14.421,0.00,,
2,10/26/18 09:45:00 AM,,0.00,,
3,10/26/18 09:50:00 AM,,0.00,,
4,10/26/18 09:55:00 AM,,0.00,,
5,10/26/18 10:00:00 AM,,0.00,,
6,10/26/18 10:05:00 AM,,0.00,,
7,10/26/18 10:10:00 AM,7.079,0.00,,
8,10/26/18 10:15:00 AM,,0.00,,
9,10/26/18 10:20:00 AM,,0.00,,
10,10/26/18 10:25:00 AM,,0.00,,
11,10/26/18 10:30:00 AM,,0.00,,
12,10/26/18 10:35:00 AM,,0.00,,
13,10/26/18 10:40:00 AM,8.182,0.00,,
14,10/26/18 10:45:00 AM,,0.00,,
15,10/26/18 10:50:00 AM,,0.00,,
16,10/26/18 10:55:00 AM,,0.00,,
17,10/26/18 11:00:00 AM,,0.00,,
18,10/26/18 11:05:00 AM,,0.00,,
19,10/26/18 11:10:00 AM,8.879,0.00,,
20,10/26/18 11:15:00 AM,,0.00,,
21,10/26/18 11:20:00 AM,,0.00,,
22,10/26/18 11:25:00 AM,,0.00,,
23,10/26/18 11:30:00 AM,,0.00,,
24,10/26/18 11:35:00 AM,,0.00,,
25,10/26/18 11:40:00 AM,8.680,0.00,,
26,10/26/18 11:45:00 AM,,0.00,,
27,10/26/18 11:50:00 AM,,0.00,,
28,10/26/18 11:55:00 AM,,0.00,,
29,10/26/18 12:00:00 PM,,0.00,,
30,10/26/18 12:05:00 PM,,0.00,,
31,10/26/18 12:10:00 PM,9.472,0.00,,
32,10/26/18 12:15:00 PM,,0.00,,
33,10/26/18 12:20:00 PM,,0.00,,
34,10/26/18 12:25:00 PM,,0.00,,
35,10/26/18 12:30:00 PM,,0.00,,
36,10/26/18 12:35:00 PM,,0.00,,
37,10/26/18 12:40:00 PM,10.161,0.00,,
38,10/26/18 12:45:00 PM,,0.00,,
39,10/26/18 12:50:00 PM,,0.00,,
40,10/26/18 12:55:00 PM,,0.00,,
41,10/26/18 01:00:00 PM,,0.00,,
42,10/26/18 01:05:00 PM,,0.00,,
43,10/26/18 01:10:00 PM,8.879,0.00,,
44,10/26/18 01:15:00 PM,,0.00,,
45,10/26/18 01:20:00 PM,,0.00,,
46,10/26/18 01:25:00 PM,,0.00,,
47,10/26/18 01:30:00 PM,,0.00,,
48,10/26/18 01:35:00 PM,,0.00,,
49,10/26/18 01:40:00 PM,6.775,0.00,,
50,10/26/18 01:45:00 PM,,0.00,,
51,10/26/18 01:50:00 PM,,0.00,,
52,10/26/18 01:55:00 PM,,0.00,,
53,10/26/18 02:00:00 PM,,0.00,,
54,10/26/18 02:05:00 PM,,0.00,,
55,10/26/18 02:10:00 PM,6.064,0.00,,
56,10/26/18 02:15:00 PM,,0.00,,
57,10/26/18 02:20:00 PM,,0.00,,
58,10/26/18 02:25:00 PM,,0.00,,
59,10/26/18 02:30:00 PM,,0.00,,
60,10/26/18 02:35:00 PM,,0.00,,
61,10/26/18 02:40:00 PM,5.552,0.00,,
62,10/26/18 02:45:00 PM,,0.00,,
63,10/26/18 02:50:00 PM,,0.00,,
64,10/26/18 02:55:00 PM,,0.00,,
65,10/26/18 03:00:00 PM,,0.00,,
66,10/26/18 03:05:00 PM,,0.00,,
67,10/26/18 03:10:00 PM,6.064,0.00,,
68,10/26/18 03:15:00 PM,,0.00,,
69,10/26/18 03:20:00 PM,,0.00,,
70,10/26/18 03:25:00 PM,,0.00,,
71,10/26/18 03:30:00 PM,,0.00,,
72,10/26/18 03:35:00 PM,,0.00,,
73,10/26/18 03:40:00 PM,6.166,0.00,,
74,10/26/18 03:45:00 PM,,0.00,,
75,10/26/18 03:50:00 PM,,0.00,,
76,10/26/18 03:55:00 PM,,0.00,,
77,10/26/18 04:00:00 PM,,0.00,,
78,10/26/18 04:05:00 PM,,0.00,,
79,10/26/18 04:10:00 PM,5.757,0.00,,
80,10/26/18 04:15:00 PM,,0.00,,
81,10/26/18 04:20:00 PM,,0.00,,
82,10/26/18 04:25:00 PM,,0.00,,
83,10/26/18 04:30:00 PM,,0.00,,
84,10/26/18 04:35:00 PM,,0.00,,
85,10/26/18 04:40:00 PM,4.934,0.00,,
86,10/26/18 04:45:00 PM,,0.00,,
87,10/26/18 04:50:00 PM,,0.00,,
88,10/26/18 04:55:00 PM,,0.00,,
89,10/26/18 05:00:00 PM,,0.00,,
90,10/26/18 05:05:00 PM,,0.00,,
91,10/26/18 05:10:00 PM,4.831,0.00,,
92,10/26/18 05:15:00 PM,,0.00,,
93,10/26/18 05:20:00 PM,,0.00,,
94,10/26/18 05:25:00 PM,,0.00,,
95,10/26/18 05:30:00 PM,,0.00,,
96,10/26/18 05:35:00 PM,,0.00,,
97,10/26/18 05:40:00 PM,4.623,0.00,,
98,10/26/18 05:45:00 PM,,0.00,,
99,10/26/18 05:50:00 PM,,0.00,,
100,10/26/18 05:55:00 PM,,0.00,,
101,10/26/18 06:00:00 PM,,0.00,,
102,10/26/18 06:05:00 PM,,0.00,,
103,10/26/18 06:10:00 PM,4.415,0.00,,
104,10/26/18 06:15:00 PM,,0.00,,
105,10/26/18 06:20:00 PM,,0.00,,
106,10/26/18 06:25:00 PM,,0.00,,
107,10/26/18 06:30:00 PM,,0.00,,
108,10/26/18 06:35:00 PM,,0.00,,
109,10/26/18 06:40:00 PM,4.207,0.00,,
110,10/26/18 06:45:00 PM,,0.00,,
111,10/26/18 06:50:00 PM,,0.00,,
