"Plot Title: Schafhof"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177318, SEN S/N: 10177318)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177318)","Coupler Detached (LGR S/N: 10177318)","End Of File (LGR S/N: 10177318)"
1,05/21/19 09:30:00 AM,,0.0,,
2,05/21/19 09:34:12 AM,11.236,,,
3,05/21/19 09:34:37 AM,,,Logged,
4,05/21/19 09:35:00 AM,,0.0,,
5,05/21/19 09:39:12 AM,10.748,,,
6,05/21/19 09:40:00 AM,,0.0,,
7,05/21/19 09:44:12 AM,10.259,,,
8,05/21/19 09:45:00 AM,,0.2,,
9,05/21/19 09:49:12 AM,10.161,,,
10,05/21/19 09:50:00 AM,,0.4,,
11,05/21/19 09:54:12 AM,10.063,,,
12,05/21/19 09:55:00 AM,,0.4,,
13,05/21/19 09:59:12 AM,10.161,,,
14,05/21/19 10:00:00 AM,,0.4,,
15,05/21/19 10:04:12 AM,10.161,,,
16,05/21/19 10:05:00 AM,,0.4,,
17,05/21/19 10:09:12 AM,10.161,,,
18,05/21/19 10:10:00 AM,,0.4,,
19,05/21/19 10:14:12 AM,10.161,,,
20,05/21/19 10:15:00 AM,,0.2,,
21,05/21/19 10:19:12 AM,10.161,,,
22,05/21/19 10:20:00 AM,,0.4,,
23,05/21/19 10:24:12 AM,10.161,,,
24,05/21/19 10:25:00 AM,,0.2,,
25,05/21/19 10:29:12 AM,10.161,,,
26,05/21/19 10:30:00 AM,,0.4,,
27,05/21/19 10:34:12 AM,10.161,,,
28,05/21/19 10:35:00 AM,,0.6,,
29,05/21/19 10:39:12 AM,10.161,,,
30,05/21/19 10:40:00 AM,,0.2,,
31,05/21/19 10:44:12 AM,10.259,,,
32,05/21/19 10:45:00 AM,,0.4,,
33,05/21/19 10:49:12 AM,10.259,,,
34,05/21/19 10:50:00 AM,,0.4,,
35,05/21/19 10:54:12 AM,10.259,,,
36,05/21/19 10:55:00 AM,,0.2,,
37,05/21/19 10:59:12 AM,10.259,,,
38,05/21/19 11:00:00 AM,,0.4,,
39,05/21/19 11:04:12 AM,10.259,,,
40,05/21/19 11:05:00 AM,,0.2,,
41,05/21/19 11:09:12 AM,10.259,,,
42,05/21/19 11:10:00 AM,,0.4,,
43,05/21/19 11:14:12 AM,10.259,,,
44,05/21/19 11:15:00 AM,,0.2,,
45,05/21/19 11:19:12 AM,10.259,,,
46,05/21/19 11:20:00 AM,,0.2,,
47,05/21/19 11:24:12 AM,10.259,,,
48,05/21/19 11:25:00 AM,,0.4,,
49,05/21/19 11:29:12 AM,10.259,,,
50,05/21/19 11:30:00 AM,,0.2,,
51,05/21/19 11:34:12 AM,10.259,,,
52,05/21/19 11:35:00 AM,,0.2,,
53,05/21/19 11:39:12 AM,10.259,,,
54,05/21/19 11:40:00 AM,,0.4,,
55,05/21/19 11:44:12 AM,10.259,,,
56,05/21/19 11:45:00 AM,,0.2,,
57,05/21/19 11:49:12 AM,10.259,,,
58,05/21/19 11:50:00 AM,,0.2,,
59,05/21/19 11:54:12 AM,10.259,,,
60,05/21/19 11:55:00 AM,,0.2,,
61,05/21/19 11:59:12 AM,10.161,,,
62,05/21/19 12:00:00 PM,,0.2,,
63,05/21/19 12:04:12 PM,10.161,,,
64,05/21/19 12:05:00 PM,,0.2,,
65,05/21/19 12:09:12 PM,10.161,,,
66,05/21/19 12:10:00 PM,,0.4,,
67,05/21/19 12:14:12 PM,10.161,,,
68,05/21/19 12:15:00 PM,,0.2,,
69,05/21/19 12:19:12 PM,10.161,,,
70,05/21/19 12:20:00 PM,,0.2,,
71,05/21/19 12:24:12 PM,10.161,,,
72,05/21/19 12:25:00 PM,,0.2,,
73,05/21/19 12:29:12 PM,10.161,,,
74,05/21/19 12:30:00 PM,,0.4,,
75,05/21/19 12:34:12 PM,10.161,,,
76,05/21/19 12:35:00 PM,,0.2,,
77,05/21/19 12:39:12 PM,10.161,,,
78,05/21/19 12:40:00 PM,,0.2,,
79,05/21/19 12:44:12 PM,10.161,,,
80,05/21/19 12:45:00 PM,,0.4,,
81,05/21/19 12:49:12 PM,10.161,,,
82,05/21/19 12:50:00 PM,,0.2,,
83,05/21/19 12:54:12 PM,10.161,,,
84,05/21/19 12:55:00 PM,,0.2,,
85,05/21/19 12:59:12 PM,10.161,,,
86,05/21/19 01:00:00 PM,,0.2,,
87,05/21/19 01:04:12 PM,10.161,,,
88,05/21/19 01:05:00 PM,,0.2,,
89,05/21/19 01:09:12 PM,10.259,,,
90,05/21/19 01:10:00 PM,,0.0,,
91,05/21/19 01:14:12 PM,10.259,,,
92,05/21/19 01:15:00 PM,,0.4,,
93,05/21/19 01:19:12 PM,10.259,,,
94,05/21/19 01:20:00 PM,,0.2,,
95,05/21/19 01:24:12 PM,10.259,,,
96,05/21/19 01:25:00 PM,,0.2,,
97,05/21/19 01:29:12 PM,10.259,,,
98,05/21/19 01:30:00 PM,,0.0,,
99,05/21/19 01:34:12 PM,10.259,,,
100,05/21/19 01:35:00 PM,,0.2,,
101,05/21/19 01:39:12 PM,10.357,,,
102,05/21/19 01:40:00 PM,,0.2,,
103,05/21/19 01:44:12 PM,10.357,,,
104,05/21/19 01:45:00 PM,,0.0,,
105,05/21/19 01:49:12 PM,10.357,,,
106,05/21/19 01:50:00 PM,,0.2,,
107,05/21/19 01:54:12 PM,10.357,,,
108,05/21/19 01:55:00 PM,,0.2,,
109,05/21/19 01:59:12 PM,10.357,,,
110,05/21/19 02:00:00 PM,,0.0,,
111,05/21/19 02:04:12 PM,10.455,,,
112,05/21/19 02:05:00 PM,,0.2,,
113,05/21/19 02:09:12 PM,10.455,,,
114,05/21/19 02:10:00 PM,,0.2,,
115,05/21/19 02:14:12 PM,10.455,,,
116,05/21/19 02:15:00 PM,,0.0,,
117,05/21/19 02:19:12 PM,10.553,,,
118,05/21/19 02:20:00 PM,,0.0,,
119,05/21/19 02:24:12 PM,10.651,,,
120,05/21/19 02:25:00 PM,,0.2,,
121,05/21/19 02:29:12 PM,10.651,,,
122,05/21/19 02:30:00 PM,,0.0,,
123,05/21/19 02:34:12 PM,10.651,,,
124,05/21/19 02:35:00 PM,,0.2,,
125,05/21/19 02:39:12 PM,10.651,,,
126,05/21/19 02:40:00 PM,,0.0,,
127,05/21/19 02:44:12 PM,10.651,,,
128,05/21/19 02:45:00 PM,,0.0,,
129,05/21/19 02:49:12 PM,10.748,,,
130,05/21/19 02:50:00 PM,,0.2,,
131,05/21/19 02:54:12 PM,10.748,,,
132,05/21/19 02:55:00 PM,,0.0,,
133,05/21/19 02:59:12 PM,10.748,,,
134,05/21/19 03:00:00 PM,,0.2,,
135,05/21/19 03:04:12 PM,10.748,,,
136,05/21/19 03:05:00 PM,,0.0,,
137,05/21/19 03:09:12 PM,10.846,,,
138,05/21/19 03:10:00 PM,,0.0,,
139,05/21/19 03:14:12 PM,10.846,,,
140,05/21/19 03:15:00 PM,,0.2,,
141,05/21/19 03:19:12 PM,10.944,,,
142,05/21/19 03:20:00 PM,,0.2,,
143,05/21/19 03:24:12 PM,10.944,,,
144,05/21/19 03:25:00 PM,,0.0,,
145,05/21/19 03:29:12 PM,10.944,,,
146,05/21/19 03:30:00 PM,,0.0,,
147,05/21/19 03:34:12 PM,10.944,,,
148,05/21/19 03:35:00 PM,,0.2,,
149,05/21/19 03:39:12 PM,10.944,,,
150,05/21/19 03:40:00 PM,,0.0,,
151,05/21/19 03:44:12 PM,10.944,,,
152,05/21/19 03:45:00 PM,,0.2,,
153,05/21/19 03:49:12 PM,10.944,,,
154,05/21/19 03:50:00 PM,,0.0,,
155,05/21/19 03:54:12 PM,10.944,,,
156,05/21/19 03:55:00 PM,,0.2,,
157,05/21/19 03:59:12 PM,10.944,,,
158,05/21/19 04:00:00 PM,,0.0,,
159,05/21/19 04:04:12 PM,11.041,,,
160,05/21/19 04:05:00 PM,,0.2,,
161,05/21/19 04:09:12 PM,11.041,,,
162,05/21/19 04:10:00 PM,,0.0,,
163,05/21/19 04:14:12 PM,11.041,,,
164,05/21/19 04:15:00 PM,,0.2,,
165,05/21/19 04:19:12 PM,10.944,,,
166,05/21/19 04:20:00 PM,,0.0,,
167,05/21/19 04:24:12 PM,11.041,,,
168,05/21/19 04:25:00 PM,,0.2,,
169,05/21/19 04:29:12 PM,11.041,,,
170,05/21/19 04:30:00 PM,,0.0,,
171,05/21/19 04:34:12 PM,11.041,,,
172,05/21/19 04:35:00 PM,,0.0,,
173,05/21/19 04:39:12 PM,11.139,,,
174,05/21/19 04:40:00 PM,,0.2,,
175,05/21/19 04:44:12 PM,11.139,,,
176,05/21/19 04:45:00 PM,,0.0,,
177,05/21/19 04:49:12 PM,11.139,,,
178,05/21/19 04:50:00 PM,,0.0,,
179,05/21/19 04:54:12 PM,11.236,,,
180,05/21/19 04:55:00 PM,,0.2,,
181,05/21/19 04:59:12 PM,11.236,,,
182,05/21/19 05:00:00 PM,,0.0,,
183,05/21/19 05:04:12 PM,11.236,,,
184,05/21/19 05:05:00 PM,,0.2,,
185,05/21/19 05:09:12 PM,11.139,,,
186,05/21/19 05:10:00 PM,,0.0,,
187,05/21/19 05:14:12 PM,11.139,,,
188,05/21/19 05:15:00 PM,,0.0,,
189,05/21/19 05:19:12 PM,11.139,,,
190,05/21/19 05:20:00 PM,,0.2,,
191,05/21/19 05:24:12 PM,11.139,,,
192,05/21/19 05:25:00 PM,,0.0,,
193,05/21/19 05:29:12 PM,11.139,,,
194,05/21/19 05:30:00 PM,,0.0,,
195,05/21/19 05:34:12 PM,11.139,,,
196,05/21/19 05:35:00 PM,,0.2,,
197,05/21/19 05:39:12 PM,11.139,,,
198,05/21/19 05:40:00 PM,,0.0,,
199,05/21/19 05:44:12 PM,11.139,,,
200,05/21/19 05:45:00 PM,,0.0,,
201,05/21/19 05:49:12 PM,11.139,,,
202,05/21/19 05:50:00 PM,,0.0,,
203,05/21/19 05:54:12 PM,11.041,,,
204,05/21/19 05:55:00 PM,,0.2,,
205,05/21/19 05:59:12 PM,11.041,,,
206,05/21/19 06:00:00 PM,,0.0,,
