"Plot Title: Schönbrunn"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177316, SEN S/N: 10177316)","Cum. Sum: Niederschlag, units (LGR S/N: 10177316)","Coupler Attached (LGR S/N: 10177316)","Host Connected (LGR S/N: 10177316)","End Of File (LGR S/N: 10177316)"
1,05/03/19 08:25:00 AM,7.481,0.00,,,
2,05/03/19 08:30:00 AM,,0.00,,,
3,05/03/19 08:35:00 AM,,0.00,,,
4,05/03/19 08:40:00 AM,,0.00,,,
5,05/03/19 08:45:00 AM,,0.00,,,
6,05/03/19 08:50:00 AM,,0.00,,,
7,05/03/19 08:55:00 AM,6.775,0.00,,,
8,05/03/19 09:00:00 AM,,0.00,,,
9,05/03/19 09:05:00 AM,,0.00,,,
10,05/03/19 09:10:00 AM,,0.00,,,
11,05/03/19 09:15:00 AM,,0.00,,,
12,05/03/19 09:20:00 AM,,0.00,,,
13,05/03/19 09:25:00 AM,7.582,0.00,,,
14,05/03/19 09:30:00 AM,,0.00,,,
15,05/03/19 09:35:00 AM,,0.00,,,
16,05/03/19 09:40:00 AM,,0.00,,,
17,05/03/19 09:45:00 AM,,0.00,,,
18,05/03/19 09:50:00 AM,,0.00,,,
19,05/03/19 09:55:00 AM,8.978,0.00,,,
20,05/03/19 10:00:00 AM,,0.00,,,
21,05/03/19 10:05:00 AM,,0.00,,,
22,05/03/19 10:10:00 AM,,0.00,,,
23,05/03/19 10:15:00 AM,,0.00,,,
24,05/03/19 10:20:00 AM,,0.00,,,
25,05/03/19 10:25:00 AM,11.625,0.00,,,
26,05/03/19 10:30:00 AM,,0.00,,,
27,05/03/19 10:35:00 AM,,0.00,,,
28,05/03/19 10:40:00 AM,,0.00,,,
29,05/03/19 10:45:00 AM,,0.00,,,
30,05/03/19 10:50:00 AM,,0.00,,,
31,05/03/19 10:55:00 AM,13.846,0.00,,,
32,05/03/19 11:00:00 AM,,0.00,,,
33,05/03/19 11:05:00 AM,,0.00,,,
34,05/03/19 11:10:00 AM,,0.00,,,
35,05/03/19 11:15:00 AM,,0.00,,,
36,05/03/19 11:20:00 AM,,0.00,,,
37,05/03/19 11:25:00 AM,12.401,0.00,,,
38,05/03/19 11:30:00 AM,,0.00,,,
39,05/03/19 11:35:00 AM,,0.00,,,
40,05/03/19 11:40:00 AM,,0.00,,,
41,05/03/19 11:45:00 AM,,0.00,,,
42,05/03/19 11:50:00 AM,,0.00,,,
43,05/03/19 11:55:00 AM,14.230,0.00,,,
44,05/03/19 12:00:00 PM,,0.00,,,
45,05/03/19 12:05:00 PM,,0.00,,,
46,05/03/19 12:10:00 PM,,0.00,,,
47,05/03/19 12:15:00 PM,,0.00,,,
48,05/03/19 12:20:00 PM,,0.00,,,
49,05/03/19 12:25:00 PM,14.613,0.00,,,
50,05/03/19 12:30:00 PM,,0.00,,,
51,05/03/19 12:35:00 PM,,0.00,,,
52,05/03/19 12:40:00 PM,,0.00,,,
53,05/03/19 12:45:00 PM,,0.00,,,
54,05/03/19 12:50:00 PM,,0.00,,,
55,05/03/19 12:55:00 PM,14.804,0.00,,,
56,05/03/19 01:00:00 PM,,0.00,,,
57,05/03/19 01:05:00 PM,,0.00,,,
58,05/03/19 01:10:00 PM,,0.00,,,
59,05/03/19 01:15:00 PM,,0.00,,,
60,05/03/19 01:20:00 PM,,0.00,,,
61,05/03/19 01:25:00 PM,14.804,0.00,,,
62,05/03/19 01:30:00 PM,,0.00,,,
63,05/03/19 01:35:00 PM,,0.00,,,
64,05/03/19 01:40:00 PM,,0.00,,,
65,05/03/19 01:45:00 PM,,0.00,,,
66,05/03/19 01:50:00 PM,,0.00,,,
67,05/03/19 01:55:00 PM,13.846,0.00,,,
68,05/03/19 02:00:00 PM,,0.00,,,
69,05/03/19 02:05:00 PM,,0.00,,,
70,05/03/19 02:10:00 PM,,0.00,,,
71,05/03/19 02:15:00 PM,,0.00,,,
72,05/03/19 02:20:00 PM,,0.00,,,
73,05/03/19 02:25:00 PM,13.076,0.00,,,
74,05/03/19 02:30:00 PM,,0.00,,,
75,05/03/19 02:35:00 PM,,0.00,,,
76,05/03/19 02:40:00 PM,,0.00,,,
77,05/03/19 02:45:00 PM,,0.00,,,
78,05/03/19 02:50:00 PM,,0.00,,,
79,05/03/19 02:55:00 PM,11.819,0.00,,,
80,05/03/19 03:00:00 PM,,0.00,,,
81,05/03/19 03:05:00 PM,,0.00,,,
82,05/03/19 03:10:00 PM,,0.00,,,
83,05/03/19 03:15:00 PM,,0.00,,,
84,05/03/19 03:20:00 PM,,0.00,,,
85,05/03/19 03:25:00 PM,11.722,0.00,,,
