"Plot Title: Sportplatz"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177317, SEN S/N: 10177317)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177317)","Coupler Detached (LGR S/N: 10177317)","Coupler Attached (LGR S/N: 10177317)","Host Connected (LGR S/N: 10177317)","End Of File (LGR S/N: 10177317)"
1,07/09/19 08:25:00 AM,,0.0,,,,
2,07/09/19 08:29:20 AM,28.258,,,,,
3,07/09/19 08:29:38 AM,,,Logged,,,
4,07/09/19 08:30:00 AM,,0.0,,,,
5,07/09/19 08:34:20 AM,24.062,,,,,
6,07/09/19 08:35:00 AM,,0.0,,,,
7,07/09/19 08:39:20 AM,22.046,,,,,
8,07/09/19 08:40:00 AM,,0.0,,,,
9,07/09/19 08:44:20 AM,21.187,,,,,
10,07/09/19 08:45:00 AM,,0.0,,,,
11,07/09/19 08:49:20 AM,20.424,,,,,
12,07/09/19 08:50:00 AM,,0.0,,,,
13,07/09/19 08:54:20 AM,20.329,,,,,
14,07/09/19 08:55:00 AM,,0.0,,,,
15,07/09/19 08:59:20 AM,20.710,,,,,
16,07/09/19 09:00:00 AM,,0.0,,,,
17,07/09/19 09:04:20 AM,21.091,,,,,
18,07/09/19 09:05:00 AM,,0.0,,,,
19,07/09/19 09:09:20 AM,21.378,,,,,
20,07/09/19 09:10:00 AM,,0.0,,,,
21,07/09/19 09:14:20 AM,21.760,,,,,
22,07/09/19 09:15:00 AM,,0.0,,,,
23,07/09/19 09:19:20 AM,21.951,,,,,
24,07/09/19 09:20:00 AM,,0.0,,,,
25,07/09/19 09:24:20 AM,21.760,,,,,
26,07/09/19 09:25:00 AM,,0.0,,,,
27,07/09/19 09:29:20 AM,22.238,,,,,
28,07/09/19 09:30:00 AM,,0.0,,,,
29,07/09/19 09:34:20 AM,22.429,,,,,
30,07/09/19 09:35:00 AM,,0.0,,,,
31,07/09/19 09:39:20 AM,22.621,,,,,
32,07/09/19 09:40:00 AM,,0.0,,,,
33,07/09/19 09:44:20 AM,22.525,,,,,
34,07/09/19 09:45:00 AM,,0.0,,,,
35,07/09/19 09:49:20 AM,22.525,,,,,
36,07/09/19 09:50:00 AM,,0.0,,,,
37,07/09/19 09:54:20 AM,22.621,,,,,
38,07/09/19 09:55:00 AM,,0.0,,,,
39,07/09/19 09:59:20 AM,22.621,,,,,
40,07/09/19 10:00:00 AM,,0.0,,,,
41,07/09/19 10:04:20 AM,22.908,,,,,
42,07/09/19 10:05:00 AM,,0.0,,,,
43,07/09/19 10:09:20 AM,23.484,,,,,
44,07/09/19 10:10:00 AM,,0.0,,,,
45,07/09/19 10:14:20 AM,23.100,,,,,
46,07/09/19 10:15:00 AM,,0.0,,,,
47,07/09/19 10:19:20 AM,23.004,,,,,
48,07/09/19 10:20:00 AM,,0.0,,,,
49,07/09/19 10:24:20 AM,23.196,,,,,
50,07/09/19 10:25:00 AM,,0.0,,,,
51,07/09/19 10:29:20 AM,23.388,,,,,
52,07/09/19 10:30:00 AM,,0.0,,,,
53,07/09/19 10:34:20 AM,23.677,,,,,
54,07/09/19 10:35:00 AM,,0.0,,,,
55,07/09/19 10:39:20 AM,23.966,,,,,
56,07/09/19 10:40:00 AM,,0.0,,,,
57,07/09/19 10:44:20 AM,24.255,,,,,
58,07/09/19 10:45:00 AM,,0.0,,,,
59,07/09/19 10:49:20 AM,23.869,,,,,
60,07/09/19 10:50:00 AM,,0.0,,,,
61,07/09/19 10:54:20 AM,23.869,,,,,
62,07/09/19 10:55:00 AM,,0.0,,,,
63,07/09/19 10:59:20 AM,23.677,,,,,
64,07/09/19 11:00:00 AM,,0.0,,,,
65,07/09/19 11:04:20 AM,23.966,,,,,
66,07/09/19 11:05:00 AM,,0.0,,,,
67,07/09/19 11:09:20 AM,24.158,,,,,
68,07/09/19 11:10:00 AM,,0.0,,,,
69,07/09/19 11:14:20 AM,24.351,,,,,
70,07/09/19 11:15:00 AM,,0.0,,,,
71,07/09/19 11:19:20 AM,23.773,,,,,
72,07/09/19 11:20:00 AM,,0.0,,,,
73,07/09/19 11:24:20 AM,23.388,,,,,
74,07/09/19 11:25:00 AM,,0.0,,,,
75,07/09/19 11:29:20 AM,24.062,,,,,
76,07/09/19 11:30:00 AM,,0.0,,,,
77,07/09/19 11:34:20 AM,24.448,,,,,
78,07/09/19 11:35:00 AM,,0.0,,,,
79,07/09/19 11:39:20 AM,24.641,,,,,
80,07/09/19 11:40:00 AM,,0.0,,,,
81,07/09/19 11:44:20 AM,24.835,,,,,
82,07/09/19 11:45:00 AM,,0.0,,,,
83,07/09/19 11:49:20 AM,24.255,,,,,
84,07/09/19 11:50:00 AM,,0.0,,,,
85,07/09/19 11:54:20 AM,23.869,,,,,
86,07/09/19 11:55:00 AM,,0.0,,,,
87,07/09/19 11:59:20 AM,23.966,,,,,
88,07/09/19 12:00:00 PM,,0.0,,,,
89,07/09/19 12:04:20 PM,24.255,,,,,
90,07/09/19 12:05:00 PM,,0.0,,,,
91,07/09/19 12:09:20 PM,24.062,,,,,
92,07/09/19 12:10:00 PM,,0.0,,,,
93,07/09/19 12:14:20 PM,23.677,,,,,
94,07/09/19 12:15:00 PM,,0.0,,,,
95,07/09/19 12:19:20 PM,23.773,,,,,
96,07/09/19 12:20:00 PM,,0.0,,,,
97,07/09/19 12:24:20 PM,24.062,,,,,
98,07/09/19 12:25:00 PM,,0.0,,,,
99,07/09/19 12:29:20 PM,24.158,,,,,
100,07/09/19 12:30:00 PM,,0.0,,,,
101,07/09/19 12:34:20 PM,23.966,,,,,
102,07/09/19 12:35:00 PM,,0.0,,,,
103,07/09/19 12:39:20 PM,24.158,,,,,
104,07/09/19 12:40:00 PM,,0.0,,,,
105,07/09/19 12:44:20 PM,24.448,,,,,
106,07/09/19 12:45:00 PM,,0.0,,,,
107,07/09/19 12:49:20 PM,24.351,,,,,
108,07/09/19 12:50:00 PM,,0.0,,,,
109,07/09/19 12:54:20 PM,24.738,,,,,
110,07/09/19 12:55:00 PM,,0.0,,,,
111,07/09/19 12:59:20 PM,25.319,,,,,
112,07/09/19 01:00:00 PM,,0.0,,,,
113,07/09/19 01:04:20 PM,24.738,,,,,
114,07/09/19 01:05:00 PM,,0.0,,,,
115,07/09/19 01:09:20 PM,24.931,,,,,
116,07/09/19 01:10:00 PM,,0.0,,,,
117,07/09/19 01:14:20 PM,24.835,,,,,
118,07/09/19 01:15:00 PM,,0.0,,,,
119,07/09/19 01:19:20 PM,24.835,,,,,
120,07/09/19 01:20:00 PM,,0.0,,,,
121,07/09/19 01:24:20 PM,24.641,,,,,
122,07/09/19 01:25:00 PM,,0.0,,,,
123,07/09/19 01:29:20 PM,24.351,,,,,
124,07/09/19 01:30:00 PM,,0.0,,,,
125,07/09/19 01:34:20 PM,24.255,,,,,
126,07/09/19 01:35:00 PM,,0.0,,,,
127,07/09/19 01:39:20 PM,24.255,,,,,
128,07/09/19 01:40:00 PM,,0.0,,,,
129,07/09/19 01:44:20 PM,24.158,,,,,
130,07/09/19 01:45:00 PM,,0.0,,,,
131,07/09/19 01:49:20 PM,24.545,,,,,
132,07/09/19 01:50:00 PM,,0.0,,,,
133,07/09/19 01:54:20 PM,24.738,,,,,
134,07/09/19 01:55:00 PM,,0.0,,,,
135,07/09/19 01:59:20 PM,24.738,,,,,
136,07/09/19 02:00:00 PM,,0.0,,,,
137,07/09/19 02:04:20 PM,24.835,,,,,
138,07/09/19 02:05:00 PM,,0.0,,,,
139,07/09/19 02:09:20 PM,24.931,,,,,
140,07/09/19 02:10:00 PM,,0.0,,,,
141,07/09/19 02:14:20 PM,24.738,,,,,
142,07/09/19 02:15:00 PM,,0.0,,,,
143,07/09/19 02:19:20 PM,24.448,,,,,
144,07/09/19 02:20:00 PM,,0.0,,,,
145,07/09/19 02:24:20 PM,24.738,,,,,
146,07/09/19 02:25:00 PM,,0.0,,,,
147,07/09/19 02:29:20 PM,24.738,,,,,
148,07/09/19 02:30:00 PM,,0.0,,,,
149,07/09/19 02:34:20 PM,24.641,,,,,
150,07/09/19 02:35:00 PM,,0.0,,,,
151,07/09/19 02:39:20 PM,24.255,,,,,
152,07/09/19 02:40:00 PM,,0.0,,,,
153,07/09/19 02:44:20 PM,24.062,,,,,
154,07/09/19 02:45:00 PM,,0.0,,,,
155,07/09/19 02:49:20 PM,23.581,,,,,
156,07/09/19 02:50:00 PM,,0.0,,,,
157,07/09/19 02:54:20 PM,23.581,,,,,
