"Plot Title: Sternenberg"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692704, SEN S/N: 10692704, LBL: Temperatur)","Niederschlag, units (LGR S/N: 10692704)","Coupler Attached (LGR S/N: 10692704)","Host Connected (LGR S/N: 10692704)","End Of File (LGR S/N: 10692704)"
1,08/16/19 06:45:00 AM,18.901,0.00,,,
2,08/16/19 06:50:00 AM,18.045,0.00,,,
3,08/16/19 06:55:00 AM,17.570,0.00,,,
4,08/16/19 07:00:00 AM,17.379,0.00,,,
5,08/16/19 07:05:00 AM,17.379,0.00,,,
6,08/16/19 07:10:00 AM,17.475,0.00,,,
7,08/16/19 07:15:00 AM,17.665,0.00,,,
8,08/16/19 07:20:00 AM,17.760,0.00,,,
9,08/16/19 07:25:00 AM,17.855,0.00,,,
10,08/16/19 07:30:00 AM,18.331,0.00,,,
11,08/16/19 07:35:00 AM,18.996,0.00,,,
12,08/16/19 07:40:00 AM,19.662,0.00,,,
13,08/16/19 07:45:00 AM,20.329,0.00,,,
14,08/16/19 07:50:00 AM,21.091,0.00,,,
15,08/16/19 07:55:00 AM,21.664,0.00,,,
16,08/16/19 08:00:00 AM,22.142,0.00,,,
17,08/16/19 08:05:00 AM,22.621,0.00,,,
18,08/16/19 08:10:00 AM,23.100,0.00,,,
19,08/16/19 08:15:00 AM,23.292,0.00,,,
20,08/16/19 08:20:00 AM,23.100,0.00,,,
21,08/16/19 08:25:00 AM,23.581,0.00,,,
22,08/16/19 08:30:00 AM,23.869,0.00,,,
23,08/16/19 08:35:00 AM,23.966,0.00,,,
24,08/16/19 08:40:00 AM,23.773,0.00,,,
25,08/16/19 08:45:00 AM,24.448,0.00,,,
26,08/16/19 08:50:00 AM,24.738,0.00,,,
27,08/16/19 08:55:00 AM,25.222,0.00,,,
28,08/16/19 09:00:00 AM,25.416,0.00,,,
29,08/16/19 09:05:00 AM,25.319,0.00,,,
30,08/16/19 09:10:00 AM,25.513,0.00,,,
31,08/16/19 09:15:00 AM,25.708,0.00,,,
32,08/16/19 09:20:00 AM,26.000,0.00,,,
33,08/16/19 09:25:00 AM,26.390,0.00,,,
34,08/16/19 09:30:00 AM,26.292,0.00,,,
35,08/16/19 09:35:00 AM,26.781,0.00,,,
36,08/16/19 09:40:00 AM,26.390,0.00,,,
37,08/16/19 09:45:00 AM,26.585,0.00,,,
38,08/16/19 09:50:00 AM,27.272,0.00,,,
39,08/16/19 09:55:00 AM,27.468,0.00,,,
40,08/16/19 10:00:00 AM,27.567,0.00,,,
41,08/16/19 10:05:00 AM,27.370,0.00,,,
42,08/16/19 10:10:00 AM,27.173,0.00,,,
43,08/16/19 10:15:00 AM,27.862,0.00,,,
44,08/16/19 10:20:00 AM,27.468,0.00,,,
45,08/16/19 10:25:00 AM,28.060,0.00,,,
46,08/16/19 10:30:00 AM,28.060,0.00,,,
47,08/16/19 10:35:00 AM,27.961,0.00,,,
48,08/16/19 10:40:00 AM,28.258,0.00,,,
49,08/16/19 10:45:00 AM,27.862,0.00,,,
50,08/16/19 10:50:00 AM,28.159,0.00,,,
51,08/16/19 10:55:00 AM,27.764,0.00,,,
52,08/16/19 11:00:00 AM,27.272,0.00,,,
53,08/16/19 11:05:00 AM,27.173,0.00,,,
54,08/16/19 11:10:00 AM,27.272,0.00,,,
55,08/16/19 11:15:00 AM,27.272,0.00,,,
56,08/16/19 11:20:00 AM,27.665,0.00,,,
57,08/16/19 11:25:00 AM,28.060,0.00,,,
58,08/16/19 11:30:00 AM,28.159,0.00,,,
59,08/16/19 11:35:00 AM,28.357,0.00,,,
60,08/16/19 11:40:00 AM,28.953,0.00,,,
61,08/16/19 11:45:00 AM,28.853,0.00,,,
62,08/16/19 11:50:00 AM,28.754,0.00,,,
63,08/16/19 11:55:00 AM,28.456,0.00,,,
64,08/16/19 12:00:00 PM,28.258,0.00,,,
65,08/16/19 12:05:00 PM,28.159,0.00,,,
66,08/16/19 12:10:00 PM,28.357,0.00,,,
67,08/16/19 12:15:00 PM,28.655,0.00,,,
68,08/16/19 12:20:00 PM,28.853,0.00,,,
69,08/16/19 12:25:00 PM,29.552,0.00,,,
70,08/16/19 12:30:00 PM,29.252,0.00,,,
71,08/16/19 12:35:00 PM,28.953,0.00,,,
72,08/16/19 12:40:00 PM,29.452,0.00,,,
73,08/16/19 12:45:00 PM,29.752,0.00,,,
74,08/16/19 12:50:00 PM,29.552,0.00,,,
75,08/16/19 12:55:00 PM,29.552,0.00,,,
76,08/16/19 01:00:00 PM,29.352,0.00,,,
77,08/16/19 01:05:00 PM,27.961,0.00,,,
78,08/16/19 01:10:00 PM,28.456,0.00,,,
79,08/16/19 01:15:00 PM,28.754,0.00,,,
80,08/16/19 01:20:00 PM,28.853,0.00,,,
81,08/16/19 01:25:00 PM,29.053,0.00,,,
82,08/16/19 01:30:00 PM,29.752,0.00,,,
83,08/16/19 01:35:00 PM,29.953,0.00,,,
84,08/16/19 01:40:00 PM,29.853,0.00,,,
85,08/16/19 01:45:00 PM,30.356,0.00,,,
86,08/16/19 01:50:00 PM,30.558,0.00,,,
87,08/16/19 01:55:00 PM,31.166,0.00,,,
88,08/16/19 02:00:00 PM,30.963,0.00,,,
89,08/16/19 02:05:00 PM,30.963,0.00,,,
90,08/16/19 02:10:00 PM,30.558,0.00,,,
91,08/16/19 02:15:00 PM,31.472,0.00,,,
92,08/16/19 02:20:00 PM,31.676,0.00,,,
93,08/16/19 02:25:00 PM,31.166,0.00,,,
94,08/16/19 02:30:00 PM,31.676,0.00,,,
95,08/16/19 02:35:00 PM,31.166,0.00,,,
96,08/16/19 02:40:00 PM,31.574,0.00,,,
97,08/16/19 02:45:00 PM,31.574,0.00,,,
98,08/16/19 02:50:00 PM,32.394,0.00,,,
99,08/16/19 02:55:00 PM,32.497,0.00,,,
100,08/16/19 03:00:00 PM,32.291,0.00,,,
101,08/16/19 03:05:00 PM,31.472,0.00,,,
102,08/16/19 03:10:00 PM,31.778,0.00,,,
103,08/16/19 03:15:00 PM,30.963,0.00,,,
104,08/16/19 03:20:00 PM,29.752,0.00,,,
105,08/16/19 03:25:00 PM,29.953,0.00,,,
106,08/16/19 03:30:00 PM,30.255,0.00,,,
107,08/16/19 03:35:00 PM,30.255,0.00,,,
108,08/16/19 03:40:00 PM,30.659,0.00,,,
109,08/16/19 03:45:00 PM,30.659,0.00,,,
110,08/16/19 03:50:00 PM,29.953,0.00,,,
111,08/16/19 03:55:00 PM,29.752,0.00,,,
112,08/16/19 04:00:00 PM,28.953,0.00,,,
113,08/16/19 04:05:00 PM,28.456,0.00,,,
114,08/16/19 04:10:00 PM,27.468,0.00,,,
115,08/16/19 04:15:00 PM,27.567,0.00,,,
116,08/16/19 04:20:00 PM,27.272,0.00,,,
117,08/16/19 04:25:00 PM,27.173,0.00,,,
118,08/16/19 04:30:00 PM,26.585,0.00,,,
119,08/16/19 04:35:00 PM,26.585,0.00,,,
120,08/16/19 04:40:00 PM,26.488,0.00,,,
121,08/16/19 04:45:00 PM,26.390,0.00,,,
122,08/16/19 04:50:00 PM,25.902,0.00,,,
123,08/16/19 04:55:00 PM,25.610,0.00,,,
124,08/16/19 05:00:00 PM,25.125,0.00,,,
125,08/16/19 05:05:00 PM,25.125,0.00,,,
126,08/16/19 05:10:00 PM,25.513,0.00,,,
127,08/16/19 05:15:00 PM,25.708,0.00,,,
128,08/16/19 05:20:00 PM,26.292,0.00,,,
129,08/16/19 05:25:00 PM,26.097,0.00,,,
130,08/16/19 05:30:00 PM,25.902,0.00,,,
131,08/16/19 05:35:00 PM,25.805,0.00,,,
132,08/16/19 05:40:00 PM,26.879,0.00,,,
133,08/16/19 05:45:00 PM,26.683,0.00,,,
134,08/16/19 05:50:00 PM,26.879,0.00,,,
135,08/16/19 05:55:00 PM,27.567,0.00,,,
136,08/16/19 06:00:00 PM,27.075,0.00,,,
137,08/16/19 06:05:00 PM,26.292,0.00,,,
138,08/16/19 06:10:00 PM,25.513,0.00,,,
139,08/16/19 06:15:00 PM,24.545,0.00,,,
140,08/16/19 06:20:00 PM,23.773,0.00,,,
141,08/16/19 06:25:00 PM,23.004,0.00,,,
142,08/16/19 06:30:00 PM,22.429,0.00,,,
143,08/16/19 06:35:00 PM,21.855,0.00,,,
144,08/16/19 06:40:00 PM,21.282,0.00,,,
145,08/16/19 06:45:00 PM,20.901,0.00,,,
146,08/16/19 06:50:00 PM,20.519,0.00,,,
147,08/16/19 06:55:00 PM,20.234,0.00,,,
148,08/16/19 07:00:00 PM,19.948,0.00,,,
149,08/16/19 07:05:00 PM,19.758,0.00,,,
150,08/16/19 07:10:00 PM,19.567,0.00,,,
151,08/16/19 07:15:00 PM,19.472,0.00,,,
152,08/16/19 07:20:00 PM,19.282,0.00,,,
153,08/16/19 07:25:00 PM,19.092,0.00,,,
154,08/16/19 07:30:00 PM,18.996,0.00,,,
155,08/16/19 07:35:00 PM,18.901,0.00,,,
156,08/16/19 07:40:00 PM,18.901,0.00,,,
157,08/16/19 07:45:00 PM,18.901,0.00,,,
158,08/16/19 07:50:00 PM,18.901,0.00,,,
159,08/16/19 07:55:00 PM,18.901,0.00,,,
160,08/16/19 08:00:00 PM,18.996,0.00,,,
161,08/16/19 08:05:00 PM,18.901,0.00,,,
162,08/16/19 08:10:00 PM,18.901,0.00,,,
163,08/16/19 08:15:00 PM,18.996,0.00,,,
164,08/16/19 08:20:00 PM,18.996,0.00,,,
165,08/16/19 08:25:00 PM,18.996,0.00,,,
166,08/16/19 08:30:00 PM,18.996,0.00,,,
167,08/16/19 08:35:00 PM,18.996,0.00,,,
168,08/16/19 08:40:00 PM,18.996,0.00,,,
169,08/16/19 08:45:00 PM,19.092,0.00,,,
170,08/16/19 08:50:00 PM,19.092,0.00,,,
171,08/16/19 08:55:00 PM,19.092,0.00,,,
172,08/16/19 09:00:00 PM,19.187,0.00,,,
173,08/16/19 09:05:00 PM,19.187,0.00,,,
174,08/16/19 09:10:00 PM,19.282,0.00,,,
175,08/16/19 09:15:00 PM,19.187,0.00,,,
176,08/16/19 09:20:00 PM,19.187,0.00,,,
177,08/16/19 09:25:00 PM,19.187,0.00,,,
178,08/16/19 09:30:00 PM,19.092,0.00,,,
179,08/16/19 09:35:00 PM,19.187,0.00,,,
180,08/16/19 09:40:00 PM,19.092,0.00,,,
181,08/16/19 09:45:00 PM,19.092,0.00,,,
182,08/16/19 09:50:00 PM,18.996,0.00,,,
183,08/16/19 09:55:00 PM,18.901,0.00,,,
184,08/16/19 10:00:00 PM,18.996,0.00,,,
185,08/16/19 10:05:00 PM,18.996,0.00,,,
186,08/16/19 10:10:00 PM,18.996,0.00,,,
187,08/16/19 10:15:00 PM,19.092,0.00,,,
188,08/16/19 10:20:00 PM,19.092,0.00,,,
189,08/16/19 10:25:00 PM,19.092,0.00,,,
190,08/16/19 10:30:00 PM,19.092,0.00,,,
191,08/16/19 10:35:00 PM,19.092,0.00,,,
192,08/16/19 10:40:00 PM,19.092,0.00,,,
193,08/16/19 10:45:00 PM,19.092,0.00,,,
194,08/16/19 10:50:00 PM,18.996,0.00,,,
195,08/16/19 10:55:00 PM,18.996,0.00,,,
196,08/16/19 11:00:00 PM,18.996,0.00,,,
197,08/16/19 11:05:00 PM,18.901,0.00,,,
