"Plot Title: Butschenberg"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10234807, SEN S/N: 10234807)","Cum. Sum: Niederschlag, units (LGR S/N: 10234807)","Coupler Attached (LGR S/N: 10234807)","Host Connected (LGR S/N: 10234807)","Coupler Detached (LGR S/N: 10234807)","End Of File (LGR S/N: 10234807)"
1,01/30/20 12:00:00 PM,10.553,0.00,,,,
2,01/30/20 12:05:00 PM,,0.00,,,,
3,01/30/20 12:10:00 PM,,0.00,,,,
4,01/30/20 12:15:00 PM,,0.00,,,,
5,01/30/20 12:20:00 PM,,0.00,,,,
6,01/30/20 12:25:00 PM,,0.00,,,,
7,01/30/20 12:30:00 PM,10.259,0.00,,,,
8,01/30/20 12:35:00 PM,,0.00,,,,
9,01/30/20 12:40:00 PM,,0.00,,,,
10,01/30/20 12:45:00 PM,,0.00,,,,
11,01/30/20 12:50:00 PM,,0.00,,,,
12,01/30/20 12:55:00 PM,,0.00,,,,
13,01/30/20 01:00:00 PM,10.651,0.00,,,,
14,01/30/20 01:05:00 PM,,0.00,,,,
15,01/30/20 01:10:00 PM,,0.00,,,,
16,01/30/20 01:15:00 PM,,0.00,,,,
17,01/30/20 01:20:00 PM,,0.00,,,,
18,01/30/20 01:25:00 PM,,0.00,,,,
19,01/30/20 01:30:00 PM,10.651,0.00,,,,
20,01/30/20 01:35:00 PM,,0.00,,,,
21,01/30/20 01:40:00 PM,,0.00,,,,
22,01/30/20 01:45:00 PM,,0.00,,,,
23,01/30/20 01:50:00 PM,,0.00,,,,
24,01/30/20 01:55:00 PM,,0.00,,,,
25,01/30/20 02:00:00 PM,10.748,0.00,,,,
26,01/30/20 02:05:00 PM,,0.00,,,,
27,01/30/20 02:10:00 PM,,0.00,,,,
28,01/30/20 02:15:00 PM,,0.00,,,,
29,01/30/20 02:20:00 PM,,0.00,,,,
30,01/30/20 02:25:00 PM,,0.00,,,,
31,01/30/20 02:30:00 PM,10.357,0.00,,,,
32,01/30/20 02:35:00 PM,,0.00,,,,
33,01/30/20 02:40:00 PM,,0.00,,,,
34,01/30/20 02:45:00 PM,,0.00,,,,
35,01/30/20 02:50:00 PM,,0.00,,,,
36,01/30/20 02:55:00 PM,,0.00,,,,
37,01/30/20 03:00:00 PM,10.651,0.00,,,,
38,01/30/20 03:05:00 PM,,0.00,,,,
39,01/30/20 03:10:00 PM,,0.00,,,,
40,01/30/20 03:15:00 PM,,0.00,,,,
41,01/30/20 03:20:00 PM,,0.00,,,,
42,01/30/20 03:25:00 PM,,0.00,,,,
43,01/30/20 03:30:00 PM,10.455,0.00,,,,
44,01/30/20 03:35:00 PM,,0.00,,,,
45,01/30/20 03:40:00 PM,,0.00,,,,
46,01/30/20 03:45:00 PM,,0.00,,,,
47,01/30/20 03:50:00 PM,,0.00,,,,
48,01/30/20 03:55:00 PM,,0.00,,,,
49,01/30/20 04:00:00 PM,10.748,0.00,,,,
50,01/30/20 04:05:00 PM,,0.00,,,,
51,01/30/20 04:10:00 PM,,0.00,,,,
52,01/30/20 04:15:00 PM,,0.00,,,,
53,01/30/20 04:20:00 PM,,0.00,,,,
54,01/30/20 04:25:00 PM,,0.00,,,,
55,01/30/20 04:30:00 PM,10.748,0.00,,,,
56,01/30/20 04:35:00 PM,,0.00,,,,
57,01/30/20 04:40:00 PM,,0.00,,,,
58,01/30/20 04:45:00 PM,,1.00,,,,
59,01/30/20 04:50:00 PM,,2.00,,,,
60,01/30/20 04:55:00 PM,,2.00,,,,
61,01/30/20 05:00:00 PM,8.082,1.00,,,,
62,01/30/20 05:05:00 PM,,0.00,,,,
63,01/30/20 05:10:00 PM,,0.00,,,,
64,01/30/20 05:15:00 PM,,1.00,,,,
65,01/30/20 05:20:00 PM,,1.00,,,,
66,01/30/20 05:25:00 PM,,0.00,,,,
67,01/30/20 05:30:00 PM,7.782,1.00,,,,
68,01/30/20 05:35:00 PM,,1.00,,,,
69,01/30/20 05:40:00 PM,,0.00,,,,
70,01/30/20 05:45:00 PM,,1.00,,,,
71,01/30/20 05:50:00 PM,,1.00,,,,
72,01/30/20 05:55:00 PM,,1.00,,,,
