"Plot Title: Hundseck"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692703, SEN S/N: 10692703)","Cum. Sum: Event, units (LGR S/N: 10692703)","Cum. Sum: Event, units (LGR S/N: 10692703)","Bad Battery (LGR S/N: 10692703)","End Of File (LGR S/N: 10692703)"
1,10/31/19 12:00:00 AM,,0.00,,,
2,10/31/19 10:00:00 AM,5.655,,0.00,,
3,10/31/19 10:05:00 AM,5.860,,0.00,,
4,10/31/19 10:10:00 AM,6.064,,0.00,,
5,10/31/19 10:15:00 AM,6.370,,0.00,,
6,10/31/19 10:20:00 AM,5.962,,0.00,,
7,10/31/19 10:25:00 AM,5.962,,0.00,,
8,10/31/19 10:30:00 AM,6.064,,0.00,,
9,10/31/19 10:35:00 AM,5.962,,0.00,,
10,10/31/19 10:40:00 AM,5.962,,0.00,,
11,10/31/19 10:45:00 AM,6.268,,0.00,,
12,10/31/19 10:50:00 AM,6.370,,0.00,,
13,10/31/19 10:55:00 AM,6.674,,0.00,,
14,10/31/19 11:00:00 AM,6.877,,0.00,,
15,10/31/19 11:05:00 AM,6.775,,0.00,,
16,10/31/19 11:10:00 AM,6.775,,0.00,,
17,10/31/19 11:15:00 AM,6.674,,0.00,,
18,10/31/19 11:20:00 AM,6.471,,0.00,,
19,10/31/19 11:25:00 AM,6.471,,0.00,,
20,10/31/19 11:30:00 AM,6.370,,0.00,,
21,10/31/19 11:35:00 AM,6.268,,0.00,,
22,10/31/19 11:40:00 AM,6.166,,0.00,,
23,10/31/19 11:45:00 AM,6.166,,0.00,,
24,10/31/19 11:50:00 AM,6.268,,0.00,,
25,10/31/19 11:55:00 AM,6.268,,0.00,,
26,10/31/19 12:00:00 PM,6.268,,0.00,,
27,10/31/19 12:05:00 PM,6.268,,0.00,,
28,10/31/19 12:10:00 PM,6.064,,0.00,,
29,10/31/19 12:15:00 PM,5.962,,0.00,,
30,10/31/19 12:20:00 PM,5.962,,0.00,,
31,10/31/19 12:25:00 PM,6.064,,0.00,,
32,10/31/19 12:30:00 PM,6.064,,0.00,,
33,10/31/19 12:35:00 PM,6.064,,0.00,,
34,10/31/19 12:40:00 PM,6.166,,0.00,,
35,10/31/19 12:45:00 PM,6.268,,0.00,,
36,10/31/19 12:50:00 PM,6.268,,0.00,,
37,10/31/19 12:55:00 PM,6.268,,0.00,,
38,10/31/19 01:00:00 PM,6.166,,0.00,,
39,10/31/19 01:05:00 PM,6.166,,0.00,,
40,10/31/19 01:10:00 PM,6.166,,0.00,,
41,10/31/19 01:15:00 PM,6.064,,0.00,,
42,10/31/19 01:20:00 PM,5.962,,0.00,,
43,10/31/19 01:25:00 PM,5.962,,0.00,,
44,10/31/19 01:30:00 PM,6.064,,0.00,,
45,10/31/19 01:35:00 PM,5.962,,0.00,,
46,10/31/19 01:40:00 PM,5.962,,0.00,,
47,10/31/19 01:45:00 PM,5.757,,0.00,,
48,10/31/19 01:50:00 PM,5.655,,0.00,,
49,10/31/19 01:55:00 PM,5.655,,0.00,,
50,10/31/19 02:00:00 PM,5.552,,0.00,,
51,10/31/19 02:05:00 PM,5.552,,0.00,,
52,10/31/19 02:10:00 PM,5.450,,0.00,,
53,10/31/19 02:15:00 PM,5.347,,0.00,,
54,10/31/19 02:20:00 PM,5.244,,0.00,,
55,10/31/19 02:25:00 PM,5.244,,0.00,,
56,10/31/19 02:30:00 PM,5.244,,0.00,,
57,10/31/19 02:35:00 PM,5.037,,0.00,,
58,10/31/19 02:40:00 PM,4.934,,0.00,,
59,10/31/19 02:45:00 PM,4.934,,0.00,,
60,10/31/19 02:50:00 PM,4.831,,0.00,,
61,10/31/19 02:55:00 PM,4.831,,0.00,,
62,10/31/19 03:00:00 PM,4.831,,0.00,,
63,10/31/19 03:05:00 PM,4.727,,0.00,,
64,10/31/19 03:10:00 PM,4.623,,0.00,,
65,10/31/19 03:15:00 PM,4.623,,0.00,,
66,10/31/19 03:20:00 PM,4.519,,0.00,,
67,10/31/19 03:25:00 PM,4.519,,0.00,,
68,10/31/19 03:30:00 PM,4.519,,0.00,,
69,10/31/19 03:35:00 PM,4.519,,0.00,,
70,10/31/19 03:40:00 PM,4.519,,0.00,,
71,10/31/19 03:45:00 PM,4.415,,0.00,,
72,10/31/19 03:50:00 PM,4.415,,0.00,,
73,10/31/19 03:55:00 PM,4.311,,0.00,,
74,10/31/19 04:00:00 PM,4.207,,0.00,,
75,10/31/19 04:05:00 PM,4.207,,0.00,,
76,10/31/19 04:10:00 PM,4.207,,0.00,,
77,10/31/19 04:15:00 PM,4.207,,0.00,,
78,10/31/19 04:20:00 PM,4.207,,0.00,,
79,10/31/19 04:25:00 PM,4.207,,0.00,,
80,10/31/19 04:30:00 PM,4.207,,0.00,,
81,10/31/19 04:35:00 PM,4.207,,0.00,,
82,10/31/19 04:40:00 PM,4.207,,0.00,,
83,10/31/19 04:45:00 PM,4.207,,0.00,,
84,10/31/19 04:50:00 PM,4.207,,0.00,,
85,10/31/19 04:55:00 PM,4.207,,0.00,,
86,10/31/19 05:00:00 PM,4.207,,0.00,,
87,10/31/19 05:05:00 PM,4.207,,0.00,,
88,10/31/19 05:10:00 PM,4.207,,0.00,,
89,10/31/19 05:15:00 PM,4.207,,0.00,,
90,10/31/19 05:20:00 PM,4.311,,0.00,,
91,10/31/19 05:25:00 PM,4.311,,0.00,,
92,10/31/19 05:30:00 PM,4.311,,0.00,,
93,10/31/19 05:35:00 PM,4.207,,0.00,,
94,10/31/19 05:40:00 PM,4.207,,0.00,,
95,10/31/19 05:45:00 PM,4.207,,0.00,,
96,10/31/19 05:50:00 PM,4.207,,0.00,,
97,10/31/19 05:55:00 PM,4.207,,0.00,,
98,10/31/19 06:00:00 PM,4.102,,0.00,,
99,10/31/19 06:05:00 PM,4.207,,0.00,,
100,10/31/19 06:10:00 PM,4.207,,0.00,,
101,10/31/19 06:15:00 PM,4.102,,0.00,,
102,10/31/19 06:20:00 PM,4.102,,0.00,,
