"Plot Title: Sternenberg"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692704, SEN S/N: 10692704, LBL: Temperatur)","Niederschlag, units (LGR S/N: 10692704)","Coupler Attached (LGR S/N: 10692704)","Host Connected (LGR S/N: 10692704)","End Of File (LGR S/N: 10692704)"
1,02/28/20 08:15:00 AM,7.782,0.00,,,
2,02/28/20 08:20:00 AM,,0.00,,,
3,02/28/20 08:25:00 AM,,0.00,,,
4,02/28/20 08:30:00 AM,,0.00,,,
5,02/28/20 08:35:00 AM,,0.00,,,
6,02/28/20 08:40:00 AM,,0.00,,,
7,02/28/20 08:45:00 AM,4.311,0.00,,,
8,02/28/20 08:50:00 AM,,0.00,,,
9,02/28/20 08:55:00 AM,,0.00,,,
10,02/28/20 09:00:00 AM,,0.00,,,
11,02/28/20 09:05:00 AM,,0.00,,,
12,02/28/20 09:10:00 AM,,0.00,,,
13,02/28/20 09:15:00 AM,7.582,0.00,,,
14,02/28/20 09:20:00 AM,,0.00,,,
15,02/28/20 09:25:00 AM,,0.00,,,
16,02/28/20 09:30:00 AM,,0.00,,,
17,02/28/20 09:35:00 AM,,0.00,,,
18,02/28/20 09:40:00 AM,,0.00,,,
19,02/28/20 09:45:00 AM,9.472,0.00,,,
20,02/28/20 09:50:00 AM,,0.00,,,
21,02/28/20 09:55:00 AM,,0.00,,,
22,02/28/20 10:00:00 AM,,0.00,,,
23,02/28/20 10:05:00 AM,,0.00,,,
24,02/28/20 10:10:00 AM,,0.00,,,
25,02/28/20 10:15:00 AM,10.748,0.00,,,
26,02/28/20 10:20:00 AM,,0.00,,,
27,02/28/20 10:25:00 AM,,0.00,,,
28,02/28/20 10:30:00 AM,,0.00,,,
29,02/28/20 10:35:00 AM,,0.00,,,
30,02/28/20 10:40:00 AM,,0.00,,,
31,02/28/20 10:45:00 AM,9.965,0.00,,,
32,02/28/20 10:50:00 AM,,0.00,,,
33,02/28/20 10:55:00 AM,,0.00,,,
34,02/28/20 11:00:00 AM,,0.00,,,
35,02/28/20 11:05:00 AM,,0.00,,,
36,02/28/20 11:10:00 AM,,0.00,,,
37,02/28/20 11:15:00 AM,9.275,0.00,,,
38,02/28/20 11:20:00 AM,,0.00,,,
39,02/28/20 11:25:00 AM,,0.00,,,
40,02/28/20 11:30:00 AM,,0.00,,,
41,02/28/20 11:35:00 AM,,0.00,,,
42,02/28/20 11:40:00 AM,,0.00,,,
43,02/28/20 11:45:00 AM,11.722,0.00,,,
44,02/28/20 11:50:00 AM,,0.00,,,
45,02/28/20 11:55:00 AM,,0.00,,,
46,02/28/20 12:00:00 PM,,0.00,,,
47,02/28/20 12:05:00 PM,,0.00,,,
