"Plot Title: Winterberg"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177315, SEN S/N: 10177315)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177315)","Coupler Attached (LGR S/N: 10177315)","Host Connected (LGR S/N: 10177315)","Stopped (LGR S/N: 10177315)","End Of File (LGR S/N: 10177315)"
1,05/21/20 07:40:00 AM,19.853,0.0,,,,
2,05/21/20 07:45:00 AM,,0.0,,,,
3,05/21/20 07:50:00 AM,,0.0,,,,
4,05/21/20 07:55:00 AM,,0.0,,,,
5,05/21/20 08:00:00 AM,,0.0,,,,
6,05/21/20 08:05:00 AM,,0.0,,,,
7,05/21/20 08:10:00 AM,17.665,0.0,,,,
8,05/21/20 08:15:00 AM,,0.0,,,,
9,05/21/20 08:20:00 AM,,0.0,,,,
10,05/21/20 08:25:00 AM,,0.0,,,,
11,05/21/20 08:30:00 AM,,0.0,,,,
12,05/21/20 08:35:00 AM,,0.0,,,,
13,05/21/20 08:40:00 AM,19.282,0.0,,,,
14,05/21/20 08:45:00 AM,,0.0,,,,
15,05/21/20 08:50:00 AM,,0.0,,,,
16,05/21/20 08:55:00 AM,,0.0,,,,
17,05/21/20 09:00:00 AM,,0.0,,,,
18,05/21/20 09:05:00 AM,,0.0,,,,
19,05/21/20 09:10:00 AM,22.142,0.0,,,,
20,05/21/20 09:15:00 AM,,0.0,,,,
21,05/21/20 09:20:00 AM,,0.0,,,,
22,05/21/20 09:25:00 AM,,0.0,,,,
23,05/21/20 09:30:00 AM,,0.0,,,,
24,05/21/20 09:35:00 AM,,0.0,,,,
25,05/21/20 09:40:00 AM,25.513,0.0,,,,
26,05/21/20 09:45:00 AM,,0.0,,,,
27,05/21/20 09:50:00 AM,,0.0,,,,
28,05/21/20 09:55:00 AM,,0.0,,,,
29,05/21/20 10:00:00 AM,,0.0,,,,
30,05/21/20 10:05:00 AM,,0.0,,,,
31,05/21/20 10:10:00 AM,27.468,0.0,,,,
32,05/21/20 10:15:00 AM,,0.0,,,,
33,05/21/20 10:20:00 AM,,0.0,,,,
34,05/21/20 10:25:00 AM,,0.0,,,,
35,05/21/20 10:30:00 AM,,0.0,,,,
36,05/21/20 10:35:00 AM,,0.0,,,,
37,05/21/20 10:40:00 AM,27.272,0.0,,,,
38,05/21/20 10:45:00 AM,,0.0,,,,
39,05/21/20 10:50:00 AM,,0.0,,,,
40,05/21/20 10:55:00 AM,,0.0,,,,
41,05/21/20 11:00:00 AM,,0.0,,,,
42,05/21/20 11:05:00 AM,,0.0,,,,
43,05/21/20 11:10:00 AM,28.258,0.0,,,,
44,05/21/20 11:15:00 AM,,0.0,,,,
45,05/21/20 11:20:00 AM,,0.0,,,,
46,05/21/20 11:25:00 AM,,0.0,,,,
47,05/21/20 11:30:00 AM,,0.0,,,,
48,05/21/20 11:35:00 AM,,0.0,,,,
49,05/21/20 11:40:00 AM,27.862,0.0,,,,
50,05/21/20 11:45:00 AM,,0.0,,,,
51,05/21/20 11:50:00 AM,,0.0,,,,
52,05/21/20 11:55:00 AM,,0.0,,,,
53,05/21/20 12:00:00 PM,,0.0,,,,
54,05/21/20 12:05:00 PM,,0.0,,,,
55,05/21/20 12:10:00 PM,28.258,0.0,,,,
56,05/21/20 12:15:00 PM,,0.0,,,,
57,05/21/20 12:20:00 PM,,0.0,,,,
58,05/21/20 12:25:00 PM,,0.0,,,,
59,05/21/20 12:30:00 PM,,0.0,,,,
60,05/21/20 12:35:00 PM,,0.0,,,,
61,05/21/20 12:40:00 PM,28.555,0.0,,,,
62,05/21/20 12:45:00 PM,,0.0,,,,
63,05/21/20 12:50:00 PM,,0.0,,,,
64,05/21/20 12:55:00 PM,,0.0,,,,
65,05/21/20 01:00:00 PM,,0.0,,,,
66,05/21/20 01:05:00 PM,,0.0,,,,
67,05/21/20 01:10:00 PM,29.352,0.0,,,,
68,05/21/20 01:15:00 PM,,0.0,,,,
69,05/21/20 01:20:00 PM,,0.0,,,,
70,05/21/20 01:25:00 PM,,0.0,,,,
71,05/21/20 01:30:00 PM,,0.0,,,,
72,05/21/20 01:35:00 PM,,0.0,,,,
73,05/21/20 01:40:00 PM,29.053,0.0,,,,
74,05/21/20 01:45:00 PM,,0.0,,,,
75,05/21/20 01:50:00 PM,,0.0,,,,
76,05/21/20 01:55:00 PM,,0.0,,,,
77,05/21/20 02:00:00 PM,,0.0,,,,
78,05/21/20 02:05:00 PM,,0.0,,,,
79,05/21/20 02:10:00 PM,30.154,0.0,,,,
80,05/21/20 02:15:00 PM,,0.0,,,,
81,05/21/20 02:20:00 PM,,0.0,,,,
82,05/21/20 02:25:00 PM,,0.0,,,,
83,05/21/20 02:30:00 PM,,0.0,,,,
84,05/21/20 02:35:00 PM,,0.0,,,,
85,05/21/20 02:40:00 PM,30.154,0.0,,,,
86,05/21/20 02:45:00 PM,,0.0,,,,
87,05/21/20 02:50:00 PM,,0.0,,,,
88,05/21/20 02:55:00 PM,,0.0,,,,
89,05/21/20 03:00:00 PM,,0.0,,,,
90,05/21/20 03:05:00 PM,,0.0,,,,
91,05/21/20 03:10:00 PM,28.953,0.0,,,,
92,05/21/20 03:15:00 PM,,0.0,,,,
93,05/21/20 03:20:00 PM,,0.0,,,,
94,05/21/20 03:25:00 PM,,0.0,,,,
95,05/21/20 03:30:00 PM,,0.0,,,,
96,05/21/20 03:35:00 PM,,0.0,,,,
97,05/21/20 03:40:00 PM,28.258,0.0,,,,
98,05/21/20 03:45:00 PM,,0.0,,,,
99,05/21/20 03:50:00 PM,,0.0,,,,
100,05/21/20 03:55:00 PM,,0.0,,,,
101,05/21/20 04:00:00 PM,,0.0,,,,
102,05/21/20 04:05:00 PM,,0.0,,,,
103,05/21/20 04:10:00 PM,27.272,0.0,,,,
104,05/21/20 04:15:00 PM,,0.0,,,,
105,05/21/20 04:20:00 PM,,0.0,,,,
106,05/21/20 04:25:00 PM,,0.0,,,,
107,05/21/20 04:30:00 PM,,0.0,,,,
108,05/21/20 04:35:00 PM,,0.0,,,,
109,05/21/20 04:40:00 PM,25.222,0.0,,,,
110,05/21/20 04:45:00 PM,,0.0,,,,
111,05/21/20 04:50:00 PM,,0.0,,,,
112,05/21/20 04:55:00 PM,,0.0,,,,
113,05/21/20 05:00:00 PM,,0.0,,,,
114,05/21/20 05:05:00 PM,,0.0,,,,
115,05/21/20 05:10:00 PM,22.812,0.0,,,,
116,05/21/20 05:15:00 PM,,0.0,,,,
117,05/21/20 05:20:00 PM,,0.0,,,,
118,05/21/20 05:25:00 PM,,0.0,,,,
119,05/21/20 05:30:00 PM,,0.0,,,,
120,05/21/20 05:35:00 PM,,0.0,,,,
121,05/21/20 05:40:00 PM,21.473,0.0,,,,
122,05/21/20 05:45:00 PM,,0.0,,,,
123,05/21/20 05:50:00 PM,,0.0,,,,
124,05/21/20 05:55:00 PM,,0.0,,,,
125,05/21/20 06:00:00 PM,,0.0,,,,
126,05/21/20 06:05:00 PM,,0.0,,,,
127,05/21/20 06:10:00 PM,20.710,0.0,,,,
128,05/21/20 06:15:00 PM,,0.0,,,,
129,05/21/20 06:20:00 PM,,0.0,,,,
130,05/21/20 06:25:00 PM,,0.0,,,,
131,05/21/20 06:30:00 PM,,0.0,,,,
132,05/21/20 06:35:00 PM,,0.0,,,,
133,05/21/20 06:40:00 PM,20.138,0.0,,,,
134,05/21/20 06:45:00 PM,,0.0,,,,
135,05/21/20 06:50:00 PM,,0.0,,,,
136,05/21/20 06:55:00 PM,,0.0,,,,
137,05/21/20 07:00:00 PM,,0.0,,,,
138,05/21/20 07:05:00 PM,,0.0,,,,
