"Plot Title: Hundseck"
"#","Date Time, GMT+00:00","Cum. Sum: Event, units (LGR S/N: 10692703)","Temp, °C (LGR S/N: 10692703, SEN S/N: 10692703)"
1,06/20/20 12:00:00 AM,0.00,
2,06/20/20 12:00:00 PM,,25.805
3,06/20/20 12:30:00 PM,,22.142
4,06/20/20 01:00:00 PM,,21.855
5,06/20/20 01:30:00 PM,,22.717
6,06/20/20 02:00:00 PM,,21.664
7,06/20/20 02:30:00 PM,,19.853
8,06/20/20 03:00:00 PM,,18.140
9,06/20/20 03:30:00 PM,,17.855
10,06/20/20 04:00:00 PM,,18.236
11,06/20/20 04:30:00 PM,,18.426
12,06/20/20 05:00:00 PM,,17.189
13,06/20/20 05:30:00 PM,,16.618
14,06/20/20 06:00:00 PM,,16.046
15,06/20/20 06:30:00 PM,,14.996
16,06/20/20 07:00:00 PM,,14.134
17,06/20/20 07:30:00 PM,,13.269
18,06/20/20 08:00:00 PM,,12.594
19,06/20/20 08:30:00 PM,,12.304
20,06/20/20 09:00:00 PM,,12.401
21,06/20/20 09:30:00 PM,,11.722
22,06/20/20 10:00:00 PM,,11.431
23,06/20/20 10:30:00 PM,,11.528
24,06/20/20 11:00:00 PM,,11.041
25,06/20/20 11:30:00 PM,,10.846
26,06/21/20 12:00:00 AM,0.00,10.651
27,06/21/20 12:30:00 AM,,10.651
28,06/21/20 01:00:00 AM,,10.944
29,06/21/20 01:30:00 AM,,10.651
30,06/21/20 02:00:00 AM,,10.259
31,06/21/20 02:30:00 AM,,10.161
32,06/21/20 03:00:00 AM,,10.161
33,06/21/20 03:30:00 AM,,10.063
34,06/21/20 04:00:00 AM,,10.357
35,06/21/20 04:30:00 AM,,17.379
36,06/21/20 05:00:00 AM,,23.196
37,06/21/20 05:30:00 AM,,25.222
38,06/21/20 06:00:00 AM,,24.641
39,06/21/20 06:30:00 AM,,23.292
40,06/21/20 07:00:00 AM,,23.388
41,06/21/20 07:30:00 AM,,21.951
42,06/21/20 08:00:00 AM,,21.569
43,06/21/20 08:30:00 AM,,21.760
44,06/21/20 09:00:00 AM,,23.004
