"Plot Title: Schwabenquelle"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10806052, SEN S/N: 10806052)","Cum. Sum: Niederschlag, units (LGR S/N: 10806052)"
1,06/20/20 10:00:00 AM,18.236,0.00
2,06/20/20 10:05:00 AM,,0.00
3,06/20/20 10:10:00 AM,,0.00
4,06/20/20 10:15:00 AM,,0.00
5,06/20/20 10:20:00 AM,,0.00
6,06/20/20 10:25:00 AM,,0.00
7,06/20/20 10:30:00 AM,18.806,0.00
8,06/20/20 10:35:00 AM,,0.00
9,06/20/20 10:40:00 AM,,0.00
10,06/20/20 10:45:00 AM,,0.00
11,06/20/20 10:50:00 AM,,0.00
12,06/20/20 10:55:00 AM,,0.00
13,06/20/20 11:00:00 AM,19.567,0.00
14,06/20/20 11:05:00 AM,,0.00
15,06/20/20 11:10:00 AM,,0.00
16,06/20/20 11:15:00 AM,,0.00
17,06/20/20 11:20:00 AM,,0.00
18,06/20/20 11:25:00 AM,,0.00
19,06/20/20 11:30:00 AM,20.710,0.00
20,06/20/20 11:35:00 AM,,0.00
21,06/20/20 11:40:00 AM,,0.00
22,06/20/20 11:45:00 AM,,0.00
23,06/20/20 11:50:00 AM,,0.00
24,06/20/20 11:55:00 AM,,0.00
25,06/20/20 12:00:00 PM,18.140,0.00
26,06/20/20 12:05:00 PM,,0.00
27,06/20/20 12:10:00 PM,,0.00
28,06/20/20 12:15:00 PM,,0.00
29,06/20/20 12:20:00 PM,,0.00
30,06/20/20 12:25:00 PM,,0.00
31,06/20/20 12:30:00 PM,18.331,0.00
32,06/20/20 12:35:00 PM,,0.00
33,06/20/20 12:40:00 PM,,0.00
34,06/20/20 12:45:00 PM,,0.00
35,06/20/20 12:50:00 PM,,0.00
36,06/20/20 12:55:00 PM,,0.00
37,06/20/20 01:00:00 PM,21.473,0.00
38,06/20/20 01:05:00 PM,,0.00
39,06/20/20 01:10:00 PM,,0.00
40,06/20/20 01:15:00 PM,,0.00
41,06/20/20 01:20:00 PM,,0.00
42,06/20/20 01:25:00 PM,,0.00
43,06/20/20 01:30:00 PM,21.091,0.00
44,06/20/20 01:35:00 PM,,0.00
45,06/20/20 01:40:00 PM,,0.00
46,06/20/20 01:45:00 PM,,0.00
47,06/20/20 01:50:00 PM,,0.00
48,06/20/20 01:55:00 PM,,0.00
49,06/20/20 02:00:00 PM,19.187,0.00
50,06/20/20 02:05:00 PM,,0.00
51,06/20/20 02:10:00 PM,,0.00
52,06/20/20 02:15:00 PM,,0.00
53,06/20/20 02:20:00 PM,,0.00
54,06/20/20 02:25:00 PM,,0.00
55,06/20/20 02:30:00 PM,16.427,0.00
56,06/20/20 02:35:00 PM,,0.00
57,06/20/20 02:40:00 PM,,0.00
58,06/20/20 02:45:00 PM,,0.00
59,06/20/20 02:50:00 PM,,0.00
60,06/20/20 02:55:00 PM,,0.00
61,06/20/20 03:00:00 PM,16.141,0.00
62,06/20/20 03:05:00 PM,,0.00
63,06/20/20 03:10:00 PM,,0.00
64,06/20/20 03:15:00 PM,,0.00
65,06/20/20 03:20:00 PM,,0.00
66,06/20/20 03:25:00 PM,,0.00
67,06/20/20 03:30:00 PM,16.046,0.00
68,06/20/20 03:35:00 PM,,0.00
69,06/20/20 03:40:00 PM,,0.00
70,06/20/20 03:45:00 PM,,0.00
71,06/20/20 03:50:00 PM,,0.00
72,06/20/20 03:55:00 PM,,0.00
73,06/20/20 04:00:00 PM,15.951,0.00
74,06/20/20 04:05:00 PM,,0.00
75,06/20/20 04:10:00 PM,,0.00
76,06/20/20 04:15:00 PM,,0.00
77,06/20/20 04:20:00 PM,,0.00
78,06/20/20 04:25:00 PM,,0.00
79,06/20/20 04:30:00 PM,16.713,0.00
80,06/20/20 04:35:00 PM,,0.00
81,06/20/20 04:40:00 PM,,0.00
82,06/20/20 04:45:00 PM,,0.00
83,06/20/20 04:50:00 PM,,0.00
84,06/20/20 04:55:00 PM,,0.00
85,06/20/20 05:00:00 PM,15.282,0.00
86,06/20/20 05:05:00 PM,,0.00
87,06/20/20 05:10:00 PM,,0.00
88,06/20/20 05:15:00 PM,,0.00
89,06/20/20 05:20:00 PM,,0.00
90,06/20/20 05:25:00 PM,,0.00
91,06/20/20 05:30:00 PM,15.091,0.00
92,06/20/20 05:35:00 PM,,0.00
93,06/20/20 05:40:00 PM,,0.00
94,06/20/20 05:45:00 PM,,0.00
