sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
1,21/07/2020 11:44:09,23.4,26.8,-51
2,21/07/2020 11:49:09,23.8,26.4,-51
3,21/07/2020 11:54:09,20.9,25.3,-39
4,21/07/2020 11:59:09,21.3,26.0,-39
5,21/07/2020 12:04:09,19.9,24.5,-16
6,21/07/2020 12:09:09,17.1,21.3,-16
7,21/07/2020 12:14:09,15.1,19.2,-16
8,21/07/2020 12:19:09,13.8,17.8,-16
9,21/07/2020 12:24:09,13.1,16.8,-16
10,21/07/2020 12:29:09,12.5,16.1,-16
11,21/07/2020 12:34:09,11.8,15.5,-16
12,21/07/2020 12:39:09,11.5,15.1,-16
13,21/07/2020 12:44:09,11.5,14.8,-16
14,21/07/2020 12:49:09,11.2,14.5,-16
15,21/07/2020 12:54:09,10.8,14.5,-16
16,21/07/2020 12:59:09,10.8,14.5,-16
17,21/07/2020 13:04:09,10.8,14.1,-16
18,21/07/2020 13:09:09,10.8,14.1,-16
19,21/07/2020 13:14:09,10.5,14.1,-16
20,21/07/2020 13:19:09,10.5,14.1,-16
21,21/07/2020 13:24:09,10.5,14.1,-16
22,21/07/2020 13:29:09,10.5,14.1,-16
23,21/07/2020 13:34:09,10.5,14.1,-16
24,21/07/2020 13:39:09,10.5,14.1,-16
25,21/07/2020 13:44:09,10.5,13.8,-16
26,21/07/2020 13:49:09,10.5,13.8,-16
27,21/07/2020 13:54:09,10.5,13.8,-16
28,21/07/2020 13:59:09,10.5,13.8,-16
29,21/07/2020 14:04:09,10.5,13.8,-16
30,21/07/2020 14:09:09,10.5,13.8,-16
31,21/07/2020 14:14:09,10.5,13.8,-16
32,21/07/2020 14:19:09,10.5,13.8,-16
33,21/07/2020 14:24:09,10.5,13.8,-16
34,21/07/2020 14:29:09,10.5,13.8,-16
35,21/07/2020 14:34:09,10.5,13.8,-16
36,21/07/2020 14:39:09,10.5,13.8,-16
37,21/07/2020 14:44:09,10.5,13.8,-16
38,21/07/2020 14:49:09,10.5,13.8,-16
39,21/07/2020 14:54:09,10.5,13.8,-16
40,21/07/2020 14:59:09,10.5,13.8,-16
41,21/07/2020 15:04:09,10.5,13.8,-16
42,21/07/2020 15:09:09,10.5,13.8,-16
43,21/07/2020 15:14:09,10.5,13.8,-16
44,21/07/2020 15:19:09,10.5,13.8,-16
45,21/07/2020 15:24:09,10.5,13.8,-16
46,21/07/2020 15:29:09,10.5,13.8,-16
47,21/07/2020 15:34:09,10.5,13.8,-16
48,21/07/2020 15:39:09,10.5,13.8,-16
49,21/07/2020 15:44:09,10.5,13.8,-16
50,21/07/2020 15:49:09,10.5,13.8,-16
51,21/07/2020 15:54:09,10.5,13.8,-16
52,21/07/2020 15:59:09,10.5,13.8,-16
53,21/07/2020 16:04:09,10.5,13.8,-16
54,21/07/2020 16:09:09,10.5,13.8,-16
55,21/07/2020 16:14:09,10.5,13.8,-16
56,21/07/2020 16:19:09,10.5,13.8,-16
57,21/07/2020 16:24:09,10.5,13.8,-16
58,21/07/2020 16:29:09,10.5,13.8,-16
59,21/07/2020 16:34:09,10.5,13.8,-16
60,21/07/2020 16:39:09,10.5,13.8,-16
61,21/07/2020 16:44:09,10.5,13.8,-16
62,21/07/2020 16:49:09,10.5,13.8,-16
63,21/07/2020 16:54:09,10.5,13.8,-16
