sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
1,20/08/2020 13:03:55,22.3,24.2,-45
2,20/08/2020 13:08:55,22.7,23.1,-45
3,20/08/2020 13:13:55,19.9,21.6,-45
4,20/08/2020 13:18:55,18.2,20.2,-45
5,20/08/2020 13:23:55,17.1,19.5,-45
6,20/08/2020 13:28:55,16.1,18.8,-45
7,20/08/2020 13:33:55,15.8,18.5,-45
8,20/08/2020 13:38:55,15.5,18.2,-45
9,20/08/2020 13:43:55,15.1,17.8,-45
10,20/08/2020 13:48:55,15.1,17.8,-45
11,20/08/2020 13:53:55,14.8,17.5,-45
12,20/08/2020 13:58:55,14.8,17.5,-45
13,20/08/2020 14:03:55,14.8,17.5,-45
14,20/08/2020 14:08:55,14.8,17.5,-45
15,20/08/2020 14:13:55,14.8,17.5,-45
16,20/08/2020 14:18:55,14.8,17.5,-45
17,20/08/2020 14:23:55,14.8,17.5,-45
18,20/08/2020 14:28:55,14.8,17.5,-45
19,20/08/2020 14:33:55,14.8,17.5,-45
20,20/08/2020 14:38:55,14.8,17.1,-45
21,20/08/2020 14:43:55,14.8,17.1,-45
22,20/08/2020 14:48:55,14.8,17.1,-45
23,20/08/2020 14:53:55,14.8,17.1,-45
24,20/08/2020 14:58:55,14.8,17.1,-45
25,20/08/2020 15:03:55,14.8,17.1,-45
26,20/08/2020 15:08:55,14.8,17.1,-45
27,20/08/2020 15:13:55,14.8,17.1,-45
28,20/08/2020 15:18:55,14.8,17.1,-45
29,20/08/2020 15:23:55,14.8,17.1,-45
30,20/08/2020 15:28:55,14.8,17.1,-45
31,20/08/2020 15:33:55,14.8,17.1,-45
32,20/08/2020 15:38:55,14.5,17.1,-45
33,20/08/2020 15:43:55,14.5,17.1,-45
34,20/08/2020 15:48:55,14.5,17.1,-45
35,20/08/2020 15:53:55,14.5,17.1,-45
36,20/08/2020 15:58:55,14.5,17.1,-45
37,20/08/2020 16:03:55,14.5,17.1,-45
38,20/08/2020 16:08:55,14.5,17.1,-45
39,20/08/2020 16:13:55,14.5,17.1,-45
40,20/08/2020 16:18:55,14.5,17.1,-45
41,20/08/2020 16:23:55,14.5,17.1,-45
42,20/08/2020 16:28:55,14.5,17.1,-45
43,20/08/2020 16:33:55,14.5,17.1,-45
44,20/08/2020 16:38:55,14.5,17.1,-45
45,20/08/2020 16:43:55,14.5,17.1,-45
46,20/08/2020 16:48:55,14.5,17.1,-45
47,20/08/2020 16:53:55,14.5,17.1,-45
48,20/08/2020 16:58:55,14.5,17.1,-45
49,20/08/2020 17:03:55,14.5,17.1,-45
50,20/08/2020 17:08:55,14.5,17.1,-45
51,20/08/2020 17:13:55,14.5,17.1,-45
52,20/08/2020 17:18:55,14.5,17.1,-45
53,20/08/2020 17:23:55,14.5,17.1,-45
54,20/08/2020 17:28:55,14.5,17.1,-45
55,20/08/2020 17:33:55,14.5,17.1,-45
56,20/08/2020 17:38:55,14.5,17.1,-45
57,20/08/2020 17:43:55,14.5,17.1,-45
58,20/08/2020 17:48:55,14.5,17.1,-45
59,20/08/2020 17:53:55,14.5,17.1,-45
60,20/08/2020 17:58:55,14.5,17.1,-45
61,20/08/2020 18:03:55,14.5,17.1,-45
62,20/08/2020 18:08:55,14.5,17.1,-45
63,20/08/2020 18:13:55,14.5,17.1,-45
64,20/08/2020 18:18:55,14.5,17.1,-45
65,20/08/2020 18:23:55,14.5,17.1,-45
66,20/08/2020 18:28:55,14.5,17.1,-45
67,20/08/2020 18:33:55,14.5,17.1,-45
68,20/08/2020 18:38:55,14.5,17.1,-45
69,20/08/2020 18:43:55,14.5,17.1,-45
70,20/08/2020 18:48:55,14.5,17.1,-45
71,20/08/2020 18:53:55,14.5,17.1,-45
72,20/08/2020 18:58:55,14.5,17.1,-45
73,20/08/2020 19:03:55,14.5,17.1,-45
74,20/08/2020 19:08:55,14.5,17.1,-45
75,20/08/2020 19:13:55,14.5,17.1,-45
76,20/08/2020 19:18:55,14.5,17.1,-45
77,20/08/2020 19:23:55,14.5,17.1,-45
