"Plot Title: Sternenberg"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692704, SEN S/N: 10692704, LBL: Temperatur)","Niederschlag, units (LGR S/N: 10692704)"
1,08/20/20 08:00:00 AM,27.961,0.00
2,08/20/20 08:05:00 AM,28.060,0.00
3,08/20/20 08:10:00 AM,28.655,0.00
4,08/20/20 08:15:00 AM,29.252,0.00
5,08/20/20 08:20:00 AM,29.853,0.00
6,08/20/20 08:25:00 AM,30.356,0.00
7,08/20/20 08:30:00 AM,30.862,0.00
8,08/20/20 08:35:00 AM,30.862,0.00
9,08/20/20 08:40:00 AM,31.472,0.00
10,08/20/20 08:45:00 AM,32.291,0.00
11,08/20/20 08:50:00 AM,32.600,0.00
12,08/20/20 08:55:00 AM,32.704,0.00
13,08/20/20 09:00:00 AM,33.222,0.00
14,08/20/20 09:05:00 AM,34.058,0.00
15,08/20/20 09:10:00 AM,33.848,0.00
16,08/20/20 09:15:00 AM,33.848,0.00
17,08/20/20 09:20:00 AM,33.743,0.00
18,08/20/20 09:25:00 AM,34.374,0.00
19,08/20/20 09:30:00 AM,35.009,0.00
20,08/20/20 09:35:00 AM,35.115,0.00
21,08/20/20 09:40:00 AM,35.009,0.00
22,08/20/20 09:45:00 AM,35.009,0.00
23,08/20/20 09:50:00 AM,36.079,0.00
24,08/20/20 09:55:00 AM,36.511,0.00
25,08/20/20 10:00:00 AM,36.728,0.00
26,08/20/20 10:05:00 AM,37.274,0.00
27,08/20/20 10:10:00 AM,37.604,0.00
28,08/20/20 10:15:00 AM,37.824,0.00
29,08/20/20 10:20:00 AM,37.935,0.00
30,08/20/20 10:25:00 AM,37.714,0.00
31,08/20/20 10:30:00 AM,38.157,0.00
32,08/20/20 10:35:00 AM,38.268,0.00
33,08/20/20 10:40:00 AM,38.490,0.00
34,08/20/20 10:45:00 AM,38.826,0.00
35,08/20/20 10:50:00 AM,38.826,0.00
36,08/20/20 10:55:00 AM,39.276,0.00
37,08/20/20 11:00:00 AM,39.502,0.00
38,08/20/20 11:05:00 AM,39.615,0.00
39,08/20/20 11:10:00 AM,39.957,0.00
40,08/20/20 11:15:00 AM,40.300,0.00
41,08/20/20 11:20:00 AM,40.415,0.00
42,08/20/20 11:25:00 AM,40.761,0.00
43,08/20/20 11:30:00 AM,40.876,0.00
44,08/20/20 11:35:00 AM,40.185,0.00
45,08/20/20 11:40:00 AM,40.645,0.00
46,08/20/20 11:45:00 AM,41.225,0.00
47,08/20/20 11:50:00 AM,41.108,0.00
48,08/20/20 11:55:00 AM,41.341,0.00
49,08/20/20 12:00:00 PM,41.108,0.00
50,08/20/20 12:05:00 PM,41.575,0.00
51,08/20/20 12:10:00 PM,41.692,0.00
52,08/20/20 12:15:00 PM,41.928,0.00
53,08/20/20 12:20:00 PM,42.046,0.00
54,08/20/20 12:25:00 PM,42.639,0.00
55,08/20/20 12:30:00 PM,42.401,0.00
56,08/20/20 12:35:00 PM,42.758,0.00
57,08/20/20 12:40:00 PM,42.758,0.00
58,08/20/20 12:45:00 PM,42.401,0.00
59,08/20/20 12:50:00 PM,42.639,0.00
60,08/20/20 12:55:00 PM,42.639,0.00
61,08/20/20 01:00:00 PM,42.520,0.00
62,08/20/20 01:05:00 PM,42.878,0.00
63,08/20/20 01:10:00 PM,43.118,0.00
64,08/20/20 01:15:00 PM,43.238,0.00
65,08/20/20 01:20:00 PM,43.238,0.00
66,08/20/20 01:25:00 PM,42.046,0.00
67,08/20/20 01:30:00 PM,41.575,0.00
68,08/20/20 01:35:00 PM,42.282,0.00
69,08/20/20 01:40:00 PM,42.520,0.00
70,08/20/20 01:45:00 PM,42.998,0.00
71,08/20/20 01:50:00 PM,42.998,0.00
72,08/20/20 01:55:00 PM,42.758,0.00
73,08/20/20 02:00:00 PM,42.998,0.00
74,08/20/20 02:05:00 PM,42.878,0.00
75,08/20/20 02:10:00 PM,42.998,0.00
76,08/20/20 02:15:00 PM,43.238,0.00
77,08/20/20 02:20:00 PM,43.480,0.00
78,08/20/20 02:25:00 PM,42.282,0.00
79,08/20/20 02:30:00 PM,41.341,0.00
80,08/20/20 02:35:00 PM,40.992,0.00
81,08/20/20 02:40:00 PM,40.530,0.00
82,08/20/20 02:45:00 PM,40.300,0.00
83,08/20/20 02:50:00 PM,38.379,0.00
84,08/20/20 02:55:00 PM,36.837,0.00
85,08/20/20 03:00:00 PM,36.187,0.00
86,08/20/20 03:05:00 PM,35.971,0.00
87,08/20/20 03:10:00 PM,35.649,0.00
88,08/20/20 03:15:00 PM,35.756,0.00
89,08/20/20 03:20:00 PM,35.864,0.00
90,08/20/20 03:25:00 PM,36.403,0.00
91,08/20/20 03:30:00 PM,38.046,0.00
92,08/20/20 03:35:00 PM,38.826,0.00
93,08/20/20 03:40:00 PM,37.274,0.00
94,08/20/20 03:45:00 PM,36.079,0.00
95,08/20/20 03:50:00 PM,35.542,0.00
96,08/20/20 03:55:00 PM,35.328,0.00
97,08/20/20 04:00:00 PM,35.115,0.00
98,08/20/20 04:05:00 PM,34.796,0.00
99,08/20/20 04:10:00 PM,34.691,0.00
100,08/20/20 04:15:00 PM,34.585,0.00
101,08/20/20 04:20:00 PM,34.479,0.00
102,08/20/20 04:25:00 PM,34.479,0.00
103,08/20/20 04:30:00 PM,34.374,0.00
104,08/20/20 04:35:00 PM,34.268,0.00
105,08/20/20 04:40:00 PM,34.163,0.00
106,08/20/20 04:45:00 PM,34.058,0.00
107,08/20/20 04:50:00 PM,33.953,0.00
108,08/20/20 04:55:00 PM,33.848,0.00
109,08/20/20 05:00:00 PM,33.848,0.00
110,08/20/20 05:05:00 PM,33.848,0.00
111,08/20/20 05:10:00 PM,33.639,0.00
112,08/20/20 05:15:00 PM,34.058,0.00
113,08/20/20 05:20:00 PM,34.058,0.00
114,08/20/20 05:25:00 PM,33.848,0.00
115,08/20/20 05:30:00 PM,33.430,0.00
116,08/20/20 05:35:00 PM,33.118,0.00
117,08/20/20 05:40:00 PM,32.704,0.00
118,08/20/20 05:45:00 PM,32.291,0.00
119,08/20/20 05:50:00 PM,31.676,0.00
120,08/20/20 05:55:00 PM,31.064,0.00
121,08/20/20 06:00:00 PM,30.558,0.00
122,08/20/20 06:05:00 PM,30.963,0.00
123,08/20/20 06:10:00 PM,30.356,0.00
124,08/20/20 06:15:00 PM,29.652,0.00
125,08/20/20 06:20:00 PM,29.053,0.00
126,08/20/20 06:25:00 PM,28.456,0.00
127,08/20/20 06:30:00 PM,28.060,0.00
128,08/20/20 06:35:00 PM,27.665,0.00
129,08/20/20 06:40:00 PM,27.370,0.00
130,08/20/20 06:45:00 PM,27.075,0.00
131,08/20/20 06:50:00 PM,26.879,0.00
132,08/20/20 06:55:00 PM,26.781,0.00
133,08/20/20 07:00:00 PM,26.488,0.00
134,08/20/20 07:05:00 PM,26.292,0.00
135,08/20/20 07:10:00 PM,26.195,0.00
136,08/20/20 07:15:00 PM,26.097,0.00
137,08/20/20 07:20:00 PM,26.000,0.00
138,08/20/20 07:25:00 PM,25.902,0.00
139,08/20/20 07:30:00 PM,25.902,0.00
140,08/20/20 07:35:00 PM,25.902,0.00
141,08/20/20 07:40:00 PM,25.805,0.00
142,08/20/20 07:45:00 PM,25.610,0.00
143,08/20/20 07:50:00 PM,25.513,0.00
144,08/20/20 07:55:00 PM,25.610,0.00
145,08/20/20 08:00:00 PM,25.610,0.00
146,08/20/20 08:05:00 PM,25.610,0.00
147,08/20/20 08:10:00 PM,25.610,0.00
148,08/20/20 08:15:00 PM,25.513,0.00
149,08/20/20 08:20:00 PM,25.708,0.00
150,08/20/20 08:25:00 PM,25.902,0.00
151,08/20/20 08:30:00 PM,26.195,0.00
152,08/20/20 08:35:00 PM,26.292,0.00
153,08/20/20 08:40:00 PM,26.390,0.00
154,08/20/20 08:45:00 PM,26.488,0.00
155,08/20/20 08:50:00 PM,26.488,0.00
156,08/20/20 08:55:00 PM,26.488,0.00
157,08/20/20 09:00:00 PM,26.585,0.00
158,08/20/20 09:05:00 PM,26.683,0.00
159,08/20/20 09:10:00 PM,27.173,0.00
160,08/20/20 09:15:00 PM,27.370,0.00
161,08/20/20 09:20:00 PM,27.468,0.00
162,08/20/20 09:25:00 PM,27.468,0.00
163,08/20/20 09:30:00 PM,27.567,0.00
164,08/20/20 09:35:00 PM,27.567,0.00
165,08/20/20 09:40:00 PM,27.567,0.00
166,08/20/20 09:45:00 PM,27.567,0.00
167,08/20/20 09:50:00 PM,27.567,0.00
168,08/20/20 09:55:00 PM,27.567,0.00
169,08/20/20 10:00:00 PM,27.567,0.00
170,08/20/20 10:05:00 PM,27.567,0.00
171,08/20/20 10:10:00 PM,27.468,0.00
172,08/20/20 10:15:00 PM,27.468,0.00
173,08/20/20 10:20:00 PM,27.567,0.00
174,08/20/20 10:25:00 PM,27.567,0.00
175,08/20/20 10:30:00 PM,27.665,0.00
176,08/20/20 10:35:00 PM,27.764,0.00
177,08/20/20 10:40:00 PM,27.862,0.00
178,08/20/20 10:45:00 PM,27.961,0.00
179,08/20/20 10:50:00 PM,27.567,0.00
180,08/20/20 10:55:00 PM,26.683,0.00
181,08/20/20 11:00:00 PM,26.000,0.00
182,08/20/20 11:05:00 PM,25.416,0.00
183,08/20/20 11:10:00 PM,24.931,0.00
184,08/20/20 11:15:00 PM,24.448,0.00
185,08/20/20 11:20:00 PM,23.966,0.00
186,08/20/20 11:25:00 PM,23.581,0.00
187,08/20/20 11:30:00 PM,23.292,0.00
188,08/20/20 11:35:00 PM,23.004,0.00
189,08/20/20 11:40:00 PM,22.812,0.00
190,08/20/20 11:45:00 PM,22.525,0.00
191,08/20/20 11:50:00 PM,22.333,0.00
192,08/20/20 11:55:00 PM,22.238,0.00
193,08/21/20 12:00:00 AM,22.142,0.00
194,08/21/20 12:05:00 AM,21.951,0.00
195,08/21/20 12:10:00 AM,21.855,0.00
196,08/21/20 12:15:00 AM,21.760,0.00
197,08/21/20 12:20:00 AM,21.664,0.00
198,08/21/20 12:25:00 AM,21.569,0.00
199,08/21/20 12:30:00 AM,21.664,0.00
200,08/21/20 12:35:00 AM,22.046,0.00
201,08/21/20 12:40:00 AM,22.429,0.00
202,08/21/20 12:45:00 AM,22.525,0.00
203,08/21/20 12:50:00 AM,22.621,0.00
204,08/21/20 12:55:00 AM,22.525,0.00
205,08/21/20 01:00:00 AM,22.525,0.00
206,08/21/20 01:05:00 AM,22.621,0.00
207,08/21/20 01:10:00 AM,22.717,0.00
208,08/21/20 01:15:00 AM,22.812,0.00
209,08/21/20 01:20:00 AM,22.525,0.00
210,08/21/20 01:25:00 AM,22.333,0.00
211,08/21/20 01:30:00 AM,22.238,0.00
212,08/21/20 01:35:00 AM,22.142,0.00
213,08/21/20 01:40:00 AM,21.951,0.00
214,08/21/20 01:45:00 AM,21.855,0.00
215,08/21/20 01:50:00 AM,21.664,0.00
216,08/21/20 01:55:00 AM,21.569,0.00
217,08/21/20 02:00:00 AM,21.378,0.00
218,08/21/20 02:05:00 AM,21.187,0.00
