"TOA5","Schafhof5","CR200X","No_SN","CR200X.Std.01","Messung.CR2","20312","Table2"
"TIMESTAMP","RECORD","BattV_Min","VWC_2_Avg","EC_2_Avg","T_2_Avg"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C"
"","","Min","Avg","Avg","Avg"
"2020-09-07 04:30:00",801960,13.25558,0.2623,0.0012,17.1179
"2020-09-07 04:35:00",801961,13.24634,0.2622,0.0015,17.1207
"2020-09-07 04:40:00",801962,13.2497,0.2623,0.0013,17.1317
"2020-09-07 04:45:00",801963,13.24802,0.2623,0.0013,17.1125
"2020-09-07 04:50:00",801964,13.25558,0.2623,0.0012,17.1152
"2020-09-07 04:55:00",801965,13.24467,0.2623,0.0013,17.1207
"2020-09-07 05:00:00",801966,13.2539,0.2623,0.0012,17.1152
"2020-09-07 05:05:00",801967,13.24802,0.2623,0.0013,17.1152
"2020-09-07 05:10:00",801968,13.2539,0.2623,0.0013,17.0933
"2020-09-07 05:15:00",801969,13.2497,0.2623,0.0012,17.1015
"2020-09-07 05:20:00",801970,13.25558,0.2623,0.0013,17.1234
"2020-09-07 05:25:00",801971,13.24467,0.2623,0.0014,17.1179
"2020-09-07 05:30:00",801972,13.25054,0.2623,0.0013,17.1371
"2020-09-07 05:35:00",801973,13.24634,0.2622,0.0014,17.1097
"2020-09-07 05:40:00",801974,13.2497,0.2622,0.0014,17.1125
"2020-09-07 05:45:00",801975,13.25138,0.2623,0.0013,17.0933
"2020-09-07 05:50:00",801976,13.25054,0.2623,0.0014,17.1097
"2020-09-07 05:55:00",801977,13.2539,0.2623,0.0013,17.1043
"2020-09-07 06:00:00",801978,13.24886,0.2623,0.0014,17.0823
"2020-09-07 06:05:00",801979,13.24467,0.2623,0.0013,17.0905
"2020-09-07 06:10:00",801980,13.25054,0.2623,0.0012,17.1179
"2020-09-07 06:15:00",801981,13.2497,0.2623,0.0013,17.1207
"2020-09-07 06:20:00",801982,13.25642,0.2623,0.0013,17.0741
"2020-09-07 06:25:00",801983,13.2539,0.2623,0.0013,17.0988
"2020-09-07 06:30:00",801984,13.25222,0.2623,0.0013,17.0851
"2020-09-07 06:35:00",801985,13.25138,0.2623,0.0013,17.0796
"2020-09-07 06:40:00",801986,13.2581,0.2623,0.0013,17.0905
"2020-09-07 06:45:00",801987,13.24634,0.2623,0.0013,17.096
"2020-09-07 06:50:00",801988,13.25222,0.2623,0.0013,17.1234
"2020-09-07 06:55:00",801989,13.24634,0.2623,0.0012,17.0988
"2020-09-07 07:00:00",801990,13.25558,0.2623,0.0013,17.096
"2020-09-07 07:05:00",801991,13.2497,0.2623,0.0012,17.0878
"2020-09-07 07:10:00",801992,13.25558,0.2623,0.0012,17.1152
"2020-09-07 07:15:00",801993,13.25138,0.2622,0.0014,17.1289
"2020-09-07 07:20:00",801994,13.25474,0.2623,0.0013,17.096
"2020-09-07 07:25:00",801995,13.25306,0.2623,0.0013,17.096
"2020-09-07 07:30:00",801996,13.24634,0.2623,0.0013,17.096
"2020-09-07 07:35:00",801997,13.24886,0.2623,0.0012,17.1097
