"Plot Title: Sportplatz"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177317, SEN S/N: 10177317)","Cum. Sum. Niederschlag, mm (LGR S/N: 10177317, SEN S/N: 10177317)"
1,10/22/20 09:00:00 AM,19.472,0.0
2,10/22/20 09:30:00 AM,18.616,
3,10/22/20 10:00:00 AM,19.092,
4,10/22/20 10:30:00 AM,19.472,
5,10/22/20 11:00:00 AM,19.853,
6,10/22/20 11:30:00 AM,20.234,
7,10/22/20 12:00:00 PM,20.710,
8,10/22/20 12:30:00 PM,20.615,
9,10/22/20 01:00:00 PM,19.853,
10,10/22/20 01:30:00 PM,18.901,
11,10/22/20 02:00:00 PM,18.711,
12,10/22/20 02:30:00 PM,18.045,
13,10/22/20 03:00:00 PM,17.665,
14,10/22/20 03:30:00 PM,17.284,
15,10/22/20 03:44:08 PM,,0.2
16,10/22/20 04:00:00 PM,15.378,
17,10/22/20 04:12:56 PM,,0.4
18,10/22/20 04:30:00 PM,14.804,
19,10/22/20 05:00:00 PM,14.900,
20,10/22/20 05:30:00 PM,15.473,
21,10/22/20 06:00:00 PM,15.282,
22,10/22/20 06:30:00 PM,15.282,
23,10/22/20 07:00:00 PM,15.569,
24,10/22/20 07:30:00 PM,15.473,
25,10/22/20 08:00:00 PM,15.282,
26,10/22/20 08:30:00 PM,15.187,
27,10/22/20 09:00:00 PM,14.996,
28,10/22/20 09:30:00 PM,14.804,
29,10/22/20 10:00:00 PM,14.517,
30,10/22/20 10:30:00 PM,14.230,
31,10/22/20 11:00:00 PM,14.134,
32,10/22/20 11:30:00 PM,14.038,
33,10/23/20 12:00:00 AM,14.038,
34,10/23/20 12:17:51 AM,,0.6
35,10/23/20 12:30:00 AM,14.134,
36,10/23/20 12:39:33 AM,,0.8
37,10/23/20 12:54:06 AM,,1.0
38,10/23/20 01:00:00 AM,13.750,
39,10/23/20 01:11:03 AM,,1.2
40,10/23/20 01:23:24 AM,,1.4
41,10/23/20 01:30:00 AM,13.750,
42,10/23/20 01:32:46 AM,,1.6
43,10/23/20 01:46:15 AM,,1.8
44,10/23/20 02:00:00 AM,13.461,
45,10/23/20 02:15:27 AM,,2.0
46,10/23/20 02:30:00 AM,13.365,
47,10/23/20 02:34:18 AM,,2.2
48,10/23/20 02:46:08 AM,,2.4
49,10/23/20 02:59:07 AM,,2.6
50,10/23/20 03:00:00 AM,13.269,
51,10/23/20 03:16:53 AM,,2.8
52,10/23/20 03:30:00 AM,13.076,
53,10/23/20 03:34:02 AM,,3.0
54,10/23/20 04:00:00 AM,12.980,
55,10/23/20 04:30:00 AM,12.787,
56,10/23/20 04:48:03 AM,,3.2
57,10/23/20 05:00:00 AM,12.787,
58,10/23/20 05:30:00 AM,12.690,
59,10/23/20 06:00:00 AM,12.497,
60,10/23/20 06:30:00 AM,12.401,
61,10/23/20 07:00:00 AM,12.787,
62,10/23/20 07:30:00 AM,13.173,
63,10/23/20 08:00:00 AM,13.750,
64,10/23/20 08:30:00 AM,13.654,
65,10/23/20 09:00:00 AM,13.750,
66,10/23/20 09:30:00 AM,14.134,
67,10/23/20 09:47:43 AM,,3.4
68,10/23/20 10:00:00 AM,14.230,
69,10/23/20 10:26:30 AM,,3.6
70,10/23/20 10:30:00 AM,14.230,
71,10/23/20 10:32:50 AM,,3.8
72,10/23/20 10:39:53 AM,,4.0
73,10/23/20 10:44:25 AM,,4.2
74,10/23/20 10:49:37 AM,,4.4
75,10/23/20 10:52:47 AM,,4.6
76,10/23/20 10:59:48 AM,,4.8
77,10/23/20 11:00:00 AM,14.038,
78,10/23/20 11:05:36 AM,,5.0
79,10/23/20 11:10:06 AM,,5.2
80,10/23/20 11:15:58 AM,,5.4
81,10/23/20 11:20:59 AM,,5.6
82,10/23/20 11:26:58 AM,,5.8
83,10/23/20 11:30:00 AM,14.325,
84,10/23/20 11:36:24 AM,,6.0
85,10/23/20 11:44:41 AM,,6.2
86,10/23/20 11:55:00 AM,,6.4
87,10/23/20 12:00:00 PM,14.517,
88,10/23/20 12:07:41 PM,,6.6
89,10/23/20 12:30:00 PM,14.613,
90,10/23/20 12:59:05 PM,,6.8
91,10/23/20 01:00:00 PM,14.517,
92,10/23/20 01:18:52 PM,,7.0
