"Plot Title: Schönbrunn"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177316, SEN S/N: 10177316)","Event Count: Cum. Sum: Niederschlag, # (LGR S/N: 10177316)"
1,11/27/20 12:00:00 AM,,1
2,11/27/20 10:00:00 AM,7.179,
3,11/27/20 10:30:00 AM,11.236,
4,11/27/20 11:00:00 AM,15.760,
5,11/27/20 11:30:00 AM,9.176,
6,11/27/20 12:00:00 PM,8.680,
7,11/27/20 12:30:00 PM,7.481,
8,11/27/20 01:00:00 PM,6.674,
9,11/27/20 01:30:00 PM,6.471,
10,11/27/20 02:00:00 PM,5.962,
11,11/27/20 02:30:00 PM,5.860,
12,11/27/20 03:00:00 PM,5.347,
13,11/27/20 03:30:00 PM,5.347,
14,11/27/20 04:00:00 PM,5.244,
15,11/27/20 04:30:00 PM,5.141,
16,11/27/20 05:00:00 PM,5.450,
17,11/27/20 05:30:00 PM,6.573,
18,11/27/20 06:00:00 PM,7.280,
19,11/27/20 06:30:00 PM,6.775,
20,11/27/20 07:00:00 PM,5.552,
21,11/27/20 07:30:00 PM,5.037,
22,11/27/20 08:00:00 PM,4.831,
23,11/27/20 08:30:00 PM,4.207,
24,11/27/20 09:00:00 PM,4.415,
25,11/27/20 09:30:00 PM,3.998,
26,11/27/20 10:00:00 PM,3.788,
27,11/27/20 10:30:00 PM,3.155,
28,11/27/20 11:00:00 PM,3.049,
29,11/27/20 11:30:00 PM,2.837,
30,11/28/20 12:00:00 AM,2.730,0
31,11/28/20 12:30:00 AM,2.624,
32,11/28/20 01:00:00 AM,2.730,
33,11/28/20 01:30:00 AM,2.624,
34,11/28/20 02:00:00 AM,2.303,
35,11/28/20 02:30:00 AM,2.195,
36,11/28/20 03:00:00 AM,2.088,
37,11/28/20 03:30:00 AM,2.088,
38,11/28/20 04:00:00 AM,2.088,
39,11/28/20 04:30:00 AM,1.330,
40,11/28/20 05:00:00 AM,1.439,
41,11/28/20 05:30:00 AM,1.221,
42,11/28/20 06:00:00 AM,1.330,
43,11/28/20 06:30:00 AM,1.221,
44,11/28/20 07:00:00 AM,1.330,
45,11/28/20 07:30:00 AM,1.221,
46,11/28/20 08:00:00 AM,0.784,
47,11/28/20 08:30:00 AM,1.872,
48,11/28/20 09:00:00 AM,2.624,
49,11/28/20 09:30:00 AM,3.683,
50,11/28/20 10:00:00 AM,4.311,
51,11/28/20 10:30:00 AM,8.978,
52,11/28/20 11:00:00 AM,12.013,
53,11/28/20 11:30:00 AM,8.282,
54,11/28/20 12:00:00 PM,8.082,
55,11/28/20 12:30:00 PM,8.581,
56,11/28/20 01:00:00 PM,7.882,
57,11/28/20 01:30:00 PM,7.682,
58,11/28/20 02:00:00 PM,7.682,
59,11/28/20 02:30:00 PM,7.179,
60,11/28/20 03:00:00 PM,6.064,
61,11/28/20 03:30:00 PM,6.978,
62,11/28/20 04:00:00 PM,6.268,
63,11/28/20 04:30:00 PM,6.370,
64,11/28/20 05:00:00 PM,5.552,
65,11/28/20 05:30:00 PM,4.415,
66,11/28/20 06:00:00 PM,4.727,
67,11/28/20 06:30:00 PM,4.415,
68,11/28/20 07:00:00 PM,4.415,
69,11/28/20 07:30:00 PM,5.244,
70,11/28/20 08:00:00 PM,4.727,
71,11/28/20 08:30:00 PM,4.519,
72,11/28/20 09:00:00 PM,4.207,
73,11/28/20 09:30:00 PM,3.893,
74,11/28/20 10:00:00 PM,3.788,
75,11/28/20 10:30:00 PM,3.788,
76,11/28/20 11:00:00 PM,3.261,
77,11/28/20 11:30:00 PM,1.872,
78,11/29/20 12:00:00 AM,1.221,0
79,11/29/20 12:30:00 AM,0.343,
80,11/29/20 01:00:00 AM,-0.325,
81,11/29/20 01:30:00 AM,-0.887,
82,11/29/20 02:00:00 AM,-1.228,
83,11/29/20 02:30:00 AM,-1.341,
84,11/29/20 03:00:00 AM,-1.114,
85,11/29/20 03:30:00 AM,-0.887,
86,11/29/20 04:00:00 AM,-1.456,
87,11/29/20 04:30:00 AM,-1.799,
88,11/29/20 05:00:00 AM,-2.494,
89,11/29/20 05:30:00 AM,-2.844,
90,11/29/20 06:00:00 AM,-2.844,
91,11/29/20 06:30:00 AM,-3.079,
92,11/29/20 07:00:00 AM,-3.079,
93,11/29/20 07:30:00 AM,-3.079,
94,11/29/20 08:00:00 AM,-3.079,
95,11/29/20 08:30:00 AM,-2.610,
96,11/29/20 09:00:00 AM,-2.145,
