"Plot Title: Schönbrunn"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177316, SEN S/N: 10177316)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177316)"
1,12/19/20 12:00:00 AM,,0.0
2,12/19/20 01:00:00 PM,10.944,
3,12/19/20 01:30:00 PM,11.528,
4,12/19/20 02:00:00 PM,11.041,
5,12/19/20 02:30:00 PM,11.431,
6,12/19/20 03:00:00 PM,11.722,
7,12/19/20 03:30:00 PM,11.431,
8,12/19/20 04:00:00 PM,11.431,
9,12/19/20 04:30:00 PM,11.236,
10,12/19/20 05:00:00 PM,10.944,
11,12/19/20 05:30:00 PM,10.748,
12,12/19/20 06:00:00 PM,10.553,
13,12/19/20 06:30:00 PM,10.357,
14,12/19/20 07:00:00 PM,10.063,
15,12/19/20 07:30:00 PM,9.965,
16,12/19/20 08:00:00 PM,9.866,
17,12/19/20 08:30:00 PM,9.866,
18,12/19/20 09:00:00 PM,9.965,
19,12/19/20 09:30:00 PM,9.866,
20,12/19/20 10:00:00 PM,9.866,
21,12/19/20 10:30:00 PM,9.965,
22,12/19/20 11:00:00 PM,9.669,
23,12/19/20 11:30:00 PM,9.866,
24,12/20/20 12:00:00 AM,9.866,4.2
25,12/20/20 12:30:00 AM,10.063,
26,12/20/20 01:00:00 AM,10.063,
27,12/20/20 01:30:00 AM,9.965,
28,12/20/20 02:00:00 AM,9.768,
29,12/20/20 02:30:00 AM,9.965,
30,12/20/20 03:00:00 AM,9.866,
31,12/20/20 03:30:00 AM,9.571,
32,12/20/20 04:00:00 AM,9.571,
33,12/20/20 04:30:00 AM,9.669,
34,12/20/20 05:00:00 AM,9.373,
35,12/20/20 05:30:00 AM,8.581,
36,12/20/20 06:00:00 AM,8.282,
37,12/20/20 06:30:00 AM,8.282,
38,12/20/20 07:00:00 AM,8.282,
39,12/20/20 07:30:00 AM,8.182,
40,12/20/20 08:00:00 AM,7.782,
41,12/20/20 08:30:00 AM,8.082,
42,12/20/20 09:00:00 AM,8.082,
43,12/20/20 09:30:00 AM,7.882,
44,12/20/20 10:00:00 AM,7.983,
45,12/20/20 10:30:00 AM,7.782,
46,12/20/20 11:00:00 AM,8.282,
47,12/20/20 11:30:00 AM,8.082,
48,12/20/20 12:00:00 PM,8.082,
49,12/20/20 12:30:00 PM,7.882,
50,12/20/20 01:00:00 PM,7.582,
51,12/20/20 01:30:00 PM,7.582,
52,12/20/20 02:00:00 PM,6.674,
53,12/20/20 02:30:00 PM,6.471,
54,12/20/20 03:00:00 PM,6.775,
55,12/20/20 03:30:00 PM,6.775,
56,12/20/20 04:00:00 PM,6.674,
57,12/20/20 04:30:00 PM,6.573,
58,12/20/20 05:00:00 PM,6.370,
59,12/20/20 05:30:00 PM,6.573,
60,12/20/20 06:00:00 PM,6.370,
61,12/20/20 06:30:00 PM,6.471,
62,12/20/20 07:00:00 PM,6.471,
63,12/20/20 07:30:00 PM,6.471,
64,12/20/20 08:00:00 PM,6.573,
65,12/20/20 08:30:00 PM,6.573,
66,12/20/20 09:00:00 PM,6.573,
67,12/20/20 09:30:00 PM,6.471,
68,12/20/20 10:00:00 PM,6.268,
69,12/20/20 10:30:00 PM,6.268,
70,12/20/20 11:00:00 PM,6.268,
71,12/20/20 11:30:00 PM,6.166,
72,12/21/20 12:00:00 AM,6.064,5.8
73,12/21/20 12:30:00 AM,6.166,
74,12/21/20 01:00:00 AM,6.064,
75,12/21/20 01:30:00 AM,5.757,
76,12/21/20 02:00:00 AM,5.450,
77,12/21/20 02:30:00 AM,5.244,
78,12/21/20 03:00:00 AM,5.141,
79,12/21/20 03:30:00 AM,5.757,
80,12/21/20 04:00:00 AM,5.860,
81,12/21/20 04:30:00 AM,5.860,
82,12/21/20 05:00:00 AM,5.655,
83,12/21/20 05:30:00 AM,5.757,
84,12/21/20 06:00:00 AM,5.655,
85,12/21/20 06:30:00 AM,5.757,
86,12/21/20 07:00:00 AM,5.860,
87,12/21/20 07:30:00 AM,5.860,
88,12/21/20 08:00:00 AM,6.064,
89,12/21/20 08:30:00 AM,6.268,
90,12/21/20 09:00:00 AM,6.573,
91,12/21/20 09:30:00 AM,6.674,
92,12/21/20 10:00:00 AM,6.877,
93,12/21/20 10:30:00 AM,6.978,
94,12/21/20 11:00:00 AM,7.079,
95,12/21/20 11:30:00 AM,6.674,
96,12/21/20 12:00:00 PM,6.573,
97,12/21/20 12:30:00 PM,6.674,
98,12/21/20 01:00:00 PM,7.179,
99,12/21/20 01:30:00 PM,7.481,
100,12/21/20 02:00:00 PM,7.582,
101,12/21/20 02:30:00 PM,7.682,
102,12/21/20 03:00:00 PM,7.079,
103,12/21/20 03:30:00 PM,6.573,
104,12/21/20 04:00:00 PM,6.978,
105,12/21/20 04:30:00 PM,7.381,
106,12/21/20 05:00:00 PM,7.280,
107,12/21/20 05:30:00 PM,7.179,
108,12/21/20 06:00:00 PM,6.674,
109,12/21/20 06:30:00 PM,6.573,
110,12/21/20 07:00:00 PM,6.674,
111,12/21/20 07:30:00 PM,6.877,
112,12/21/20 08:00:00 PM,7.179,
113,12/21/20 08:30:00 PM,7.280,
114,12/21/20 09:00:00 PM,7.582,
115,12/21/20 09:30:00 PM,7.782,
116,12/21/20 10:00:00 PM,7.882,
117,12/21/20 10:30:00 PM,8.182,
118,12/21/20 11:00:00 PM,8.680,
119,12/21/20 11:30:00 PM,8.581,
120,12/22/20 12:00:00 AM,8.581,13.2
121,12/22/20 12:30:00 AM,8.779,
122,12/22/20 01:00:00 AM,9.176,
123,12/22/20 01:30:00 AM,9.077,
124,12/22/20 02:00:00 AM,8.978,
125,12/22/20 02:30:00 AM,8.978,
126,12/22/20 03:00:00 AM,9.077,
127,12/22/20 03:30:00 AM,9.275,
128,12/22/20 04:00:00 AM,9.669,
129,12/22/20 04:30:00 AM,9.571,
130,12/22/20 05:00:00 AM,9.965,
131,12/22/20 05:30:00 AM,9.965,
132,12/22/20 06:00:00 AM,10.259,
133,12/22/20 06:30:00 AM,10.455,
134,12/22/20 07:00:00 AM,10.259,
135,12/22/20 07:30:00 AM,10.161,
136,12/22/20 08:00:00 AM,9.768,
137,12/22/20 08:30:00 AM,9.669,
138,12/22/20 09:00:00 AM,9.571,
139,12/22/20 09:30:00 AM,9.571,
140,12/22/20 10:00:00 AM,9.669,
141,12/22/20 10:30:00 AM,9.669,
142,12/22/20 11:00:00 AM,9.866,
143,12/22/20 11:30:00 AM,9.866,
144,12/22/20 12:00:00 PM,10.161,
145,12/22/20 12:30:00 PM,10.161,
146,12/22/20 01:00:00 PM,10.259,
147,12/22/20 01:30:00 PM,10.357,
148,12/22/20 02:00:00 PM,10.357,
149,12/22/20 02:30:00 PM,10.553,
150,12/22/20 03:00:00 PM,10.651,
151,12/22/20 03:30:00 PM,10.846,
152,12/22/20 04:00:00 PM,11.041,
153,12/22/20 04:30:00 PM,11.041,
154,12/22/20 05:00:00 PM,11.041,
155,12/22/20 05:30:00 PM,11.139,
156,12/22/20 06:00:00 PM,11.041,
157,12/22/20 06:30:00 PM,11.236,
158,12/22/20 07:00:00 PM,11.334,
159,12/22/20 07:30:00 PM,11.334,
160,12/22/20 08:00:00 PM,11.431,
161,12/22/20 08:30:00 PM,11.528,
162,12/22/20 09:00:00 PM,11.819,
163,12/22/20 09:30:00 PM,12.013,
164,12/22/20 10:00:00 PM,12.013,
165,12/22/20 10:30:00 PM,12.110,
166,12/22/20 11:00:00 PM,12.013,
167,12/22/20 11:30:00 PM,12.013,
168,12/23/20 12:00:00 AM,11.916,17.4
169,12/23/20 12:30:00 AM,12.013,
170,12/23/20 01:00:00 AM,11.916,
171,12/23/20 01:30:00 AM,11.819,
172,12/23/20 02:00:00 AM,11.916,
173,12/23/20 02:30:00 AM,12.013,
174,12/23/20 03:00:00 AM,12.304,
175,12/23/20 03:30:00 AM,12.401,
176,12/23/20 04:00:00 AM,12.207,
177,12/23/20 04:30:00 AM,11.916,
