"Plot Title: Sportplatz"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177317, SEN S/N: 10177317)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177317)","Coupler Attached (LGR S/N: 10177317)","Host Connected (LGR S/N: 10177317)","End Of File (LGR S/N: 10177317)"
1,04/29/22 08:00:00 AM,15.282,0.0,,,
2,04/29/22 08:05:00 AM,,0.0,,,
3,04/29/22 08:10:00 AM,,0.0,,,
4,04/29/22 08:15:00 AM,,0.0,,,
5,04/29/22 08:20:00 AM,,0.0,,,
6,04/29/22 08:25:00 AM,,0.0,,,
7,04/29/22 08:30:00 AM,16.427,0.0,,,
8,04/29/22 08:35:00 AM,,0.0,,,
9,04/29/22 08:40:00 AM,,0.0,,,
10,04/29/22 08:45:00 AM,,0.0,,,
11,04/29/22 08:50:00 AM,,0.0,,,
12,04/29/22 08:55:00 AM,,0.0,,,
13,04/29/22 09:00:00 AM,16.903,0.0,,,
14,04/29/22 09:05:00 AM,,0.0,,,
15,04/29/22 09:10:00 AM,,0.0,,,
16,04/29/22 09:15:00 AM,,0.0,,,
17,04/29/22 09:20:00 AM,,0.0,,,
18,04/29/22 09:25:00 AM,,0.0,,,
19,04/29/22 09:30:00 AM,18.236,0.0,,,
20,04/29/22 09:35:00 AM,,0.0,,,
21,04/29/22 09:40:00 AM,,0.0,,,
22,04/29/22 09:45:00 AM,,0.0,,,
23,04/29/22 09:50:00 AM,,0.0,,,
24,04/29/22 09:55:00 AM,,0.0,,,
25,04/29/22 10:00:00 AM,19.092,0.0,,,
26,04/29/22 10:05:00 AM,,0.0,,,
27,04/29/22 10:10:00 AM,,0.0,,,
28,04/29/22 10:15:00 AM,,0.0,,,
29,04/29/22 10:20:00 AM,,0.0,,,
30,04/29/22 10:25:00 AM,,0.0,,,
31,04/29/22 10:30:00 AM,19.758,0.0,,,
32,04/29/22 10:35:00 AM,,0.0,,,
33,04/29/22 10:40:00 AM,,0.0,,,
34,04/29/22 10:45:00 AM,,0.0,,,
35,04/29/22 10:50:00 AM,,0.0,,,
36,04/29/22 10:55:00 AM,,0.0,,,
37,04/29/22 11:00:00 AM,21.091,0.0,,,
38,04/29/22 11:05:00 AM,,0.0,,,
39,04/29/22 11:10:00 AM,,0.0,,,
40,04/29/22 11:15:00 AM,,0.0,,,
41,04/29/22 11:20:00 AM,,0.0,,,
42,04/29/22 11:25:00 AM,,0.0,,,
43,04/29/22 11:30:00 AM,22.717,0.0,,,
44,04/29/22 11:35:00 AM,,0.0,,,
45,04/29/22 11:40:00 AM,,0.0,,,
46,04/29/22 11:45:00 AM,,0.0,,,
47,04/29/22 11:50:00 AM,,0.0,,,
48,04/29/22 11:55:00 AM,,0.0,,,
49,04/29/22 12:00:00 PM,23.869,0.0,,,
50,04/29/22 12:05:00 PM,,0.0,,,
51,04/29/22 12:10:00 PM,,0.0,,,
52,04/29/22 12:15:00 PM,,0.0,,,
53,04/29/22 12:20:00 PM,,0.0,,,
54,04/29/22 12:25:00 PM,,0.0,,,
55,04/29/22 12:30:00 PM,21.569,0.0,,,
56,04/29/22 12:35:00 PM,,0.0,,,
57,04/29/22 12:40:00 PM,,0.0,,,
58,04/29/22 12:45:00 PM,,0.0,,,
59,04/29/22 12:50:00 PM,,0.0,,,
60,04/29/22 12:55:00 PM,,0.0,,,
61,04/29/22 01:00:00 PM,21.855,0.0,,,
62,04/29/22 01:05:00 PM,,0.0,,,
63,04/29/22 01:10:00 PM,,0.0,,,
64,04/29/22 01:15:00 PM,,0.0,,,
65,04/29/22 01:20:00 PM,,0.0,,,
66,04/29/22 01:25:00 PM,,0.0,,,
67,04/29/22 01:30:00 PM,23.581,0.0,,,
68,04/29/22 01:35:00 PM,,0.0,,,
69,04/29/22 01:40:00 PM,,0.0,,,
70,04/29/22 01:45:00 PM,,0.0,,,
71,04/29/22 01:50:00 PM,,0.0,,,
72,04/29/22 01:55:00 PM,,0.0,,,
73,04/29/22 02:00:00 PM,20.710,0.0,,,
74,04/29/22 02:05:00 PM,,0.0,,,
75,04/29/22 02:10:00 PM,,0.0,,,
76,04/29/22 02:15:00 PM,,0.0,,,
77,04/29/22 02:20:00 PM,,0.0,,,
78,04/29/22 02:25:00 PM,,0.0,,,
79,04/29/22 02:30:00 PM,20.234,0.0,,,
80,04/29/22 02:35:00 PM,,0.0,,,
81,04/29/22 02:40:00 PM,,0.0,,,
82,04/29/22 02:45:00 PM,,0.0,,,
83,04/29/22 02:50:00 PM,,0.0,,,
84,04/29/22 02:55:00 PM,,0.0,,,
85,04/29/22 03:00:00 PM,20.901,0.0,,,
86,04/29/22 03:05:00 PM,,0.0,,,
87,04/29/22 03:10:00 PM,,0.0,,,
88,04/29/22 03:15:00 PM,,0.0,,,
89,04/29/22 03:20:00 PM,,0.0,,,
90,04/29/22 03:25:00 PM,,0.0,,,
91,04/29/22 03:30:00 PM,18.901,0.0,,,
