"Plot Title: Sportplatz"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177317, SEN S/N: 10177317)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177317)","Host Connected (LGR S/N: 10177317)","Coupler Attached (LGR S/N: 10177317)","End Of File (LGR S/N: 10177317)"
1,09/20/23 09:30:00 AM,19.187,0.0,,,
2,09/20/23 09:35:00 AM,,0.0,,,
3,09/20/23 09:40:00 AM,,0.0,,,
4,09/20/23 09:45:00 AM,,0.0,,,
5,09/20/23 09:50:00 AM,,0.0,,,
6,09/20/23 09:55:00 AM,,0.0,,,
7,09/20/23 10:00:00 AM,21.187,0.0,,,
8,09/20/23 10:05:00 AM,,0.0,,,
9,09/20/23 10:10:00 AM,,0.0,,,
10,09/20/23 10:15:00 AM,,0.0,,,
11,09/20/23 10:20:00 AM,,0.0,,,
12,09/20/23 10:25:00 AM,,0.0,,,
13,09/20/23 10:30:00 AM,24.351,0.0,,,
14,09/20/23 10:35:00 AM,,0.0,,,
15,09/20/23 10:40:00 AM,,0.0,,,
16,09/20/23 10:45:00 AM,,0.0,,,
17,09/20/23 10:50:00 AM,,0.0,,,
18,09/20/23 10:55:00 AM,,0.0,,,
19,09/20/23 11:00:00 AM,24.158,0.0,,,
20,09/20/23 11:05:00 AM,,0.0,,,
21,09/20/23 11:10:00 AM,,0.0,,,
22,09/20/23 11:15:00 AM,,0.0,,,
23,09/20/23 11:20:00 AM,,0.0,,,
24,09/20/23 11:25:00 AM,,0.0,,,
25,09/20/23 11:30:00 AM,24.641,0.0,,,
26,09/20/23 11:35:00 AM,,0.0,,,
27,09/20/23 11:40:00 AM,,0.0,,,
28,09/20/23 11:45:00 AM,,0.0,,,
29,09/20/23 11:50:00 AM,,0.0,,,
30,09/20/23 11:55:00 AM,,0.0,,,
31,09/20/23 12:00:00 PM,26.097,0.0,,,
32,09/20/23 12:05:00 PM,,0.0,,,
33,09/20/23 12:10:00 PM,,0.0,,,
34,09/20/23 12:15:00 PM,,0.0,,,
35,09/20/23 12:20:00 PM,,0.0,,,
36,09/20/23 12:25:00 PM,,0.0,,,
37,09/20/23 12:30:00 PM,26.488,0.0,,,
38,09/20/23 12:35:00 PM,,0.0,,,
39,09/20/23 12:40:00 PM,,0.0,,,
40,09/20/23 12:45:00 PM,,0.0,,,
41,09/20/23 12:50:00 PM,,0.0,,,
42,09/20/23 12:55:00 PM,,0.0,,,
43,09/20/23 01:00:00 PM,26.683,0.0,,,
44,09/20/23 01:05:00 PM,,0.0,,,
45,09/20/23 01:10:00 PM,,0.0,,,
46,09/20/23 01:15:00 PM,,0.0,,,
47,09/20/23 01:20:00 PM,,0.0,,,
48,09/20/23 01:25:00 PM,,0.0,,,
49,09/20/23 01:30:00 PM,27.272,0.0,,,
50,09/20/23 01:35:00 PM,,0.0,,,
51,09/20/23 01:40:00 PM,,0.0,,,
52,09/20/23 01:45:00 PM,,0.0,,,
53,09/20/23 01:50:00 PM,,0.0,,,
54,09/20/23 01:55:00 PM,,0.0,,,
55,09/20/23 02:00:00 PM,26.879,0.0,,,
56,09/20/23 02:05:00 PM,,0.0,,,
57,09/20/23 02:10:00 PM,,0.0,,,
58,09/20/23 02:15:00 PM,,0.0,,,
59,09/20/23 02:20:00 PM,,0.0,,,
60,09/20/23 02:25:00 PM,,0.0,,,
61,09/20/23 02:30:00 PM,25.513,0.0,,,
62,09/20/23 02:35:00 PM,,0.0,,,
63,09/20/23 02:40:00 PM,,0.0,,,
64,09/20/23 02:45:00 PM,,0.0,,,
65,09/20/23 02:50:00 PM,,0.0,,,
66,09/20/23 02:55:00 PM,,0.0,,,
67,09/20/23 03:00:00 PM,24.448,0.0,,,
68,09/20/23 03:05:00 PM,,0.0,,,
69,09/20/23 03:10:00 PM,,0.0,,,
70,09/20/23 03:15:00 PM,,0.0,,,
71,09/20/23 03:20:00 PM,,0.0,,,
72,09/20/23 03:25:00 PM,,0.0,,,
73,09/20/23 03:30:00 PM,23.004,0.0,,,
74,09/20/23 03:35:00 PM,,0.0,,,
75,09/20/23 03:40:00 PM,,0.0,,,
76,09/20/23 03:45:00 PM,,0.0,,,
77,09/20/23 03:50:00 PM,,0.0,,,
78,09/20/23 03:55:00 PM,,0.0,,,
79,09/20/23 04:00:00 PM,21.378,0.0,,,
80,09/20/23 04:05:00 PM,,0.0,,,
81,09/20/23 04:10:00 PM,,0.0,,,
82,09/20/23 04:15:00 PM,,0.0,,,
83,09/20/23 04:20:00 PM,,0.0,,,
84,09/20/23 04:25:00 PM,,0.0,,,
85,09/20/23 04:30:00 PM,20.710,0.0,,,
86,09/20/23 04:35:00 PM,,0.0,,,
87,09/20/23 04:40:00 PM,,0.0,,,
88,09/20/23 04:45:00 PM,,0.0,,,
89,09/20/23 04:50:00 PM,,0.0,,,
90,09/20/23 04:55:00 PM,,0.0,,,
91,09/20/23 05:00:00 PM,20.234,0.0,,,
92,09/20/23 05:05:00 PM,,0.0,,,
93,09/20/23 05:10:00 PM,,0.0,,,
94,09/20/23 05:15:00 PM,,0.0,,,
95,09/20/23 05:20:00 PM,,0.0,,,
96,09/20/23 05:25:00 PM,,0.0,,,
97,09/20/23 05:30:00 PM,19.853,0.0,,,
98,09/20/23 05:35:00 PM,,0.0,,,
99,09/20/23 05:40:00 PM,,0.0,,,
100,09/20/23 05:45:00 PM,,0.0,,,
101,09/20/23 05:50:00 PM,,0.0,,,
102,09/20/23 05:55:00 PM,,0.0,,,
103,09/20/23 06:00:00 PM,19.662,0.0,,,
104,09/20/23 06:05:00 PM,,0.0,,,
105,09/20/23 06:10:00 PM,,0.0,,,
106,09/20/23 06:15:00 PM,,0.0,,,
107,09/20/23 06:20:00 PM,,0.0,,,
108,09/20/23 06:25:00 PM,,0.0,,,
109,09/20/23 06:30:00 PM,19.377,0.0,,,
110,09/20/23 06:35:00 PM,,0.0,,,
111,09/20/23 06:40:00 PM,,0.0,,,
112,09/20/23 06:45:00 PM,,0.0,,,
113,09/20/23 06:50:00 PM,,0.0,,,
114,09/20/23 06:55:00 PM,,0.0,,,
115,09/20/23 07:00:00 PM,19.377,0.0,,,
116,09/20/23 07:05:00 PM,,0.0,,,
117,09/20/23 07:10:00 PM,,0.0,,,
118,09/20/23 07:15:00 PM,,0.0,,,
119,09/20/23 07:20:00 PM,,0.0,,,
120,09/20/23 07:25:00 PM,,0.0,,,
121,09/20/23 07:30:00 PM,18.901,0.0,,,
122,09/20/23 07:35:00 PM,,0.0,,,
123,09/20/23 07:40:00 PM,,0.0,,,
124,09/20/23 07:45:00 PM,,0.0,,,
125,09/20/23 07:50:00 PM,,0.0,,,
126,09/20/23 07:55:00 PM,,0.0,,,
127,09/20/23 08:00:00 PM,18.996,0.0,,,
128,09/20/23 08:05:00 PM,,0.0,,,
129,09/20/23 08:10:00 PM,,0.0,,,
130,09/20/23 08:15:00 PM,,0.0,,,
131,09/20/23 08:20:00 PM,,0.0,,,
132,09/20/23 08:25:00 PM,,0.0,,,
133,09/20/23 08:30:00 PM,19.187,0.0,,,
134,09/20/23 08:35:00 PM,,0.0,,,
135,09/20/23 08:40:00 PM,,0.0,,,
136,09/20/23 08:45:00 PM,,0.0,,,
137,09/20/23 08:50:00 PM,,0.0,,,
138,09/20/23 08:55:00 PM,,0.0,,,
139,09/20/23 09:00:00 PM,19.092,0.0,,,
140,09/20/23 09:05:00 PM,,0.0,,,
141,09/20/23 09:10:00 PM,,0.0,,,
142,09/20/23 09:15:00 PM,,0.0,,,
143,09/20/23 09:20:00 PM,,0.0,,,
144,09/20/23 09:25:00 PM,,0.0,,,
145,09/20/23 09:30:00 PM,19.282,0.0,,,
146,09/20/23 09:35:00 PM,,0.0,,,
147,09/20/23 09:40:00 PM,,0.0,,,
148,09/20/23 09:45:00 PM,,0.0,,,
149,09/20/23 09:50:00 PM,,0.0,,,
150,09/20/23 09:55:00 PM,,0.0,,,
151,09/20/23 10:00:00 PM,18.616,0.0,,,
152,09/20/23 10:05:00 PM,,0.0,,,
153,09/20/23 10:10:00 PM,,0.0,,,
154,09/20/23 10:15:00 PM,,0.0,,,
155,09/20/23 10:20:00 PM,,0.0,,,
156,09/20/23 10:25:00 PM,,0.0,,,
157,09/20/23 10:30:00 PM,17.379,0.0,,,
158,09/20/23 10:35:00 PM,,0.0,,,
159,09/20/23 10:40:00 PM,,0.0,,,
160,09/20/23 10:45:00 PM,,0.0,,,
161,09/20/23 10:50:00 PM,,0.0,,,
162,09/20/23 10:55:00 PM,,0.0,,,
163,09/20/23 11:00:00 PM,18.045,0.0,,,
164,09/20/23 11:05:00 PM,,0.0,,,
165,09/20/23 11:10:00 PM,,0.0,,,
166,09/20/23 11:15:00 PM,,0.0,,,
167,09/20/23 11:20:00 PM,,0.0,,,
168,09/20/23 11:25:00 PM,,0.0,,,
169,09/20/23 11:30:00 PM,18.236,0.0,,,
170,09/20/23 11:35:00 PM,,0.0,,,
171,09/20/23 11:40:00 PM,,0.0,,,
172,09/20/23 11:45:00 PM,,0.0,,,
173,09/20/23 11:50:00 PM,,0.0,,,
174,09/20/23 11:55:00 PM,,0.0,,,
175,09/21/23 12:00:00 AM,18.426,0.0,,,
176,09/21/23 12:05:00 AM,,0.0,,,
177,09/21/23 12:10:00 AM,,0.0,,,
178,09/21/23 12:15:00 AM,,0.0,,,
179,09/21/23 12:20:00 AM,,0.0,,,
180,09/21/23 12:25:00 AM,,0.0,,,
181,09/21/23 12:30:00 AM,18.236,0.0,,,
182,09/21/23 12:35:00 AM,,0.0,,,
183,09/21/23 12:40:00 AM,,0.0,,,
184,09/21/23 12:45:00 AM,,0.0,,,
185,09/21/23 12:50:00 AM,,0.0,,,
186,09/21/23 12:55:00 AM,,0.0,,,
187,09/21/23 01:00:00 AM,18.616,0.0,,,
188,09/21/23 01:05:00 AM,,0.0,,,
189,09/21/23 01:10:00 AM,,0.0,,,
190,09/21/23 01:15:00 AM,,0.0,,,
191,09/21/23 01:20:00 AM,,0.0,,,
192,09/21/23 01:25:00 AM,,0.0,,,
193,09/21/23 01:30:00 AM,18.806,0.0,,,
194,09/21/23 01:35:00 AM,,0.0,,,
195,09/21/23 01:40:00 AM,,0.0,,,
196,09/21/23 01:45:00 AM,,0.0,,,
197,09/21/23 01:50:00 AM,,0.0,,,
198,09/21/23 01:55:00 AM,,0.0,,,
199,09/21/23 02:00:00 AM,18.616,0.0,,,
200,09/21/23 02:05:00 AM,,0.0,,,
201,09/21/23 02:10:00 AM,,0.0,,,
202,09/21/23 02:15:00 AM,,0.0,,,
203,09/21/23 02:20:00 AM,,0.0,,,
204,09/21/23 02:25:00 AM,,0.0,,,
205,09/21/23 02:30:00 AM,18.616,0.0,,,
206,09/21/23 02:35:00 AM,,0.0,,,
207,09/21/23 02:40:00 AM,,0.0,,,
208,09/21/23 02:45:00 AM,,0.0,,,
209,09/21/23 02:50:00 AM,,0.0,,,
210,09/21/23 02:55:00 AM,,0.0,,,
211,09/21/23 03:00:00 AM,18.806,0.0,,,
212,09/21/23 03:05:00 AM,,0.0,,,
213,09/21/23 03:10:00 AM,,0.0,,,
214,09/21/23 03:15:00 AM,,0.0,,,
215,09/21/23 03:20:00 AM,,0.0,,,
216,09/21/23 03:25:00 AM,,0.0,,,
217,09/21/23 03:30:00 AM,18.996,0.0,,,
218,09/21/23 03:35:00 AM,,0.0,,,
219,09/21/23 03:40:00 AM,,0.0,,,
