TIMESTAMP,T_Avg,EC_Avg,VWC_Avg
09/03/2015 22:00,4.9705,0.0079,0.2569
09/03/2015 22:05,4.9949,0.0079,0.2572
09/03/2015 22:10,4.9888,0.0079,0.2572
09/03/2015 22:15,4.9949,0.0079,0.2572
09/03/2015 22:20,4.9857,0.0079,0.2572
09/03/2015 22:25,4.9644,0.0079,0.2572
09/03/2015 22:30,4.9918,0.0077,0.2572
09/03/2015 22:35,4.9614,0.008,0.2572
09/03/2015 22:40,5.007,0.0078,0.2572
09/03/2015 22:45,4.9523,0.0079,0.2572
09/03/2015 22:50,4.9797,0.0078,0.2572
09/03/2015 22:55,4.9644,0.0078,0.2572
09/03/2015 23:00,4.9218,0.0079,0.2572
09/03/2015 23:05,4.9736,0.0077,0.2575
09/03/2015 23:10,4.9492,0.0078,0.2575
09/03/2015 23:15,4.9644,0.0078,0.2572
09/03/2015 23:20,4.9492,0.0078,0.2575
09/03/2015 23:25,4.9827,0.008,0.258
09/03/2015 23:30,4.937,0.0079,0.258
09/03/2015 23:35,4.8822,0.0081,0.258
09/03/2015 23:40,4.9523,0.008,0.258
09/03/2015 23:45,4.9126,0.0081,0.258
09/03/2015 23:50,4.9583,0.0078,0.2569
09/03/2015 23:55,4.9401,0.0078,0.2578
10/03/2015 00:00,4.9126,0.0078,0.2569
10/03/2015 00:05,4.9005,0.0077,0.2569
10/03/2015 00:10,4.9462,0.0077,0.2572
10/03/2015 00:15,4.9126,0.0078,0.2572
10/03/2015 00:20,4.9157,0.0079,0.2572
10/03/2015 00:25,4.8944,0.0079,0.2572
10/03/2015 00:30,4.9188,0.0077,0.2572
10/03/2015 00:35,4.9005,0.0078,0.2572
10/03/2015 00:40,4.8791,0.0077,0.2572
10/03/2015 00:45,4.8883,0.0077,0.2572
10/03/2015 00:50,4.8822,0.0079,0.2572
10/03/2015 00:55,4.9157,0.0078,0.2572
10/03/2015 01:00,4.8974,0.0077,0.2572
10/03/2015 01:05,4.8548,0.0078,0.2572
10/03/2015 01:10,4.8517,0.0078,0.2572
10/03/2015 01:15,4.8608,0.0077,0.2572
10/03/2015 01:20,4.8517,0.0078,0.2572
10/03/2015 01:25,4.8486,0.0077,0.2572
10/03/2015 01:30,4.8517,0.0079,0.2572
10/03/2015 01:35,4.8517,0.0076,0.2572
10/03/2015 01:40,4.8456,0.0077,0.2572
10/03/2015 01:45,4.8548,0.0077,0.2572
10/03/2015 01:50,4.8273,0.0076,0.2572
10/03/2015 01:55,4.8273,0.0078,0.2572
10/03/2015 02:00,4.8425,0.0079,0.2572
10/03/2015 02:05,4.8303,0.0077,0.2572
10/03/2015 02:10,4.8151,0.0077,0.2572
10/03/2015 02:15,4.8456,0.0078,0.2572
10/03/2015 02:20,4.812,0.0077,0.2572
10/03/2015 02:25,4.8029,0.0078,0.2575
10/03/2015 02:30,4.812,0.0078,0.2575
10/03/2015 02:35,4.7723,0.0078,0.2575
10/03/2015 02:40,4.8029,0.0077,0.2575
10/03/2015 02:45,4.7082,0.0077,0.2575
10/03/2015 02:50,4.7876,0.0076,0.2575
10/03/2015 02:55,4.7601,0.0078,0.2575
10/03/2015 03:00,4.7418,0.0079,0.2575
10/03/2015 03:05,4.754,0.0078,0.2575
10/03/2015 03:10,4.7815,0.008,0.2574
10/03/2015 03:15,4.7815,0.0078,0.2575
10/03/2015 03:20,4.7815,0.0077,0.2575
10/03/2015 03:25,4.7785,0.0078,0.2575
10/03/2015 03:30,4.7357,0.0077,0.2575
10/03/2015 03:35,4.7968,0.0079,0.2575
10/03/2015 03:40,4.7479,0.0077,0.2575
10/03/2015 03:45,4.7571,0.0077,0.2575
10/03/2015 03:50,4.7357,0.0078,0.2575
10/03/2015 03:55,4.7296,0.0077,0.2575
10/03/2015 04:00,4.7296,0.0078,0.2575
10/03/2015 04:05,4.7082,0.0079,0.2572
10/03/2015 04:10,4.7265,0.0078,0.255
10/03/2015 04:15,4.6898,0.0075,0.2558
10/03/2015 04:20,4.7051,0.0076,0.2555
10/03/2015 04:25,4.7235,0.0076,0.2547
10/03/2015 04:30,4.6807,0.0076,0.2544
10/03/2015 04:35,4.6715,0.0076,0.2544
10/03/2015 04:40,4.6776,0.0077,0.2544
10/03/2015 04:45,4.6592,0.0075,0.2544
10/03/2015 04:50,4.6623,0.0075,0.2542
10/03/2015 04:55,4.6409,0.0075,0.2542
10/03/2015 05:00,4.6286,0.0076,0.2541
10/03/2015 05:05,4.6562,0.0076,0.2541
10/03/2015 05:10,4.6317,0.0074,0.2542
10/03/2015 05:15,4.6623,0.0076,0.2541
10/03/2015 05:20,4.6164,0.0076,0.2541
10/03/2015 05:25,4.6409,0.0076,0.2544
10/03/2015 05:30,4.595,0.0075,0.2544
10/03/2015 05:35,4.6041,0.0076,0.2544
10/03/2015 05:40,4.6133,0.0077,0.2547
10/03/2015 05:45,4.6286,0.0075,0.2553
10/03/2015 05:50,4.6011,0.0078,0.2552
10/03/2015 05:55,4.6103,0.0078,0.2552
10/03/2015 06:00,4.5643,0.0077,0.2552
10/03/2015 06:05,4.5613,0.0076,0.2553
10/03/2015 06:10,4.549,0.0077,0.2553
10/03/2015 06:15,4.5368,0.0078,0.2552
10/03/2015 06:20,4.5398,0.0076,0.2553
10/03/2015 06:25,4.5276,0.0076,0.2555
10/03/2015 06:30,4.5674,0.0078,0.2555
10/03/2015 06:35,4.5398,0.0076,0.2558
10/03/2015 06:40,4.5735,0.0078,0.2558
10/03/2015 06:45,4.5122,0.0077,0.2558
10/03/2015 06:50,4.5092,0.0077,0.2558
10/03/2015 06:55,4.4938,0.0077,0.2558
10/03/2015 07:00,4.5,0.0077,0.2558
10/03/2015 07:05,4.4908,0.0075,0.2558
10/03/2015 07:10,4.4539,0.0077,0.2558
10/03/2015 07:15,4.4754,0.0077,0.2555
10/03/2015 07:20,4.4846,0.0077,0.2558
10/03/2015 07:25,4.4877,0.0076,0.2555
10/03/2015 07:30,4.4693,0.0076,0.2553
10/03/2015 07:35,4.4601,0.0077,0.2555
10/03/2015 07:40,4.4816,0.0076,0.2553
10/03/2015 07:45,4.4693,0.0076,0.2553
10/03/2015 07:50,4.4754,0.0076,0.2553
10/03/2015 07:55,4.4539,0.0078,0.2552
10/03/2015 08:00,4.4908,0.0076,0.255
10/03/2015 08:05,4.4171,0.0076,0.2553
10/03/2015 08:10,4.4079,0.0076,0.2553
10/03/2015 08:15,4.4048,0.0076,0.2553
10/03/2015 08:20,4.4141,0.0076,0.2553
10/03/2015 08:25,4.411,0.0075,0.2553
10/03/2015 08:30,4.4263,0.0077,0.2552
10/03/2015 08:35,4.4386,0.0076,0.2553
10/03/2015 08:40,4.3649,0.0077,0.2553
10/03/2015 08:45,4.3956,0.0076,0.2553
10/03/2015 08:50,4.4632,0.0077,0.2552
10/03/2015 08:55,4.3833,0.0076,0.2553
10/03/2015 09:00,4.4294,0.0077,0.255
10/03/2015 09:05,4.3587,0.0077,0.255
10/03/2015 09:10,4.3649,0.0075,0.2544
10/03/2015 09:15,4.3618,0.0075,0.2544
10/03/2015 09:20,4.3618,0.0075,0.2544
10/03/2015 09:25,4.3895,0.0077,0.2547
10/03/2015 09:30,4.3311,0.0076,0.255
10/03/2015 09:35,4.3741,0.0075,0.255
10/03/2015 09:40,4.3802,0.0076,0.255
10/03/2015 09:45,4.3618,0.0077,0.2558
10/03/2015 09:50,4.2819,0.0076,0.2558
10/03/2015 09:55,4.3618,0.0076,0.2558
10/03/2015 10:00,4.3403,0.0076,0.2564
10/03/2015 10:05,4.3618,0.0078,0.2564
10/03/2015 10:10,4.3649,0.0078,0.2564
10/03/2015 10:15,4.3802,0.0077,0.2564
10/03/2015 10:20,4.3465,0.0076,0.2564
10/03/2015 10:25,4.328,0.0078,0.2563
10/03/2015 10:30,4.3864,0.0075,0.2558
10/03/2015 10:35,4.3526,0.0076,0.2558
10/03/2015 10:40,4.3802,0.0077,0.2558
10/03/2015 10:45,4.3711,0.0076,0.2558
10/03/2015 10:50,4.3434,0.0076,0.2558
10/03/2015 10:55,4.368,0.0077,0.2558
10/03/2015 11:00,4.3342,0.0077,0.2555
10/03/2015 11:05,4.3495,0.0075,0.2555
10/03/2015 11:10,4.3557,0.0076,0.2555
10/03/2015 11:15,4.3895,0.0077,0.2558
10/03/2015 11:20,4.3833,0.0076,0.2555
10/03/2015 11:25,4.3864,0.0076,0.2558
10/03/2015 11:30,4.3956,0.0077,0.2558
10/03/2015 11:35,4.3802,0.0076,0.2558
10/03/2015 11:40,4.3925,0.0077,0.2558
10/03/2015 11:45,4.3833,0.0076,0.2558
10/03/2015 11:50,4.4202,0.0077,0.2558
10/03/2015 11:55,4.4202,0.0077,0.2558
10/03/2015 12:00,4.4233,0.0076,0.2558
10/03/2015 12:05,4.4509,0.0077,0.2555
10/03/2015 12:10,4.4141,0.0077,0.2555
10/03/2015 12:15,4.4386,0.0076,0.2558
10/03/2015 12:20,4.4632,0.0076,0.2555
10/03/2015 12:25,4.4724,0.0076,0.2553
10/03/2015 12:30,4.4662,0.0078,0.2569
10/03/2015 12:35,4.4754,0.0075,0.2561
10/03/2015 12:40,4.4724,0.0077,0.2561
10/03/2015 12:45,4.5153,0.0077,0.2561
10/03/2015 12:50,4.5582,0.0078,0.2561
10/03/2015 12:55,4.5184,0.0077,0.2561
10/03/2015 13:00,4.5766,0.0076,0.2558
10/03/2015 13:05,4.5398,0.0078,0.2558
10/03/2015 13:10,4.5459,0.0078,0.2563
10/03/2015 13:15,4.5797,0.0078,0.2561
10/03/2015 13:20,4.6011,0.0078,0.2558
10/03/2015 13:25,4.5582,0.0078,0.2558
10/03/2015 13:30,4.6195,0.0078,0.2558
10/03/2015 13:35,4.6409,0.0079,0.2558
10/03/2015 13:40,4.6592,0.0079,0.2558
10/03/2015 13:45,4.7265,0.0078,0.2558
10/03/2015 13:50,4.6562,0.0077,0.2558
10/03/2015 13:55,4.6898,0.0077,0.2558
10/03/2015 14:00,4.6837,0.0079,0.2558
10/03/2015 14:05,4.7357,0.0077,0.2558
10/03/2015 14:10,4.7265,0.0079,0.2555
10/03/2015 14:15,4.7479,0.0079,0.2558
10/03/2015 14:20,4.7815,0.0078,0.2555
10/03/2015 14:25,4.7876,0.0078,0.2555
10/03/2015 14:30,4.7937,0.0079,0.2555
10/03/2015 14:35,4.7846,0.0078,0.2555
10/03/2015 14:40,4.8334,0.0077,0.2555
10/03/2015 14:45,4.8548,0.0078,0.2552
10/03/2015 14:50,4.809,0.0078,0.255
10/03/2015 14:55,4.8303,0.0079,0.2549
10/03/2015 15:00,4.87,0.0079,0.2555
10/03/2015 15:05,4.8608,0.008,0.2555
10/03/2015 15:10,4.8974,0.0079,0.2555
10/03/2015 15:15,4.8883,0.0077,0.255
10/03/2015 15:20,4.9401,0.0078,0.2552
10/03/2015 15:25,4.9279,0.0078,0.255
10/03/2015 15:30,4.9766,0.0078,0.2549
10/03/2015 15:35,4.9736,0.0078,0.255
10/03/2015 15:40,4.9583,0.0078,0.255
10/03/2015 15:45,5.004,0.0077,0.255
10/03/2015 15:50,5.0223,0.0078,0.255
10/03/2015 15:55,5.0527,0.0078,0.2552
10/03/2015 16:00,5.0162,0.0078,0.255
10/03/2015 16:05,5.0588,0.0077,0.2538
10/03/2015 16:10,5.0922,0.0077,0.2525
10/03/2015 16:15,5.0861,0.0077,0.2527
10/03/2015 16:20,5.1165,0.0078,0.2538
10/03/2015 16:25,5.1013,0.0076,0.2536
10/03/2015 16:30,5.1286,0.0078,0.2536
10/03/2015 16:35,5.1317,0.0078,0.2536
10/03/2015 16:40,5.1317,0.0075,0.2533
10/03/2015 16:45,5.1377,0.0077,0.2536
10/03/2015 16:50,5.1621,0.0076,0.2539
10/03/2015 16:55,5.1438,0.0077,0.2539
10/03/2015 17:00,5.1803,0.0076,0.2536
10/03/2015 17:05,5.2348,0.0078,0.2536
10/03/2015 17:10,5.2227,0.0078,0.2536
10/03/2015 17:15,5.2379,0.0078,0.2536
10/03/2015 17:20,5.2136,0.0077,0.2533
10/03/2015 17:25,5.2591,0.0078,0.253
10/03/2015 17:30,5.2773,0.0076,0.2533
10/03/2015 17:35,5.2591,0.0077,0.2536
10/03/2015 17:40,5.2561,0.0079,0.2535
10/03/2015 17:45,5.2833,0.0078,0.2536
10/03/2015 17:50,5.3378,0.0077,0.2533
10/03/2015 17:55,5.3227,0.0079,0.2535
10/03/2015 18:00,5.2803,0.0076,0.2533
10/03/2015 18:05,5.3439,0.0079,0.2533
