"Plot Title: Schwabenquelle"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10177321, SEN S/N: 10177321)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177321)","Coupler Detached (LGR S/N: 10177321)","Coupler Attached (LGR S/N: 10177321)","Host Connected (LGR S/N: 10177321)","End Of File (LGR S/N: 10177321)"
1,12/19/14 01:35:00 PM,,0.0,,,,
2,12/19/14 01:39:33 PM,6.775,,,,,
3,12/19/14 01:40:00 PM,,0.0,,,,
4,12/19/14 01:44:33 PM,6.064,,,,,
5,12/19/14 01:45:00 PM,,0.2,,,,
6,12/19/14 01:45:45 PM,,,Logged,,,
7,12/19/14 01:49:33 PM,5.450,,,,,
8,12/19/14 01:50:00 PM,,0.0,,,,
9,12/19/14 01:54:33 PM,4.934,,,,,
10,12/19/14 01:55:00 PM,,0.0,,,,
11,12/19/14 01:59:33 PM,4.727,,,,,
12,12/19/14 02:00:00 PM,,0.0,,,,
13,12/19/14 02:04:33 PM,4.727,,,,,
14,12/19/14 02:05:00 PM,,0.0,,,,
15,12/19/14 02:09:33 PM,4.727,,,,,
16,12/19/14 02:10:00 PM,,0.0,,,,
17,12/19/14 02:14:33 PM,4.727,,,,,
18,12/19/14 02:15:00 PM,,0.0,,,,
19,12/19/14 02:19:33 PM,4.727,,,,,
20,12/19/14 02:20:00 PM,,0.0,,,,
21,12/19/14 02:24:33 PM,4.727,,,,,
22,12/19/14 02:25:00 PM,,0.0,,,,
23,12/19/14 02:29:33 PM,4.727,,,,,
24,12/19/14 02:30:00 PM,,0.0,,,,
25,12/19/14 02:34:33 PM,4.727,,,,,
26,12/19/14 02:35:00 PM,,0.0,,,,
27,12/19/14 02:39:33 PM,4.623,,,,,
28,12/19/14 02:40:00 PM,,0.0,,,,
29,12/19/14 02:44:33 PM,4.727,,,,,
30,12/19/14 02:45:00 PM,,0.0,,,,
31,12/19/14 02:49:33 PM,4.727,,,,,
32,12/19/14 02:50:00 PM,,0.0,,,,
33,12/19/14 02:54:33 PM,4.727,,,,,
34,12/19/14 02:55:00 PM,,0.0,,,,
35,12/19/14 02:59:33 PM,4.727,,,,,
36,12/19/14 03:00:00 PM,,0.0,,,,
37,12/19/14 03:04:33 PM,4.831,,,,,
38,12/19/14 03:05:00 PM,,0.0,,,,
39,12/19/14 03:09:33 PM,4.831,,,,,
40,12/19/14 03:10:00 PM,,0.0,,,,
41,12/19/14 03:14:33 PM,4.831,,,,,
42,12/19/14 03:15:00 PM,,0.0,,,,
43,12/19/14 03:19:33 PM,4.831,,,,,
44,12/19/14 03:20:00 PM,,0.2,,,,
45,12/19/14 03:24:33 PM,4.831,,,,,
46,12/19/14 03:25:00 PM,,0.0,,,,
47,12/19/14 03:29:33 PM,4.934,,,,,
48,12/19/14 03:30:00 PM,,0.0,,,,
49,12/19/14 03:34:33 PM,4.934,,,,,
50,12/19/14 03:35:00 PM,,0.0,,,,
51,12/19/14 03:39:33 PM,4.934,,,,,
52,12/19/14 03:40:00 PM,,0.0,,,,
53,12/19/14 03:44:33 PM,5.037,,,,,
54,12/19/14 03:45:00 PM,,0.2,,,,
55,12/19/14 03:49:33 PM,5.037,,,,,
56,12/19/14 03:50:00 PM,,0.2,,,,
57,12/19/14 03:54:33 PM,5.037,,,,,
58,12/19/14 03:55:00 PM,,0.0,,,,
59,12/19/14 03:59:33 PM,5.037,,,,,
60,12/19/14 04:00:00 PM,,0.0,,,,
61,12/19/14 04:04:33 PM,5.037,,,,,
62,12/19/14 04:05:00 PM,,0.0,,,,
63,12/19/14 04:09:33 PM,5.037,,,,,
64,12/19/14 04:10:00 PM,,0.2,,,,
65,12/19/14 04:14:33 PM,5.037,,,,,
66,12/19/14 04:15:00 PM,,0.0,,,,
67,12/19/14 04:19:33 PM,5.037,,,,,
68,12/19/14 04:20:00 PM,,0.0,,,,
69,12/19/14 04:24:33 PM,5.141,,,,,
70,12/19/14 04:25:00 PM,,0.2,,,,
71,12/19/14 04:29:33 PM,5.141,,,,,
72,12/19/14 04:30:00 PM,,0.2,,,,
73,12/19/14 04:34:33 PM,5.141,,,,,
74,12/19/14 04:35:00 PM,,0.2,,,,
75,12/19/14 04:39:33 PM,5.141,,,,,
76,12/19/14 04:40:00 PM,,0.2,,,,
77,12/19/14 04:44:33 PM,5.141,,,,,
78,12/19/14 04:45:00 PM,,0.0,,,,
79,12/19/14 04:49:33 PM,5.141,,,,,
80,12/19/14 04:50:00 PM,,0.2,,,,
81,12/19/14 04:54:33 PM,5.141,,,,,
82,12/19/14 04:55:00 PM,,0.0,,,,
83,12/19/14 04:59:33 PM,5.141,,,,,
84,12/19/14 05:00:00 PM,,0.0,,,,
85,12/19/14 05:04:33 PM,5.141,,,,,
86,12/19/14 05:05:00 PM,,0.4,,,,
87,12/19/14 05:09:33 PM,5.141,,,,,
88,12/19/14 05:10:00 PM,,0.2,,,,
89,12/19/14 05:14:33 PM,5.141,,,,,
90,12/19/14 05:15:00 PM,,0.2,,,,
91,12/19/14 05:19:33 PM,5.141,,,,,
92,12/19/14 05:20:00 PM,,0.2,,,,
93,12/19/14 05:24:33 PM,5.141,,,,,
94,12/19/14 05:25:00 PM,,0.4,,,,
95,12/19/14 05:29:33 PM,5.141,,,,,
96,12/19/14 05:30:00 PM,,0.4,,,,
97,12/19/14 05:34:33 PM,5.141,,,,,
98,12/19/14 05:35:00 PM,,0.4,,,,
99,12/19/14 05:39:33 PM,5.141,,,,,
100,12/19/14 05:40:00 PM,,0.4,,,,
101,12/19/14 05:44:33 PM,5.141,,,,,
102,12/19/14 05:45:00 PM,,0.4,,,,
103,12/19/14 05:49:33 PM,5.141,,,,,
104,12/19/14 05:50:00 PM,,0.2,,,,
105,12/19/14 05:54:33 PM,5.141,,,,,
106,12/19/14 05:55:00 PM,,0.6,,,,
107,12/19/14 05:59:33 PM,5.141,,,,,
108,12/19/14 06:00:00 PM,,0.2,,,,
109,12/19/14 06:04:33 PM,5.141,,,,,
110,12/19/14 06:05:00 PM,,0.2,,,,
111,12/19/14 06:09:33 PM,5.141,,,,,
112,12/19/14 06:10:00 PM,,0.2,,,,
113,12/19/14 06:14:33 PM,5.141,,,,,
114,12/19/14 06:15:00 PM,,0.0,,,,
115,12/19/14 06:19:33 PM,5.141,,,,,
116,12/19/14 06:20:00 PM,,0.0,,,,
117,12/19/14 06:24:33 PM,5.141,,,,,
118,12/19/14 06:25:00 PM,,0.2,,,,
119,12/19/14 06:29:33 PM,5.141,,,,,
120,12/19/14 06:30:00 PM,,0.2,,,,
121,12/19/14 06:34:33 PM,5.141,,,,,
122,12/19/14 06:35:00 PM,,0.2,,,,
123,12/19/14 06:39:33 PM,5.141,,,,,
124,12/19/14 06:40:00 PM,,0.2,,,,
125,12/19/14 06:44:33 PM,5.141,,,,,
126,12/19/14 06:45:00 PM,,0.0,,,,
127,12/19/14 06:49:33 PM,5.141,,,,,
128,12/19/14 06:50:00 PM,,0.2,,,,
129,12/19/14 06:54:33 PM,5.141,,,,,
130,12/19/14 06:55:00 PM,,0.2,,,,
131,12/19/14 06:59:33 PM,5.141,,,,,
132,12/19/14 07:00:00 PM,,0.2,,,,
133,12/19/14 07:04:33 PM,5.141,,,,,
134,12/19/14 07:05:00 PM,,0.2,,,,
135,12/19/14 07:09:33 PM,5.141,,,,,
136,12/19/14 07:10:00 PM,,0.4,,,,
137,12/19/14 07:14:33 PM,5.141,,,,,
138,12/19/14 07:15:00 PM,,0.4,,,,
139,12/19/14 07:19:33 PM,5.244,,,,,
140,12/19/14 07:20:00 PM,,0.6,,,,
141,12/19/14 07:24:33 PM,5.141,,,,,
142,12/19/14 07:25:00 PM,,0.4,,,,
143,12/19/14 07:29:33 PM,5.141,,,,,
144,12/19/14 07:30:00 PM,,0.4,,,,
145,12/19/14 07:34:33 PM,5.244,,,,,
146,12/19/14 07:35:00 PM,,0.4,,,,
147,12/19/14 07:39:33 PM,5.244,,,,,
148,12/19/14 07:40:00 PM,,0.4,,,,
149,12/19/14 07:44:33 PM,5.244,,,,,
150,12/19/14 07:45:00 PM,,0.2,,,,
151,12/19/14 07:49:33 PM,5.244,,,,,
152,12/19/14 07:50:00 PM,,0.6,,,,
153,12/19/14 07:54:33 PM,5.244,,,,,
154,12/19/14 07:55:00 PM,,0.4,,,,
155,12/19/14 07:59:33 PM,5.244,,,,,
156,12/19/14 08:00:00 PM,,0.4,,,,
157,12/19/14 08:04:33 PM,5.244,,,,,
158,12/19/14 08:05:00 PM,,0.6,,,,
159,12/19/14 08:09:33 PM,5.347,,,,,
160,12/19/14 08:10:00 PM,,0.2,,,,
161,12/19/14 08:14:33 PM,5.347,,,,,
162,12/19/14 08:15:00 PM,,0.6,,,,
163,12/19/14 08:19:33 PM,5.347,,,,,
164,12/19/14 08:20:00 PM,,0.2,,,,
165,12/19/14 08:24:33 PM,5.347,,,,,
166,12/19/14 08:25:00 PM,,0.2,,,,
167,12/19/14 08:29:33 PM,5.347,,,,,
168,12/19/14 08:30:00 PM,,0.6,,,,
169,12/19/14 08:34:33 PM,5.347,,,,,
170,12/19/14 08:35:00 PM,,0.4,,,,
171,12/19/14 08:39:33 PM,5.347,,,,,
172,12/19/14 08:40:00 PM,,0.6,,,,
173,12/19/14 08:44:33 PM,5.244,,,,,
174,12/19/14 08:45:00 PM,,0.2,,,,
175,12/19/14 08:49:33 PM,5.037,,,,,
176,12/19/14 08:50:00 PM,,0.0,,,,
177,12/19/14 08:54:33 PM,4.934,,,,,
178,12/19/14 08:55:00 PM,,0.2,,,,
179,12/19/14 08:59:33 PM,4.415,,,,,
180,12/19/14 09:00:00 PM,,0.0,,,,
181,12/19/14 09:04:33 PM,4.207,,,,,
182,12/19/14 09:05:00 PM,,0.2,,,,
