sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
231856,05/03/2015 13:30:00,5.6,2.9,311
231857,05/03/2015 13:35:00,5.6,2.9,311
231858,05/03/2015 13:40:00,5.6,2.9,311
231859,05/03/2015 13:45:00,5.6,2.9,311
231860,05/03/2015 13:50:00,5.6,2.9,299
231861,05/03/2015 13:55:00,5.6,2.9,299
231862,05/03/2015 14:00:00,5.6,2.9,299
231863,05/03/2015 14:05:00,5.6,2.9,299
231864,05/03/2015 14:10:00,5.6,2.9,299
231865,05/03/2015 14:15:00,5.6,2.9,299
231866,05/03/2015 14:20:00,5.6,2.9,299
231867,05/03/2015 14:25:00,5.6,2.9,299
231868,05/03/2015 14:30:00,5.6,2.9,299
231869,05/03/2015 14:35:00,5.6,2.9,299
231870,05/03/2015 14:40:00,5.6,2.9,299
231871,05/03/2015 14:45:00,5.6,2.9,299
231872,05/03/2015 14:50:00,5.6,2.9,299
231873,05/03/2015 14:55:00,5.6,2.9,299
231874,05/03/2015 15:00:00,5.6,2.9,299
231875,05/03/2015 15:05:00,5.6,2.9,299
231876,05/03/2015 15:10:00,5.6,2.9,299
231877,05/03/2015 15:15:00,5.6,2.9,299
231878,05/03/2015 15:20:00,5.6,2.9,299
231879,05/03/2015 15:25:00,5.6,2.9,299
231880,05/03/2015 15:30:00,5.6,2.9,299
231881,05/03/2015 15:35:00,5.6,2.9,299
231882,05/03/2015 15:40:00,5.6,2.9,299
231883,05/03/2015 15:45:00,5.6,2.9,299
231884,05/03/2015 15:50:00,5.6,2.9,299
231885,05/03/2015 15:55:00,5.6,2.9,299
231886,05/03/2015 16:00:00,5.6,2.9,299
231887,05/03/2015 16:05:00,5.6,2.9,299
231888,05/03/2015 16:10:00,5.6,2.9,299
231889,05/03/2015 16:15:00,5.6,2.9,299
231890,05/03/2015 16:20:00,5.6,2.9,299
231891,05/03/2015 16:25:00,5.6,2.9,299
231892,05/03/2015 16:30:00,5.6,2.9,299
231893,05/03/2015 16:35:00,5.6,2.9,299
231894,05/03/2015 16:40:00,5.6,2.9,299
231895,05/03/2015 16:45:00,5.6,2.9,299
231896,05/03/2015 16:50:00,5.6,2.9,299
231897,05/03/2015 16:55:00,5.6,2.9,299
231898,05/03/2015 17:00:00,5.6,2.9,299
231899,05/03/2015 17:05:00,5.6,2.9,299
231900,05/03/2015 17:10:00,5.6,2.9,299
231901,05/03/2015 17:15:00,5.6,2.9,299
231902,05/03/2015 17:20:00,5.6,2.9,299
231903,05/03/2015 17:25:00,5.6,2.9,299
231904,05/03/2015 17:30:00,5.6,2.9,299
231905,05/03/2015 17:35:00,5.6,2.9,299
231906,05/03/2015 17:40:00,5.6,2.9,299
231907,05/03/2015 17:45:00,5.6,2.9,299
231908,05/03/2015 17:50:00,5.6,2.9,299
231909,05/03/2015 17:55:00,5.6,2.9,299
231910,05/03/2015 18:00:00,5.6,2.9,299
231911,05/03/2015 18:05:00,5.6,2.9,299
231912,05/03/2015 18:10:00,5.6,2.9,299
231913,05/03/2015 18:15:00,5.6,2.9,299
231914,05/03/2015 18:20:00,5.6,2.9,299
231915,05/03/2015 18:25:00,5.6,2.9,299
231916,05/03/2015 18:30:00,5.6,2.9,299
231917,05/03/2015 18:35:00,5.6,2.9,299
231918,05/03/2015 18:40:00,5.6,2.9,299
231919,05/03/2015 18:45:00,5.6,2.9,299
231920,05/03/2015 18:50:00,5.6,2.9,287
