"Plot Title: Schafhof"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177318, SEN S/N: 10177318)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177318)","Coupler Detached (LGR S/N: 10177318)","Coupler Attached (LGR S/N: 10177318)","Host Connected (LGR S/N: 10177318)","End Of File (LGR S/N: 10177318)"
1,04/24/15 05:30:00 AM,,0.0,,,,
2,04/24/15 05:34:38 AM,7.179,,,,,
3,04/24/15 05:35:00 AM,,0.0,,,,
4,04/24/15 05:35:03 AM,,,Logged,,,
5,04/24/15 05:40:00 AM,,0.0,,,,
6,04/24/15 05:45:00 AM,,0.0,,,,
7,04/24/15 05:50:00 AM,,0.0,,,,
8,04/24/15 05:55:00 AM,,0.0,,,,
9,04/24/15 06:00:00 AM,,0.0,,,,
10,04/24/15 06:04:38 AM,8.680,,,,,
11,04/24/15 06:05:00 AM,,0.0,,,,
12,04/24/15 06:10:00 AM,,0.0,,,,
13,04/24/15 06:15:00 AM,,0.0,,,,
14,04/24/15 06:20:00 AM,,0.0,,,,
15,04/24/15 06:25:00 AM,,0.0,,,,
16,04/24/15 06:30:00 AM,,0.0,,,,
17,04/24/15 06:34:38 AM,11.236,,,,,
18,04/24/15 06:35:00 AM,,0.0,,,,
19,04/24/15 06:40:00 AM,,0.0,,,,
20,04/24/15 06:45:00 AM,,0.0,,,,
21,04/24/15 06:50:00 AM,,0.0,,,,
22,04/24/15 06:55:00 AM,,0.0,,,,
23,04/24/15 07:00:00 AM,,0.0,,,,
24,04/24/15 07:04:38 AM,12.787,,,,,
25,04/24/15 07:05:00 AM,,0.0,,,,
26,04/24/15 07:10:00 AM,,0.0,,,,
27,04/24/15 07:15:00 AM,,0.0,,,,
28,04/24/15 07:20:00 AM,,0.0,,,,
29,04/24/15 07:25:00 AM,,0.0,,,,
30,04/24/15 07:30:00 AM,,0.0,,,,
31,04/24/15 07:34:38 AM,14.613,,,,,
32,04/24/15 07:35:00 AM,,0.0,,,,
33,04/24/15 07:40:00 AM,,0.0,,,,
34,04/24/15 07:45:00 AM,,0.0,,,,
