"Plot Title: Schafhof"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177318, SEN S/N: 10177318)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177318)","Coupler Detached (LGR S/N: 10177318)","Coupler Attached (LGR S/N: 10177318)","Host Connected (LGR S/N: 10177318)","End Of File (LGR S/N: 10177318)"
1,24/04/15 05:30:00,,0.0,,,,
2,24/04/15 05:34:38,7.179,,,,,
3,24/04/15 05:35:00,,0.0,,,,
4,24/04/15 05:35:03,,,Logged,,,
5,24/04/15 05:40:00,,0.0,,,,
6,24/04/15 05:45:00,,0.0,,,,
7,24/04/15 05:50:00,,0.0,,,,
8,24/04/15 05:55:00,,0.0,,,,
9,24/04/15 06:00:00,,0.0,,,,
10,24/04/15 06:04:38,8.680,,,,,
11,24/04/15 06:05:00,,0.0,,,,
12,24/04/15 06:10:00,,0.0,,,,
13,24/04/15 06:15:00,,0.0,,,,
14,24/04/15 06:20:00,,0.0,,,,
15,24/04/15 06:25:00,,0.0,,,,
16,24/04/15 06:30:00,,0.0,,,,
17,24/04/15 06:34:38,11.236,,,,,
18,24/04/15 06:35:00,,0.0,,,,
19,24/04/15 06:40:00,,0.0,,,,
20,24/04/15 06:45:00,,0.0,,,,
21,24/04/15 06:50:00,,0.0,,,,
22,24/04/15 06:55:00,,0.0,,,,
23,24/04/15 07:00:00,,0.0,,,,
24,24/04/15 07:04:38,12.787,,,,,
25,24/04/15 07:05:00,,0.0,,,,
26,24/04/15 07:10:00,,0.0,,,,
27,24/04/15 07:15:00,,0.0,,,,
28,24/04/15 07:20:00,,0.0,,,,
29,24/04/15 07:25:00,,0.0,,,,
30,24/04/15 07:30:00,,0.0,,,,
31,24/04/15 07:34:38,14.613,,,,,
32,24/04/15 07:35:00,,0.0,,,,
33,24/04/15 07:40:00,,0.0,,,,
34,24/04/15 07:45:00,,0.0,,,,
35,24/04/15 07:50:00,,0.0,,,,
36,24/04/15 07:55:00,,0.0,,,,
37,24/04/15 08:00:00,,0.0,,,,
38,24/04/15 08:04:38,16.618,,,,,
39,24/04/15 08:05:00,,0.0,,,,
40,24/04/15 08:10:00,,0.0,,,,
41,24/04/15 08:15:00,,0.0,,,,
42,24/04/15 08:20:00,,0.0,,,,
43,24/04/15 08:25:00,,0.0,,,,
44,24/04/15 08:30:00,,0.0,,,,
45,24/04/15 08:34:38,15.951,,,,,
46,24/04/15 08:35:00,,0.0,,,,
47,24/04/15 08:40:00,,0.0,,,,
48,24/04/15 08:45:00,,0.0,,,,
49,24/04/15 08:50:00,,0.0,,,,
50,24/04/15 08:55:00,,0.0,,,,
51,24/04/15 09:00:00,,0.0,,,,
52,24/04/15 09:04:38,16.046,,,,,
53,24/04/15 09:05:00,,0.0,,,,
54,24/04/15 09:10:00,,0.0,,,,
55,24/04/15 09:15:00,,0.0,,,,
56,24/04/15 09:20:00,,0.0,,,,
57,24/04/15 09:25:00,,0.0,,,,
58,24/04/15 09:30:00,,0.0,,,,
59,24/04/15 09:34:38,16.618,,,,,
60,24/04/15 09:35:00,,0.0,,,,
61,24/04/15 09:40:00,,0.0,,,,
62,24/04/15 09:45:00,,0.0,,,,
63,24/04/15 09:50:00,,0.0,,,,
64,24/04/15 09:55:00,,0.0,,,,
65,24/04/15 10:00:00,,0.0,,,,
66,24/04/15 10:04:38,16.808,,,,,
67,24/04/15 10:05:00,,0.0,,,,
68,24/04/15 10:10:00,,0.0,,,,
69,24/04/15 10:15:00,,0.0,,,,
70,24/04/15 10:20:00,,0.0,,,,
71,24/04/15 10:25:00,,0.0,,,,
72,24/04/15 10:30:00,,0.0,,,,
73,24/04/15 10:34:38,17.284,,,,,
74,24/04/15 10:35:00,,0.0,,,,
75,24/04/15 10:40:00,,0.0,,,,
76,24/04/15 10:45:00,,0.0,,,,
77,24/04/15 10:50:00,,0.0,,,,
78,24/04/15 10:55:00,,0.0,,,,
79,24/04/15 11:00:00,,0.0,,,,
80,24/04/15 11:04:38,17.570,,,,,
81,24/04/15 11:05:00,,0.0,,,,
82,24/04/15 11:10:00,,0.0,,,,
83,24/04/15 11:15:00,,0.0,,,,
84,24/04/15 11:20:00,,0.0,,,,
85,24/04/15 11:25:00,,0.0,,,,
86,24/04/15 11:30:00,,0.0,,,,
87,24/04/15 11:34:38,18.426,,,,,
88,24/04/15 11:35:00,,0.0,,,,
89,24/04/15 11:40:00,,0.0,,,,
90,24/04/15 11:45:00,,0.0,,,,
91,24/04/15 11:50:00,,0.0,,,,
92,24/04/15 11:55:00,,0.0,,,,
93,24/04/15 12:00:00,,0.0,,,,
94,24/04/15 12:04:38,18.521,,,,,
95,24/04/15 12:05:00,,0.0,,,,
96,24/04/15 12:10:00,,0.0,,,,
97,24/04/15 12:15:00,,0.0,,,,
98,24/04/15 12:20:00,,0.0,,,,
99,24/04/15 12:25:00,,0.0,,,,
100,24/04/15 12:30:00,,0.0,,,,
101,24/04/15 12:34:38,19.282,,,,,
102,24/04/15 12:35:00,,0.0,,,,
103,24/04/15 12:40:00,,0.0,,,,
104,24/04/15 12:45:00,,0.0,,,,
105,24/04/15 12:50:00,,0.0,,,,
106,24/04/15 12:55:00,,0.0,,,,
107,24/04/15 13:00:00,,0.0,,,,
108,24/04/15 13:04:38,19.853,,,,,
109,24/04/15 13:05:00,,0.0,,,,
110,24/04/15 13:10:00,,0.0,,,,
111,24/04/15 13:15:00,,0.0,,,,
112,24/04/15 13:20:00,,0.0,,,,
113,24/04/15 13:25:00,,0.0,,,,
114,24/04/15 13:30:00,,0.0,,,,
115,24/04/15 13:34:38,20.615,,,,,
116,24/04/15 13:35:00,,0.0,,,,
117,24/04/15 13:40:00,,0.0,,,,
118,24/04/15 13:45:00,,0.0,,,,
119,24/04/15 13:50:00,,0.0,,,,
120,24/04/15 13:55:00,,0.0,,,,
121,24/04/15 14:00:00,,0.0,,,,
122,24/04/15 14:04:38,21.473,,,,,
123,24/04/15 14:05:00,,0.0,,,,
124,24/04/15 14:10:00,,0.0,,,,
125,24/04/15 14:15:00,,0.0,,,,
126,24/04/15 14:20:00,,0.0,,,,
127,24/04/15 14:25:00,,0.0,,,,
128,24/04/15 14:30:00,,0.0,,,,
129,24/04/15 14:34:38,21.091,,,,,
130,24/04/15 14:35:00,,0.0,,,,
131,24/04/15 14:40:00,,0.0,,,,
132,24/04/15 14:45:00,,0.0,,,,
133,24/04/15 14:50:00,,0.0,,,,
134,24/04/15 14:55:00,,0.0,,,,
135,24/04/15 15:00:00,,0.0,,,,
136,24/04/15 15:04:38,22.908,,,,,
137,24/04/15 15:05:00,,0.0,,,,
138,24/04/15 15:10:00,,0.0,,,,
139,24/04/15 15:15:00,,0.0,,,,
140,24/04/15 15:20:00,,0.0,,,,
141,24/04/15 15:25:00,,0.0,,,,
142,24/04/15 15:30:00,,0.0,,,,
143,24/04/15 15:34:38,23.004,,,,,
144,24/04/15 15:35:00,,0.0,,,,
145,24/04/15 15:40:00,,0.0,,,,
146,24/04/15 15:45:00,,0.0,,,,
147,24/04/15 15:50:00,,0.0,,,,
148,24/04/15 15:55:00,,0.0,,,,
149,24/04/15 16:00:00,,0.0,,,,
150,24/04/15 16:04:38,15.951,,,,,
151,24/04/15 16:05:00,,0.0,,,,
152,24/04/15 16:10:00,,0.0,,,,
153,24/04/15 16:15:00,,0.0,,,,
154,24/04/15 16:20:00,,0.0,,,,
155,24/04/15 16:25:00,,0.0,,,,
156,24/04/15 16:30:00,,0.0,,,,
157,24/04/15 16:34:38,14.900,,,,,
158,24/04/15 16:35:00,,0.0,,,,
159,24/04/15 16:40:00,,0.0,,,,
160,24/04/15 16:45:00,,0.0,,,,
161,24/04/15 16:50:00,,0.0,,,,
162,24/04/15 16:55:00,,0.0,,,,
163,24/04/15 17:00:00,,0.0,,,,
164,24/04/15 17:04:38,14.709,,,,,
165,24/04/15 17:05:00,,0.0,,,,
166,24/04/15 17:10:00,,0.0,,,,
167,24/04/15 17:15:00,,0.0,,,,
168,24/04/15 17:20:00,,0.0,,,,
169,24/04/15 17:25:00,,0.0,,,,
170,24/04/15 17:30:00,,0.0,,,,
171,24/04/15 17:34:38,13.173,,,,,
172,24/04/15 17:35:00,,0.0,,,,
173,24/04/15 17:40:00,,0.0,,,,
174,24/04/15 17:45:00,,0.0,,,,
175,24/04/15 17:50:00,,0.0,,,,
176,24/04/15 17:55:00,,0.0,,,,
177,24/04/15 18:00:00,,0.0,,,,
178,24/04/15 18:04:38,12.883,,,,,
179,24/04/15 18:05:00,,0.0,,,,
180,24/04/15 18:10:00,,0.0,,,,
181,24/04/15 18:15:00,,0.0,,,,
182,24/04/15 18:20:00,,0.0,,,,
183,24/04/15 18:25:00,,0.0,,,,
184,24/04/15 18:30:00,,0.0,,,,
185,24/04/15 18:34:38,11.041,,,,,
186,24/04/15 18:35:00,,0.0,,,,
187,24/04/15 18:40:00,,0.0,,,,
188,24/04/15 18:45:00,,0.0,,,,
189,24/04/15 18:50:00,,0.0,,,,
190,24/04/15 18:55:00,,0.0,,,,
191,24/04/15 19:00:00,,0.0,,,,
192,24/04/15 19:04:38,11.041,,,,,
193,24/04/15 19:05:00,,0.0,,,,
194,24/04/15 19:10:00,,0.0,,,,
195,24/04/15 19:15:00,,0.0,,,,
196,24/04/15 19:20:00,,0.0,,,,
197,24/04/15 19:25:00,,0.0,,,,
198,24/04/15 19:30:00,,0.0,,,,
199,24/04/15 19:34:38,11.528,,,,,
200,24/04/15 19:35:00,,0.0,,,,
201,24/04/15 19:40:00,,0.0,,,,
202,24/04/15 19:45:00,,0.0,,,,
203,24/04/15 19:50:00,,0.0,,,,
204,24/04/15 19:55:00,,0.0,,,,
205,24/04/15 20:00:00,,0.0,,,,
206,24/04/15 20:04:38,11.431,,,,,
207,24/04/15 20:05:00,,0.0,,,,
208,24/04/15 20:10:00,,0.0,,,,
209,24/04/15 20:15:00,,0.0,,,,
210,24/04/15 20:20:00,,0.0,,,,
211,24/04/15 20:25:00,,0.0,,,,
212,24/04/15 20:30:00,,0.0,,,,
213,24/04/15 20:34:38,11.625,,,,,
214,24/04/15 20:35:00,,0.0,,,,
215,24/04/15 20:40:00,,0.0,,,,
216,24/04/15 20:45:00,,0.0,,,,
