sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
61339,05/03/2015 13:46:15,5.2,2.9,35
61340,05/03/2015 13:51:15,5.2,2.9,35
61341,05/03/2015 13:56:15,5.2,2.9,35
61342,05/03/2015 14:01:15,5.2,2.9,35
61343,05/03/2015 14:06:15,5.2,2.9,35
61344,05/03/2015 14:11:15,5.2,2.9,35
61345,05/03/2015 14:16:15,5.2,2.9,35
61346,05/03/2015 14:21:15,5.2,2.9,35
61347,05/03/2015 14:26:15,5.2,2.9,35
61348,05/03/2015 14:31:15,5.2,2.9,35
61349,05/03/2015 14:36:15,5.2,2.9,35
61350,05/03/2015 14:41:15,5.2,2.9,35
61351,05/03/2015 14:46:15,5.2,2.9,35
61352,05/03/2015 14:51:15,5.2,2.9,35
61353,05/03/2015 14:56:15,5.2,2.9,35
61354,05/03/2015 15:01:15,5.2,2.9,35
61355,05/03/2015 15:06:15,5.2,2.9,35
61356,05/03/2015 15:11:15,5.2,2.9,35
61357,05/03/2015 15:16:15,5.2,2.9,35
61358,05/03/2015 15:21:15,5.2,2.9,35
61359,05/03/2015 15:26:15,5.2,2.9,35
61360,05/03/2015 15:31:15,5.2,2.9,35
61361,05/03/2015 15:36:15,5.2,2.9,35
61362,05/03/2015 15:41:15,5.2,2.9,35
61363,05/03/2015 15:46:15,5.2,2.9,35
61364,05/03/2015 15:51:15,5.2,2.9,35
61365,05/03/2015 15:56:15,5.2,2.9,35
61366,05/03/2015 16:01:15,5.2,2.9,35
61367,05/03/2015 16:06:15,5.2,2.9,35
61368,05/03/2015 16:11:15,5.2,2.9,35
61369,05/03/2015 16:16:15,5.2,2.9,35
61370,05/03/2015 16:21:15,5.2,2.9,35
61371,05/03/2015 16:26:15,5.2,2.9,35
61372,05/03/2015 16:31:15,5.2,2.9,35
61373,05/03/2015 16:36:15,5.2,2.9,35
61374,05/03/2015 16:41:15,5.2,2.9,35
61375,05/03/2015 16:46:15,5.2,2.9,35
61376,05/03/2015 16:51:15,5.2,2.9,35
61377,05/03/2015 16:56:15,5.2,2.9,35
61378,05/03/2015 17:01:15,5.2,2.9,35
61379,05/03/2015 17:06:15,5.2,2.9,35
61380,05/03/2015 17:11:15,5.2,2.9,35
61381,05/03/2015 17:16:15,5.2,2.9,35
61382,05/03/2015 17:21:15,5.2,2.9,35
61383,05/03/2015 17:26:15,5.2,2.9,35
61384,05/03/2015 17:31:15,5.2,2.9,35
61385,05/03/2015 17:36:15,5.2,2.9,35
61386,05/03/2015 17:41:15,5.2,2.9,35
61387,05/03/2015 17:46:15,5.2,2.9,35
61388,05/03/2015 17:51:15,5.2,2.9,35
61389,05/03/2015 17:56:15,5.2,2.9,35
61390,05/03/2015 18:01:15,5.2,2.9,35
61391,05/03/2015 18:06:15,5.2,2.9,35
61392,05/03/2015 18:11:15,5.2,2.9,35
61393,05/03/2015 18:16:15,5.2,2.9,35
61394,05/03/2015 18:21:15,5.2,2.9,35
61395,05/03/2015 18:26:15,5.2,2.9,35
61396,05/03/2015 18:31:15,5.2,2.9,35
61397,05/03/2015 18:36:15,5.2,2.9,35
61398,05/03/2015 18:41:15,5.2,2.9,35
61399,05/03/2015 18:46:15,5.2,2.9,35
61400,05/03/2015 18:51:15,5.2,2.9,35
61401,05/03/2015 18:56:15,5.2,2.9,35
61402,05/03/2015 19:01:15,5.2,2.9,35
61403,05/03/2015 19:06:15,5.2,2.9,35
61404,05/03/2015 19:11:15,5.2,2.9,35
61405,05/03/2015 19:16:15,5.2,2.9,35
61406,05/03/2015 19:21:15,5.2,2.9,35
61407,05/03/2015 19:26:15,5.2,2.9,35
61408,05/03/2015 19:31:15,5.2,2.9,35
61409,05/03/2015 19:36:15,5.2,2.9,35
61410,05/03/2015 19:41:15,5.2,2.9,35
61411,05/03/2015 19:46:15,5.2,2.9,35
61412,05/03/2015 19:51:15,5.2,2.9,35
61413,05/03/2015 19:56:15,5.2,2.9,35
61414,05/03/2015 20:01:15,5.2,2.9,35
61415,05/03/2015 20:06:15,5.2,2.9,35
61416,05/03/2015 20:11:15,5.2,2.9,35
61417,05/03/2015 20:16:15,5.2,2.9,35
61418,05/03/2015 20:21:15,5.2,2.9,35
61419,05/03/2015 20:26:15,5.2,2.9,35
61420,05/03/2015 20:31:15,5.2,2.9,35
61421,05/03/2015 20:36:15,5.2,2.9,35
61422,05/03/2015 20:41:15,5.2,2.9,35
61423,05/03/2015 20:46:15,5.2,2.9,35
61424,05/03/2015 20:51:15,5.2,2.9,35
61425,05/03/2015 20:56:15,5.2,2.9,35
61426,05/03/2015 21:01:15,5.2,2.9,35
61427,05/03/2015 21:06:15,5.2,2.9,35
61428,05/03/2015 21:11:15,5.2,2.9,35
61429,05/03/2015 21:16:15,5.2,2.9,35
61430,05/03/2015 21:21:15,5.2,2.9,35
61431,05/03/2015 21:26:15,5.2,2.9,35
61432,05/03/2015 21:31:15,5.2,2.9,35
61433,05/03/2015 21:36:15,5.2,2.9,35
61434,05/03/2015 21:41:15,5.2,2.9,35
61435,05/03/2015 21:46:15,5.2,2.9,35
61436,05/03/2015 21:51:15,5.2,2.9,35
61437,05/03/2015 21:56:15,5.2,2.9,35
61438,05/03/2015 22:01:15,5.2,2.9,35
61439,05/03/2015 22:06:15,5.2,2.9,35
61440,05/03/2015 22:11:15,5.2,2.9,35
61441,05/03/2015 22:16:15,5.2,2.9,35
61442,05/03/2015 22:21:15,5.2,2.9,35
61443,05/03/2015 22:26:15,5.2,2.9,35
61444,05/03/2015 22:31:15,5.2,2.9,35
61445,05/03/2015 22:36:15,5.2,2.9,35
61446,05/03/2015 22:41:15,5.2,2.9,35
61447,05/03/2015 22:46:15,5.2,2.9,35
61448,05/03/2015 22:51:15,5.2,2.9,35
61449,05/03/2015 22:56:15,5.2,2.9,35
61450,05/03/2015 23:01:15,5.2,2.9,35
61451,05/03/2015 23:06:15,5.2,2.9,35
61452,05/03/2015 23:11:15,5.2,2.9,35
61453,05/03/2015 23:16:15,5.2,2.9,35
61454,05/03/2015 23:21:15,5.2,2.9,35
61455,05/03/2015 23:26:15,5.2,2.9,35
61456,05/03/2015 23:31:15,5.2,2.9,35
61457,05/03/2015 23:36:15,5.2,2.9,35
61458,05/03/2015 23:41:15,5.2,2.9,35
61459,05/03/2015 23:46:15,5.2,2.9,35
61460,05/03/2015 23:51:15,5.2,2.9,35
61461,05/03/2015 23:56:15,5.2,2.9,35
61462,06/03/2015 00:01:15,5.2,2.9,24
61463,06/03/2015 00:06:15,5.2,2.9,24
61464,06/03/2015 00:11:15,5.2,2.9,24
61465,06/03/2015 00:16:15,5.2,2.9,24
61466,06/03/2015 00:21:15,5.2,2.9,35
61467,06/03/2015 00:26:15,5.2,2.9,24
61468,06/03/2015 00:31:15,5.2,2.9,24
61469,06/03/2015 00:36:15,5.2,2.9,24
61470,06/03/2015 00:41:15,5.2,2.9,24
61471,06/03/2015 00:46:15,5.2,2.9,24
61472,06/03/2015 00:51:15,5.2,2.9,24
61473,06/03/2015 00:56:15,5.2,2.9,24
61474,06/03/2015 01:01:15,5.2,2.9,24
61475,06/03/2015 01:06:15,5.2,2.9,24
61476,06/03/2015 01:11:15,5.2,2.9,24
61477,06/03/2015 01:16:15,5.2,2.9,24
61478,06/03/2015 01:21:15,5.2,2.9,24
61479,06/03/2015 01:26:15,5.2,2.9,24
61480,06/03/2015 01:31:15,5.2,2.9,24
61481,06/03/2015 01:36:15,5.2,2.9,24
61482,06/03/2015 01:41:15,5.2,2.9,24
61483,06/03/2015 01:46:15,5.2,2.9,24
61484,06/03/2015 01:51:15,5.2,2.9,24
61485,06/03/2015 01:56:15,5.2,2.9,24
61486,06/03/2015 02:01:15,5.2,2.9,24
61487,06/03/2015 02:06:15,5.2,2.9,24
61488,06/03/2015 02:11:15,5.2,2.9,24
61489,06/03/2015 02:16:15,5.2,2.9,24
