sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
1,19/06/2015 10:29:12,8.9,13.1,-39
2,19/06/2015 10:34:12,8.5,13.1,380
3,19/06/2015 10:39:12,8.5,12.5,380
4,19/06/2015 10:44:12,8.5,12.1,380
5,19/06/2015 10:49:12,8.5,11.8,380
6,19/06/2015 10:54:12,8.5,11.8,380
7,19/06/2015 10:59:12,8.5,11.5,380
8,19/06/2015 11:04:12,8.5,11.5,380
9,19/06/2015 11:09:12,8.5,11.5,380
10,19/06/2015 11:14:12,8.5,11.5,380
11,19/06/2015 11:19:12,8.2,11.5,380
12,19/06/2015 11:24:12,8.2,11.5,369
13,19/06/2015 11:29:12,8.2,11.5,369
14,19/06/2015 11:34:12,8.2,11.5,369
15,19/06/2015 11:39:12,8.2,11.5,369
16,19/06/2015 11:44:12,8.2,11.5,369
17,19/06/2015 11:49:12,8.2,11.5,369
18,19/06/2015 11:54:12,8.2,11.5,369
19,19/06/2015 11:59:12,8.2,11.5,369
20,19/06/2015 12:04:12,8.2,11.5,369
21,19/06/2015 12:09:12,8.2,11.5,369
22,19/06/2015 12:14:12,8.2,11.5,369
23,19/06/2015 12:19:12,8.2,11.5,369
24,19/06/2015 12:24:12,8.2,11.5,369
25,19/06/2015 12:29:12,8.2,11.5,369
26,19/06/2015 12:34:12,8.2,11.5,369
27,19/06/2015 12:39:12,8.2,11.5,369
28,19/06/2015 12:44:12,8.2,11.5,357
29,19/06/2015 12:49:12,8.2,11.5,357
30,19/06/2015 12:54:12,8.2,11.5,357
31,19/06/2015 12:59:12,8.2,11.5,357
32,19/06/2015 13:04:12,8.2,11.5,357
33,19/06/2015 13:09:12,8.2,11.5,357
34,19/06/2015 13:14:12,8.2,11.2,357
35,19/06/2015 13:19:12,8.2,11.2,357
36,19/06/2015 13:24:12,8.2,11.2,357
37,19/06/2015 13:29:12,8.2,11.5,357
38,19/06/2015 13:34:12,8.2,11.2,357
39,19/06/2015 13:39:12,8.2,11.2,357
40,19/06/2015 13:44:12,8.2,11.2,357
41,19/06/2015 13:49:12,8.2,11.2,357
42,19/06/2015 13:54:12,8.2,11.2,357
43,19/06/2015 13:59:12,8.2,11.2,357
44,19/06/2015 14:04:12,8.2,11.2,357
45,19/06/2015 14:09:12,8.2,11.2,346
46,19/06/2015 14:14:12,8.2,11.2,346
47,19/06/2015 14:19:12,8.2,11.2,346
48,19/06/2015 14:24:12,8.2,11.2,346
49,19/06/2015 14:29:12,8.2,11.2,346
50,19/06/2015 14:34:12,8.2,11.2,346
51,19/06/2015 14:39:12,8.2,11.2,346
52,19/06/2015 14:44:12,8.2,11.2,346
53,19/06/2015 14:49:12,8.2,11.2,346
54,19/06/2015 14:54:12,8.2,11.2,346
55,19/06/2015 14:59:12,8.2,11.2,346
56,19/06/2015 15:04:12,8.2,11.2,346
57,19/06/2015 15:09:12,8.2,11.2,346
58,19/06/2015 15:14:12,8.2,11.2,346
59,19/06/2015 15:19:12,8.2,11.2,346
60,19/06/2015 15:24:12,8.2,11.2,346
61,19/06/2015 15:29:12,8.2,11.2,346
62,19/06/2015 15:34:12,8.2,11.2,346
63,19/06/2015 15:39:12,8.2,11.2,334
64,19/06/2015 15:44:12,8.2,11.2,334
65,19/06/2015 15:49:12,8.2,11.2,334
66,19/06/2015 15:54:12,8.2,11.2,334
67,19/06/2015 15:59:12,8.2,11.2,334
68,19/06/2015 16:04:12,8.2,11.2,334
69,19/06/2015 16:09:12,8.2,11.2,334
70,19/06/2015 16:14:12,8.2,11.2,334
71,19/06/2015 16:19:12,8.2,11.2,334
72,19/06/2015 16:24:12,8.2,11.2,334
73,19/06/2015 16:29:12,8.2,11.2,334
74,19/06/2015 16:34:12,8.2,11.2,334
75,19/06/2015 16:39:12,8.2,11.2,334
76,19/06/2015 16:44:12,8.2,11.2,334
77,19/06/2015 16:49:12,8.2,11.2,334
78,19/06/2015 16:54:12,8.2,11.2,334
79,19/06/2015 16:59:12,8.2,11.2,334
80,19/06/2015 17:04:12,8.2,11.2,334
81,19/06/2015 17:09:12,8.2,11.2,322
82,19/06/2015 17:14:12,8.2,11.2,322
83,19/06/2015 17:19:12,8.2,11.2,322
84,19/06/2015 17:24:12,8.2,11.2,322
85,19/06/2015 17:29:12,8.2,11.2,322
86,19/06/2015 17:34:12,8.2,11.2,322
87,19/06/2015 17:39:12,8.2,11.2,322
88,19/06/2015 17:44:12,8.2,11.2,322
89,19/06/2015 17:49:12,8.2,11.2,322
90,19/06/2015 17:54:12,8.2,11.2,322
91,19/06/2015 17:59:12,8.2,11.2,322
92,19/06/2015 18:04:12,8.2,11.2,322
93,19/06/2015 18:09:12,8.2,11.2,322
94,19/06/2015 18:14:12,8.2,11.2,322
95,19/06/2015 18:19:12,8.2,11.2,322
96,19/06/2015 18:24:12,8.2,11.2,322
97,19/06/2015 18:29:12,8.2,11.2,322
98,19/06/2015 18:34:12,8.2,11.2,322
99,19/06/2015 18:39:12,8.2,11.2,322
100,19/06/2015 18:44:12,8.2,11.2,311
101,19/06/2015 18:49:12,8.2,11.2,311
102,19/06/2015 18:54:12,8.2,11.2,311
103,19/06/2015 18:59:12,8.2,11.2,311
104,19/06/2015 19:04:12,8.2,11.2,311
105,19/06/2015 19:09:12,8.2,11.2,311
106,19/06/2015 19:14:12,8.2,11.2,311
107,19/06/2015 19:19:12,8.2,11.2,311
108,19/06/2015 19:24:12,8.2,11.2,311
109,19/06/2015 19:29:12,8.2,11.2,311
110,19/06/2015 19:34:12,8.2,11.2,311
111,19/06/2015 19:39:12,8.2,11.2,311
112,19/06/2015 19:44:12,8.2,11.2,311
113,19/06/2015 19:49:12,8.2,11.2,311
114,19/06/2015 19:54:12,8.2,11.2,311
115,19/06/2015 19:59:12,8.2,11.2,311
116,19/06/2015 20:04:12,8.2,11.2,311
117,19/06/2015 20:09:12,8.2,11.2,311
118,19/06/2015 20:14:12,8.2,11.2,311
119,19/06/2015 20:19:12,8.2,11.2,299
120,19/06/2015 20:24:12,8.2,11.2,299
121,19/06/2015 20:29:12,8.2,11.2,299
122,19/06/2015 20:34:12,8.2,11.2,299
123,19/06/2015 20:39:12,8.2,11.2,299
124,19/06/2015 20:44:12,8.2,11.2,299
125,19/06/2015 20:49:12,8.2,11.2,299
126,19/06/2015 20:54:12,8.2,11.2,299
127,19/06/2015 20:59:12,8.2,11.2,299
128,19/06/2015 21:04:12,8.2,11.2,299
129,19/06/2015 21:09:12,8.2,11.2,299
130,19/06/2015 21:14:12,8.2,11.2,299
131,19/06/2015 21:19:12,8.2,11.2,299
132,19/06/2015 21:24:12,8.2,11.2,299
133,19/06/2015 21:29:12,8.2,11.2,299
134,19/06/2015 21:34:12,8.2,11.2,299
135,19/06/2015 21:39:12,8.2,11.2,299
136,19/06/2015 21:44:12,8.2,11.2,299
137,19/06/2015 21:49:12,8.2,11.2,299
138,19/06/2015 21:54:12,8.2,11.2,299
139,19/06/2015 21:59:12,8.2,11.2,299
140,19/06/2015 22:04:12,8.2,11.2,299
141,19/06/2015 22:09:12,8.2,11.2,287
142,19/06/2015 22:14:12,8.2,11.2,287
143,19/06/2015 22:19:12,8.2,11.2,287
144,19/06/2015 22:24:12,8.2,11.2,287
145,19/06/2015 22:29:12,8.2,11.2,287
146,19/06/2015 22:34:12,8.2,11.2,287
147,19/06/2015 22:39:12,8.2,11.2,287
148,19/06/2015 22:44:12,8.2,11.2,287
149,19/06/2015 22:49:12,8.2,11.2,287
150,19/06/2015 22:54:12,8.2,11.2,287
151,19/06/2015 22:59:12,8.2,11.2,287
152,19/06/2015 23:04:12,8.2,11.2,287
153,19/06/2015 23:09:12,8.2,11.2,287
154,19/06/2015 23:14:12,8.2,11.2,287
155,19/06/2015 23:19:12,8.5,11.2,287
156,19/06/2015 23:24:12,8.2,11.2,287
