sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
1,19/06/2015 10:35:26,9.2,12.8,24
2,19/06/2015 10:40:26,9.2,13.1,186
3,19/06/2015 10:45:26,8.9,12.8,186
4,19/06/2015 10:50:26,8.9,12.5,186
5,19/06/2015 10:55:26,8.9,12.1,186
6,19/06/2015 11:00:26,8.9,12.1,186
7,19/06/2015 11:05:26,8.9,12.1,186
8,19/06/2015 11:10:26,8.9,12.1,186
9,19/06/2015 11:15:26,8.9,12.1,186
10,19/06/2015 11:20:26,8.9,12.1,186
11,19/06/2015 11:25:26,8.9,12.1,186
12,19/06/2015 11:30:26,8.9,12.1,186
13,19/06/2015 11:35:26,8.9,12.1,186
14,19/06/2015 11:40:26,8.9,11.8,186
15,19/06/2015 11:45:26,8.9,11.8,186
16,19/06/2015 11:50:26,8.9,11.8,186
17,19/06/2015 11:55:26,8.9,11.8,186
18,19/06/2015 12:00:26,8.9,11.8,186
19,19/06/2015 12:05:26,8.9,11.8,186
20,19/06/2015 12:10:26,8.9,11.8,174
21,19/06/2015 12:15:26,8.9,11.8,174
22,19/06/2015 12:20:26,8.9,11.8,174
23,19/06/2015 12:25:26,8.9,11.8,174
24,19/06/2015 12:30:26,8.9,11.8,174
25,19/06/2015 12:35:26,8.9,11.8,174
26,19/06/2015 12:40:26,8.9,11.8,174
27,19/06/2015 12:45:26,8.9,11.8,174
28,19/06/2015 12:50:26,8.9,11.8,174
29,19/06/2015 12:55:26,8.9,11.8,174
30,19/06/2015 13:00:26,8.9,11.8,174
31,19/06/2015 13:05:26,8.9,11.8,174
32,19/06/2015 13:10:26,8.9,11.8,174
33,19/06/2015 13:15:26,8.9,11.8,174
34,19/06/2015 13:20:26,8.9,11.8,174
35,19/06/2015 13:25:26,8.9,11.8,174
36,19/06/2015 13:30:26,8.9,11.8,174
37,19/06/2015 13:35:26,8.9,11.8,174
38,19/06/2015 13:40:26,8.9,11.8,174
