sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
1,23/07/2015 11:51:06,20.2,23.8,-34
2,23/07/2015 11:56:06,20.9,23.4,-34
3,23/07/2015 12:01:06,18.5,22.3,-34
4,23/07/2015 12:06:06,17.1,21.3,-34
5,23/07/2015 12:11:06,16.1,20.9,-45
6,23/07/2015 12:16:06,15.5,20.2,-45
7,23/07/2015 12:21:06,15.1,20.2,-34
8,23/07/2015 12:26:06,14.8,19.9,-34
9,23/07/2015 12:31:06,14.8,19.9,-34
10,23/07/2015 12:36:06,14.5,19.5,-34
11,23/07/2015 12:41:06,14.5,19.5,-34
12,23/07/2015 12:46:06,14.5,19.5,-34
13,23/07/2015 12:51:06,14.1,19.5,-34
14,23/07/2015 12:56:06,14.1,19.2,-34
15,23/07/2015 13:01:06,14.1,19.2,-34
16,23/07/2015 13:06:06,14.1,19.2,-34
17,23/07/2015 13:11:06,14.1,19.2,-34
18,23/07/2015 13:16:06,14.1,19.2,-34
19,23/07/2015 13:21:06,14.1,19.2,-34
20,23/07/2015 13:26:06,14.1,19.2,-34
21,23/07/2015 13:31:06,14.1,19.2,-34
22,23/07/2015 13:36:06,14.1,19.2,-34
23,23/07/2015 13:41:06,14.1,19.2,-34
24,23/07/2015 13:46:06,14.1,19.2,-34
25,23/07/2015 13:51:06,14.1,19.2,-34
26,23/07/2015 13:56:06,14.1,19.2,-34
27,23/07/2015 14:01:06,14.1,19.2,-34
28,23/07/2015 14:06:06,14.1,19.2,-34
29,23/07/2015 14:11:06,14.1,19.2,-34
30,23/07/2015 14:16:06,14.1,19.2,-34
31,23/07/2015 14:21:06,14.1,19.2,-34
32,23/07/2015 14:26:06,14.1,19.2,-34
33,23/07/2015 14:31:06,14.1,19.2,-34
34,23/07/2015 14:36:06,14.1,19.2,-34
35,23/07/2015 14:41:06,14.1,19.2,-34
36,23/07/2015 14:46:06,14.1,19.2,-34
37,23/07/2015 14:51:06,14.1,19.2,-34
38,23/07/2015 14:56:06,14.1,19.2,-34
39,23/07/2015 15:01:06,14.1,19.2,-34
40,23/07/2015 15:06:06,14.1,19.2,-34
41,23/07/2015 15:11:06,14.1,19.2,-34
42,23/07/2015 15:16:06,14.1,19.2,-34
43,23/07/2015 15:21:06,14.1,19.2,-34
44,23/07/2015 15:26:06,14.1,19.2,-34
45,23/07/2015 15:31:06,14.1,19.2,-34
46,23/07/2015 15:36:06,14.1,19.2,-34
47,23/07/2015 15:41:06,14.1,19.2,-34
48,23/07/2015 15:46:06,14.1,19.2,-34
49,23/07/2015 15:51:06,14.1,19.2,-34
50,23/07/2015 15:56:06,14.1,19.2,-34
51,23/07/2015 16:01:06,14.1,19.2,-34
52,23/07/2015 16:06:06,14.1,19.2,-34
53,23/07/2015 16:11:06,14.1,19.2,-34
54,23/07/2015 16:16:06,14.1,19.2,-34
55,23/07/2015 16:21:06,14.1,19.2,-34
56,23/07/2015 16:26:06,14.1,19.2,-34
57,23/07/2015 16:31:06,14.1,19.2,-34
58,23/07/2015 16:36:06,14.1,19.2,-34
59,23/07/2015 16:41:06,14.1,19.2,-34
60,23/07/2015 16:46:06,14.1,19.2,-34
61,23/07/2015 16:51:06,14.1,19.2,-34
62,23/07/2015 16:56:06,14.1,19.2,-34
63,23/07/2015 17:01:06,14.1,19.2,-34
64,23/07/2015 17:06:06,14.1,19.2,-34
65,23/07/2015 17:11:06,14.1,19.2,-34
66,23/07/2015 17:16:06,14.1,19.2,-34
67,23/07/2015 17:21:06,14.1,19.2,-34
68,23/07/2015 17:26:06,14.1,19.2,-34
69,23/07/2015 17:31:06,14.1,19.2,-34
70,23/07/2015 17:36:06,14.1,19.2,-34
71,23/07/2015 17:41:06,14.1,19.2,-34
72,23/07/2015 17:46:06,14.1,19.2,-34
73,23/07/2015 17:51:06,14.1,19.2,-34
74,23/07/2015 17:56:06,14.1,19.2,-34
75,23/07/2015 18:01:06,14.1,19.2,-34
76,23/07/2015 18:06:06,14.1,19.2,-34
77,23/07/2015 18:11:06,14.1,19.2,-34
78,23/07/2015 18:16:06,14.1,19.2,-34
79,23/07/2015 18:21:06,14.1,19.2,-34
80,23/07/2015 18:26:06,14.1,19.2,-34
81,23/07/2015 18:31:06,14.1,19.2,-34
82,23/07/2015 18:36:06,14.1,19.2,-34
83,23/07/2015 18:41:06,14.1,19.2,-34
84,23/07/2015 18:46:06,14.1,19.2,-34
85,23/07/2015 18:51:06,14.1,19.2,-34
86,23/07/2015 18:56:06,14.1,19.2,-34
87,23/07/2015 19:01:06,14.1,19.2,-34
88,23/07/2015 19:06:06,14.1,19.2,-34
89,23/07/2015 19:11:06,14.1,19.2,-34
90,23/07/2015 19:16:06,14.1,19.2,-34
91,23/07/2015 19:21:06,14.1,19.2,-34
92,23/07/2015 19:26:06,14.1,19.2,-34
93,23/07/2015 19:31:06,14.1,19.2,-34
94,23/07/2015 19:36:06,14.1,19.2,-34
