sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
1,23/07/2015 11:05:59,11.2,18.5,-44
2,23/07/2015 11:10:59,12.8,18.5,-55
3,23/07/2015 11:15:59,12.1,17.5,-55
4,23/07/2015 11:20:59,11.5,17.1,-55
5,23/07/2015 11:25:59,11.2,16.8,-55
6,23/07/2015 11:30:59,11.2,16.5,-55
7,23/07/2015 11:35:59,10.8,16.1,-55
8,23/07/2015 11:40:59,10.8,16.1,-55
9,23/07/2015 11:45:59,10.8,16.1,-55
10,23/07/2015 11:50:59,10.8,16.1,-55
11,23/07/2015 11:55:59,10.8,15.8,-55
12,23/07/2015 12:00:59,10.8,15.8,-55
13,23/07/2015 12:05:59,10.8,15.8,-55
14,23/07/2015 12:10:59,10.8,15.8,-55
15,23/07/2015 12:15:59,10.8,15.8,-55
16,23/07/2015 12:20:59,10.8,15.8,-55
17,23/07/2015 12:25:59,10.8,15.8,-55
18,23/07/2015 12:30:59,10.8,15.8,-55
19,23/07/2015 12:35:59,10.8,15.8,-55
20,23/07/2015 12:40:59,10.8,15.8,-55
21,23/07/2015 12:45:59,10.8,15.8,-55
22,23/07/2015 12:50:59,10.8,15.8,-55
23,23/07/2015 12:55:59,10.8,15.8,-55
24,23/07/2015 13:00:59,10.8,15.8,-55
25,23/07/2015 13:05:59,10.8,15.8,-55
26,23/07/2015 13:10:59,10.8,15.8,-55
27,23/07/2015 13:15:59,10.8,15.8,-55
28,23/07/2015 13:20:59,10.8,15.8,-55
29,23/07/2015 13:25:59,10.8,15.8,-55
30,23/07/2015 13:30:59,10.8,15.8,-55
31,23/07/2015 13:35:59,10.8,15.8,-55
32,23/07/2015 13:40:59,10.8,15.8,-55
33,23/07/2015 13:45:59,10.8,15.8,-55
34,23/07/2015 13:50:59,10.8,15.8,-55
35,23/07/2015 13:55:59,10.8,15.8,-55
36,23/07/2015 14:00:59,10.8,15.8,-55
37,23/07/2015 14:05:59,10.8,15.8,-55
38,23/07/2015 14:10:59,10.8,15.8,-55
39,23/07/2015 14:15:59,10.8,15.8,-55
40,23/07/2015 14:20:59,10.8,15.8,-55
41,23/07/2015 14:25:59,10.8,15.8,-55
42,23/07/2015 14:30:59,10.8,15.8,-55
43,23/07/2015 14:35:59,10.8,15.8,-55
44,23/07/2015 14:40:59,10.8,15.8,-55
45,23/07/2015 14:45:59,10.8,15.8,-55
46,23/07/2015 14:50:59,10.8,15.8,-55
47,23/07/2015 14:55:59,10.8,15.8,-55
48,23/07/2015 15:00:59,10.8,15.8,-55
49,23/07/2015 15:05:59,10.8,15.8,-55
50,23/07/2015 15:10:59,10.8,15.8,-55
51,23/07/2015 15:15:59,10.8,15.8,-55
52,23/07/2015 15:20:59,10.8,15.8,-55
53,23/07/2015 15:25:59,10.8,15.8,-55
54,23/07/2015 15:30:59,10.8,15.8,-55
55,23/07/2015 15:35:59,10.8,15.8,-55
56,23/07/2015 15:40:59,10.8,15.8,-55
57,23/07/2015 15:45:59,10.8,15.8,-55
58,23/07/2015 15:50:59,10.8,15.8,-55
59,23/07/2015 15:55:59,10.8,15.8,-55
60,23/07/2015 16:00:59,10.8,15.8,-55
61,23/07/2015 16:05:59,10.8,15.8,-55
62,23/07/2015 16:10:59,10.8,15.8,-55
63,23/07/2015 16:15:59,10.8,15.8,-55
64,23/07/2015 16:20:59,10.8,15.8,-55
65,23/07/2015 16:25:59,10.8,15.8,-55
66,23/07/2015 16:30:59,10.8,15.8,-55
67,23/07/2015 16:35:59,10.8,15.8,-55
68,23/07/2015 16:40:59,10.8,15.8,-55
69,23/07/2015 16:45:59,10.8,15.8,-55
70,23/07/2015 16:50:59,10.8,15.8,-55
71,23/07/2015 16:55:59,10.8,15.8,-55
72,23/07/2015 17:00:59,10.8,15.8,-55
73,23/07/2015 17:05:59,10.8,15.8,-55
74,23/07/2015 17:10:59,10.8,15.8,-55
75,23/07/2015 17:15:59,10.8,15.8,-55
76,23/07/2015 17:20:59,10.8,15.8,-55
77,23/07/2015 17:25:59,10.8,15.8,-55
78,23/07/2015 17:30:59,10.8,15.8,-55
79,23/07/2015 17:35:59,10.8,15.8,-55
80,23/07/2015 17:40:59,10.8,15.8,-55
81,23/07/2015 17:45:59,10.8,15.8,-55
82,23/07/2015 17:50:59,10.8,15.8,-55
83,23/07/2015 17:55:59,10.8,15.8,-55
84,23/07/2015 18:00:59,10.8,15.8,-55
85,23/07/2015 18:05:59,10.8,15.8,-55
86,23/07/2015 18:10:59,10.8,15.8,-55
87,23/07/2015 18:15:59,10.8,15.8,-55
88,23/07/2015 18:20:59,10.8,15.8,-55
89,23/07/2015 18:25:59,10.8,15.8,-55
90,23/07/2015 18:30:59,10.8,15.8,-55
91,23/07/2015 18:35:59,10.8,15.8,-55
92,23/07/2015 18:40:59,10.8,15.8,-55
93,23/07/2015 18:45:59,10.8,15.8,-55
94,23/07/2015 18:50:59,10.8,15.8,-55
95,23/07/2015 18:55:59,10.8,15.8,-55
96,23/07/2015 19:00:59,10.8,15.8,-55
97,23/07/2015 19:05:59,10.8,15.8,-55
98,23/07/2015 19:10:59,10.8,15.8,-55
99,23/07/2015 19:15:59,10.8,15.8,-55
100,23/07/2015 19:20:59,10.8,15.8,-55
101,23/07/2015 19:25:59,10.8,15.8,-55
102,23/07/2015 19:30:59,10.8,15.8,-55
103,23/07/2015 19:35:59,10.8,15.5,-55
104,23/07/2015 19:40:59,10.8,15.5,-55
105,23/07/2015 19:45:59,10.8,15.5,-55
106,23/07/2015 19:50:59,10.8,15.5,-55
107,23/07/2015 19:55:59,10.8,15.5,-55
108,23/07/2015 20:00:59,10.8,15.5,-55
109,23/07/2015 20:05:59,10.8,15.5,-55
110,23/07/2015 20:10:59,10.8,15.5,-55
111,23/07/2015 20:15:59,10.8,15.5,-55
112,23/07/2015 20:20:59,10.8,15.5,-55
113,23/07/2015 20:25:59,10.8,15.5,-55
114,23/07/2015 20:30:59,10.8,15.5,-55
115,23/07/2015 20:35:59,10.8,15.5,-55
116,23/07/2015 20:40:59,10.8,15.5,-55
117,23/07/2015 20:45:59,10.8,15.5,-55
118,23/07/2015 20:50:59,10.8,15.5,-55
119,23/07/2015 20:55:59,10.8,15.5,-55
120,23/07/2015 21:00:59,10.8,15.5,-55
121,23/07/2015 21:05:59,10.8,15.5,-55
122,23/07/2015 21:10:59,10.8,15.5,-55
123,23/07/2015 21:15:59,10.8,15.5,-55
124,23/07/2015 21:20:59,10.8,15.5,-55
125,23/07/2015 21:25:59,10.8,15.5,-55
126,23/07/2015 21:30:59,10.8,15.5,-55
127,23/07/2015 21:35:59,10.8,15.5,-55
128,23/07/2015 21:40:59,10.8,15.5,-55
129,23/07/2015 21:45:59,10.8,15.5,-55
130,23/07/2015 21:50:59,10.8,15.5,-55
131,23/07/2015 21:55:59,10.8,15.5,-55
132,23/07/2015 22:00:59,10.8,15.5,-55
133,23/07/2015 22:05:59,10.8,15.5,-55
134,23/07/2015 22:10:59,10.8,15.5,-55
135,23/07/2015 22:15:59,10.8,15.5,-55
136,23/07/2015 22:20:59,10.8,15.5,-55
137,23/07/2015 22:25:59,10.8,15.5,-55
138,23/07/2015 22:30:59,10.8,15.5,-55
139,23/07/2015 22:35:59,10.8,15.5,-55
140,23/07/2015 22:40:59,10.8,15.5,-55
141,23/07/2015 22:45:59,10.8,15.5,-55
142,23/07/2015 22:50:59,10.8,15.5,-55
143,23/07/2015 22:55:59,10.8,15.5,-55
144,23/07/2015 23:00:59,10.8,15.5,-55
145,23/07/2015 23:05:59,10.8,15.5,-55
146,23/07/2015 23:10:59,10.8,15.5,-55
147,23/07/2015 23:15:59,10.8,15.5,-55
148,23/07/2015 23:20:59,10.8,15.5,-55
149,23/07/2015 23:25:59,10.8,15.5,-55
150,23/07/2015 23:30:59,10.8,15.5,-55
151,23/07/2015 23:35:59,10.8,15.5,-55
152,23/07/2015 23:40:59,10.8,15.5,-55
153,23/07/2015 23:45:59,10.8,15.5,-55
154,23/07/2015 23:50:59,10.8,15.5,-55
155,23/07/2015 23:55:59,10.8,15.5,-55
156,24/07/2015 00:00:59,10.8,15.5,-55
157,24/07/2015 00:05:59,10.8,15.5,-55
158,24/07/2015 00:10:59,10.8,15.5,-55
159,24/07/2015 00:15:59,10.8,15.5,-55
160,24/07/2015 00:20:59,10.8,15.5,-55
161,24/07/2015 00:25:59,10.8,15.5,-55
162,24/07/2015 00:30:59,10.8,15.5,-55
163,24/07/2015 00:35:59,10.8,15.5,-55
164,24/07/2015 00:40:59,10.8,15.5,-55
165,24/07/2015 00:45:59,10.8,15.5,-55
166,24/07/2015 00:50:59,10.8,15.5,-55
167,24/07/2015 00:55:59,10.8,15.5,-55
