"Plot Title: Sportplatz"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177317, SEN S/N: 10177317)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177317)"
1,16/08/15 08:50:00,,0.0
2,16/08/15 08:50:39,16.046,
3,16/08/15 08:55:00,,0.0
4,16/08/15 09:00:00,,0.2
5,16/08/15 09:05:00,,0.0
6,16/08/15 09:10:00,,0.0
7,16/08/15 09:15:00,,0.0
8,16/08/15 09:20:00,,0.0
9,16/08/15 09:20:39,14.517,
10,16/08/15 09:25:00,,0.0
11,16/08/15 09:30:00,,0.2
12,16/08/15 09:35:00,,0.0
13,16/08/15 09:40:00,,0.0
14,16/08/15 09:45:00,,0.2
15,16/08/15 09:50:00,,0.0
16,16/08/15 09:50:39,14.421,
17,16/08/15 09:55:00,,0.0
18,16/08/15 10:00:00,,0.0
19,16/08/15 10:05:00,,0.2
20,16/08/15 10:10:00,,0.0
21,16/08/15 10:15:00,,0.0
22,16/08/15 10:20:00,,0.2
23,16/08/15 10:20:39,14.517,
24,16/08/15 10:25:00,,0.0
25,16/08/15 10:30:00,,0.2
26,16/08/15 10:35:00,,0.0
27,16/08/15 10:40:00,,0.0
28,16/08/15 10:45:00,,0.0
29,16/08/15 10:50:00,,0.2
30,16/08/15 10:50:39,14.900,
31,16/08/15 10:55:00,,0.2
32,16/08/15 11:00:00,,0.0
33,16/08/15 11:05:00,,0.0
34,16/08/15 11:10:00,,0.0
35,16/08/15 11:15:00,,0.0
36,16/08/15 11:20:00,,0.0
37,16/08/15 11:20:39,15.187,
38,16/08/15 11:25:00,,0.0
39,16/08/15 11:30:00,,0.0
40,16/08/15 11:35:00,,0.0
41,16/08/15 11:40:00,,0.0
42,16/08/15 11:45:00,,0.0
43,16/08/15 11:50:00,,0.0
44,16/08/15 11:50:39,15.091,
45,16/08/15 11:55:00,,0.2
46,16/08/15 12:00:00,,0.0
47,16/08/15 12:05:00,,0.2
48,16/08/15 12:10:00,,0.0
49,16/08/15 12:15:00,,0.0
50,16/08/15 12:20:00,,0.0
51,16/08/15 12:20:39,14.900,
52,16/08/15 12:25:00,,0.0
53,16/08/15 12:30:00,,0.0
54,16/08/15 12:35:00,,0.0
55,16/08/15 12:40:00,,0.0
56,16/08/15 12:45:00,,0.0
57,16/08/15 12:50:00,,0.0
58,16/08/15 12:50:39,15.569,
59,16/08/15 12:55:00,,0.0
60,16/08/15 13:00:00,,0.2
61,16/08/15 13:05:00,,0.0
62,16/08/15 13:10:00,,0.0
63,16/08/15 13:15:00,,0.0
64,16/08/15 13:20:00,,0.0
65,16/08/15 13:20:39,15.664,
66,16/08/15 13:25:00,,0.0
67,16/08/15 13:30:00,,0.0
68,16/08/15 13:35:00,,0.0
69,16/08/15 13:40:00,,0.0
70,16/08/15 13:45:00,,0.0
71,16/08/15 13:50:00,,0.0
72,16/08/15 13:50:39,15.282,
73,16/08/15 13:55:00,,0.2
74,16/08/15 14:00:00,,0.0
75,16/08/15 14:05:00,,0.0
76,16/08/15 14:10:00,,0.0
77,16/08/15 14:15:00,,0.0
78,16/08/15 14:20:00,,0.0
79,16/08/15 14:20:39,15.282,
80,16/08/15 14:25:00,,0.0
81,16/08/15 14:30:00,,0.0
82,16/08/15 14:35:00,,0.0
83,16/08/15 14:40:00,,0.0
84,16/08/15 14:45:00,,0.0
85,16/08/15 14:50:00,,0.0
86,16/08/15 14:50:39,15.760,
87,16/08/15 14:55:00,,0.0
88,16/08/15 15:00:00,,0.0
89,16/08/15 15:05:00,,0.0
90,16/08/15 15:10:00,,0.0
91,16/08/15 15:15:00,,0.0
92,16/08/15 15:20:00,,0.0
93,16/08/15 15:20:39,16.999,
94,16/08/15 15:25:00,,0.0
95,16/08/15 15:30:00,,0.0
96,16/08/15 15:35:00,,0.0
97,16/08/15 15:40:00,,0.0
98,16/08/15 15:45:00,,0.0
99,16/08/15 15:50:00,,0.0
100,16/08/15 15:50:39,16.618,
101,16/08/15 15:55:00,,0.0
102,16/08/15 16:00:00,,0.0
103,16/08/15 16:05:00,,0.0
104,16/08/15 16:10:00,,0.0
105,16/08/15 16:15:00,,0.0
106,16/08/15 16:20:00,,0.0
107,16/08/15 16:20:39,16.141,
108,16/08/15 16:25:00,,0.0
109,16/08/15 16:30:00,,0.0
110,16/08/15 16:35:00,,0.0
111,16/08/15 16:40:00,,0.2
112,16/08/15 16:45:00,,0.0
113,16/08/15 16:50:00,,0.0
114,16/08/15 16:50:39,15.760,
115,16/08/15 16:55:00,,0.0
116,16/08/15 17:00:00,,0.0
117,16/08/15 17:05:00,,0.0
118,16/08/15 17:10:00,,0.0
119,16/08/15 17:15:00,,0.0
120,16/08/15 17:20:00,,0.0
121,16/08/15 17:20:39,15.473,
122,16/08/15 17:25:00,,0.0
123,16/08/15 17:30:00,,0.0
124,16/08/15 17:35:00,,0.0
