"Plot Title: Hundseck"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692703, SEN S/N: 10692703, LBL: Temperatur)","Niederschlag, units (LGR S/N: 10692703)"
1,24/09/15 10:35:00,,0.00
2,24/09/15 10:35:31,18.140,
3,24/09/15 10:40:00,,0.00
4,24/09/15 10:45:00,,0.00
5,24/09/15 10:50:00,,0.00
6,24/09/15 10:55:00,,0.00
7,24/09/15 11:00:00,,0.00
8,24/09/15 11:05:00,,0.00
9,24/09/15 11:05:31,16.999,
10,24/09/15 11:10:00,,0.00
11,24/09/15 11:15:00,,0.00
12,24/09/15 11:20:00,,0.00
13,24/09/15 11:25:00,,0.00
14,24/09/15 11:30:00,,0.00
15,24/09/15 11:35:00,,0.00
16,24/09/15 11:35:31,16.141,
17,24/09/15 11:40:00,,0.00
18,24/09/15 11:45:00,,0.00
19,24/09/15 11:50:00,,0.00
20,24/09/15 11:55:00,,0.00
21,24/09/15 12:00:00,,0.00
22,24/09/15 12:05:00,,0.00
23,24/09/15 12:05:31,18.331,
24,24/09/15 12:10:00,,0.00
25,24/09/15 12:15:00,,0.00
26,24/09/15 12:20:00,,0.00
27,24/09/15 12:25:00,,0.00
28,24/09/15 12:30:00,,0.00
29,24/09/15 12:35:00,,0.00
30,24/09/15 12:35:31,14.900,
31,24/09/15 12:40:00,,0.00
32,24/09/15 12:45:00,,0.00
33,24/09/15 12:50:00,,0.00
34,24/09/15 12:55:00,,0.00
35,24/09/15 13:00:00,,0.00
36,24/09/15 13:05:00,,0.00
37,24/09/15 13:05:31,13.558,
38,24/09/15 13:10:00,,0.00
39,24/09/15 13:15:00,,0.00
40,24/09/15 13:20:00,,0.00
41,24/09/15 13:25:00,,0.00
42,24/09/15 13:30:00,,0.00
43,24/09/15 13:35:00,,0.00
44,24/09/15 13:35:31,13.269,
45,24/09/15 13:40:00,,0.00
46,24/09/15 13:45:00,,0.00
47,24/09/15 13:50:00,,0.00
48,24/09/15 13:55:00,,0.00
49,24/09/15 14:00:00,,0.00
50,24/09/15 14:05:00,,0.00
51,24/09/15 14:05:31,12.690,
52,24/09/15 14:10:00,,0.00
53,24/09/15 14:15:00,,0.00
54,24/09/15 14:20:00,,0.00
