"Plot Title: Sternenberg-Schlammfang"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692704, SEN S/N: 10692704, LBL: Temperatur)","Niederschlag, units (LGR S/N: 10692704)"
1,09/11/15 09:00:00,,0.00
2,09/11/15 09:04:36,18.806,
3,09/11/15 09:05:00,,0.00
4,09/11/15 09:10:00,,0.00
5,09/11/15 09:15:00,,0.00
6,09/11/15 09:20:00,,0.00
7,09/11/15 09:25:00,,0.00
8,09/11/15 09:30:00,,0.00
9,09/11/15 09:34:36,18.140,
10,09/11/15 09:35:00,,0.00
11,09/11/15 09:40:00,,0.00
12,09/11/15 09:45:00,,0.00
13,09/11/15 09:50:00,,0.00
14,09/11/15 09:55:00,,0.00
15,09/11/15 10:00:00,,1.00
16,09/11/15 10:04:36,16.046,
17,09/11/15 10:05:00,,0.00
18,09/11/15 10:10:00,,0.00
19,09/11/15 10:15:00,,0.00
20,09/11/15 10:20:00,,0.00
21,09/11/15 10:25:00,,0.00
22,09/11/15 10:30:00,,0.00
23,09/11/15 10:34:36,15.282,
24,09/11/15 10:35:00,,1.00
25,09/11/15 10:40:00,,0.00
26,09/11/15 10:45:00,,0.00
27,09/11/15 10:50:00,,0.00
28,09/11/15 10:55:00,,0.00
29,09/11/15 11:00:00,,0.00
30,09/11/15 11:04:36,17.189,
31,09/11/15 11:05:00,,0.00
32,09/11/15 11:10:00,,0.00
33,09/11/15 11:15:00,,0.00
34,09/11/15 11:20:00,,0.00
35,09/11/15 11:25:00,,0.00
36,09/11/15 11:30:00,,0.00
37,09/11/15 11:34:36,17.950,
38,09/11/15 11:35:00,,0.00
39,09/11/15 11:40:00,,0.00
40,09/11/15 11:45:00,,0.00
41,09/11/15 11:50:00,,0.00
42,09/11/15 11:55:00,,0.00
43,09/11/15 12:00:00,,0.00
44,09/11/15 12:04:36,20.138,
45,09/11/15 12:05:00,,0.00
46,09/11/15 12:10:00,,0.00
47,09/11/15 12:15:00,,0.00
48,09/11/15 12:20:00,,0.00
49,09/11/15 12:25:00,,0.00
50,09/11/15 12:30:00,,0.00
51,09/11/15 12:34:36,19.472,
52,09/11/15 12:35:00,,0.00
53,09/11/15 12:40:00,,0.00
54,09/11/15 12:45:00,,0.00
55,09/11/15 12:50:00,,0.00
56,09/11/15 12:55:00,,0.00
57,09/11/15 13:00:00,,0.00
58,09/11/15 13:04:36,18.996,
59,09/11/15 13:05:00,,0.00
60,09/11/15 13:10:00,,0.00
61,09/11/15 13:15:00,,0.00
62,09/11/15 13:20:00,,0.00
63,09/11/15 13:25:00,,0.00
64,09/11/15 13:30:00,,0.00
65,09/11/15 13:34:36,18.426,
66,09/11/15 13:35:00,,0.00
67,09/11/15 13:40:00,,0.00
68,09/11/15 13:45:00,,0.00
69,09/11/15 13:50:00,,0.00
70,09/11/15 13:55:00,,0.00
71,09/11/15 14:00:00,,0.00
72,09/11/15 14:04:36,18.806,
73,09/11/15 14:05:00,,0.00
74,09/11/15 14:10:00,,0.00
75,09/11/15 14:15:00,,0.00
76,09/11/15 14:20:00,,0.00
77,09/11/15 14:25:00,,0.00
78,09/11/15 14:30:00,,0.00
79,09/11/15 14:34:36,18.426,
80,09/11/15 14:35:00,,0.00
81,09/11/15 14:40:00,,0.00
82,09/11/15 14:45:00,,0.00
83,09/11/15 14:50:00,,0.00
84,09/11/15 14:55:00,,0.00
85,09/11/15 15:00:00,,0.00
86,09/11/15 15:04:36,19.092,
87,09/11/15 15:05:00,,0.00
88,09/11/15 15:10:00,,0.00
89,09/11/15 15:15:00,,0.00
90,09/11/15 15:20:00,,0.00
91,09/11/15 15:25:00,,0.00
92,09/11/15 15:30:00,,0.00
93,09/11/15 15:34:36,18.140,
94,09/11/15 15:35:00,,0.00
95,09/11/15 15:40:00,,0.00
96,09/11/15 15:45:00,,0.00
97,09/11/15 15:50:00,,0.00
98,09/11/15 15:55:00,,0.00
99,09/11/15 16:00:00,,0.00
100,09/11/15 16:04:36,17.094,
101,09/11/15 16:05:00,,0.00
102,09/11/15 16:10:00,,0.00
103,09/11/15 16:15:00,,0.00
104,09/11/15 16:20:00,,0.00
105,09/11/15 16:25:00,,0.00
106,09/11/15 16:30:00,,0.00
107,09/11/15 16:34:36,16.713,
108,09/11/15 16:35:00,,0.00
109,09/11/15 16:40:00,,0.00
110,09/11/15 16:45:00,,0.00
111,09/11/15 16:50:00,,0.00
112,09/11/15 16:55:00,,0.00
113,09/11/15 17:00:00,,0.00
114,09/11/15 17:04:36,16.046,
115,09/11/15 17:05:00,,0.00
116,09/11/15 17:10:00,,0.00
117,09/11/15 17:15:00,,0.00
118,09/11/15 17:20:00,,0.00
119,09/11/15 17:25:00,,0.00
120,09/11/15 17:30:00,,0.00
121,09/11/15 17:34:36,15.855,
122,09/11/15 17:35:00,,0.00
123,09/11/15 17:40:00,,0.00
124,09/11/15 17:45:00,,0.00
125,09/11/15 17:50:00,,0.00
126,09/11/15 17:55:00,,0.00
127,09/11/15 18:00:00,,0.00
128,09/11/15 18:04:36,15.664,
129,09/11/15 18:05:00,,0.00
130,09/11/15 18:10:00,,0.00
131,09/11/15 18:15:00,,0.00
132,09/11/15 18:20:00,,0.00
133,09/11/15 18:25:00,,0.00
134,09/11/15 18:30:00,,0.00
135,09/11/15 18:34:36,15.951,
136,09/11/15 18:35:00,,0.00
137,09/11/15 18:40:00,,0.00
138,09/11/15 18:45:00,,0.00
139,09/11/15 18:50:00,,0.00
140,09/11/15 18:55:00,,0.00
141,09/11/15 19:00:00,,0.00
142,09/11/15 19:04:36,15.760,
143,09/11/15 19:05:00,,0.00
144,09/11/15 19:10:00,,0.00
145,09/11/15 19:15:00,,0.00
146,09/11/15 19:20:00,,0.00
147,09/11/15 19:25:00,,0.00
148,09/11/15 19:30:00,,0.00
149,09/11/15 19:34:36,15.473,
150,09/11/15 19:35:00,,0.00
151,09/11/15 19:40:00,,0.00
152,09/11/15 19:45:00,,0.00
153,09/11/15 19:50:00,,0.00
154,09/11/15 19:55:00,,0.00
155,09/11/15 20:00:00,,0.00
156,09/11/15 20:04:36,15.187,
157,09/11/15 20:05:00,,0.00
158,09/11/15 20:10:00,,0.00
159,09/11/15 20:15:00,,0.00
160,09/11/15 20:20:00,,0.00
161,09/11/15 20:25:00,,0.00
162,09/11/15 20:30:00,,0.00
163,09/11/15 20:34:36,15.282,
164,09/11/15 20:35:00,,0.00
165,09/11/15 20:40:00,,0.00
166,09/11/15 20:45:00,,0.00
167,09/11/15 20:50:00,,0.00
168,09/11/15 20:55:00,,0.00
169,09/11/15 21:00:00,,0.00
170,09/11/15 21:04:36,15.091,
171,09/11/15 21:05:00,,0.00
172,09/11/15 21:10:00,,0.00
173,09/11/15 21:15:00,,0.00
174,09/11/15 21:20:00,,0.00
175,09/11/15 21:25:00,,0.00
176,09/11/15 21:30:00,,0.00
177,09/11/15 21:34:36,14.804,
178,09/11/15 21:35:00,,0.00
179,09/11/15 21:40:00,,0.00
180,09/11/15 21:45:00,,0.00
181,09/11/15 21:50:00,,0.00
182,09/11/15 21:55:00,,0.00
183,09/11/15 22:00:00,,0.00
184,09/11/15 22:04:36,14.900,
185,09/11/15 22:05:00,,0.00
186,09/11/15 22:10:00,,0.00
187,09/11/15 22:15:00,,0.00
188,09/11/15 22:20:00,,0.00
189,09/11/15 22:25:00,,0.00
190,09/11/15 22:30:00,,0.00
191,09/11/15 22:34:36,14.709,
192,09/11/15 22:35:00,,0.00
193,09/11/15 22:40:00,,0.00
194,09/11/15 22:45:00,,0.00
195,09/11/15 22:50:00,,0.00
196,09/11/15 22:55:00,,0.00
197,09/11/15 23:00:00,,0.00
198,09/11/15 23:04:36,14.709,
199,09/11/15 23:05:00,,0.00
200,09/11/15 23:10:00,,0.00
201,09/11/15 23:15:00,,0.00
202,09/11/15 23:20:00,,0.00
203,09/11/15 23:25:00,,0.00
204,09/11/15 23:30:00,,0.00
205,09/11/15 23:34:36,14.709,
206,09/11/15 23:35:00,,0.00
207,09/11/15 23:40:00,,0.00
208,09/11/15 23:45:00,,0.00
209,09/11/15 23:50:00,,0.00
210,09/11/15 23:55:00,,0.00
211,10/11/15 00:00:00,,0.00
212,10/11/15 00:04:36,14.421,
213,10/11/15 00:05:00,,0.00
214,10/11/15 00:10:00,,0.00
215,10/11/15 00:15:00,,0.00
216,10/11/15 00:20:00,,0.00
217,10/11/15 00:25:00,,0.00
218,10/11/15 00:30:00,,0.00
219,10/11/15 00:34:36,14.325,
220,10/11/15 00:35:00,,0.00
221,10/11/15 00:40:00,,0.00
222,10/11/15 00:45:00,,0.00
223,10/11/15 00:50:00,,0.00
224,10/11/15 00:55:00,,0.00
225,10/11/15 01:00:00,,0.00
226,10/11/15 01:04:36,14.325,
227,10/11/15 01:05:00,,0.00
228,10/11/15 01:10:00,,0.00
229,10/11/15 01:15:00,,0.00
230,10/11/15 01:20:00,,0.00
231,10/11/15 01:25:00,,0.00
232,10/11/15 01:30:00,,0.00
233,10/11/15 01:34:36,14.230,
234,10/11/15 01:35:00,,0.00
235,10/11/15 01:40:00,,0.00
236,10/11/15 01:45:00,,0.00
237,10/11/15 01:50:00,,0.00
238,10/11/15 01:55:00,,0.00
239,10/11/15 02:00:00,,0.00
240,10/11/15 02:04:36,14.134,
241,10/11/15 02:05:00,,0.00
242,10/11/15 02:10:00,,0.00
243,10/11/15 02:15:00,,0.00
244,10/11/15 02:20:00,,0.00
245,10/11/15 02:25:00,,0.00
246,10/11/15 02:30:00,,0.00
247,10/11/15 02:34:36,13.942,
248,10/11/15 02:35:00,,0.00
249,10/11/15 02:40:00,,0.00
250,10/11/15 02:45:00,,0.00
251,10/11/15 02:50:00,,0.00
252,10/11/15 02:55:00,,0.00
253,10/11/15 03:00:00,,0.00
254,10/11/15 03:04:36,13.558,
255,10/11/15 03:05:00,,0.00
256,10/11/15 03:10:00,,0.00
257,10/11/15 03:15:00,,0.00
258,10/11/15 03:20:00,,0.00
259,10/11/15 03:25:00,,0.00
260,10/11/15 03:30:00,,0.00
261,10/11/15 03:34:36,13.558,
262,10/11/15 03:35:00,,0.00
263,10/11/15 03:40:00,,0.00
264,10/11/15 03:45:00,,0.00
265,10/11/15 03:50:00,,0.00
266,10/11/15 03:55:00,,0.00
267,10/11/15 04:00:00,,0.00
268,10/11/15 04:04:36,13.654,
269,10/11/15 04:05:00,,0.00
270,10/11/15 04:10:00,,0.00
271,10/11/15 04:15:00,,0.00
272,10/11/15 04:20:00,,0.00
273,10/11/15 04:25:00,,0.00
274,10/11/15 04:30:00,,0.00
275,10/11/15 04:34:36,13.365,
276,10/11/15 04:35:00,,0.00
277,10/11/15 04:40:00,,0.00
278,10/11/15 04:45:00,,0.00
279,10/11/15 04:50:00,,0.00
280,10/11/15 04:55:00,,0.00
281,10/11/15 05:00:00,,0.00
282,10/11/15 05:04:36,13.365,
283,10/11/15 05:05:00,,0.00
284,10/11/15 05:10:00,,0.00
285,10/11/15 05:15:00,,0.00
286,10/11/15 05:20:00,,0.00
287,10/11/15 05:25:00,,0.00
288,10/11/15 05:30:00,,0.00
289,10/11/15 05:34:36,13.173,
290,10/11/15 05:35:00,,0.00
291,10/11/15 05:40:00,,0.00
292,10/11/15 05:45:00,,0.00
293,10/11/15 05:50:00,,0.00
294,10/11/15 05:55:00,,0.00
295,10/11/15 06:00:00,,0.00
296,10/11/15 06:04:36,12.690,
297,10/11/15 06:05:00,,0.00
298,10/11/15 06:10:00,,0.00
299,10/11/15 06:15:00,,0.00
300,10/11/15 06:20:00,,0.00
301,10/11/15 06:25:00,,0.00
302,10/11/15 06:30:00,,0.00
303,10/11/15 06:34:36,11.431,
304,10/11/15 06:35:00,,0.00
305,10/11/15 06:40:00,,0.00
306,10/11/15 06:45:00,,0.00
307,10/11/15 06:50:00,,0.00
308,10/11/15 06:55:00,,0.00
309,10/11/15 07:00:00,,0.00
310,10/11/15 07:04:36,12.110,
311,10/11/15 07:05:00,,0.00
312,10/11/15 07:10:00,,0.00
313,10/11/15 07:15:00,,0.00
314,10/11/15 07:20:00,,0.00
315,10/11/15 07:25:00,,0.00
316,10/11/15 07:30:00,,0.00
317,10/11/15 07:34:36,13.173,
318,10/11/15 07:35:00,,0.00
319,10/11/15 07:40:00,,0.00
320,10/11/15 07:45:00,,0.00
321,10/11/15 07:50:00,,0.00
322,10/11/15 07:55:00,,0.00
323,10/11/15 08:00:00,,0.00
324,10/11/15 08:04:36,14.325,
325,10/11/15 08:05:00,,0.00
326,10/11/15 08:10:00,,0.00
327,10/11/15 08:15:00,,0.00
328,10/11/15 08:20:00,,0.00
329,10/11/15 08:25:00,,0.00
330,10/11/15 08:30:00,,0.00
331,10/11/15 08:34:36,23.773,
332,10/11/15 08:35:00,,0.00
333,10/11/15 08:40:00,,0.00
334,10/11/15 08:45:00,,0.00
335,10/11/15 08:50:00,,0.00
336,10/11/15 08:55:00,,0.00
337,10/11/15 09:00:00,,0.00
338,10/11/15 09:04:36,24.738,
339,10/11/15 09:05:00,,0.00
340,10/11/15 09:10:00,,0.00
341,10/11/15 09:15:00,,0.00
342,10/11/15 09:20:00,,0.00
343,10/11/15 09:25:00,,0.00
344,10/11/15 09:30:00,,0.00
345,10/11/15 09:34:36,27.173,
346,10/11/15 09:35:00,,0.00
347,10/11/15 09:40:00,,0.00
348,10/11/15 09:45:00,,0.00
349,10/11/15 09:50:00,,0.00
350,10/11/15 09:55:00,,0.00
351,10/11/15 10:00:00,,0.00
352,10/11/15 10:04:36,27.370,
353,10/11/15 10:05:00,,0.00
354,10/11/15 10:10:00,,0.00
355,10/11/15 10:15:00,,0.00
356,10/11/15 10:20:00,,0.00
357,10/11/15 10:25:00,,0.00
358,10/11/15 10:30:00,,0.00
359,10/11/15 10:34:36,26.977,
360,10/11/15 10:35:00,,0.00
361,10/11/15 10:40:00,,0.00
362,10/11/15 10:45:00,,0.00
363,10/11/15 10:50:00,,0.00
364,10/11/15 10:55:00,,0.00
365,10/11/15 11:00:00,,0.00
366,10/11/15 11:04:36,26.000,
367,10/11/15 11:05:00,,0.00
368,10/11/15 11:10:00,,0.00
369,10/11/15 11:15:00,,0.00
370,10/11/15 11:20:00,,0.00
371,10/11/15 11:25:00,,0.00
372,10/11/15 11:30:00,,0.00
373,10/11/15 11:34:36,25.513,
374,10/11/15 11:35:00,,0.00
375,10/11/15 11:40:00,,0.00
376,10/11/15 11:45:00,,0.00
377,10/11/15 11:50:00,,0.00
378,10/11/15 11:55:00,,0.00
379,10/11/15 12:00:00,,0.00
380,10/11/15 12:04:36,20.805,
381,10/11/15 12:05:00,,0.00
382,10/11/15 12:10:00,,0.00
383,10/11/15 12:15:00,,0.00
384,10/11/15 12:20:00,,0.00
385,10/11/15 12:25:00,,0.00
386,10/11/15 12:30:00,,0.00
387,10/11/15 12:34:36,18.996,
388,10/11/15 12:35:00,,0.00
389,10/11/15 12:40:00,,0.00
390,10/11/15 12:45:00,,0.00
391,10/11/15 12:50:00,,0.00
392,10/11/15 12:55:00,,0.00
393,10/11/15 13:00:00,,0.00
394,10/11/15 13:04:36,20.424,
395,10/11/15 13:05:00,,0.00
396,10/11/15 13:10:00,,0.00
397,10/11/15 13:15:00,,0.00
398,10/11/15 13:20:00,,0.00
399,10/11/15 13:25:00,,0.00
400,10/11/15 13:30:00,,0.00
401,10/11/15 13:34:36,23.004,
402,10/11/15 13:35:00,,0.00
403,10/11/15 13:40:00,,0.00
404,10/11/15 13:45:00,,0.00
405,10/11/15 13:50:00,,0.00
406,10/11/15 13:55:00,,0.00
407,10/11/15 14:00:00,,0.00
408,10/11/15 14:04:36,20.710,
409,10/11/15 14:05:00,,0.00
410,10/11/15 14:10:00,,0.00
411,10/11/15 14:15:00,,0.00
412,10/11/15 14:20:00,,0.00
413,10/11/15 14:25:00,,0.00
414,10/11/15 14:30:00,,0.00
415,10/11/15 14:34:36,19.948,
416,10/11/15 14:35:00,,0.00
417,10/11/15 14:40:00,,0.00
418,10/11/15 14:45:00,,0.00
419,10/11/15 14:50:00,,0.00
420,10/11/15 14:55:00,,0.00
421,10/11/15 15:00:00,,0.00
422,10/11/15 15:04:36,17.475,
423,10/11/15 15:05:00,,0.00
424,10/11/15 15:10:00,,0.00
425,10/11/15 15:15:00,,0.00
426,10/11/15 15:20:00,,0.00
427,10/11/15 15:25:00,,0.00
428,10/11/15 15:30:00,,0.00
429,10/11/15 15:34:36,16.427,
430,10/11/15 15:35:00,,0.00
431,10/11/15 15:40:00,,0.00
432,10/11/15 15:45:00,,0.00
433,10/11/15 15:50:00,,0.00
434,10/11/15 15:55:00,,0.00
435,10/11/15 16:00:00,,0.00
436,10/11/15 16:04:36,15.473,
437,10/11/15 16:05:00,,0.00
438,10/11/15 16:10:00,,0.00
439,10/11/15 16:15:00,,0.00
440,10/11/15 16:20:00,,0.00
441,10/11/15 16:25:00,,0.00
442,10/11/15 16:30:00,,0.00
443,10/11/15 16:34:36,15.091,
444,10/11/15 16:35:00,,0.00
445,10/11/15 16:40:00,,0.00
446,10/11/15 16:45:00,,0.00
447,10/11/15 16:50:00,,0.00
448,10/11/15 16:55:00,,0.00
449,10/11/15 17:00:00,,0.00
450,10/11/15 17:04:36,13.365,
451,10/11/15 17:05:00,,0.00
452,10/11/15 17:10:00,,0.00
453,10/11/15 17:15:00,,0.00
454,10/11/15 17:20:00,,0.00
455,10/11/15 17:25:00,,0.00
456,10/11/15 17:30:00,,0.00
457,10/11/15 17:34:36,13.076,
458,10/11/15 17:35:00,,0.00
459,10/11/15 17:40:00,,0.00
460,10/11/15 17:45:00,,0.00
461,10/11/15 17:50:00,,0.00
462,10/11/15 17:55:00,,0.00
463,10/11/15 18:00:00,,0.00
464,10/11/15 18:04:36,12.110,
465,10/11/15 18:05:00,,0.00
466,10/11/15 18:10:00,,0.00
467,10/11/15 18:15:00,,0.00
468,10/11/15 18:20:00,,0.00
469,10/11/15 18:25:00,,0.00
470,10/11/15 18:30:00,,0.00
471,10/11/15 18:34:36,11.625,
472,10/11/15 18:35:00,,0.00
473,10/11/15 18:40:00,,0.00
474,10/11/15 18:45:00,,0.00
475,10/11/15 18:50:00,,0.00
476,10/11/15 18:55:00,,0.00
477,10/11/15 19:00:00,,0.00
478,10/11/15 19:04:36,11.916,
479,10/11/15 19:05:00,,0.00
480,10/11/15 19:10:00,,0.00
481,10/11/15 19:15:00,,0.00
482,10/11/15 19:20:00,,0.00
483,10/11/15 19:25:00,,0.00
484,10/11/15 19:30:00,,0.00
485,10/11/15 19:34:36,13.076,
486,10/11/15 19:35:00,,0.00
487,10/11/15 19:40:00,,0.00
488,10/11/15 19:45:00,,0.00
489,10/11/15 19:50:00,,0.00
490,10/11/15 19:55:00,,0.00
491,10/11/15 20:00:00,,0.00
492,10/11/15 20:04:36,13.173,
493,10/11/15 20:05:00,,0.00
494,10/11/15 20:10:00,,0.00
495,10/11/15 20:15:00,,0.00
496,10/11/15 20:20:00,,0.00
497,10/11/15 20:25:00,,0.00
498,10/11/15 20:30:00,,0.00
499,10/11/15 20:34:36,12.883,
500,10/11/15 20:35:00,,0.00
501,10/11/15 20:40:00,,0.00
502,10/11/15 20:45:00,,0.00
503,10/11/15 20:50:00,,0.00
504,10/11/15 20:55:00,,0.00
505,10/11/15 21:00:00,,0.00
506,10/11/15 21:04:36,13.173,
507,10/11/15 21:05:00,,0.00
508,10/11/15 21:10:00,,0.00
509,10/11/15 21:15:00,,0.00
510,10/11/15 21:20:00,,0.00
511,10/11/15 21:25:00,,0.00
512,10/11/15 21:30:00,,0.00
513,10/11/15 21:34:36,13.076,
514,10/11/15 21:35:00,,0.00
515,10/11/15 21:40:00,,0.00
516,10/11/15 21:45:00,,0.00
517,10/11/15 21:50:00,,0.00
518,10/11/15 21:55:00,,0.00
519,10/11/15 22:00:00,,0.00
520,10/11/15 22:04:36,12.594,
521,10/11/15 22:05:00,,0.00
522,10/11/15 22:10:00,,0.00
523,10/11/15 22:15:00,,0.00
