"TOA5","Schafhof5","CR200X","No_SN","CR200X.Std.01","Messung.CR2","20312","Table1"
"TIMESTAMP","RECORD","VWC_Avg","EC_Avg","T_Avg"
"TS","RN","m^3/m^3","dS/m","Deg C"
"","","Avg","Avg","Avg"
"2016-07-05 02:00:00",367985,0.2903,0.0085,18.4346
"2016-07-05 02:05:00",367986,0.2903,0.0084,18.4073
"2016-07-05 02:10:00",367987,0.2903,0.0084,18.4155
"2016-07-05 02:15:00",367988,0.2903,0.0084,18.3854
"2016-07-05 02:20:00",367989,0.2903,0.0085,18.3963
"2016-07-05 02:25:00",367990,0.2903,0.0085,18.3717
"2016-07-05 02:30:00",367991,0.2903,0.0085,18.3361
"2016-07-05 02:35:00",367992,0.2902,0.0086,18.4155
"2016-07-05 02:40:00",367993,0.2903,0.0084,18.3799
"2016-07-05 02:45:00",367994,0.2903,0.0085,18.4018
"2016-07-05 02:50:00",367995,0.2902,0.0085,18.3717
"2016-07-05 02:55:00",367996,0.2903,0.0085,18.3908
"2016-07-05 03:00:00",367997,0.2902,0.0086,18.358
"2016-07-05 03:05:00",367998,0.2902,0.0085,18.3471
"2016-07-05 03:10:00",367999,0.2903,0.0085,18.317
"2016-07-05 03:15:00",368000,0.2903,0.0084,18.3526
"2016-07-05 03:20:00",368001,0.2902,0.0086,18.3279
"2016-07-05 03:25:00",368002,0.2903,0.0085,18.3033
"2016-07-05 03:30:00",368003,0.2902,0.0086,18.3279
"2016-07-05 03:35:00",368004,0.2903,0.0084,18.3033
"2016-07-05 03:40:00",368005,0.2903,0.0084,18.3197
"2016-07-05 03:45:00",368006,0.2903,0.0085,18.2869
"2016-07-05 03:50:00",368007,0.2903,0.0084,18.2924
"2016-07-05 03:55:00",368008,0.2903,0.0085,18.2951
"2016-07-05 04:00:00",368009,0.2903,0.0085,18.317
"2016-07-05 04:05:00",368010,0.2903,0.0085,18.3033
"2016-07-05 04:10:00",368011,0.2902,0.0086,18.2623
"2016-07-05 04:15:00",368012,0.2903,0.0084,18.2623
"2016-07-05 04:20:00",368013,0.2903,0.0085,18.2759
"2016-07-05 04:25:00",368014,0.2903,0.0084,18.2486
"2016-07-05 04:30:00",368015,0.2903,0.0085,18.2459
"2016-07-05 04:35:00",368016,0.2903,0.0084,18.2404
"2016-07-05 04:40:00",368017,0.2902,0.0085,18.2404
"2016-07-05 04:45:00",368018,0.2903,0.0084,18.2869
"2016-07-05 04:50:00",368019,0.2903,0.0085,18.2158
"2016-07-05 04:55:00",368020,0.2903,0.0084,18.2349
"2016-07-05 05:00:00",368021,0.2903,0.0085,18.2267
"2016-07-05 05:05:00",368022,0.2903,0.0084,18.2376
"2016-07-05 05:10:00",368023,0.2903,0.0083,18.2349
"2016-07-05 05:15:00",368024,0.2902,0.0085,18.2076
"2016-07-05 05:20:00",368025,0.2902,0.0085,18.224
"2016-07-05 05:25:00",368026,0.2903,0.0083,18.1993
"2016-07-05 05:30:00",368027,0.2903,0.0085,18.213
"2016-07-05 05:35:00",368028,0.2903,0.0085,18.1884
"2016-07-05 05:40:00",368029,0.2903,0.0084,18.1966
"2016-07-05 05:45:00",368030,0.2903,0.0084,18.1884
"2016-07-05 05:50:00",368031,0.2903,0.0085,18.1747
"2016-07-05 05:55:00",368032,0.2903,0.0083,18.1693
"2016-07-05 06:00:00",368033,0.2903,0.0084,18.2103
"2016-07-05 06:05:00",368034,0.2903,0.0084,18.1993
"2016-07-05 06:10:00",368035,0.2902,0.0086,18.1912
"2016-07-05 06:15:00",368036,0.2903,0.0084,18.1747
"2016-07-05 06:20:00",368037,0.2903,0.0083,18.1392
"2016-07-05 06:25:00",368038,0.2903,0.0084,18.1857
"2016-07-05 06:30:00",368039,0.29,0.0085,18.1364
"2016-07-05 06:35:00",368040,0.29,0.0084,18.1665
"2016-07-05 06:40:00",368041,0.29,0.0085,18.161
"2016-07-05 06:45:00",368042,0.29,0.0084,18.1583
"2016-07-05 06:50:00",368043,0.29,0.0082,18.1118
"2016-07-05 06:55:00",368044,0.29,0.0084,18.1364
"2016-07-05 07:00:00",368045,0.29,0.0084,18.1337
"2016-07-05 07:05:00",368046,0.29,0.0084,18.1227
"2016-07-05 07:10:00",368047,0.29,0.0083,18.1392
"2016-07-05 07:15:00",368048,0.29,0.0083,18.1145
"2016-07-05 07:20:00",368049,0.29,0.0084,18.1255
"2016-07-05 07:25:00",368050,0.29,0.0085,18.1392
"2016-07-05 07:30:00",368051,0.29,0.0084,18.1528
"2016-07-05 07:35:00",368052,0.29,0.0084,18.1009
"2016-07-05 07:40:00",368053,0.29,0.0084,18.1091
"2016-07-05 07:45:00",368054,0.29,0.0085,18.0954
"2016-07-05 07:50:00",368055,0.29,0.0084,18.1063
"2016-07-05 07:55:00",368056,0.29,0.0083,18.1091
"2016-07-05 08:00:00",368057,0.29,0.0083,18.12
"2016-07-05 08:05:00",368058,0.29,0.0083,18.1446
"2016-07-05 08:10:00",368059,0.2897,0.0084,18.1009
"2016-07-05 08:15:00",368060,0.2897,0.0083,18.0927
"2016-07-05 08:20:00",368061,0.2897,0.0084,18.1063
"2016-07-05 08:25:00",368062,0.2897,0.0083,18.0981
"2016-07-05 08:30:00",368063,0.2897,0.0083,18.12
"2016-07-05 08:35:00",368064,0.2897,0.0084,18.1091
"2016-07-05 08:40:00",368065,0.2897,0.0084,18.0789
"2016-07-05 08:45:00",368066,0.2897,0.0082,18.0845
"2016-07-05 08:50:00",368067,0.2897,0.0084,18.0927
"2016-07-05 08:55:00",368068,0.2895,0.0084,18.0927
"2016-07-05 09:00:00",368069,0.2894,0.0084,18.0762
"2016-07-05 09:05:00",368070,0.2895,0.0084,18.0845
"2016-07-05 09:10:00",368071,0.2894,0.0085,18.1145
"2016-07-05 09:15:00",368072,0.2894,0.0084,18.1091
"2016-07-05 09:20:00",368073,0.2894,0.0084,18.1309
"2016-07-05 09:25:00",368074,0.2894,0.0084,18.1145
"2016-07-05 09:30:00",368075,0.2895,0.0083,18.1227
"2016-07-05 09:35:00",368076,0.2894,0.0085,18.1145
"2016-07-05 09:40:00",368077,0.2895,0.0083,18.1282
"2016-07-05 09:45:00",368078,0.2894,0.0084,18.1309
"2016-07-05 09:50:00",368079,0.2892,0.0083,18.12
"2016-07-05 09:55:00",368080,0.2892,0.0083,18.1364
"2016-07-05 10:00:00",368081,0.2892,0.0083,18.1309
"2016-07-05 10:05:00",368082,0.2892,0.0083,18.1173
"2016-07-05 10:10:00",368083,0.2892,0.0084,18.1528
"2016-07-05 10:15:00",368084,0.2892,0.0084,18.1282
"2016-07-05 10:20:00",368085,0.2892,0.0085,18.1309
"2016-07-05 10:25:00",368086,0.2892,0.0083,18.1173
"2016-07-05 10:30:00",368087,0.2892,0.0084,18.1337
"2016-07-05 10:35:00",368088,0.2892,0.0085,18.1474
"2016-07-05 10:40:00",368089,0.2892,0.0084,18.172
"2016-07-05 10:45:00",368090,0.2892,0.0084,18.1337
"2016-07-05 10:50:00",368091,0.2892,0.0083,18.1665
"2016-07-05 10:55:00",368092,0.2892,0.0084,18.1638
"2016-07-05 11:00:00",368093,0.2889,0.0082,18.1693
"2016-07-05 11:05:00",368094,0.2889,0.0084,18.1665
"2016-07-05 11:10:00",368095,0.2889,0.0083,18.1556
"2016-07-05 11:15:00",368096,0.2889,0.0085,18.172
"2016-07-05 11:20:00",368097,0.2889,0.0085,18.2048
"2016-07-05 11:25:00",368098,0.2889,0.0084,18.224
"2016-07-05 11:30:00",368099,0.2889,0.0083,18.1993
"2016-07-05 11:35:00",368100,0.2889,0.0083,18.1993
"2016-07-05 11:40:00",368101,0.2889,0.0083,18.2212
"2016-07-05 11:45:00",368102,0.2886,0.0083,18.2185
"2016-07-05 11:50:00",368103,0.2886,0.0084,18.2541
"2016-07-05 11:55:00",368104,0.2886,0.0083,18.2322
"2016-07-05 12:00:00",368105,0.2886,0.0084,18.2021
"2016-07-05 12:05:00",368106,0.2886,0.0085,18.224
"2016-07-05 12:10:00",368107,0.2886,0.0085,18.2404
"2016-07-05 12:15:00",368108,0.2886,0.0084,18.2486
"2016-07-05 12:20:00",368109,0.2886,0.0084,18.2431
"2016-07-05 12:25:00",368110,0.2884,0.0083,18.2677
"2016-07-05 12:30:00",368111,0.2884,0.0084,18.2568
"2016-07-05 12:35:00",368112,0.2883,0.0085,18.265
"2016-07-05 12:40:00",368113,0.2883,0.0085,18.2541
"2016-07-05 12:45:00",368114,0.2884,0.0084,18.2869
"2016-07-05 12:50:00",368115,0.2884,0.0082,18.2732
"2016-07-05 12:55:00",368116,0.2884,0.0084,18.2596
"2016-07-05 13:00:00",368117,0.2884,0.0083,18.2842
"2016-07-05 13:05:00",368118,0.2884,0.0082,18.2842
