"Plot Title: Schönbrunn"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177316, SEN S/N: 10177316)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177316)"
1,02/03/17 10:05:00,,0.0
2,02/03/17 10:09:34,6.268,
3,02/03/17 10:10:00,,0.0
4,02/03/17 10:15:00,,0.0
5,02/03/17 10:20:00,,0.0
6,02/03/17 10:25:00,,0.0
7,02/03/17 10:30:00,,0.0
8,02/03/17 10:35:00,,0.0
9,02/03/17 10:39:34,4.934,
10,02/03/17 10:40:00,,0.0
11,02/03/17 10:45:00,,0.0
12,02/03/17 10:50:00,,0.0
13,02/03/17 10:55:00,,0.0
14,02/03/17 11:00:00,,0.0
15,02/03/17 11:05:00,,0.0
16,02/03/17 11:09:34,4.623,
17,02/03/17 11:10:00,,0.0
18,02/03/17 11:15:00,,0.0
19,02/03/17 11:20:00,,0.0
20,02/03/17 11:25:00,,0.0
21,02/03/17 11:30:00,,0.0
22,02/03/17 11:35:00,,0.0
23,02/03/17 11:39:34,5.962,
24,02/03/17 11:40:00,,0.0
25,02/03/17 11:45:00,,0.0
26,02/03/17 11:50:00,,0.0
27,02/03/17 11:55:00,,0.0
28,02/03/17 12:00:00,,0.0
29,02/03/17 12:05:00,,0.0
30,02/03/17 12:09:34,6.268,
31,02/03/17 12:10:00,,0.0
32,02/03/17 12:15:00,,0.0
33,02/03/17 12:20:00,,0.0
34,02/03/17 12:25:00,,0.0
35,02/03/17 12:30:00,,0.0
36,02/03/17 12:35:00,,0.0
37,02/03/17 12:39:34,5.860,
38,02/03/17 12:40:00,,0.0
39,02/03/17 12:45:00,,0.0
40,02/03/17 12:50:00,,0.0
41,02/03/17 12:55:00,,0.0
42,02/03/17 13:00:00,,0.0
43,02/03/17 13:05:00,,0.0
44,02/03/17 13:09:34,6.370,
45,02/03/17 13:10:00,,0.0
46,02/03/17 13:15:00,,0.0
47,02/03/17 13:20:00,,0.0
48,02/03/17 13:25:00,,0.0
49,02/03/17 13:30:00,,0.0
50,02/03/17 13:35:00,,0.0
51,02/03/17 13:39:34,6.573,
52,02/03/17 13:40:00,,0.0
53,02/03/17 13:45:00,,0.0
54,02/03/17 13:50:00,,0.0
55,02/03/17 13:55:00,,0.0
56,02/03/17 14:00:00,,0.0
57,02/03/17 14:05:00,,0.0
58,02/03/17 14:09:34,6.166,
59,02/03/17 14:10:00,,0.0
60,02/03/17 14:15:00,,0.0
61,02/03/17 14:20:00,,0.0
62,02/03/17 14:25:00,,0.0
63,02/03/17 14:30:00,,0.0
64,02/03/17 14:35:00,,0.0
65,02/03/17 14:39:34,6.370,
66,02/03/17 14:40:00,,0.0
67,02/03/17 14:45:00,,0.0
68,02/03/17 14:50:00,,0.0
69,02/03/17 14:55:00,,0.0
70,02/03/17 15:00:00,,0.0
71,02/03/17 15:05:00,,0.0
72,02/03/17 15:09:34,5.860,
73,02/03/17 15:10:00,,0.0
74,02/03/17 15:15:00,,0.0
75,02/03/17 15:20:00,,0.0
76,02/03/17 15:25:00,,0.0
77,02/03/17 15:30:00,,0.0
78,02/03/17 15:35:00,,0.0
79,02/03/17 15:39:34,5.655,
80,02/03/17 15:40:00,,0.0
81,02/03/17 15:45:00,,0.0
82,02/03/17 15:50:00,,0.0
83,02/03/17 15:55:00,,0.0
84,02/03/17 16:00:00,,0.0
85,02/03/17 16:05:00,,0.0
86,02/03/17 16:09:34,5.450,
87,02/03/17 16:10:00,,0.0
88,02/03/17 16:15:00,,0.0
89,02/03/17 16:20:00,,0.0
90,02/03/17 16:25:00,,0.0
91,02/03/17 16:30:00,,0.0
92,02/03/17 16:35:00,,0.0
93,02/03/17 16:39:34,5.244,
94,02/03/17 16:40:00,,0.0
95,02/03/17 16:45:00,,0.0
96,02/03/17 16:50:00,,0.0
97,02/03/17 16:55:00,,0.0
98,02/03/17 17:00:00,,0.0
99,02/03/17 17:05:00,,0.0
100,02/03/17 17:09:34,5.037,
101,02/03/17 17:10:00,,0.0
102,02/03/17 17:15:00,,0.0
103,02/03/17 17:20:00,,0.0
104,02/03/17 17:25:00,,0.0
105,02/03/17 17:30:00,,0.0
106,02/03/17 17:35:00,,0.0
107,02/03/17 17:39:34,4.623,
108,02/03/17 17:40:00,,0.0
109,02/03/17 17:45:00,,0.0
110,02/03/17 17:50:00,,0.0
111,02/03/17 17:55:00,,0.0
112,02/03/17 18:00:00,,0.0
113,02/03/17 18:05:00,,0.0
114,02/03/17 18:09:34,4.623,
115,02/03/17 18:10:00,,0.0
116,02/03/17 18:15:00,,0.0
117,02/03/17 18:20:00,,0.0
118,02/03/17 18:25:00,,0.0
119,02/03/17 18:30:00,,0.0
120,02/03/17 18:35:00,,0.0
121,02/03/17 18:39:34,4.831,
122,02/03/17 18:40:00,,0.0
123,02/03/17 18:45:00,,0.0
124,02/03/17 18:50:00,,0.0
125,02/03/17 18:55:00,,0.0
126,02/03/17 19:00:00,,0.0
127,02/03/17 19:05:00,,0.0
128,02/03/17 19:09:34,4.623,
129,02/03/17 19:10:00,,0.0
130,02/03/17 19:15:00,,0.0
131,02/03/17 19:20:00,,0.0
132,02/03/17 19:25:00,,0.0
133,02/03/17 19:30:00,,0.0
134,02/03/17 19:35:00,,0.0
135,02/03/17 19:39:34,4.519,
136,02/03/17 19:40:00,,0.0
137,02/03/17 19:45:00,,0.0
138,02/03/17 19:50:00,,0.0
139,02/03/17 19:55:00,,0.0
140,02/03/17 20:00:00,,0.0
141,02/03/17 20:05:00,,0.0
142,02/03/17 20:09:34,4.415,
143,02/03/17 20:10:00,,0.0
144,02/03/17 20:15:00,,0.0
145,02/03/17 20:20:00,,0.0
146,02/03/17 20:25:00,,0.0
147,02/03/17 20:30:00,,0.0
148,02/03/17 20:35:00,,0.0
149,02/03/17 20:39:34,4.623,
150,02/03/17 20:40:00,,0.0
151,02/03/17 20:45:00,,0.0
152,02/03/17 20:50:00,,0.0
153,02/03/17 20:55:00,,0.0
154,02/03/17 21:00:00,,0.0
155,02/03/17 21:05:00,,0.0
156,02/03/17 21:09:34,4.519,
157,02/03/17 21:10:00,,0.0
158,02/03/17 21:15:00,,0.0
159,02/03/17 21:20:00,,0.0
160,02/03/17 21:25:00,,0.0
161,02/03/17 21:30:00,,0.0
162,02/03/17 21:35:00,,0.0
163,02/03/17 21:39:34,4.311,
164,02/03/17 21:40:00,,0.0
165,02/03/17 21:45:00,,0.0
166,02/03/17 21:50:00,,0.0
167,02/03/17 21:55:00,,0.0
168,02/03/17 22:00:00,,0.0
169,02/03/17 22:05:00,,0.0
170,02/03/17 22:09:34,4.102,
171,02/03/17 22:10:00,,0.0
172,02/03/17 22:15:00,,0.0
173,02/03/17 22:20:00,,0.0
174,02/03/17 22:25:00,,0.0
175,02/03/17 22:30:00,,0.0
176,02/03/17 22:35:00,,0.0
177,02/03/17 22:39:34,3.788,
178,02/03/17 22:40:00,,0.0
179,02/03/17 22:45:00,,0.0
180,02/03/17 22:50:00,,0.0
181,02/03/17 22:55:00,,0.0
182,02/03/17 23:00:00,,0.0
183,02/03/17 23:05:00,,0.0
184,02/03/17 23:09:34,3.261,
185,02/03/17 23:10:00,,0.0
186,02/03/17 23:15:00,,0.0
187,02/03/17 23:20:00,,0.0
188,02/03/17 23:25:00,,0.0
189,02/03/17 23:30:00,,0.0
190,02/03/17 23:35:00,,0.0
191,02/03/17 23:39:34,2.088,
192,02/03/17 23:40:00,,0.0
193,02/03/17 23:45:00,,0.0
194,02/03/17 23:50:00,,0.0
195,02/03/17 23:55:00,,0.0
196,03/03/17 00:00:00,,0.0
197,03/03/17 00:05:00,,0.0
198,03/03/17 00:09:34,1.439,
199,03/03/17 00:10:00,,0.0
200,03/03/17 00:15:00,,0.0
201,03/03/17 00:20:00,,0.0
202,03/03/17 00:25:00,,0.0
203,03/03/17 00:30:00,,0.0
204,03/03/17 00:35:00,,0.0
205,03/03/17 00:39:34,1.439,
206,03/03/17 00:40:00,,0.0
207,03/03/17 00:45:00,,0.0
208,03/03/17 00:50:00,,0.0
209,03/03/17 00:55:00,,0.0
210,03/03/17 01:00:00,,0.0
211,03/03/17 01:05:00,,0.0
212,03/03/17 01:09:34,1.548,
213,03/03/17 01:10:00,,0.0
214,03/03/17 01:15:00,,0.0
215,03/03/17 01:20:00,,0.0
216,03/03/17 01:25:00,,0.0
217,03/03/17 01:30:00,,0.0
218,03/03/17 01:35:00,,0.0
219,03/03/17 01:39:34,0.784,
220,03/03/17 01:40:00,,0.0
221,03/03/17 01:45:00,,0.0
222,03/03/17 01:50:00,,0.0
223,03/03/17 01:55:00,,0.0
224,03/03/17 02:00:00,,0.0
225,03/03/17 02:05:00,,0.0
226,03/03/17 02:09:34,1.980,
227,03/03/17 02:10:00,,0.0
228,03/03/17 02:15:00,,0.0
229,03/03/17 02:20:00,,0.0
230,03/03/17 02:25:00,,0.0
231,03/03/17 02:30:00,,0.0
232,03/03/17 02:35:00,,0.0
233,03/03/17 02:39:34,2.303,
234,03/03/17 02:40:00,,0.0
235,03/03/17 02:45:00,,0.0
236,03/03/17 02:50:00,,0.0
237,03/03/17 02:55:00,,0.0
238,03/03/17 03:00:00,,0.0
239,03/03/17 03:05:00,,0.0
240,03/03/17 03:09:34,2.624,
241,03/03/17 03:10:00,,0.0
242,03/03/17 03:15:00,,0.0
243,03/03/17 03:20:00,,0.0
244,03/03/17 03:25:00,,0.0
245,03/03/17 03:30:00,,0.0
246,03/03/17 03:35:00,,0.0
247,03/03/17 03:39:34,2.730,
248,03/03/17 03:40:00,,0.0
249,03/03/17 03:45:00,,0.0
250,03/03/17 03:50:00,,0.0
251,03/03/17 03:55:00,,0.0
252,03/03/17 04:00:00,,0.0
253,03/03/17 04:05:00,,0.0
254,03/03/17 04:09:34,3.261,
255,03/03/17 04:10:00,,0.0
256,03/03/17 04:15:00,,0.0
257,03/03/17 04:20:00,,0.0
258,03/03/17 04:25:00,,0.0
259,03/03/17 04:30:00,,0.0
260,03/03/17 04:35:00,,0.0
261,03/03/17 04:39:34,3.049,
262,03/03/17 04:40:00,,0.0
263,03/03/17 04:45:00,,0.0
264,03/03/17 04:50:00,,0.0
265,03/03/17 04:55:00,,0.0
266,03/03/17 05:00:00,,0.0
267,03/03/17 05:05:00,,0.0
268,03/03/17 05:09:34,3.049,
269,03/03/17 05:10:00,,0.0
270,03/03/17 05:15:00,,0.0
271,03/03/17 05:20:00,,0.0
272,03/03/17 05:25:00,,0.0
273,03/03/17 05:30:00,,0.0
274,03/03/17 05:35:00,,0.0
275,03/03/17 05:39:34,2.730,
276,03/03/17 05:40:00,,0.0
277,03/03/17 05:45:00,,0.0
278,03/03/17 05:50:00,,0.0
