"Plot Title: Experiment"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10806052, SEN S/N: 10806052)","Cum. Sum: Event, units (LGR S/N: 10806052)"
1,16/08/17 09:30:00,,0.00
2,16/08/17 09:31:20,22.142,
3,16/08/17 09:35:00,,0.00
4,16/08/17 09:40:00,,0.00
5,16/08/17 09:45:00,,0.00
6,16/08/17 09:50:00,,0.00
7,16/08/17 09:55:00,,0.00
8,16/08/17 10:00:00,,0.00
9,16/08/17 10:01:20,20.424,
10,16/08/17 10:05:00,,0.00
11,16/08/17 10:10:00,,0.00
12,16/08/17 10:15:00,,0.00
13,16/08/17 10:20:00,,0.00
14,16/08/17 10:25:00,,0.00
15,16/08/17 10:30:00,,0.00
16,16/08/17 10:31:20,19.377,
17,16/08/17 10:35:00,,0.00
18,16/08/17 10:40:00,,0.00
19,16/08/17 10:45:00,,0.00
20,16/08/17 10:50:00,,0.00
21,16/08/17 10:55:00,,0.00
22,16/08/17 11:00:00,,0.00
23,16/08/17 11:01:20,20.043,
24,16/08/17 11:05:00,,0.00
25,16/08/17 11:10:00,,0.00
26,16/08/17 11:15:00,,0.00
27,16/08/17 11:20:00,,0.00
28,16/08/17 11:25:00,,0.00
29,16/08/17 11:30:00,,0.00
30,16/08/17 11:31:20,19.758,
31,16/08/17 11:35:00,,0.00
32,16/08/17 11:40:00,,0.00
33,16/08/17 11:45:00,,0.00
34,16/08/17 11:50:00,,0.00
35,16/08/17 11:55:00,,0.00
36,16/08/17 12:00:00,,0.00
37,16/08/17 12:01:20,19.472,
38,16/08/17 12:05:00,,0.00
39,16/08/17 12:10:00,,0.00
40,16/08/17 12:15:00,,0.00
41,16/08/17 12:20:00,,0.00
42,16/08/17 12:25:00,,0.00
43,16/08/17 12:30:00,,0.00
44,16/08/17 12:31:20,21.760,
45,16/08/17 12:35:00,,0.00
46,16/08/17 12:40:00,,0.00
47,16/08/17 12:45:00,,0.00
48,16/08/17 12:50:00,,0.00
49,16/08/17 12:55:00,,0.00
50,16/08/17 13:00:00,,0.00
51,16/08/17 13:01:20,21.569,
52,16/08/17 13:05:00,,0.00
53,16/08/17 13:10:00,,0.00
54,16/08/17 13:15:00,,0.00
55,16/08/17 13:20:00,,0.00
56,16/08/17 13:25:00,,0.00
57,16/08/17 13:30:00,,0.00
58,16/08/17 13:31:20,21.091,
59,16/08/17 13:35:00,,0.00
60,16/08/17 13:40:00,,0.00
61,16/08/17 13:45:00,,0.00
62,16/08/17 13:50:00,,0.00
63,16/08/17 13:55:00,,0.00
64,16/08/17 14:00:00,,0.00
65,16/08/17 14:01:20,20.519,
66,16/08/17 14:05:00,,0.00
67,16/08/17 14:10:00,,0.00
68,16/08/17 14:15:00,,0.00
69,16/08/17 14:20:00,,0.00
70,16/08/17 14:25:00,,0.00
71,16/08/17 14:30:00,,0.00
72,16/08/17 14:31:20,22.717,
73,16/08/17 14:35:00,,0.00
74,16/08/17 14:40:00,,0.00
75,16/08/17 14:45:00,,0.00
76,16/08/17 14:50:00,,0.00
77,16/08/17 14:55:00,,0.00
78,16/08/17 15:00:00,,0.00
79,16/08/17 15:01:20,21.473,
80,16/08/17 15:05:00,,0.00
81,16/08/17 15:10:00,,0.00
82,16/08/17 15:15:00,,0.00
83,16/08/17 15:20:00,,0.00
84,16/08/17 15:25:00,,0.00
85,16/08/17 15:30:00,,0.00
86,16/08/17 15:31:20,20.805,
87,16/08/17 15:35:00,,0.00
88,16/08/17 15:40:00,,0.00
89,16/08/17 15:45:00,,0.00
90,16/08/17 15:50:00,,0.00
91,16/08/17 15:55:00,,0.00
92,16/08/17 16:00:00,,0.00
93,16/08/17 16:01:20,20.424,
94,16/08/17 16:05:00,,0.00
95,16/08/17 16:10:00,,0.00
96,16/08/17 16:15:00,,0.00
97,16/08/17 16:20:00,,0.00
98,16/08/17 16:25:00,,0.00
99,16/08/17 16:30:00,,0.00
100,16/08/17 16:31:20,19.662,
101,16/08/17 16:35:00,,0.00
102,16/08/17 16:40:00,,0.00
103,16/08/17 16:45:00,,0.00
104,16/08/17 16:50:00,,0.00
105,16/08/17 16:55:00,,0.00
106,16/08/17 17:00:00,,0.00
107,16/08/17 17:01:20,20.615,
108,16/08/17 17:05:00,,0.00
109,16/08/17 17:10:00,,0.00
110,16/08/17 17:15:00,,0.00
111,16/08/17 17:20:00,,0.00
112,16/08/17 17:25:00,,0.00
113,16/08/17 17:30:00,,0.00
114,16/08/17 17:31:20,20.329,
115,16/08/17 17:35:00,,0.00
116,16/08/17 17:40:00,,0.00
117,16/08/17 17:45:00,,0.00
118,16/08/17 17:50:00,,0.00
119,16/08/17 17:55:00,,0.00
120,16/08/17 18:00:00,,0.00
121,16/08/17 18:01:20,18.426,
122,16/08/17 18:05:00,,0.00
123,16/08/17 18:10:00,,0.00
124,16/08/17 18:15:00,,0.00
125,16/08/17 18:20:00,,0.00
126,16/08/17 18:25:00,,0.00
127,16/08/17 18:30:00,,0.00
128,16/08/17 18:31:20,16.713,
129,16/08/17 18:35:00,,0.00
130,16/08/17 18:40:00,,0.00
131,16/08/17 18:45:00,,0.00
132,16/08/17 18:50:00,,0.00
133,16/08/17 18:55:00,,0.00
134,16/08/17 19:00:00,,0.00
135,16/08/17 19:01:20,14.996,
136,16/08/17 19:05:00,,0.00
137,16/08/17 19:10:00,,0.00
138,16/08/17 19:15:00,,0.00
139,16/08/17 19:20:00,,0.00
140,16/08/17 19:25:00,,0.00
141,16/08/17 19:30:00,,0.00
142,16/08/17 19:31:20,14.421,
143,16/08/17 19:35:00,,0.00
144,16/08/17 19:40:00,,0.00
145,16/08/17 19:45:00,,0.00
146,16/08/17 19:50:00,,0.00
147,16/08/17 19:55:00,,0.00
148,16/08/17 20:00:00,,0.00
149,16/08/17 20:01:20,14.230,
150,16/08/17 20:05:00,,0.00
151,16/08/17 20:10:00,,0.00
152,16/08/17 20:15:00,,0.00
153,16/08/17 20:20:00,,0.00
154,16/08/17 20:25:00,,0.00
155,16/08/17 20:30:00,,0.00
156,16/08/17 20:31:20,14.421,
157,16/08/17 20:35:00,,0.00
158,16/08/17 20:40:00,,0.00
159,16/08/17 20:45:00,,0.00
160,16/08/17 20:50:00,,0.00
161,16/08/17 20:55:00,,0.00
162,16/08/17 21:00:00,,0.00
163,16/08/17 21:01:20,14.996,
164,16/08/17 21:05:00,,0.00
165,16/08/17 21:10:00,,0.00
166,16/08/17 21:15:00,,0.00
167,16/08/17 21:20:00,,0.00
168,16/08/17 21:25:00,,0.00
169,16/08/17 21:30:00,,0.00
170,16/08/17 21:31:20,14.709,
171,16/08/17 21:35:00,,0.00
172,16/08/17 21:40:00,,0.00
173,16/08/17 21:45:00,,0.00
174,16/08/17 21:50:00,,0.00
175,16/08/17 21:55:00,,0.00
176,16/08/17 22:00:00,,0.00
177,16/08/17 22:01:20,14.804,
178,16/08/17 22:05:00,,0.00
179,16/08/17 22:10:00,,0.00
180,16/08/17 22:15:00,,0.00
181,16/08/17 22:20:00,,0.00
182,16/08/17 22:25:00,,0.00
183,16/08/17 22:30:00,,0.00
184,16/08/17 22:31:20,14.996,
185,16/08/17 22:35:00,,0.00
186,16/08/17 22:40:00,,0.00
187,16/08/17 22:45:00,,0.00
188,16/08/17 22:50:00,,0.00
189,16/08/17 22:55:00,,0.00
190,16/08/17 23:00:00,,0.00
191,16/08/17 23:01:20,14.517,
192,16/08/17 23:05:00,,0.00
193,16/08/17 23:10:00,,0.00
194,16/08/17 23:15:00,,0.00
195,16/08/17 23:20:00,,0.00
196,16/08/17 23:25:00,,0.00
197,16/08/17 23:30:00,,0.00
198,16/08/17 23:31:20,14.325,
199,16/08/17 23:35:00,,0.00
200,16/08/17 23:40:00,,0.00
201,16/08/17 23:45:00,,0.00
202,16/08/17 23:50:00,,0.00
203,16/08/17 23:55:00,,0.00
204,17/08/17 00:00:00,,0.00
205,17/08/17 00:01:20,14.709,
206,17/08/17 00:05:00,,0.00
207,17/08/17 00:10:00,,0.00
208,17/08/17 00:15:00,,0.00
209,17/08/17 00:20:00,,0.00
210,17/08/17 00:25:00,,0.00
211,17/08/17 00:30:00,,0.00
212,17/08/17 00:31:20,14.709,
213,17/08/17 00:35:00,,0.00
214,17/08/17 00:40:00,,0.00
215,17/08/17 00:45:00,,0.00
216,17/08/17 00:50:00,,0.00
217,17/08/17 00:55:00,,0.00
218,17/08/17 01:00:00,,0.00
219,17/08/17 01:01:20,14.900,
220,17/08/17 01:05:00,,0.00
221,17/08/17 01:10:00,,0.00
222,17/08/17 01:15:00,,0.00
223,17/08/17 01:20:00,,0.00
224,17/08/17 01:25:00,,0.00
225,17/08/17 01:30:00,,0.00
226,17/08/17 01:31:20,14.230,
227,17/08/17 01:35:00,,0.00
228,17/08/17 01:40:00,,0.00
229,17/08/17 01:45:00,,0.00
230,17/08/17 01:50:00,,0.00
231,17/08/17 01:55:00,,0.00
232,17/08/17 02:00:00,,0.00
233,17/08/17 02:01:20,14.517,
234,17/08/17 02:05:00,,0.00
235,17/08/17 02:10:00,,0.00
236,17/08/17 02:15:00,,0.00
237,17/08/17 02:20:00,,0.00
238,17/08/17 02:25:00,,0.00
239,17/08/17 02:30:00,,0.00
240,17/08/17 02:31:20,14.613,
241,17/08/17 02:35:00,,0.00
242,17/08/17 02:40:00,,0.00
243,17/08/17 02:45:00,,0.00
244,17/08/17 02:50:00,,0.00
245,17/08/17 02:55:00,,0.00
246,17/08/17 03:00:00,,0.00
247,17/08/17 03:01:20,14.900,
248,17/08/17 03:05:00,,0.00
249,17/08/17 03:10:00,,0.00
250,17/08/17 03:15:00,,0.00
251,17/08/17 03:20:00,,0.00
252,17/08/17 03:25:00,,0.00
253,17/08/17 03:30:00,,0.00
254,17/08/17 03:31:20,15.282,
255,17/08/17 03:35:00,,0.00
256,17/08/17 03:40:00,,0.00
257,17/08/17 03:45:00,,0.00
258,17/08/17 03:50:00,,0.00
259,17/08/17 03:55:00,,0.00
260,17/08/17 04:00:00,,0.00
261,17/08/17 04:01:20,15.855,
262,17/08/17 04:05:00,,0.00
263,17/08/17 04:10:00,,0.00
264,17/08/17 04:15:00,,1.00
265,17/08/17 04:20:00,,2.00
266,17/08/17 04:25:00,,15.00
267,17/08/17 04:30:00,,0.00
268,17/08/17 04:31:20,15.473,
269,17/08/17 04:35:00,,0.00
270,17/08/17 04:40:00,,0.00
271,17/08/17 04:45:00,,0.00
272,17/08/17 04:50:00,,0.00
273,17/08/17 04:55:00,,0.00
274,17/08/17 05:00:00,,0.00
275,17/08/17 05:01:20,15.187,
276,17/08/17 05:05:00,,0.00
277,17/08/17 05:10:00,,0.00
278,17/08/17 05:15:00,,0.00
279,17/08/17 05:20:00,,0.00
280,17/08/17 05:25:00,,0.00
281,17/08/17 05:30:00,,0.00
282,17/08/17 05:31:20,15.855,
283,17/08/17 05:35:00,,0.00
284,17/08/17 05:40:00,,0.00
285,17/08/17 05:45:00,,0.00
286,17/08/17 05:50:00,,0.00
287,17/08/17 05:55:00,,0.00
288,17/08/17 06:00:00,,0.00
289,17/08/17 06:01:20,15.664,
290,17/08/17 06:05:00,,0.00
291,17/08/17 06:10:00,,0.00
292,17/08/17 06:15:00,,0.00
293,17/08/17 06:20:00,,0.00
294,17/08/17 06:25:00,,0.00
295,17/08/17 06:30:00,,0.00
296,17/08/17 06:31:20,15.855,
297,17/08/17 06:35:00,,0.00
298,17/08/17 06:40:00,,0.00
299,17/08/17 06:45:00,,0.00
300,17/08/17 06:50:00,,0.00
301,17/08/17 06:55:00,,0.00
302,17/08/17 07:00:00,,0.00
303,17/08/17 07:01:20,16.903,
304,17/08/17 07:05:00,,0.00
305,17/08/17 07:10:00,,0.00
306,17/08/17 07:15:00,,0.00
307,17/08/17 07:20:00,,0.00
308,17/08/17 07:25:00,,0.00
309,17/08/17 07:30:00,,0.00
310,17/08/17 07:31:20,17.094,
311,17/08/17 07:35:00,,0.00
312,17/08/17 07:40:00,,0.00
313,17/08/17 07:45:00,,0.00
314,17/08/17 07:50:00,,0.00
315,17/08/17 07:55:00,,0.00
316,17/08/17 08:00:00,,0.00
317,17/08/17 08:01:20,17.855,
318,17/08/17 08:05:00,,0.00
319,17/08/17 08:10:00,,0.00
320,17/08/17 08:15:00,,0.00
321,17/08/17 08:20:00,,0.00
322,17/08/17 08:25:00,,0.00
323,17/08/17 08:30:00,,0.00
324,17/08/17 08:31:20,17.570,
325,17/08/17 08:35:00,,0.00
