Plot Title: Butschenberg,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177322, SEN S/N: 10177322)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177322)"
1,06/10/2017 12:00,,0
2,06/10/2017 12:01,14.709,
3,06/10/2017 12:05,,0
4,06/10/2017 12:10,,0
5,06/10/2017 12:15,,0
6,06/10/2017 12:20,,0
7,06/10/2017 12:25,,0
8,06/10/2017 12:30,,0
9,06/10/2017 12:31,9.866,
10,06/10/2017 12:35,,0
11,06/10/2017 12:40,,0
12,06/10/2017 12:45,,0
13,06/10/2017 12:50,,0
14,06/10/2017 12:55,,0
15,06/10/2017 13:00,,0
16,06/10/2017 13:01,10.063,
17,06/10/2017 13:05,,0
18,06/10/2017 13:10,,0
19,06/10/2017 13:15,,0
20,06/10/2017 13:20,,0
21,06/10/2017 13:25,,0
22,06/10/2017 13:30,,0
23,06/10/2017 13:31,9.669,
24,06/10/2017 13:35,,0
25,06/10/2017 13:40,,0
26,06/10/2017 13:45,,0
27,06/10/2017 13:50,,0
28,06/10/2017 13:55,,0
29,06/10/2017 14:00,,0
30,06/10/2017 14:01,9.965,
31,06/10/2017 14:05,,0
32,06/10/2017 14:10,,0
33,06/10/2017 14:15,,0
34,06/10/2017 14:20,,0.6
35,06/10/2017 14:25,,0
36,06/10/2017 14:30,,0
37,06/10/2017 14:31,9.866,
38,06/10/2017 14:35,,0
39,06/10/2017 14:40,,0
40,06/10/2017 14:45,,0
41,06/10/2017 14:50,,0
42,06/10/2017 14:55,,0
43,06/10/2017 15:00,,0
44,06/10/2017 15:01,10.063,
45,06/10/2017 15:05,,0
46,06/10/2017 15:10,,0
47,06/10/2017 15:15,,0
48,06/10/2017 15:20,,0
49,06/10/2017 15:25,,0
50,06/10/2017 15:30,,0
51,06/10/2017 15:31,9.965,
52,06/10/2017 15:35,,0
53,06/10/2017 15:40,,0
54,06/10/2017 15:45,,0
55,06/10/2017 15:50,,0
56,06/10/2017 15:55,,0
57,06/10/2017 16:00,,0
58,06/10/2017 16:01,9.965,
59,06/10/2017 16:05,,0
60,06/10/2017 16:10,,0
61,06/10/2017 16:15,,0
62,06/10/2017 16:20,,0
63,06/10/2017 16:25,,0
64,06/10/2017 16:30,,0
65,06/10/2017 16:31,12.69,
66,06/10/2017 16:35,,0
67,06/10/2017 16:40,,0
68,06/10/2017 16:45,,0
69,06/10/2017 16:50,,0
70,06/10/2017 16:55,,0
71,06/10/2017 17:00,,0
72,06/10/2017 17:01,10.259,
73,06/10/2017 17:05,,0
74,06/10/2017 17:10,,0
75,06/10/2017 17:15,,0
76,06/10/2017 17:20,,0
77,06/10/2017 17:25,,0
78,06/10/2017 17:30,,0
79,06/10/2017 17:31,9.571,
80,06/10/2017 17:35,,0
81,06/10/2017 17:40,,0.2
82,06/10/2017 17:45,,0
83,06/10/2017 17:50,,0
84,06/10/2017 17:55,,0
85,06/10/2017 18:00,,0
86,06/10/2017 18:01,8.879,
87,06/10/2017 18:05,,0
88,06/10/2017 18:10,,0
89,06/10/2017 18:15,,0
90,06/10/2017 18:20,,0
