"Plot Title: Schwabenbrunnen"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10806052, SEN S/N: 10806052)","Cum. Sum: Niederschlag, units (LGR S/N: 10806052)"
1,06/10/17 10:05:00,10.944,0.00
2,06/10/17 10:10:00,,0.00
3,06/10/17 10:15:00,,0.00
4,06/10/17 10:20:00,,0.00
5,06/10/17 10:25:00,,0.00
6,06/10/17 10:30:00,,0.00
7,06/10/17 10:35:00,5.037,0.00
8,06/10/17 10:40:00,,0.00
9,06/10/17 10:45:00,,0.00
10,06/10/17 10:50:00,,0.00
11,06/10/17 10:55:00,,0.00
12,06/10/17 11:00:00,,0.00
13,06/10/17 11:05:00,4.727,0.00
14,06/10/17 11:10:00,,0.00
15,06/10/17 11:15:00,,0.00
16,06/10/17 11:20:00,,0.00
17,06/10/17 11:25:00,,0.00
18,06/10/17 11:30:00,,0.00
19,06/10/17 11:35:00,5.244,0.00
20,06/10/17 11:40:00,,0.00
21,06/10/17 11:45:00,,0.00
22,06/10/17 11:50:00,,0.00
23,06/10/17 11:55:00,,0.00
24,06/10/17 12:00:00,,0.00
25,06/10/17 12:05:00,5.244,0.00
26,06/10/17 12:10:00,,0.00
27,06/10/17 12:15:00,,1.00
28,06/10/17 12:20:00,,0.00
29,06/10/17 12:25:00,,0.00
30,06/10/17 12:30:00,,0.00
31,06/10/17 12:35:00,5.141,0.00
32,06/10/17 12:40:00,,0.00
33,06/10/17 12:45:00,,0.00
34,06/10/17 12:50:00,,0.00
35,06/10/17 12:55:00,,0.00
36,06/10/17 13:00:00,,0.00
37,06/10/17 13:05:00,5.552,0.00
38,06/10/17 13:10:00,,0.00
39,06/10/17 13:15:00,,0.00
40,06/10/17 13:20:00,,0.00
41,06/10/17 13:25:00,,0.00
42,06/10/17 13:30:00,,0.00
43,06/10/17 13:35:00,5.037,0.00
44,06/10/17 13:40:00,,0.00
45,06/10/17 13:45:00,,0.00
46,06/10/17 13:50:00,,0.00
47,06/10/17 13:55:00,,0.00
48,06/10/17 14:00:00,,0.00
49,06/10/17 14:05:00,4.934,0.00
50,06/10/17 14:10:00,,0.00
51,06/10/17 14:15:00,,0.00
52,06/10/17 14:20:00,,0.00
53,06/10/17 14:25:00,,0.00
54,06/10/17 14:30:00,,2.00
55,06/10/17 14:35:00,4.831,0.00
56,06/10/17 14:40:00,,0.00
57,06/10/17 14:45:00,,0.00
58,06/10/17 14:50:00,,0.00
59,06/10/17 14:55:00,,0.00
60,06/10/17 15:00:00,,0.00
61,06/10/17 15:05:00,4.934,0.00
62,06/10/17 15:10:00,,0.00
63,06/10/17 15:15:00,,0.00
64,06/10/17 15:20:00,,0.00
65,06/10/17 15:25:00,,0.00
66,06/10/17 15:30:00,,0.00
67,06/10/17 15:35:00,4.831,0.00
68,06/10/17 15:40:00,,0.00
69,06/10/17 15:45:00,,0.00
70,06/10/17 15:50:00,,0.00
71,06/10/17 15:55:00,,0.00
72,06/10/17 16:00:00,,0.00
73,06/10/17 16:05:00,4.934,0.00
74,06/10/17 16:10:00,,0.00
75,06/10/17 16:15:00,,0.00
76,06/10/17 16:20:00,,0.00
77,06/10/17 16:25:00,,0.00
78,06/10/17 16:30:00,,0.00
79,06/10/17 16:35:00,4.934,0.00
80,06/10/17 16:40:00,,0.00
81,06/10/17 16:45:00,,0.00
82,06/10/17 16:50:00,,0.00
83,06/10/17 16:55:00,,0.00
84,06/10/17 17:00:00,,0.00
85,06/10/17 17:05:00,5.037,0.00
86,06/10/17 17:10:00,,0.00
87,06/10/17 17:15:00,,0.00
88,06/10/17 17:20:00,,0.00
89,06/10/17 17:25:00,,0.00
90,06/10/17 17:30:00,,0.00
91,06/10/17 17:35:00,5.037,0.00
92,06/10/17 17:40:00,,0.00
93,06/10/17 17:45:00,,0.00
94,06/10/17 17:50:00,,0.00
95,06/10/17 17:55:00,,0.00
96,06/10/17 18:00:00,,0.00
97,06/10/17 18:05:00,5.037,0.00
98,06/10/17 18:10:00,,0.00
99,06/10/17 18:15:00,,0.00
100,06/10/17 18:20:00,,0.00
101,06/10/17 18:25:00,,0.00
102,06/10/17 18:30:00,,0.00
103,06/10/17 18:35:00,5.037,0.00
104,06/10/17 18:40:00,,0.00
105,06/10/17 18:45:00,,0.00
106,06/10/17 18:50:00,,0.00
107,06/10/17 18:55:00,,0.00
108,06/10/17 19:00:00,,0.00
109,06/10/17 19:05:00,4.934,0.00
110,06/10/17 19:10:00,,0.00
111,06/10/17 19:15:00,,0.00
112,06/10/17 19:20:00,,0.00
113,06/10/17 19:25:00,,0.00
114,06/10/17 19:30:00,,0.00
115,06/10/17 19:35:00,4.831,0.00
116,06/10/17 19:40:00,,0.00
117,06/10/17 19:45:00,,0.00
118,06/10/17 19:50:00,,0.00
119,06/10/17 19:55:00,,0.00
120,06/10/17 20:00:00,,0.00
121,06/10/17 20:05:00,4.831,0.00
122,06/10/17 20:10:00,,1.00
123,06/10/17 20:15:00,,0.00
124,06/10/17 20:20:00,,0.00
125,06/10/17 20:25:00,,0.00
126,06/10/17 20:30:00,,0.00
127,06/10/17 20:35:00,4.831,0.00
128,06/10/17 20:40:00,,0.00
129,06/10/17 20:45:00,,0.00
130,06/10/17 20:50:00,,0.00
131,06/10/17 20:55:00,,0.00
132,06/10/17 21:00:00,,0.00
133,06/10/17 21:05:00,4.831,0.00
134,06/10/17 21:10:00,,0.00
135,06/10/17 21:15:00,,0.00
136,06/10/17 21:20:00,,0.00
137,06/10/17 21:25:00,,0.00
138,06/10/17 21:30:00,,0.00
139,06/10/17 21:35:00,4.727,0.00
140,06/10/17 21:40:00,,0.00
141,06/10/17 21:45:00,,0.00
142,06/10/17 21:50:00,,0.00
143,06/10/17 21:55:00,,0.00
144,06/10/17 22:00:00,,0.00
145,06/10/17 22:05:00,4.831,0.00
146,06/10/17 22:10:00,,0.00
147,06/10/17 22:15:00,,0.00
148,06/10/17 22:20:00,,0.00
149,06/10/17 22:25:00,,0.00
150,06/10/17 22:30:00,,0.00
151,06/10/17 22:35:00,4.831,0.00
152,06/10/17 22:40:00,,0.00
153,06/10/17 22:45:00,,0.00
154,06/10/17 22:50:00,,0.00
155,06/10/17 22:55:00,,0.00
156,06/10/17 23:00:00,,0.00
157,06/10/17 23:05:00,4.831,0.00
158,06/10/17 23:10:00,,0.00
159,06/10/17 23:15:00,,0.00
160,06/10/17 23:20:00,,0.00
161,06/10/17 23:25:00,,0.00
162,06/10/17 23:30:00,,0.00
163,06/10/17 23:35:00,4.623,0.00
164,06/10/17 23:40:00,,0.00
165,06/10/17 23:45:00,,0.00
166,06/10/17 23:50:00,,0.00
167,06/10/17 23:55:00,,0.00
168,07/10/17 00:00:00,,0.00
169,07/10/17 00:05:00,4.623,0.00
170,07/10/17 00:10:00,,0.00
171,07/10/17 00:15:00,,0.00
172,07/10/17 00:20:00,,0.00
173,07/10/17 00:25:00,,0.00
174,07/10/17 00:30:00,,0.00
175,07/10/17 00:35:00,4.519,0.00
176,07/10/17 00:40:00,,0.00
177,07/10/17 00:45:00,,0.00
178,07/10/17 00:50:00,,0.00
179,07/10/17 00:55:00,,0.00
180,07/10/17 01:00:00,,0.00
181,07/10/17 01:05:00,4.519,0.00
182,07/10/17 01:10:00,,0.00
183,07/10/17 01:15:00,,0.00
184,07/10/17 01:20:00,,0.00
185,07/10/17 01:25:00,,0.00
186,07/10/17 01:30:00,,0.00
187,07/10/17 01:35:00,4.519,0.00
188,07/10/17 01:40:00,,0.00
189,07/10/17 01:45:00,,0.00
190,07/10/17 01:50:00,,0.00
191,07/10/17 01:55:00,,0.00
192,07/10/17 02:00:00,,0.00
193,07/10/17 02:05:00,4.519,0.00
194,07/10/17 02:10:00,,0.00
195,07/10/17 02:15:00,,0.00
196,07/10/17 02:20:00,,0.00
197,07/10/17 02:25:00,,0.00
198,07/10/17 02:30:00,,0.00
