"Plot Title: Sternenberg-Schlammfang"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692704, SEN S/N: 10692704, LBL: Temperatur)","Niederschlag, units (LGR S/N: 10692704)"
1,25/01/18 09:35:00,16.999,0.00
2,25/01/18 09:40:00,,0.00
3,25/01/18 09:45:00,,0.00
4,25/01/18 09:50:00,,0.00
5,25/01/18 09:55:00,,0.00
6,25/01/18 10:00:00,,0.00
7,25/01/18 10:05:00,16.141,0.00
8,25/01/18 10:10:00,,0.00
9,25/01/18 10:15:00,,0.00
10,25/01/18 10:20:00,,0.00
11,25/01/18 10:25:00,,0.00
12,25/01/18 10:30:00,,0.00
13,25/01/18 10:35:00,15.091,0.00
14,25/01/18 10:40:00,,0.00
15,25/01/18 10:45:00,,0.00
16,25/01/18 10:50:00,,0.00
17,25/01/18 10:55:00,,0.00
18,25/01/18 11:00:00,,0.00
19,25/01/18 11:05:00,14.421,0.00
20,25/01/18 11:10:00,,0.00
21,25/01/18 11:15:00,,0.00
22,25/01/18 11:20:00,,0.00
23,25/01/18 11:25:00,,0.00
24,25/01/18 11:30:00,,0.00
25,25/01/18 11:35:00,14.900,0.00
26,25/01/18 11:40:00,,0.00
27,25/01/18 11:45:00,,0.00
28,25/01/18 11:50:00,,0.00
29,25/01/18 11:55:00,,0.00
30,25/01/18 12:00:00,,0.00
31,25/01/18 12:05:00,15.473,0.00
32,25/01/18 12:10:00,,0.00
33,25/01/18 12:15:00,,0.00
34,25/01/18 12:20:00,,0.00
35,25/01/18 12:25:00,,0.00
36,25/01/18 12:30:00,,0.00
37,25/01/18 12:35:00,15.282,0.00
38,25/01/18 12:40:00,,0.00
39,25/01/18 12:45:00,,0.00
40,25/01/18 12:50:00,,0.00
41,25/01/18 12:55:00,,0.00
42,25/01/18 13:00:00,,0.00
43,25/01/18 13:05:00,15.473,0.00
44,25/01/18 13:10:00,,0.00
45,25/01/18 13:15:00,,0.00
46,25/01/18 13:20:00,,0.00
47,25/01/18 13:25:00,,0.00
48,25/01/18 13:30:00,,0.00
49,25/01/18 13:35:00,14.517,0.00
50,25/01/18 13:40:00,,0.00
51,25/01/18 13:45:00,,0.00
52,25/01/18 13:50:00,,0.00
53,25/01/18 13:55:00,,0.00
54,25/01/18 14:00:00,,0.00
55,25/01/18 14:05:00,14.325,0.00
56,25/01/18 14:10:00,,0.00
57,25/01/18 14:15:00,,0.00
58,25/01/18 14:20:00,,0.00
59,25/01/18 14:25:00,,0.00
60,25/01/18 14:30:00,,0.00
61,25/01/18 14:35:00,13.942,0.00
