"TOA5","Schafhof5","CR200X","No_SN","CR200X.Std.01","Messung.CR2","20312","Table1"
"TIMESTAMP","RECORD","VWC_Avg","EC_Avg","T_Avg"
"TS","RN","m^3/m^3","dS/m","Deg C"
"","","Avg","Avg","Avg"
"2018-07-15 02:05:00",581105,0.2291,0.0065,19.6215
"2018-07-15 02:10:00",581106,0.2291,0.0064,19.6407
"2018-07-15 02:15:00",581107,0.2291,0.0065,19.5996
"2018-07-15 02:20:00",581108,0.2291,0.0065,19.5915
"2018-07-15 02:25:00",581109,0.2291,0.0064,19.5832
"2018-07-15 02:30:00",581110,0.229,0.0066,19.5832
"2018-07-15 02:35:00",581111,0.2291,0.0064,19.5751
"2018-07-15 02:40:00",581112,0.229,0.0066,19.5586
"2018-07-15 02:45:00",581113,0.2291,0.0065,19.5395
"2018-07-15 02:50:00",581114,0.2291,0.0065,19.5778
"2018-07-15 02:55:00",581115,0.2291,0.0064,19.5203
"2018-07-15 03:00:00",581116,0.2291,0.0065,19.5203
"2018-07-15 03:05:00",581117,0.229,0.0066,19.4957
"2018-07-15 03:10:00",581118,0.229,0.0065,19.4821
"2018-07-15 03:15:00",581119,0.2291,0.0065,19.5122
"2018-07-15 03:20:00",581120,0.229,0.0066,19.4739
"2018-07-15 03:25:00",581121,0.229,0.0067,19.4438
"2018-07-15 03:30:00",581122,0.2291,0.0064,19.4821
"2018-07-15 03:35:00",581123,0.2291,0.0065,19.4411
"2018-07-15 03:40:00",581124,0.2291,0.0065,19.452
"2018-07-15 03:45:00",581125,0.2291,0.0064,19.4356
"2018-07-15 03:50:00",581126,0.2291,0.0065,19.4164
"2018-07-15 03:55:00",581127,0.2291,0.0065,19.4192
"2018-07-15 04:00:00",581128,0.2291,0.0065,19.4055
"2018-07-15 04:05:00",581129,0.2291,0.0064,19.3836
"2018-07-15 04:10:00",581130,0.2291,0.0065,19.3836
"2018-07-15 04:15:00",581131,0.229,0.0066,19.3727
"2018-07-15 04:20:00",581132,0.2291,0.0064,19.3426
"2018-07-15 04:25:00",581133,0.2291,0.0065,19.3535
"2018-07-15 04:30:00",581134,0.2291,0.0064,19.3262
"2018-07-15 04:35:00",581135,0.2291,0.0064,19.3644
"2018-07-15 04:40:00",581136,0.2291,0.0064,19.3398
"2018-07-15 04:45:00",581137,0.2291,0.0065,19.3152
"2018-07-15 04:50:00",581138,0.2291,0.0065,19.3125
"2018-07-15 04:55:00",581139,0.2291,0.0065,19.3152
"2018-07-15 05:00:00",581140,0.2291,0.0065,19.3043
"2018-07-15 05:05:00",581141,0.2291,0.0064,19.2851
"2018-07-15 05:10:00",581142,0.229,0.0066,19.2933
"2018-07-15 05:15:00",581143,0.2291,0.0065,19.266
"2018-07-15 05:20:00",581144,0.2291,0.0064,19.2606
"2018-07-15 05:25:00",581145,0.2291,0.0065,19.2606
"2018-07-15 05:30:00",581146,0.2291,0.0065,19.2633
"2018-07-15 05:35:00",581147,0.2291,0.0064,19.2168
"2018-07-15 05:40:00",581148,0.2291,0.0064,19.2359
"2018-07-15 05:45:00",581149,0.2291,0.0064,19.2332
"2018-07-15 05:50:00",581150,0.2291,0.0063,19.2113
"2018-07-15 05:55:00",581151,0.2291,0.0064,19.2441
"2018-07-15 06:00:00",581152,0.2291,0.0064,19.1758
"2018-07-15 06:05:00",581153,0.2291,0.0064,19.173
"2018-07-15 06:10:00",581154,0.2291,0.0064,19.1922
"2018-07-15 06:15:00",581155,0.2291,0.0065,19.2004
"2018-07-15 06:20:00",581156,0.2291,0.0065,19.1839
"2018-07-15 06:25:00",581157,0.2291,0.0064,19.1839
"2018-07-15 06:30:00",581158,0.2291,0.0064,19.143
"2018-07-15 06:35:00",581159,0.2291,0.0064,19.1648
"2018-07-15 06:40:00",581160,0.2291,0.0065,19.1566
"2018-07-15 06:45:00",581161,0.2291,0.0065,19.1566
"2018-07-15 06:50:00",581162,0.2291,0.0064,19.1594
"2018-07-15 06:55:00",581163,0.2291,0.0064,19.1566
"2018-07-15 07:00:00",581164,0.2291,0.0064,19.132
"2018-07-15 07:05:00",581165,0.2291,0.0064,19.1402
"2018-07-15 07:10:00",581166,0.2291,0.0065,19.1074
"2018-07-15 07:15:00",581167,0.2291,0.0063,19.1265
"2018-07-15 07:20:00",581168,0.2291,0.0064,19.1047
"2018-07-15 07:25:00",581169,0.2291,0.0064,19.0992
"2018-07-15 07:30:00",581170,0.2291,0.0064,19.0883
"2018-07-15 07:35:00",581171,0.2291,0.0064,19.0937
"2018-07-15 07:40:00",581172,0.2291,0.0064,19.1183
"2018-07-15 07:45:00",581173,0.229,0.0066,19.0691
"2018-07-15 07:50:00",581174,0.229,0.0066,19.0636
"2018-07-15 07:55:00",581175,0.2291,0.0065,19.0801
"2018-07-15 08:00:00",581176,0.2291,0.0064,19.0527
"2018-07-15 08:05:00",581177,0.2288,0.0064,19.05
"2018-07-15 08:10:00",581178,0.2288,0.0064,19.0636
"2018-07-15 08:15:00",581179,0.2288,0.0064,19.0718
"2018-07-15 08:20:00",581180,0.2288,0.0064,19.0664
"2018-07-15 08:25:00",581181,0.2288,0.0064,19.0801
"2018-07-15 08:30:00",581182,0.2288,0.0064,19.05
"2018-07-15 08:35:00",581183,0.2288,0.0065,19.0609
"2018-07-15 08:40:00",581184,0.2288,0.0064,19.0609
"2018-07-15 08:45:00",581185,0.2285,0.0063,19.0418
"2018-07-15 08:50:00",581186,0.2285,0.0064,19.0691
"2018-07-15 08:55:00",581187,0.2285,0.0064,19.0472
"2018-07-15 09:00:00",581188,0.2285,0.0062,19.0445
"2018-07-15 09:05:00",581189,0.2285,0.0065,19.0336
"2018-07-15 09:10:00",581190,0.2285,0.0064,19.0636
"2018-07-15 09:15:00",581191,0.2282,0.0065,19.0472
"2018-07-15 09:20:00",581192,0.2282,0.0063,19.039
"2018-07-15 09:25:00",581193,0.2282,0.0064,19.0636
"2018-07-15 09:30:00",581194,0.2282,0.0063,19.0718
"2018-07-15 09:35:00",581195,0.2282,0.0064,19.0527
"2018-07-15 09:40:00",581196,0.2282,0.0064,19.0828
"2018-07-15 09:45:00",581197,0.2282,0.0065,19.0883
"2018-07-15 09:50:00",581198,0.2282,0.0064,19.0855
"2018-07-15 09:55:00",581199,0.2282,0.0065,19.1129
"2018-07-15 10:00:00",581200,0.228,0.0063,19.091
"2018-07-15 10:05:00",581201,0.228,0.0064,19.1101
"2018-07-15 10:10:00",581202,0.2279,0.0064,19.0992
"2018-07-15 10:15:00",581203,0.228,0.0064,19.1074
"2018-07-15 10:20:00",581204,0.228,0.0062,19.1566
"2018-07-15 10:25:00",581205,0.228,0.0063,19.1183
"2018-07-15 10:30:00",581206,0.2279,0.0064,19.143
"2018-07-15 10:35:00",581207,0.2277,0.0065,19.1594
"2018-07-15 10:40:00",581208,0.2277,0.0063,19.1511
"2018-07-15 10:45:00",581209,0.2277,0.0064,19.1785
"2018-07-15 10:50:00",581210,0.2277,0.0064,19.1839
"2018-07-15 10:55:00",581211,0.2277,0.0064,19.1976
"2018-07-15 11:00:00",581212,0.2277,0.0063,19.2031
"2018-07-15 11:05:00",581213,0.2274,0.0066,19.2113
"2018-07-15 11:10:00",581214,0.2274,0.0064,19.2113
"2018-07-15 11:15:00",581215,0.2274,0.0063,19.2359
"2018-07-15 11:20:00",581216,0.2274,0.0064,19.2304
"2018-07-15 11:25:00",581217,0.2274,0.0065,19.2496
"2018-07-15 11:30:00",581218,0.2271,0.0064,19.2633
"2018-07-15 11:35:00",581219,0.2271,0.0063,19.2578
"2018-07-15 11:40:00",581220,0.2271,0.0065,19.2551
"2018-07-15 11:45:00",581221,0.2271,0.0064,19.2879
"2018-07-15 11:50:00",581222,0.2271,0.0065,19.3016
"2018-07-15 11:55:00",581223,0.2271,0.0063,19.3097
"2018-07-15 12:00:00",581224,0.2268,0.0064,19.318
"2018-07-15 12:05:00",581225,0.2268,0.0064,19.3317
"2018-07-15 12:10:00",581226,0.2268,0.0064,19.318
"2018-07-15 12:15:00",581227,0.2268,0.0063,19.3508
"2018-07-15 12:20:00",581228,0.2268,0.0064,19.3563
"2018-07-15 12:25:00",581229,0.2265,0.0065,19.3918
"2018-07-15 12:30:00",581230,0.2266,0.0064,19.3891
"2018-07-15 12:35:00",581231,0.2266,0.0064,19.3918
"2018-07-15 12:40:00",581232,0.2266,0.0063,19.4055
"2018-07-15 12:45:00",581233,0.2265,0.0065,19.4192
"2018-07-15 12:50:00",581234,0.2263,0.0065,19.4547
"2018-07-15 12:55:00",581235,0.2263,0.0063,19.4629
"2018-07-15 13:00:00",581236,0.2263,0.0064,19.5012
"2018-07-15 13:05:00",581237,0.2263,0.0065,19.4875
"2018-07-15 13:10:00",581238,0.2263,0.0063,19.5039
